"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"secret";1,14687999741451;0,382842323716534;-0,122621052025224;-0,525157914343283;-0,285125355972106;0,846867232220533;0,282694457827849;-0,0905445654076046;-0,387781660157305;-0,210539308029034;0,800529397668772;0,0664882157457125;0,00620639470887703;0,103411688614571;0,0233643032620701;0,00952351685900549;0,00106120988187912;0,000108865801405057;0,00199683062161948;0,000588617377252316;0,0072403806371535;1,21286440199798;0,0106508899497698
"aller";0,245618952587214;0,839364421538559;1,02095717982754;-0,0910587772818366;-0,0928466525641637;0,181858804269525;0,621474069649341;0,755927219695703;-0,0674208573088016;-0,068744618596773;0,046350479726514;0,403454960655888;0,54314217440689;0,00392484566502021;0,00312753954568887;0,00042432246081534;0,0049553391586516;0,00733140693905827;5,8319783053816e-05;6,06324018081501e-05;0,00703351261894911;1,07948763495793;0,00819610691702937
"français";-0,44328396900059;-0,507976399681078;-0,62236696076799;-0,45108042539991;-0,922390740196141;-0,321917499390844;-0,368897825706571;-0,45196945913838;-0,327579368359031;-0,669849896026392;0,166716045992004;0,163178856157802;0,222881692540192;0,10635790754383;0,340865497766175;0,000487796467950971;0,000640562737193918;0,000961540671548825;0,000505106040990395;0,00211205133040857;0,00248241621845263;1,02725020980387;0,00261955232157742
"scicos";-0,462900904675014;0,336124400312131;-0,961990707041177;-0,180524815769267;2,61675785560149;-0,162319545216446;0,117864448403099;-0,337328988758401;-0,0633023303692235;0,917585039849942;0,0512666740535993;0,0201475678964772;0,150165036368083;0,00480376083258918;0,773616960849251;0,00141846750549571;0,000747899793033939;0,0061261141609174;0,000215733283300142;0,045328401653965;0,00661977658254034;1,93443157155756;0,0247713728095235
"petit";-0,433537138150896;-0,0200191774899084;-0,747894674774548;-1,44907398170121;0,443184976138305;-0,248490034689565;-0,0114743713310034;-0,428670019993036;-0,830564240739509;0,254019876046169;0,0961872182437673;0,000152869440202412;0,194139372689072;0,662055413811172;0,0474651258157864;0,000349935881548328;7,46153745625177e-07;0,00104139801427496;0,00390946186181019;0,000365683969315762;0,00186181216383947;1,3226670592304;0,00325714384488183
"paranormal";-0,449000110170397;0,781859801880457;1,35302688892125;0,371962478273029;-0,330667069460471;-0,264059040309645;0,459815363659692;0,795721367787863;0,218752852881703;-0,194466832069592;0,0990322798911504;0,223823207681302;0,609908555070198;0,0418726665972216;0,0253632907601311;0,000625572297061529;0,00189689103164009;0,00568064262146435;0,000429321737411088;0,000339286442363186;0,00310302027306578;1,35002239414208;0,00565544207080609
"alien";-0,434851174013512;-0,0833105177164733;-0,519570047430993;-0,709967574093092;1,69358632614146;-0,221958838600894;-0,0425237572315098;-0,265201455558244;-0,362385081625881;0,864448520516202;0,0925883934047281;0,0025330186304151;0,0896461113475912;0,152055016941183;0,663177459676082;0,00113441678996421;4,16381109853988e-05;0,0016194948265279;0,00302390664700977;0,0172070344804937;0,00599917252792718;1,35221355935651;0,0109693760432603
"vie";-0,442668026781999;0,802378653243832;1,03191040630536;-0,210715356445325;0,196017853250594;-0,314001906722655;0,569158854466343;0,731974788200374;-0,14946872079415;0,139043201560793;0,135748636784958;0,332430882634745;0,500300733727381;0,0189504712203736;0,0125692756325466;0,00109449410679496;0,00359596826352863;0,00594759109212137;0,00024799875029598;0,000214609219571831;0,00558543649151841;1,13682425216304;0,00721844709728245
"grand";-0,456680326985701;0,684898381644458;0,747516920449673;0,256715580101497;-0,131576033654567;-0,397543508406701;0,596208965991948;0,650718854281281;0,223472758394968;-0,114537883395429;0,211530024868042;0,354619943915902;0,384377056708646;0,0411813272131884;0,0082916472942247;0,00107859392354038;0,00242597121007032;0,00288985077760945;0,000340830001380058;8,95337848172719e-05;0,00517170045510964;0,939526873527596;0,0045651155672349
"david";1,88540617966583;0,236025448347113;0,182060317453506;0,0770703054218517;0,0676702308733055;0,986308912368844;0,123471539322031;0,0952408640799727;0,0403176408014289;0,0354001978630558;0,980735897784413;0,0114557451927346;0,0062021290555185;0,00100963605545577;0,00059659191188169;0,0213255973122343;0,00033420197678035;0,000198848327792071;3,56340768218262e-05;2,74717716687935e-05;0,00599917252792718;1,80140682542171;0,0194677141021105
"crop";1,25860266158658;0,155521596617823;-0,231697143400068;-0,435629520254543;0,315236847102598;0,901050316726228;0,111339971038682;-0,165875053992035;-0,31187294384539;0,225682234429339;0,87889147020574;0,0100023681037546;0,0202007411974524;0,0648695721248615;0,0260358483681956;0,0062262169084203;9,50666887208478e-05;0,000211002846283674;0,000745901634138781;0,000390589806713395;0,00393049234588333;1,27029308735674;0,00634241746544062
"nhttps";-0,400799587282452;-1,57454343174819;0,218158070591926;0,110250964125871;-0,206919101736959;-0,24202630656867;-0,950801705914479;0,131736642823192;0,0665760007986612;-0,124949894014264;0,0776602430875921;0,893340382975768;0,0156046765198065;0,00362040768397192;0,00977428973286421;0,000398776108810387;0,00615437406320575;0,000118145495484629;3,01744520248676e-05;0,000106285928002392;0,00248241621845263;1,36085172011127;0,00459722979924649
"france";-0,54213333038871;0,499053144754322;-1,68228106059679;1,86693363773845;-0,833300237042994;-0,197265126379999;0,181589613019571;-0,61212872816243;0,679317945139966;-0,303211530002975;0,0602987231306294;0,0380849118607398;0,393786658168495;0,440557026030712;0,0672726808094237;0,00164160752871236;0,00139107553057671;0,0158071738321787;0,0194677105106374;0,00387846725207066;0,00558543649151841;2,0889832822776;0,0243740134770694
"di";2,49259864037134;0,0968037244026678;-0,0836590752688693;0,0803275989206672;-0,0267268550421291;0,998111233962475;0,038763113824581;-0,0334996021807711;0,0321655791595897;-0,0107022341398941;0,997424325740678;0,00112130263925092;0,000762025238851818;0,000638194843972269;5,41515372516254e-05;0,0308467421529882;4,65252514268646e-05;3,47480721961556e-05;3,20356962268577e-05;3,54650284042855e-06;0,00496483243690525;2,36153991037613;0,0276882287875845
