"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"révélation";4,968;-4,978;-1,674;5,289;0,066;-2,518
"ita";-4,55;-5,278;-1,775;-3,341;-4,891;126,676
"fortnite";-2,124;-4,978;136,331;-1,201;-4,614;-2,518
"edge";-4,55;-5,278;-1,775;-3,341;-4,891;126,676
"cutting";-4,55;-5,278;-1,775;-3,341;-4,891;126,676
"beyond";-4,55;-5,278;-1,775;-3,341;-4,891;126,676
"soirée";4,152;-0,864;-0,291;-0,547;0,276;-0,437
"nouveau";-3,267;0,546;14,465;0,602;-1,411;-1,916
"facebook";-2,757;30,273;-1,076;-2,025;-0,954;-1,618
"annonce";-2,504;4,481;5,663;-0,225;-0,739;-1,469
"émission";-0,077;-1,37;-0,003;-2,211;15,289;-1,767
"us";1,286;0,909;-0,485;0,083;-1,338;-0,73
"univers";-3,778;-0,709;-1,474;7,116;6,057;-2,216
"nasa";-3,522;0,323;-1,374;19,084;-3,786;0,033
"vérité";-3,267;0,005;-1,274;-2,399;24,87;-1,916
"nufo";-2,251;31,693;-0,878;-1,653;-2,419;-1,32
"instagram";-2,251;31,693;-0,878;-1,653;-2,419;-1,32
"halloween";-0,994;6,441;-0,388;0,286;-1,069;-0,583
"enfant";-3,522;1,478;-0,049;-2,586;11,198;-2,066
"zone";-0,809;-0,109;56,724;-2,025;-2,964;-1,618
"twitter";-2,251;23,277;-0,878;-1,653;-0,537;-1,32
"temps";-2,504;-0,884;1,58;23,205;-2,691;-1,469
"nteaser";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"mars";0,023;-0,006;-1,374;13,115;-1,649;-2,066
"homme";-3,522;-4,085;-1,374;13,115;7,209;-2,066
"extraire";-3,267;-3,789;-0,02;-2,399;40,438;-1,916
"terre";-3,012;-3,493;-1,175;43,201;-0,138;-1,767
"r";0;19,442;-0,977;-1,838;-2,691;-1,469
"premier";-0,273;0,034;-0,78;7,441;-0,352;-1,172
"planète";0,992;-1,626;-1,274;9,611;-0,252;-1,916
"partir";-3,012;-1,37;-1,175;-2,211;-3,237;68,608
"média";-3,012;-1,37;-1,175;-2,211;36,616;-1,767
"venir";-2,251;0;0,06;-1,653;11,426;-1,32
"témoignage";1,585;-2,318;0,138;-0,051;1,323;-1,172
"rencontre";11,344;-3,493;-1,175;-0,464;1,114;-1,767
"question";-3,012;-1,37;-0,003;0,866;10,217;-1,767
"nparanormal";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"mystérieux";0;-2,904;0,018;15,486;-0,739;-1,469
"music";-1,746;24,592;-0,681;-1,282;-1,877;-1,025
"mort";-2,251;-2,611;0,06;-1,653;25,255;-1,32
"jean";-1,495;-1,734;-0,583;-1,098;22,719;-0,877
"dimensione";-2,757;-3,198;-1,076;-2,025;-2,964;76,769
"ciel";0,345;3,42;-0,291;-0,547;-0,801;-0,437
"étrange";0,692;-0,111;-0,583;5,567;-1,607;-0,877
"société";-2,757;-3,198;-1,076;-2,025;41,898;-1,618
"rédaction";-2,757;-3,198;-1,076;-2,025;41,898;-1,618
"replay";-2,504;26,765;-0,977;-1,838;-0,739;-1,469
"portali";-2,504;-2,904;-0,977;-1,838;-2,691;69,707
"personnel";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"p";-0,137;16,38;-0,681;-1,282;-1,877;-1,025
"over";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"noël";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"noddbods";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nen";-0,809;-3,198;0,001;-0,338;17,961;-1,618
"mission";-2,757;-3,198;-1,076;3,773;4,013;0,305
"index";-1,998;28,138;-0,78;-1,467;-2,148;-1,172
"incident";16,242;-1,153;-0,388;-0,73;-1,069;-0,583
"filmer";26,924;-1,122;-1,076;-2,025;-0,954;-1,618
"dei";-2,504;-0,884;-0,977;-1,838;-0,739;41,433
"changement";-2,757;-3,198;-1,076;-2,025;41,898;-1,618
"be";-1,998;28,138;-0,78;-1,467;-2,148;-1,172
"ancien";-1,998;-0,448;-0,78;-0,051;14,185;-1,172
"altra";-2,504;-2,904;-0,977;-1,838;-2,691;69,707
"youtu";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"série";-2,251;0;24,767;0,328;-2,419;-1,32
"science";-0,435;0;0,06;-0,127;3,01;-1,32
"réseau";-2,504;13,287;-0,977;-0,225;-0,006;-1,469
"roswell";20,326;-1,444;-0,485;-0,914;-1,338;-0,73
"relique";-1,495;-1,734;62,601;-1,098;-1,607;-0,877
"org";-1,998;28,138;-0,78;-1,467;-2,148;-1,172
"oddbods";-1,998;28,138;-0,78;-1,467;-2,148;-1,172
"nextraterrestre";-2,504;35,256;-0,977;-1,838;-2,691;-1,469
"nextra_terrestre";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nalien";-2,251;31,693;-0,878;-1,653;-2,419;-1,32
"meilleur";-1,746;-0,262;0,264;-1,282;10,811;-1,025
"matin";40,894;-2,904;-0,977;-1,838;-2,691;-1,469
"marion";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"live";-0,273;-2,318;0,138;-1,467;14,185;-1,172
"libre";-0,994;0,017;-0,388;-0,73;7,059;-0,583
"jour";-2,504;-0,031;1,58;15,486;-2,691;-1,469
"cospirazione";-2,504;-2,904;-0,977;-1,838;-2,691;69,707
"contact";-1,495;-1,734;-0,583;33,257;-1,607;-0,877
"comprendre";-2,251;-0,657;-0,878;-0,127;17,664;-1,32
"cacher";-0,616;-0,031;0,018;15,486;-2,691;-1,469
"animé";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"épisode";-1,244;9,664;-0,485;-0,914;-0,003;-0,73
"spécialiste";-1,998;-2,318;0,138;-1,467;21,514;-1,172
"sam";-1,998;28,138;-0,78;-1,467;-2,148;-1,172
"répondre";-2,251;-2,611;-0,878;0,328;17,664;-1,32
"royalty";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"retrouver";-1,746;1,721;0,264;-0,006;0,243;-1,025
"recherche";-1,998;-0,448;-0,78;0,575;8,377;-1,172
"propos";-2,251;0,639;-0,878;-1,653;11,426;-1,32
"passer";-1,746;-2,026;0,264;26,838;-1,877;-1,025
"nscience";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"noir";-0,137;-2,026;52,007;-1,282;-1,877;-1,025
"nickelodeon";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"macleod";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"logique";-1,998;0,034;44,082;-1,467;-2,148;-1,172
"kevin";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"janvier";-2,251;-2,611;37,937;-1,653;0,832;-1,32
"jacques";-1,746;-2,026;-0,681;-0,006;17,806;-1,025
"isrc";-1,746;24,592;-0,681;-1,282;-1,877;-1,025
"incompetech";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"gli";-2,251;-2,611;-0,878;-1,653;-2,419;62,662
"free";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"exister";-2,251;-2,611;0,06;37,78;-2,419;-1,32
"découvrir";-2,251;-2,611;37,937;-1,653;0,832;-1,32
"découverte";-2,251;-2,611;0,06;27,222;-0,537;-1,32
"dr";-0,435;-0,657;-0,878;-1,653;17,664;-1,32
"del";-1,998;-0,448;-0,78;-1,467;-2,148;40,846
"conscience";-2,251;-2,611;-0,878;-1,653;34,199;-1,32
"complet";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"bellanca";-2,251;-2,611;-0,878;-0,127;25,255;-1,32
"article";-1,746;16,38;-0,681;-1,282;-0,192;-1,025
"équipe";6,178;0,16;-0,681;-1,282;-0,192;-1,025
"web";-0,994;6,441;-0,388;-0,73;0,039;-0,583
"voir";-1,998;1,077;8,284;0,575;-2,148;-1,172
"vf";-1,998;19,813;0,138;-1,467;-2,148;-1,172
"seul";-1,998;-2,318;0,138;-1,467;21,514;-1,172
"reportage";-0,273;12,944;-0,78;-1,467;-0,352;-1,172
"pyramide";-1,998;-2,318;-0,78;-0,051;21,514;-1,172
"preuve";-1,746;-2,026;3,436;9,463;-0,192;-1,025
"prendre";-1,998;0,034;0,138;13,783;-2,148;-1,172
"photo";-1,746;1,721;-0,681;9,463;-1,877;-1,025
"of";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"musique";-1,746;4,945;-0,681;4,097;-1,877;-1,025
"jones";-1,998;-2,318;0,138;-1,467;-2,148;40,846
"intelligence";-1,746;-0,262;52,007;-1,282;-1,877;-1,025
"incroyable";0,339;-0,262;-0,681;9,463;-1,877;-1,025
"fantôme";15,455;-0,448;-0,78;-1,467;-0,352;-1,172
"face";-1,495;-0,111;-0,583;21,447;-1,607;-0,877
"extra_terrestre";-1,746;16,38;-0,681;-1,282;-0,192;-1,025
"expérience";-1,244;-0,015;-0,485;-0,914;10,546;-0,73
"enlever";-1,998;-2,318;17,073;7,441;-2,148;-1,172
"edito";-1,998;-2,318;83,666;-1,467;-2,148;-1,172
"black";-0,137;16,38;-0,681;-1,282;-1,877;-1,025
"bande_annonce";-1,746;16,38;-0,681;-1,282;-0,192;-1,025
"archéologie";-1,746;-2,026;-0,681;-1,282;26,536;-1,025
"éveil";-1,746;-2,026;-0,681;-1,282;26,536;-1,025
"voyage";-0,137;-2,026;0,264;17,043;-1,877;-1,025
"user";0,067;6,441;-0,388;-0,73;-1,069;-0,583
"tiktok";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"spazio";-1,746;-2,026;-0,681;-1,282;-1,877;48,622
"social";-1,746;9,831;-0,681;-0,006;-0,192;-1,025
"réponse";-0,994;-1,153;41,635;-0,73;-1,069;-0,583
"retour";-0,994;0,017;-0,388;0,286;2,035;-0,583
"octobre";-0,745;3,42;-0,291;0,746;-0,801;-0,437
"obama";-1,746;-2,026;-0,681;-1,282;-1,877;48,622
"numéro";-1,746;4,945;-0,681;-0,006;0,243;-1,025
"nufologie";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"more";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"ly";-1,495;12,99;0,465;-1,098;-1,607;-0,877
"lune";-1,746;-2,026;-0,681;38,846;-1,877;-1,025
"list";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"inganno";-1,746;-2,026;-0,681;-1,282;-1,877;48,622
"info";-0,745;3,42;-0,291;-0,547;0,276;-0,437
"illuminati";-1,746;-2,026;-0,681;-1,282;-1,877;48,622
"engager";-0,137;-0,262;-0,681;-1,282;10,811;-1,025
"el";2,3;0,017;-0,388;-0,73;0,039;-0,583
"earth";-0,745;0,211;-0,291;0,746;-0,801;1,161
"devenir";-1,746;-2,026;-0,681;-0,006;17,806;-1,025
"dello";-1,746;-2,026;-0,681;-1,282;-1,877;48,622
"della";-1,495;-1,734;-0,583;-1,098;-1,607;41,626
"curieux";-0,137;-0,262;-0,681;17,043;-1,877;-1,025
"conquista";-1,746;-2,026;-0,681;-1,282;-1,877;48,622
"bit";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"base";-0,745;3,42;-0,291;0,746;-0,801;-0,437
"bande";-1,746;4,945;3,436;-1,282;-0,192;-1,025
"américain";8,334;-1,734;0,465;0,008;-1,607;-0,877
"alex";-1,746;-2,026;-0,681;-1,282;-1,877;48,622
"actu";-0,994;6,441;-0,388;0,286;-1,069;-0,583
"00z";-1,746;24,592;-0,681;-1,282;-1,877;-1,025
"uc3fuhiuhkxvrs8pqghegz4a";-1,495;6,864;-0,583;-1,098;0,553;-0,877
"tomber";0,067;0,017;-0,388;0,286;0,039;-0,583
"tenir";-1,495;0,424;-0,583;-1,098;7,59;-0,877
"santé";-1,495;-1,734;-0,583;-1,098;22,719;-0,877
"résoudre";-1,495;-1,734;62,601;-1,098;-1,607;-0,877
"revenir";-1,495;-0,111;-0,583;-1,098;14,143;-0,877
"prédiction";0,067;1,78;-0,388;0,286;-1,069;-0,583
"poser";-0,038;-1,734;-0,583;-1,098;14,143;-0,877
"playlist";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"parler";0,067;-1,153;-0,388;3,703;0,039;-0,583
"oeil";0,345;0,211;2,257;-0,547;-0,801;-0,437
"nsur";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"npour";-1,244;0,909;-0,485;0,083;1,093;-0,73
"nmusique";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"nitw";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"nel";-1,495;-1,734;-0,583;-1,098;-1,607;41,626
"ndocu";-1,495;21,054;-0,583;-1,098;-1,607;-0,877
"michel";-1,244;-1,444;0,785;-0,914;10,546;-0,73
"mettre";-0,038;-1,734;41,811;-1,098;-1,607;-0,877
"journaliste";-1,495;-1,734;-0,583;-1,098;22,719;-0,877
"inviter";-1,495;0,424;-0,583;-1,098;7,59;-0,877
"invasion";-1,495;6,864;-0,583;1,498;-1,607;-0,877
"informer";-1,495;-1,734;-0,583;-1,098;22,719;-0,877
"inconnu";-1,244;-0,015;-0,485;16,143;-1,338;-0,73
"ichon";0,067;1,78;-0,388;0,286;-1,069;-0,583
"hypothèse";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"humain";-1,495;-1,734;-0,583;33,257;-1,607;-0,877
"from";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"esprit";0,067;0,017;8,496;-0,73;-1,069;-0,583
"envoyer";-1,495;-0,111;-0,583;21,447;-1,607;-0,877
"entourer";-1,495;-1,734;-0,583;-1,098;22,719;-0,877
"enquête";0;-0,015;-0,485;0,083;1,093;-0,73
"enlèvement";-1,244;-1,444;-0,485;27,682;-1,338;-0,73
"développement";-1,495;-1,734;-0,583;-1,098;22,719;-0,877
"dessin";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"crash";2,3;0,017;-0,388;0,286;-1,069;-0,583
"complémentaire";-1,495;-0,111;-0,583;-1,098;14,143;-0,877
"civilisation";-0,994;-1,153;-0,388;0,286;7,059;-0,583
"circle";-1,495;0,424;4,529;0,008;-1,607;0,087
"chi";-0,994;-1,153;-0,388;-0,73;-1,069;27,686
"changer";-1,495;-0,111;-0,583;-1,098;14,143;-0,877
"cerveau";-1,244;-0,015;16,422;0,083;-1,338;-0,73
"cerchi";-1,495;-1,734;-0,583;-1,098;-1,607;41,626
"cas";8,334;-0,111;-0,583;-1,098;-0,069;-0,877
"bien_être";-1,495;-1,734;-0,583;-1,098;22,719;-0,877
"arte";-1,495;6,864;-0,583;1,498;-1,607;-0,877
"animation";-1,244;9,664;0,785;-0,914;-1,338;-0,73
"affaire";16,242;-1,153;-0,388;-0,73;-1,069;-0,583
"évoquer";4,152;-0,864;-0,291;0,746;-0,801;-0,437
"vrai";-1,244;-1,444;-0,485;27,682;-1,338;-0,73
"voyager";-0,745;3,42;-0,291;0,746;-0,801;-0,437
"vaisseau";-0,994;0,017;-0,388;10,981;-1,069;-0,583
"utiliser";-1,244;-0,015;-0,485;16,143;-1,338;-0,73
"truth";-0,745;3,42;-0,291;0,746;-0,801;-0,437
"tracks";0,067;6,441;-0,388;-0,73;-1,069;-0,583
"tester";-0,994;-1,153;41,635;-0,73;-1,069;-0,583
"teaser";-0,994;0,017;1,313;3,703;-1,069;-0,583
"suivre";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"studio";-1,244;0,909;0,785;-0,914;-0,003;0,244
"souci";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"seconde";-1,244;0,909;16,422;-0,914;-1,338;-0,73
"scientifique";0,345;-0,864;12,556;-0,547;-0,801;-0,437
"réflexion";-0,994;-1,153;41,635;-0,73;-1,069;-0,583
"réaliser";0,067;0,017;1,313;0,286;-1,069;-0,583
"roblox";-0,994;-1,153;41,635;-0,73;-1,069;-0,583
"rajouter";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"quotidiennement";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"qumran";-0,745;-0,864;-0,291;-0,547;-0,801;20,74
"quatrième";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"proposer";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"projet";-0,994;-1,153;-0,388;22,119;-1,069;-0,583
"patrice";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"one";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"occulter";-1,244;-1,444;-0,485;-0,914;-1,338;34,648
"nterre";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"nsurnaturel";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"no";0,345;3,42;-0,291;-0,547;-0,801;-0,437
"nle";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"nla";-1,244;9,664;-0,485;-0,914;-1,338;0,244
"nfacebook";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"ndocumentaire";-0,745;3,42;-0,291;0,746;-0,801;-0,437
"ncropcircle";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"nazismo";-1,244;-1,444;-0,485;-0,914;-1,338;34,648
"namateur";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"médecine";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"moteur";-0,745;0,211;-0,291;6,087;-0,801;-0,437
"moon";-1,244;9,664;-0,485;0,083;-1,338;-0,73
"metz";20,326;-1,444;-0,485;-0,914;-1,338;-0,73
"message";-1,244;-0,015;-0,485;16,143;-1,338;-0,73
"mer";-1,244;-0,015;-0,485;7,697;-0,003;-0,73
"los";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"invasione";-1,244;-1,444;-0,485;-0,914;-1,338;34,648
"interstellaire";-0,994;0,017;-0,388;10,981;-1,069;-0,583
"image";1,286;-1,444;0,785;2,344;-1,338;-0,73
"grano";-1,244;-1,444;-0,485;-0,914;-1,338;34,648
"goo";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"gl";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"gesù";-0,745;-0,864;-0,291;-0,547;-0,801;20,74
"gde";1,286;4,125;-0,485;-0,914;-1,338;-0,73
"freedom";-1,244;-1,444;-0,485;-0,914;-1,338;34,648
"for";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"fonder";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"fascism";-1,244;-1,444;-0,485;-0,914;-1,338;34,648
"exploration";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"exemple";0;0,909;-0,485;0,083;-0,003;-0,73
"edition";1,286;4,125;-0,485;-0,914;-1,338;-0,73
"décrypter";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"dossier";1,286;-0,015;-0,485;0,083;-0,003;-0,73
"dernier";1,286;0,909;-0,485;0,083;-1,338;-0,73
"cultur";1,286;4,125;-0,485;-0,914;-1,338;-0,73
"criminel";-1,244;-1,444;52,106;-0,914;-1,338;-0,73
"content";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"consommation";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"chose";2,3;0,017;-0,388;0,286;-1,069;-0,583
"blanc";0,345;0,211;2,257;-0,547;-0,801;-0,437
"augmenter";-1,244;-1,444;52,106;-0,914;-1,338;-0,73
"astrophysique";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"artiste";16,242;-1,153;-0,388;-0,73;-1,069;-0,583
"art";0;-1,444;0,785;-0,914;4,607;-0,73
"archéologique";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"année";-1,244;-1,444;-0,485;27,682;-1,338;-0,73
"animateur";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"and";-1,244;9,664;-0,485;0,083;-1,338;-0,73
"analyser";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"aliena";-1,244;-1,444;-0,485;-0,914;-1,338;34,648
"acteur";-1,244;-1,444;-0,485;-0,914;18,91;-0,73
"abonné";-0,994;-1,153;-0,388;-0,73;15,11;-0,583
"10z";-1,244;17,524;-0,485;-0,914;-1,338;-0,73
"état";-0,994;0,017;1,313;0,286;0,039;-0,583
"ép";4,152;-0,864;-0,291;0,746;-0,801;-0,437
"vérifier";2,3;-1,153;1,313;0,286;-1,069;-0,583
"visiter";0,067;1,78;-0,388;0,286;-1,069;-0,583
"ville";-0,994;1,78;1,313;0,286;-1,069;-0,583
"videos";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"utip";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"una";-0,745;0,211;-0,291;-0,547;0,276;1,161
"ufologiques";2,3;1,78;-0,388;-0,73;-1,069;-0,583
"trou";-0,994;-1,153;41,635;-0,73;-1,069;-0,583
"théorie";-0,994;-1,153;41,635;-0,73;-1,069;-0,583
"thanatosdu14";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"sujet";-0,745;0,211;-0,291;6,087;-0,801;-0,437
"suite";0,067;-1,153;1,313;-0,73;2,035;-0,583
"sophie";-0,994;-1,153;-0,388;-0,73;15,11;-0,583
"site";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"short";-0,994;-1,153;-0,388;22,119;-1,069;-0,583
"réalité";-0,745;0,211;-0,291;0,746;0,276;-0,437
"rejoindre";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"regarder";0,345;3,42;-0,291;-0,547;-0,801;-0,437
"recevoir";2,3;-1,153;-0,388;3,703;-1,069;-0,583
"présenter";-0,745;-0,864;12,556;0,746;-0,801;-0,437
"proibite";-0,994;-1,153;-0,388;-0,73;-1,069;27,686
"pays";-0,745;0,211;-0,291;-0,547;3,782;-0,437
"pari";-0,745;0,211;-0,291;-0,547;0,276;1,161
"oyagaelewee";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"orbs";-0,745;3,42;-0,291;-0,547;0,276;-0,437
"ombre";4,152;0,211;-0,291;-0,547;-0,801;-0,437
"odyssée";0,067;0,017;-0,388;3,703;-1,069;-0,583
"objectif";-0,745;3,42;-0,291;0,746;-0,801;-0,437
"nà";-0,994;1,78;-0,388;-0,73;2,035;-0,583
"ntwitter";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nstan";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nrevolution";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nmontage";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nmaillaud";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nfilm";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nextrait";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nemission";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nclip";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"ncensure";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"naliens";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"nactivisme";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
"métrage";-0,994;0,017;8,496;0,286;-1,069;-0,583
"moment";-0,994;-1,153;1,313;10,981;-1,069;-0,583
"minute";-0,994;-1,153;1,313;0,286;2,035;-0,583
"manoscritti";-0,745;-0,864;-0,291;-0,547;-0,801;20,74
"lek";-0,745;0,211;12,556;-0,547;-0,801;-0,437
"kidnappeur";-0,994;1,78;8,496;-0,73;-1,069;-0,583
"junior";-0,745;10,49;-0,291;-0,547;-0,801;-0,437
"jt";16,242;-1,153;-0,388;-0,73;-1,069;-0,583
"jeu";-0,745;0,211;12,556;-0,547;-0,801;-0,437
"io";-0,994;14,003;-0,388;-0,73;-1,069;-0,583
