"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"existence";0,795;0,897;0,533;0,054;0,301;0,445
"ex";0,557;0,353;0,59;0,388;0,6;0,509
"eau";0,042;0,353;0,59;0,388;0,371;0,509
"défunt";0,388;0,353;0,59;0,388;0,052;0,509
"documentaire";0,388;0,646;0,133;0,388;0,371;0,509
"cure";0,319;0,283;0,533;0,393;0,301;0
"communication";0,388;0,353;0,59;0,388;0,052;0,509
"combat";0,388;0,646;0,133;0,388;0,371;0,509
"chipmunks";0,388;0,001;0,59;0,46;0,371;0,509
"cancro";0,319;0,283;0,533;0,393;0,301;0
"bientôt";0,319;0,897;0,533;0,393;0,008;0,445
"astrophysicien";0,319;0,283;0;0,393;0,301;0,445
"association";0;0,283;0,533;0,393;0,301;0,445
"armée";0;0,283;0,533;0,393;0,301;0,445
"apollo";0,319;0,283;0,533;0;0,301;0,445
"alvinnn";0,388;0,001;0,59;0,46;0,371;0,509
"air";0,042;0,353;0,59;0,388;0,371;0,509
"aimer";0,388;0,064;0,59;0,46;0,6;0,509
"ado";0,388;0,064;0,59;0,46;0,6;0,509
"abonner";0,319;0;0,533;0,393;0,301;0,445
"30z";0,319;0;0,533;0,393;0,301;0,445
"29z";0,319;0;0,533;0,393;0,301;0,445
"11z";0,319;0;0,533;0,393;0,301;0,445
"07z";0,319;0;0,533;0,393;0,301;0,445
"étudier";0,042;0,353;0,59;0,388;0,371;0,509
"énergie";0,388;0,353;0,59;0,388;0,052;0,509
"écouter";0,388;0,064;0,59;0,46;0,6;0,509
"è";0,388;0,353;0,59;0,46;0,371;0
"youcurious";0,042;0,353;0,59;0,388;0,371;0,509
"wiki";0,388;0,001;0,59;0,46;0,371;0,509
"wigs";0,388;0,001;0,59;0,46;0,371;0,509
"walton";0,042;0,353;0,59;0,388;0,371;0,509
"vost";0,388;0,064;0,133;0,46;0,371;0,509
"vivre";0,388;0,353;0,59;0,388;0,052;0,509
"visuel";0,388;0,064;0,133;0,46;0,371;0,509
"visiteur";0,557;0,646;0,59;0,46;0,6;0,509
"vinyle";0,388;0,646;0,59;0,388;0,6;0,509
"vague";0,042;0,353;0,59;0,388;0,371;0,509
"ucciso";0,388;0,353;0,59;0,46;0,371;0
"tueur";0,388;0,646;0,133;0,388;0,371;0,509
"travis";0,042;0,353;0,59;0,388;0,371;0,509
"trailer";0,388;0,646;0,133;0,388;0,371;0,509
"thomas";0,557;0,353;0,59;0,46;0,052;0,509
"texas";0,557;0,064;0,59;0,46;0,371;0,509
"survivant";0,557;0,353;0,59;0,388;0,6;0,509
"surprenant";0,388;0,353;0;0,46;0,371;0,509
"surnaturel";0,388;0,353;0,59;0,46;0,001;0,509
"storia";0,388;0,353;0,59;0,46;0,371;0
"station";0,388;0,646;0,59;0,46;0,371;0,005
"source";0,388;0,001;0,59;0,46;0,371;0,509
"sound";0,388;0,001;0,59;0,46;0,371;0,509
"sortie";0,557;0,646;0,133;0,46;0,371;0,509
"sonde";0,388;0,646;0,59;0,014;0,371;0,509
"shag";0;0,353;0,59;0,46;0,371;0,509
"self";0,557;0,064;0,59;0,46;0,371;0,509
"scène";0,042;0,353;0,133;0,46;0,371;0,509
"saoudien";0,557;0,353;0,133;0,388;0,371;0,509
"réincarnation";0,557;0,353;0,59;0,46;0,052;0,509
"rythme";0,388;0,064;0,59;0,388;0,371;0,509
"russe";0,388;0,064;0,59;0,388;0,371;0,509
"robin";0,042;0,646;0,59;0,46;0,371;0,509
"rfk";0,388;0,353;0,59;0,46;0,371;0
"rester";0,388;0,064;0,59;0,388;0,371;0,509
"repas";0,042;0,646;0,59;0,46;0,371;0,509
"raconter";0,388;0,646;0,59;0,46;0,052;0,509
"qi";0,388;0,353;0;0,46;0,371;0,509
"père";0,388;0,001;0,59;0,46;0,371;0,509
"prototype";0,388;0,064;0,59;0,46;0,6;0,509
"proibita";0,388;0,353;0,59;0,46;0,371;0
"pooyard";0,388;0,353;0,59;0,46;0,001;0,509
"podcast";0,388;0,064;0,59;0,46;0,6;0,509
"peur";0,388;0,646;0,59;0,388;0,6;0,509
"pentagone";0,557;0,353;0,59;0,014;0,371;0,509
"paul";0,042;0,353;0,59;0,46;0,6;0,509
"page";0,388;0,064;0,59;0,388;0,371;0,509
"pachaqueer";0,042;0,646;0,59;0,46;0,371;0,509
"nvous";0,388;0,001;0,59;0,46;0,371;0,509
"nun";0,557;0,646;0,133;0,46;0,371;0,509
"nspace";0,388;0,001;0,59;0,46;0,371;0,509
"npenseur";0,388;0,001;0,59;0,46;0,371;0,509
"novnis";0,388;0,001;0,59;0,46;0,371;0,509
"nmike";0,388;0,001;0,59;0,46;0,371;0,509
"nlibre";0,388;0,001;0,59;0,46;0,371;0,509
"nl";0,388;0,001;0,59;0,46;0,371;0,509
"nhttp";0,388;0,001;0,59;0,46;0,371;0,509
"nhadopi";0,388;0,001;0,59;0,46;0,371;0,509
"nghost";0,388;0,001;0,59;0,46;0,371;0,509
"nbande";0,388;0,001;0,59;0,46;0,371;0,509
"navette";0,388;0,064;0,59;0,388;0,371;0,509
"nattraction";0,388;0,064;0,133;0,46;0,371;0,509
"nabonnez";0,388;0,064;0,133;0,46;0,371;0,509
"mouvement";0;0,353;0,59;0,46;0,371;0,509
"mondial";0,388;0,646;0,59;0,388;0,6;0,509
"min";0,388;0,646;0,59;0,46;0,052;0,509
"millier";0,388;0,646;0,59;0,014;0,371;0,509
"mentir";0,557;0,353;0,133;0,46;0,6;0,509
"marioncameleon";0,388;0,001;0,59;0,46;0,371;0,509
"magiche";0,388;0,353;0,59;0,46;0,371;0
"machine";0,388;0,646;0,59;0,388;0,6;0,509
"macchine";0,388;0,353;0,59;0,46;0,371;0
"linda";0,388;0,646;0,59;0,388;0,6;0,509
"ligne";0,388;0,353;0,59;0,388;0,052;0,509
"jeune";0,557;0,646;0,59;0,388;0,371;0,509
"jardin";0,388;0,001;0,59;0,46;0,371;0,509
"imaginer";0,388;0,353;0;0,46;0,371;0,509
"igor";0,388;0,353;0,59;0,388;0,052;0,509
"hyper";0,388;0,353;0,59;0,014;0,6;0,509
"harbour";0;0,353;0,59;0,46;0,371;0,509
"gérard";0;0,353;0,59;0,46;0,371;0,509
"guérison";0,388;0,353;0,59;0,388;0,052;0,509
"grichka";0,388;0,353;0,59;0,388;0,052;0,509
"georges";0;0,353;0,59;0,46;0,371;0,509
"futuriste";0,557;0,353;0,59;0,014;0,371;0,509
"french";0,042;0,353;0,59;0,388;0,371;0,509
"fou";0,557;0,646;0,133;0,46;0,371;0,509
"forme";0,557;0,353;0,133;0,388;0,371;0,509
"fondateur";0,557;0,353;0,59;0,388;0,6;0,509
"fils";0,388;0,353;0,133;0,388;0,6;0,509
"figure";0;0,353;0,59;0,46;0,371;0,509
"enigmes";0,388;0,353;0,59;0,46;0,001;0,509
"disponible";0,557;0,646;0,59;0,388;0,371;0,509
