"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"laëtitia";0;0;0;0,65;0;0;0;0;0
"devant";0;0;0,16;0,13;0,1;0,59;0;1,26;0
"pour";0;9,62;8,95;7,52;8,45;7,1;11,37;7,57;0
"animal";0;0;0,16;0,7;0,26;0;0;0;0
"pyramide";0;0;0;0,61;0;0;0;0;0
"robot";0;0;0,08;1,35;0,21;0,3;0;0;0
"comme";0;1,92;0,64;1,52;3,67;1,48;5,27;3,78;0
"temps";0;0;0,24;0,74;0,16;0,89;0,28;0;0
"oeil";0;0;0,24;0,17;0,16;0,89;0;0;0
"david";0;0;1,2;0,52;0,16;0;0;0;0
"façon";0;0,96;0,4;0,09;0,05;0;0;1,26;0
"envoyer";0;0,96;0,32;0,13;0,31;0,3;0;1,26;0
"voyage";0;0;0,8;0,52;0;0,59;1,11;0;0
"06";0;0;0,8;0,09;0;0;0;0;0
"chien";0;0;0,16;0,09;0,63;0;0;1,26;0
"face";0;0,96;0,24;0,39;0,16;0;0,55;1,26;0
"rouge";0;0,96;0,16;0,22;0,16;0;0;0;0
"montrer";0;0;0,16;0,39;0,16;0,3;0;0;0
"lala";0;0;0;0;0;0;0;17,65;0
"tenter";0;0;0,08;2,78;1,26;1,48;1,66;0;0
"attaquer";0;0;0;0,26;0,21;0;0;0;0
"télévision";0;0;0,64;0,17;0;0;0,55;0;0
"quitter";0;1,92;0,48;0,39;3,36;0,59;5,27;0;0
"astrobiologiste";0;0;1,2;0;0;0;0;0;0
"inviter";0;0;3,44;0,48;0;0;0;1,26;0
"ce";15,38;3,85;2,96;4,22;1,21;3,55;0,83;2,52;0
"seuil";0;0;1,12;0;0;0;0;0;0
"après";0;0;0,96;3;3,78;1,78;5,27;0;0
"ados";0;0;0,16;0;3,25;0;5,27;0;0
"éléphant";0;0;0;0;1,42;0;0;0;0
"site";0;0;0,64;0,87;0;2,07;0;0;0
"paul";0;0;3,92;0,57;0,05;0,89;0;0;0
"politique";0;0;2;0,35;0;0;0;0;0
"crise";0;0;0,8;0,09;0;0,3;0;0;0
"manège";0;0;0,16;0,26;0,16;0;0;0;0
"imedia";15,38;1,92;2,16;9,44;13,28;4,14;9,43;17,65;22,73
"hier";0;0;1,04;0;0;0;0;0;0
"alliance";0;0;0,16;0,65;0;0;0;0;0
"catherine";0;0;0,16;0,87;0;0,89;0;0;0
"lune";0;0;0,32;0,17;0;0;1,11;1,26;0
"nommer";0;0;0,16;0,17;0,16;0,3;0;0;0
"milieu";0;0;0,08;0,22;0,16;0,59;0;1,26;0
"participer";0;0;0,24;0,13;0,21;0,59;0;0;0
"seul";0;0,96;0,32;0,61;0,31;0,59;0,28;0;0
"survivre";0;0;0;0,09;0,79;0;0;0;0
"tamaran";0;0;0;0;3,25;0;5,27;0;0
"mauvais";0;0;0,64;0,26;0,1;0;0;0;0
"chez";0;0;1,36;0,57;0,21;0,89;0,28;0;0
"chef";0;0;0,8;0,35;0,05;0;0;0;0
"hors";0;0,96;0,08;0;1,42;0,3;0;1,26;0
"communauté";0;0;0,4;0,39;0,05;0;0;0;0
"servir";0;0;0;0,35;1,63;0;0;0;0
"appeler";0;0,96;0,32;0,26;0;1,18;0;0;0
"falloir";0;3,85;0,16;0,48;0,42;0,3;0;0;0
"soucoupe";0;0,96;0;0,17;0,68;0;0;0;0
"interview";0;0;4,88;1,04;0,16;0,3;0;0;0
"nombre";0;0;0,32;0,3;0;0,3;0;0;0
"pizza";0;0;0;1,87;0,05;0;0;0;0
"rire";0;0,96;0;0,52;0;0;0;0;0
"l";61,54;32,69;26,78;23,18;24,56;21,02;15,53;16,39;0
"alexis";0;0;0;0,57;0;0;0;0;0
"survivant";0;0;0;0,7;0;0,59;0;0;0
"enlever";0;0;0;0,17;0,47;0,89;0;0;0
"responsable";0;0;0,08;0,26;0,05;1,18;0;0;0
"prendre";0;0;0,64;2,78;1,05;2,37;0;0;0
"alors";0;0;0,24;1,78;0,47;1,18;1,66;0;0
"livreur";0;0;0;1,83;0,05;0;0;0;0
"état";0;0;0,24;0,7;0,05;0,59;0;0;0
"plaindre";0;0;0,16;0,09;0,26;0,3;0;0;0
"grave";0;0;0,08;0,13;4,09;0;7,21;0;0
"avouer";0;0;0;0,09;0,16;1,48;0;0;0
"de";61,54;58,65;66,26;68,66;43,71;59,21;30,51;42,88;45,45
"du";15,38;7,69;15,75;13,61;2,89;7,7;4,16;1,26;0
"malgré";0;0;0;0,09;0,84;0,89;0;0;0
"déage";0;0;0,8;0;0;0;0;0;0
"bien";0;1,92;0,32;1,35;4,51;1,18;5,55;0;22,73
"auteur";0;0;3,2;0,57;0,16;0;0;0;0
"bras";0;0;0,24;0,13;0;1,18;0;0;0
"ils";15,38;1,92;1,44;3,83;11,07;8,29;14,98;0;0
"thierry";0;0;0,72;0,7;0;0;0;0;0
"carbonnier";0;0;3,2;0;0;0;0;0;0
"bunny";0;0;0;0,04;0;0;0;17,65;22,73
"raid";0;0;0;0,65;0;0;0;0;0
"déclaration";0;0;1,44;0,3;0;0;0;0;0
"contact";0;0;0,32;0,83;0,05;0,59;0,55;0;0
"the";0;0;0,64;0,39;0,1;0;0;0;0
"poser";0;0;0,32;0,26;0,37;0;0,28;0;0
"lci";0;0;0,72;0,57;0;0;0;0;0
"bord";0;0,96;0,08;0,09;0,42;0;0,55;0;0
"loin";0;0,96;0,16;0,17;0,1;0,89;0;0;0
"connaître";0;1,92;0,48;0,91;0;0,89;0;0;0
"peupler";0;0;0,08;1,04;0,05;0;0;0;0
"commencer";0;0;0,56;0,74;0,05;0,89;0;0;0
"occasion";0;0;0,64;0,43;0;0;0;0;0
"sujet";0;0;1,2;0,74;0,1;0;0;0;0
"rentrer";0;0;0,16;0,22;0,21;0,3;0;0;0
"zone";0;0;0,56;0,09;0,05;0,3;0;0;0
"donner";0;0;0,4;0,78;0,42;0,89;0;0;0
"partager";0;0;0,48;0,22;0;0,3;0;0;0
"quelques";0;0;0,24;0,65;0,1;0,3;0,55;0;0
"urgentiste";0;0;0,08;0,48;0;0;0;0;0
"gilet";0;0;0;0,96;0;0;0;0;0
"ciel";0;0;0,32;1,13;0;0;0;0;0
"finir";0;0;0;0,3;2,52;1,18;3,88;0;0
"echoué";0;0;0;0;0,79;0;0;0;0
"cas";0;0;1,36;0,39;0,05;0;0,55;1,26;0
"car";0;0,96;0,24;0,22;0,47;0;0,28;0;0
"discussion";0;0;0,32;0,39;0;0;0;0;0
"cours";0;0;0,24;0,52;0,37;0;0;0;0
"michel";0;0;0,64;0,35;0,05;0;0;1,26;0
"cafard";0;0;0;0;0;0;0;17,65;0
"découvrir";0;2,88;0,48;1,61;0,84;3,26;0;0;0
"forme";0;0,96;0,32;1,17;0,21;0;0,28;0;0
"valérie";0;0;0,32;0,48;0;0;0;0;0
"nom";0;0,96;0,16;0,22;0,1;0,59;0;0;0
"non";0;0,96;0,8;1,17;0,05;1,48;0;0;0
"emmener";0;0,96;0,08;0,09;0,21;0,59;0;0;0
"nos";0;1,92;0,4;0,57;0,31;0;0;1,26;0
"en";0;11,54;16,15;14,13;8,5;11,55;3,05;12,61;22,73
"ex";0;0;0,08;0,48;0,05;0;0;1,26;0
"et";30,77;32,69;17,74;26,79;28,07;25,16;25,52;89,53;68,18
"album";0;0;0,08;0,61;0;0;0;0;0
"marine";0;0;0,4;0,22;0,21;0;0;0;0
"message";0;0;0,16;0,26;0,1;0,59;1,94;0;0
"incroyable";15,38;1,92;0;0,65;0,1;0;0;0;0
"premier";0;0;2,16;1,48;0,1;1,18;0;0;0
"presque";0;0;0,4;0,13;0,1;0;0;0;0
"deux";0;0;0,8;0,7;1,05;1,48;0;1,26;0
"ligne";0;0;0,24;0,3;0;0;0;0;0
"étrange";0;1,92;0;1,87;0,26;2,07;0,55;0;0
"disparaître";0;0;0,08;0,26;0,16;2,07;0;0;0
"secrétaire";0;0;0,08;1,22;0;0;0;0;0
"joli";0;0;0,08;0;0,79;0;0;1,26;0
"leur";0;3,85;1,12;3,57;11,49;4,14;16,37;1,26;45,45
"sport";0;0,96;0,32;0,17;0,21;0;0;0;0
"3";0;0;1,36;0,26;1,42;0;0;0;0
"vrai";0;0;0,4;0,39;0,1;0;0;0;0
"près_de";0;0,96;0,48;0,13;0,31;0,3;0;0;0
"tropical";0;0,96;0;0;4,09;0;0;0;0
"maïa";0;0;2,96;0;0;0;0;0;0
"prétexte";0;1,92;0;0;4,09;0;0;0;0
"explication";0;0;0,24;0,22;0,1;0,59;0;0;0
"soir";0;0;0,96;0,17;0,16;0;0;0;0
"media";0;0;0,64;0,09;0;0;0;0;0
"fruit";0;0,96;0;0,35;0,1;0;0;0;0
"glacier";0;0;0;0;1,36;0;0;0;0
"européen";0;0;1,12;0,52;0,05;0;0;0;0
"ami";0;0,96;0,24;0,48;0,89;0,3;1,39;0;22,73
"certains";15,38;0;0,32;0,61;0,16;0,3;0;0;0
"faire";0;4,81;3,12;4,7;6,4;5,33;5,55;2,52;0
"héros";0;0,96;0,24;0,17;0,16;0;0,28;0;22,73
"vilain";0;0;0,16;0,3;0;0;0,28;0;0
"vendre";0;0;0,08;0,17;0,37;0,59;0;0;0
"intervention";0;0,96;0,16;0,22;0,1;0;0;0;0
"loi";0;0;0,48;0,22;0;0;0;0;0
"chambre";0;0,96;0,08;0,04;0,31;0,59;0;0;0
"giorgio";0;0;0;0,83;0;0;0;0;0
"vers";0;0;0,08;0,43;0,05;0,89;0;0;0
"aile";0;0;0;0;3,25;0;5,27;0;0
"médecin";0;0;0,16;0,57;0,05;0,89;0;0;0
"iran";0;0;1,36;0,04;0;0;0;0;0
"aimer";0;1,92;0,24;0,39;0,05;0,3;0;0;0
"vidéo";0;0;0,96;0,35;0;0,3;0;0;22,73
"réalité";0;0,96;0,72;0,43;0,68;0,59;0;0;0
"visage";0;0;0,4;0,39;0;0,3;0;0;0
"posséder";0;1,92;0;0,39;0,94;0;1,94;0;0
"suivant";0;0;0,16;0,26;0,16;0,3;0;0;0
"fr";0;1,92;0;0,3;0;0;0;1,26;0
"invasion";0;0;0,16;0,17;0,37;0;0,28;0;0
"documentaire";0;0;0,72;0,04;0,05;0;0;0;0
"cet";0;1,92;0,08;0,7;0,05;1,48;0,55;0;0
"ces";0;2,88;0,4;1,78;4,04;0,59;2,77;1,26;0
"base";0;0,96;0;0,22;0,16;1,18;0,55;0;0
"dire";0;1,92;0,72;0,61;0,31;1,18;0;0;0
"selon";0;0;0,48;1,35;0,1;0,59;0;0;0
"diffuser";0;0;0,88;0,74;0;0;0;0;0
"tf1";0;0,96;2,32;0,43;0;1,78;0;0;0
"téléspectateur";0;0;0,56;0,13;0;0;0;0;0
"véritable";0;0;0,24;0,52;0,1;0,3;0;0;0
"charlotte";0;0;0,32;0,3;0;0;0;0;0
"aussi";15,38;3,85;0,96;1,04;4,78;1,48;5,27;2,52;0
"jour";0;0;0,88;0,83;0,26;0;0;0;0
"justice";0;0;0,16;0,39;0;0;0;0;0
"international";0;0;0,64;0,09;0,05;0;0;0;0
"événement";0;0;0,24;0,39;0,16;0;0,28;0;0
"voler";0;0;0,08;0,09;3,52;0;5,27;0;0
"culture";0;0;0,4;0,91;0,1;0;0;3,78;0
"portrait";0;0;0,24;0,09;0,31;0,59;0;1,26;0
"effet";0;0;0,32;0,22;0,21;0,3;0;0;0
"sophia";0;0;0;0,43;0;0;0;0;0
"créature";0;1,92;0;1,35;0;0,3;0;0;0
"planète";0;5,77;0,4;1,09;5,09;1,48;5,83;0;0
"docteur";0;0;0,08;0,22;0,16;0,59;0;0;0
"grand";0;1,92;2,48;1,39;0,73;0,59;0;0;0
"000";0;0,96;0,08;0,17;0,42;0;0;0;0
