"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"raconter";15,38;0;0,32;0,35;0,31;0,3;0;0;0
"année";0;0;0,64;1,87;0,16;0,3;0;0;0
"publicité";0;0;0,24;0,26;0,05;0;0;0;0
"c";0;3,85;2,72;2,13;1,94;1,18;0,28;1,26;0
"duo";0;0;0;0,09;1,36;0;0;0;0
"détruire";0;0;0,08;0,22;0,21;0,89;0,55;0;0
"bristielle";0;0;1,68;0;0;0;0;0;0
"arriver";0;0;0,4;0,3;0,42;0,59;0,55;0;0
"propos";0;0;0,48;0,22;0;0,59;0;0;0
"prince";0;0;0;0,04;3,31;0;5,27;0;0
"humour";0;0;0,64;0,35;6,51;0;10,54;0;0
"extra";0;0;0;0,26;0,31;0;0,28;0;0
"plateau";0;0;2,16;0,87;0;0;0;0;0
"monstre";0;1,92;0;0,13;0,31;0;0;0;0
"rien";0;0,96;0,24;0,35;0,1;0,89;0;0;0
"réveiller";0;0;0,08;1,87;0,05;1,18;0;0;0
"anne";0;0;1,6;0,22;0;0,59;0;1,26;0
"savoir";0;0,96;0,32;1,04;0,31;1,48;0,83;0;0
"question";0;0;1,6;0,74;1,52;0;0,28;0;0
"long";0;0;0,16;0,39;0;0;0;0;0
"présentation";0;0;0,72;0,35;0,16;0;0;0;0
"compagnie";0;0;0,08;0,22;0,21;0,59;0;0;0
"nasa";0;0;0,88;0,13;0;0;0;0;0
"antique";0;0;0;0,61;0;0;0;0;0
"chose";0;0;0,32;0,39;0,26;1,78;0,28;0;0
"depétrini";0;0;1,12;0;0;0;0;0;0
"olivier";0;0;0,88;0,3;0,1;0;0;0;0
"lrem";0;0;0,08;0,7;0;0;0;0;0
"claviere";0;0;1,52;0;0;0;0;0;0
"au_dessus";0;0;0,32;0,09;0,21;0,3;0;0;0
"journaliste";0;0;3,84;1,52;0,05;0,59;0;0;0
"patron";0;0;0,16;0,52;0,1;0;0;0;0
"fédération";0;0;0,08;0,48;0;0;0;0;0
"watrin";0;0;0,88;0;0;0;0;0;0
"nuit";15,38;0;0,16;0,39;0,1;0,59;0,28;0;0
"g";0;8,65;0,08;0,26;0;0;0;0;0
"permettre";0;0;0,72;0,65;0,1;0,3;0;0;0
"tsoukalos";0;0;0;0,78;0;0;0;0;0
"polémiste";0;0;0,24;0,48;0;0;0;0;0
"nombreux";0;1,92;0,32;0,87;4,2;0;0;0;0
"encore";0;0,96;0,48;0,61;0,16;0,59;0;1,26;0
"chalumeau";0;0;3,84;0;0;0;0;0;0
"centre";0;1,92;0,72;0,17;0,1;0,59;0,28;0;0
"lutte";0;0;0,24;0,13;2,41;0;2,77;0;0
"défense";0;0;0,24;0,22;0,1;0,3;0;0;0
"xavier";0;0;0,56;0,04;0;8,88;0;1,26;0
"durant";0;0;0,24;1,87;0,1;0,3;0;0;0
"rendre";0;0;0,16;0,87;0,47;3,85;0;0;0
"qu";15,38;5,77;1,28;4,26;5,35;11,55;3,88;0;0
"partie";0;0;0,72;1,17;0,21;0,59;0;0;0
"partir";0;1,92;1,36;0,57;0,21;1,18;0;1,26;0
"chemin";0;0;0;0,22;0,21;0,3;0,55;0;0
"joe";0;0;0,08;0,7;0;0;0;0;0
"certaines";0;0;0,32;0,61;0,05;0,3;0;0;0
"pomart";0;0;0;0,65;0;0;0;0;0
"disciple";0;0;0;0;0,84;0;1,94;0;0
"préparer";0;0;0,24;0,43;0,16;0,3;0;0;0
"mère";0;0;0,16;0,35;0,05;5,62;0;0;0
"janvier";0;0;0,4;0,22;0;0;0;0;0
"américain";0;0;1,6;0,65;0,42;0;0;1,26;0
"soirée";0;0;0,48;0,09;0;0;0,28;1,26;0
"conquérant";0;0;0;0;3,25;0;5,27;0;0
"série";0;0,96;0,8;0,22;3,41;0;5,27;17,65;0
"val";0;0;0;0,65;0;0;0;0;0
"humain";0;3,85;0,32;1,22;0,37;1,78;0;0;0
"marier";0;0,96;0,56;0,09;0,1;0,89;0;0;0
"michaël";0;0;0,64;0,09;0;0;0;0;0
"atterrir";0;0;0;0,17;0,26;0;0,55;0;0
"fantôme";15,38;0;0;0,52;0;0;0;0;0
