"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"soudain";-0,0049;0,7795;-1,0485;-2,1488;1,6641;1,745;-0,2793;-0,06;-0,0033
"gorg";-0,0062;-0,1004;-1,3345;-2,7349;-2,1703;-0,3325;-0,3555;26,6975;-0,0042
"venir";-0,0396;0,3672;-0,8555;0,4126;-0,511;0,7094;0,877;-0,1583;-0,0268
"fils";-0,0142;-0,2296;-0,2578;1,1131;-3,7931;4,5089;-0,8126;-0,1747;-0,0096
"citation";-0,0196;-0,3157;2,9953;2,7769;-6,8228;-1,0451;-1,1174;-0,2403;-0,0133
"pourquoi";-0,0067;-0,1076;0,4675;0,8724;-1,454;0,725;-0,3809;-0,0819;-0,0045
"eliot";-0,0098;7,3698;-2,0973;-4,2981;3,6077;-0,5225;-0,5586;-0,1201;-0,0066
"film";-0,0214;-0,3444;2,9246;0,7586;-1,9552;-1,1402;-1,2191;0,3438;-0,0145
"important";-0,0062;-0,1004;0,2669;1,0433;-1,3248;0,7723;-0,3555;-0,0764;-0,0042
"emily";-0,0071;-0,1148;-0,8326;5,5927;-2,4803;-0,38;-0,4062;-0,0873;-0,0048
"revenir";-0,016;0,3484;0,3806;1,5081;-2,7386;1,3914;-0,9142;-0,1966;-0,0108
"poilu";-0,0067;-0,1076;-1,4299;-1,9516;-2,3253;-0,3562;-0,3809;25,5265;-0,0045
"révéler";-0,0076;-0,122;-1,6206;4,843;-2,6354;0,6419;-0,4316;-0,0928;-0,0051
"public";-0,0093;-0,1507;2,4401;0,7131;-2,2551;-0,4987;-0,5332;-0,1146;-0,0063
"à";-0,5203;-0,3286;-0,6792;-0,7237;0,3653;6,2339;-0,845;-1,3323;0,2553
"agathe";-0,0053;-0,0861;-1,1439;5,2932;-1,8602;-0,285;-0,3047;-0,0655;-0,0036
"des";1,386;-1,1275;-3,8116;24,2621;-10,5966;-1,0964;-1,4629;1,2971;-0,3856
"csa";-0,0062;-0,1004;-0,338;3,6869;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"civilisation";-0,0071;-0,1148;-0,8326;2,0797;-1,0039;0,6817;-0,4062;-0,0873;-0,0048
"delage";-0,0058;-0,0933;-1,2392;5,7344;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
"trois";-0,0071;1,5586;-0,4403;-1,4371;1,5893;0,2343;-0,4062;-0,0873;-0,0048
"théâtre";-0,0071;-0,1148;0,7145;1,5336;-2,4803;-0,38;-0,4062;0,7395;-0,0048
"24";-0,0093;-0,1507;9,8465;-1,5912;-3,2556;-0,4987;-0,5332;-0,1146;-0,0063
"25";-0,0089;-0,1435;9,2067;-2,8151;-1,4516;-0,475;-0,5078;-0,1092;-0,006
"26";-0,0107;2,1635;7,0804;-1,4895;-3,7208;-0,57;-0,6094;-0,131;-0,0072
"27";-0,0098;-0,1578;9,1956;-1,2439;-3,4107;-0,5225;-0,5586;-0,1201;-0,0066
"22";-0,016;-0,2583;1,7919;3,1694;-5,5818;-0,855;-0,9142;-0,1966;-0,0108
"23";-0,0178;-0,287;3,6024;1,9299;-6,2023;-0,9501;-1,0158;-0,2184;-0,012
"28";-0,0102;-0,165;11,1356;-1,8696;-3,5657;-0,5462;-0,584;-0,1256;-0,0069
"29";-0,008;-0,1291;9,2832;-2,4662;-2,7904;0,2032;-0,457;-0,0983;-0,0054
"etienne";-0,0182;-0,2942;26,718;-6,6258;-6,3574;-0,9738;-1,0412;-0,2239;-0,0123
"robbie";-0,0071;12,0722;-0,8326;-2,1218;0,2591;-0,38;-0,4062;-0,0873;-0,0048
"porte";-0,02;0,2802;1,6574;0,6105;-4,6709;1,5076;-0,2793;-0,2457;-0,0136
"président";-0,0165;-0,2655;4,7688;0,6303;-4,5095;-0,3902;-0,9396;-0,202;-0,0111
"troisième";-0,0089;-0,1435;-0,667;6,0262;-3,1006;-0,475;-0,5078;-0,1092;-0,006
"dont";-0,0125;-0,2009;0,3154;-0,5798;-0,4388;3,2779;-0,711;-0,1529;-0,0084
"donc";-0,0067;0,6586;0,4675;-0,2804;-0,8978;0,725;-0,3809;0,7649;-0,0045
"cirque";-0,0374;-0,6029;-8,0122;-14,7324;17,4822;-1,9958;6,7207;-0,4588;-0,0253
"pari";-0,0125;-0,2009;4,1554;-1,1407;-0,9492;0,3533;-0,711;-0,1529;-0,0084
"part";-0,0076;-0,122;0,3578;0,3739;-0,411;0,218;0,2008;-0,0928;-0,0051
"john";-0,0058;-0,0933;-0,6169;0,4988;0,7807;-0,3087;-0,3301;-0,071;-0,0039
"gasnier";-0,0214;-0,3444;33,8913;-9,38;-7,4433;-1,1402;-1,2191;-0,2621;-0,0145
"recevoir";-0,0111;-0,1794;-0,6106;3,5282;-1,045;-0,5937;-0,6348;-0,1365;-0,0075
"relation";-0,0044;-0,0717;0,2109;0,9583;-1,5501;1,0183;-0,2539;-0,0546;-0,003
"témoignage";1,7628;-0,122;-0,2509;1,3156;-0,6958;-0,4037;-0,4316;-0,0928;-0,0051
"express";-0,0044;-0,0717;1,5104;-0,318;-1,5501;1,0183;-0,2539;-0,0546;-0,003
"expert";-0,0049;-0,0789;-0,4803;0,2162;0,6765;0,3449;-0,2793;-0,06;-0,0033
"point";-0,0142;0,3866;3,3247;0,2954;-2,2641;-0,313;-0,8126;-0,1747;-0,0096
"léo";-0,012;-0,1937;-2,5741;-5,2751;14,1172;-0,6412;-0,6856;-0,1474;-0,0081
"secret";-0,0142;1,0162;-0,425;2,1932;-1,7265;0,2894;-0,8126;-0,1747;-0,0096
"cyborg";-0,0245;-0,3947;-5,2448;-10,7487;14,5742;-1,3065;3,0185;-0,3003;-0,0166
"puissant";-0,0053;-0,0861;-0,245;1,5012;-1,8602;-0,285;0,8358;-0,0655;-0,0036
"mener";-0,0076;-0,122;-0,9068;1,7984;-0,6958;0,6419;-0,4316;-0,0928;-0,0051
"puis";-0,0067;-0,1076;-0,7594;0,8724;-0,5281;1,3732;-0,3809;-0,0819;-0,0045
"moment";-0,0089;-0,1435;0,2399;1,586;-1,4516;0,54;-0,5078;-0,1092;-0,006
"travers";-0,0071;0,634;0,7145;-0,5929;0,2591;0,2343;-0,4062;-0,0873;-0,0048
"entre";-0,0178;-0,287;0,8266;1,288;-2,0678;0,7905;-1,0158;-0,2184;-0,012
"salvatore";-0,0049;-0,0789;-0,4803;3,5429;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"y";1,0836;0,3969;1,7464;-0,2917;-2,4211;1,4627;-1,3512;0,5491;-0,0253
"délirant";-0,0071;0,634;-1,5252;-3,1257;-1,5847;-0,38;-0,4062;24,6284;-0,0048
"source";0,3334;-1,5351;-16,7608;0,7569;9,532;-3,0346;0,4584;2,7226;0,463
"ça";-0,0067;1,6119;0,8049;-0,2804;-0,8978;-0,3562;0,2336;-0,0819;-0,0045
"peu";-0,0102;-0,165;0,3143;1,0631;-0,869;0,4583;-0,584;-0,1256;-0,0069
"depuis";-0,0223;-0,3588;-0,4873;5,9041;-4,4985;0,5607;-1,2699;-0,273;-0,0151
"jimmy";-0,0049;-0,0789;-1,0485;4,852;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"aliens";-0,012;-0,1937;-2,5741;3,4906;-0,5923;0,3718;-0,6856;-0,1474;-0,0081
"dewalle";-0,0067;-0,1076;-1,4299;6,6168;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"avenir";-0,0058;-0,0933;1,0264;1,2495;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
"conseil";-0,0058;-0,0933;2,1922;-0,3343;-1,1972;-0,3087;-0,3301;-0,071;2,0471
"travailler";-0,0062;-0,1004;2,6642;0,4015;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"lointain";-0,0414;-0,6676;-8,8714;-6,979;13,1583;-2,2099;5,9943;-0,508;-0,028
"elles";-0,0156;-0,2511;-0,8149;6,8297;-3,3276;-0,3588;-0,8888;-0,1911;-0,0105
"armée";-0,0053;-0,0861;0,3653;1,0004;-1,0715;0,3177;-0,3047;-0,0655;-0,0036
"invité";-0,0325;-0,5239;18,6845;-0,6223;-11,3227;-1,7343;-1,8544;-0,3987;-0,022
"brainiac";-0,0062;-0,1004;-1,3345;-2,7349;-0,2338;-0,3325;9,5544;-0,0764;-0,0042
"ennemi";-0,0058;0,7139;-1,2392;1,2495;0,2366;-0,3087;-0,3301;-0,071;-0,0039
"objet";-0,0085;-0,1363;-0,608;2,3596;-1,3366;0,5714;-0,4824;-0,1037;-0,0057
"lorenzo";-0,0049;-0,0789;-1,0485;-2,1488;-1,7052;14,0212;-0,2793;-0,06;-0,0033
"crop";-0,0044;-0,0717;-0,9532;-1,1286;-1,5501;10,4921;-0,2539;-0,0546;-0,003
"39";-0,0076;-0,122;10,1485;-2,2934;-2,6354;-0,4037;-0,4316;-0,0928;-0,0051
"38";-0,0067;-0,1076;7,3266;-1,2927;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"33";-0,0098;-0,1578;13,5675;-3,1677;-3,4107;-0,5225;-0,5586;-0,1201;-0,0066
"32";-0,0085;-0,1363;11,5126;-2,6401;-2,9455;-0,4512;-0,4824;-0,1037;-0,0057
"31";-0,0093;-0,1507;9,8465;-1,5912;-3,2556;-0,4987;-0,5332;-0,1146;-0,0063
"30";-0,0129;-0,2081;9,9652;-0,9165;-4,4962;-0,6887;-0,7364;-0,1583;-0,0087
"37";-0,0058;-0,0933;9,1725;-2,5395;-2,0152;-0,3087;-0,3301;-0,071;-0,0039
"36";-0,0067;-0,1076;8,7904;-1,9516;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"34";-0,0062;-0,1004;8,1141;-1,7829;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"composer";-0,0049;-0,0789;-1,0485;-0,4066;0,3656;-0,2612;1,6697;0,889;-0,0033
"train";-0,0058;-0,0933;1,5523;-0,3343;-0,6944;0,2935;-0,3301;-0,071;-0,0039
"souvent";-0,0085;4,9499;0,2741;0,424;-1,3366;-0,4512;-0,4824;-0,1037;-0,0057
"terrien";-0,0423;-0,6819;-6,5936;-11,991;13,1812;-0,3708;6,4963;-0,519;-0,0286
"laurie";-0,0044;-0,0717;7,0554;-1,9534;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"extrait";-0,0151;-0,2439;1,6091;2,2205;-3,1963;-0,8075;-0,8634;-0,1856;-0,0102
"le";-0,5966;0,3758;1,7904;5,1419;-12,8428;3,8266;-3,2738;0,7891;0,218
"la";-0,7977;0,513;6,0956;-0,4152;-2,4105;-0,3172;-3,4384;0,6491;1,4724
"eux";-0,0085;-0,1363;-0,608;0,424;-0,8767;1,1127;0,5317;-0,1037;1,8831
"oggy";-0,0062;-0,1004;-1,3345;-2,7349;-2,1703;-0,3325;-0,3555;26,6975;-0,0042
"image";-0,0147;0,3765;0,3165;2,4268;-3,0657;-0,3281;-0,838;1,1953;-0,0099
"tuer";-0,0076;-0,122;-0,4945;0,6099;-0,6958;1,9628;-0,4316;-0,0928;-0,0051
"identifier";-0,0111;-0,1794;0,4331;1,4641;-3,8759;1,3832;-0,2359;-0,1365;-0,0075
"lfi";-0,0067;-0,1076;-0,3881;4,0686;-2,3253;-0,3562;-0,3809;-0,0819;-0,0045
"expliquer";-0,0085;1,4188;0,5021;0,2491;-0,5502;-0,4512;-0,1512;-0,1037;-0,0057
"réseau";-0,0044;-0,0717;3,1048;-0,318;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"là";-0,012;1,1434;-0,7163;-0,5094;0,8042;0,7658;-0,6856;-0,1474;-0,0081
"que";-0,1727;1,2506;-7,8005;5,5133;-0,6376;0,8743;-0,3268;-2,119;-0,1169
"qui";0,2502;-0,3486;-6,3179;-9,9544;16,9547;-1,8222;4,7373;2,1854;-0,2427
"parvenir";-0,0071;-0,1148;-0,4403;0,2587;-1,0039;2,0609;0,6392;-0,0873;-0,0048
"publier";-0,0049;-0,0789;1,3225;0,7692;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"auproux";-0,0053;-0,0861;-1,1439;5,2932;-1,8602;-0,285;-0,3047;-0,0655;-0,0036
