"";"*typedemission_Collectiondémissionscomposites";"*typedemission_Collectiondémissionssimples";"*typedemission_Emissioncomposite";"*typedemission_Emissionsimple";"*typedemission_Emissionsimpleincluse";"*typedemission_Episodeoupartiedunprogramme";"*typedemission_Episodeoupartiedunprogrammeinclus";"*typedemission_Tranchehoraire";"*typedemission_Tranchehoraireincluse"
"fois";0;0;6;12;47;3;12;0;0
"parole";0;0;10;16;1;1;0;0;0
"aider";0;1;0;8;5;1;0;0;0
"aux";0;6;77;82;24;4;1;2;0
"siècle";0;0;0;11;0;1;0;0;0
"voix";0;1;5;7;1;1;0;0;0
"réputation";0;0;18;2;0;0;0;0;0
"voir";0;3;14;27;6;6;1;0;0
"légende";0;0;5;11;2;0;0;0;0
"force";0;0;3;8;6;1;1;0;0
"histoire";1;3;10;32;5;2;0;0;0
"new";0;0;10;3;1;0;0;0;0
"propre";0;0;0;8;65;2;19;0;0
"aujourd_hui";0;0;7;18;68;0;19;1;0
"omar";0;0;13;0;0;0;0;0;0
"arme";0;0;1;7;1;1;0;0;0
"dettinger";0;0;0;43;0;0;0;0;0
"quotidien";0;0;8;15;2;0;0;0;0
"géant";0;1;3;11;4;0;0;0;0
"quoi";0;0;1;3;26;1;0;0;0
"suggérer";0;0;0;13;0;0;0;0;0
"afin";0;1;3;10;5;2;0;0;0
"famille";0;2;5;16;8;6;0;0;0
"vivre";0;1;10;23;4;4;0;0;0
"comportement";0;1;0;16;0;0;0;0;0
"aide";0;0;1;8;6;1;1;0;0
"créer";0;2;6;7;8;1;0;0;0
"acteur";0;0;28;8;0;1;0;0;0
"surprise";0;1;1;5;2;0;1;0;0
"sauver";0;1;2;5;86;2;29;0;0
"entraîner";0;0;1;2;63;0;19;0;0
"attaque";0;1;1;13;5;4;0;0;0
"école";0;3;8;6;8;0;0;0;0
"chroniqueur";0;0;87;37;0;0;0;0;0
"syndicat";0;0;0;14;0;0;0;0;0
"avion";0;0;5;1;0;5;0;0;0
"terrestre";0;0;1;7;6;0;1;0;0
"don";0;1;1;8;0;0;0;0;0
"doo";0;0;0;0;5;0;6;0;0
"christopher";0;0;0;1;0;13;0;0;0
"traverser";0;0;0;1;15;0;0;0;0
"julien";0;0;51;2;0;0;0;1;0
"cabrol";0;0;22;1;0;0;0;0;0
"02";0;0;20;2;0;0;0;0;0
"03";0;0;11;3;0;0;0;0;0
"00";0;0;15;19;0;0;0;0;0
"01";0;0;20;6;0;0;0;0;0
"07";0;0;13;6;0;0;0;0;0
"04";0;0;13;4;0;0;0;0;0
"05";0;0;9;9;0;0;0;0;0
"08";0;0;7;10;0;0;0;0;0
"09";0;0;16;4;0;0;0;0;0
"sorte";0;1;1;2;5;4;0;0;0
"confronter";1;0;1;1;3;2;2;0;0
"une";3;20;117;326;447;80;90;3;1
"scientifique";0;0;10;18;4;1;4;1;0
"mathieu";0;0;10;2;0;0;0;0;0
"il";1;25;89;219;218;51;46;1;0
"amour";0;0;4;8;1;1;0;0;0
"théoricien";0;0;0;28;0;0;0;0;0
"quand";0;2;4;18;7;2;1;0;0
"livre";0;0;24;7;3;0;0;0;0
"elle";0;5;69;107;35;50;5;0;0
"vieux";0;2;0;6;4;3;0;0;0
"kid";0;4;1;0;7;0;0;1;0
"neptuna";0;5;0;0;5;0;0;0;0
"nicolas";0;0;4;5;0;0;0;1;0
