"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"film";0,062;-1,543;0,002;0,981;1,236;-0,384;-2,528;-0,806;-2,398;0,294;-0,051;81,801;-2,691;3,288;-1,574;-3,123;-2,365;-1,297
"venir";-0,729;5,532;-0,215;0,24;-0,666;0,187;0,355;0;66,397;-0,398;-1,761;-2,796;-0,014;-0,003;-2,087;-4,142;-3,137;-1,72
"grand";-0,772;163,315;2,698;-0,839;-0,018;-0,908;-0,423;-0,423;0,002;-0,428;-0,291;0,828;-0,55;-1,642;-2,135;-4,236;-3,208;-1,759
"premier";-0,337;-1,588;-0,385;51,218;-1,813;0,013;-0,865;-0,865;-0,761;0,251;6,163;2,205;0,109;0,154;-0,184;-3,215;-2,435;-1,335
"parler";-0,023;-0,454;1,353;15,538;83,835;-2,586;-3,352;-3,352;-0,293;0,02;-0,266;0,089;2,733;-3,439;-2,087;-4,142;-3,137;-1,72
"phénomène";-0,41;-0,217;-1,686;-0,457;6,357;-0,505;-0,987;-0,987;-0,874;194,519;17,086;-2,295;-2,929;-1,044;-1,713;-3,399;-2,574;-1,412
"passer";-2,147;3,426;-0,677;-2,221;0,004;130,629;0,039;-1,174;-1,048;3,759;0,215;-0,035;-1,336;-1,239;-1,853;-3,677;-2,784;-1,527
"parent";-2,255;-0,36;-4,071;-0,663;-2,178;-2,411;-3,126;0,546;-1,168;-1,832;-1,642;-0,876;13,429;-3,206;-1,947;166,877;-2,925;-1,604
"année";2,377;0,761;0,268;-1,446;6,393;5,3;-1,937;-1,937;-0,304;0,867;1,192;-0,177;2,632;-1,987;-0,016;-2,394;-1,813;-0,994
"grave";-2,637;-2,232;-2,76;-2,728;-2,547;-2,82;-3,655;-3,655;-3,468;-2,142;-1,92;-3,049;-3,892;-3,75;-2,276;574,154;-3,421;-1,876
"péril";-2,583;-2,185;-4,662;-2,672;-2,494;-2,761;-3,579;-3,579;-3,395;-2,098;-1,88;-2,986;-3,811;-3,672;-2,229;587,469;-3,35;-1,837
"gasnier";-2,201;-1,862;-3,973;-0,004;-2,125;-2,353;-3,051;-3,051;-2,894;-1,788;-1,602;-0,826;-1,405;486,221;-1,9;-3,769;-2,855;-1,565
"bellver";-2,473;-2,093;-4,464;-0,839;-2,388;-2,644;-3,428;-3,428;-3,251;-2,009;-1,801;-2,859;-3,65;647,087;-2,135;-4,236;-3,208;-1,759
"ambre";-2,419;-2,046;-4,366;-2,502;-2,335;-2,586;-3,352;-3,352;-3,18;-1,964;-1,761;-2,796;-3,569;662,686;-2,087;-4,142;-3,137;-1,72
"étrange";-0,098;-1,227;-2,619;-0,12;-0,077;1,826;5,959;-0,418;0,977;94,163;1,073;-1,677;-2,141;-2,063;-1,252;-2,485;-1,882;-1,032
"reportage";-0,003;0,033;-0,114;127,941;0,535;-2,411;-3,126;-1,303;-0,193;0,057;20,999;-2,607;-0,365;-1,371;-1,947;-3,862;-2,925;-1,604
"fry";-1,557;-1,317;-2,81;-1,611;-1,503;-1,664;-2,158;-0,522;-0,445;-1,265;-1,133;-1,8;-2,297;-2,214;-1,344;-2,666;-2,019;738,997
"découvrir";0,575;-0,3;24,083;-2,221;-0,472;1,854;4,504;2,194;-0,135;-0,256;-0,154;-0,035;0,009;-3,052;-1,853;-3,677;-2,784;-1,527
"émission";1,345;10,479;-0,237;0,084;38,952;-1,835;-2,379;-2,379;-0,598;-1,394;3,024;-1,985;3,516;0,304;-1,482;-2,94;-2,227;-1,221
"millénaire";-1,504;-1,272;-0,94;-1,556;-1,452;-1,608;-0,469;-2,084;-1,977;-1,221;-1,095;-1,739;-2,219;-2,138;-1,298;-2,575;-1,95;710,138
"départ";-0,646;-1,954;-4,169;-2,389;-2,23;-2,469;-3,201;-3,201;-3,036;-1,876;-1,681;-2,67;-3,408;-1,438;-1,993;-3,955;-2,996;1148,661
"côté";-2,147;-1,817;-0,677;-2,221;-0,472;-2,295;0,039;0,039;-2,823;-1,744;-1,563;-0,035;0,513;-3,052;-1,853;177,213;-2,784;-1,527
"réveiller";-1,451;-1,227;-0,862;-1,501;-1,401;-1,551;-2,011;-2,011;-1,907;-1,178;-1,056;-1,677;-2,141;-2,063;-1,252;-2,485;-1,882;736,874
"univers";-2,201;-1,862;-0,741;0,429;0,001;-0,013;-0,229;0,024;-2,894;-1,788;-1,602;-2,545;-0,323;-3,129;-1,9;171,921;-2,855;-1,565
"rendre";-1,824;-1,543;19,116;-0,343;-0,264;2,922;-2,528;28,444;0,333;0,294;-1,328;-2,109;-0,086;-0,857;-0,159;-3,123;-2,365;-1,297
"pizza";-1,398;-1,183;-2,523;-1,446;-1,35;-1,494;-1,937;-1,937;-1,838;-1,135;-1,018;-1,616;-2,063;-1,987;-1,206;-2,394;-1,813;765,591
"new_yorkais";-1,398;-1,183;-2,523;-1,446;-1,35;-1,494;-1,937;-1,937;-1,838;-1,135;-1,018;-1,616;-2,063;-1,987;-1,206;-2,394;-1,813;765,591
"livreur";-1,398;-1,183;-2,523;-1,446;-1,35;-1,494;-1,937;-1,937;-1,838;-1,135;-1,018;-1,616;-2,063;-1,987;-1,206;-2,394;-1,813;765,591
"image";2,978;1,545;0,293;-0,418;66,096;0,006;-0,926;-2,676;-0,817;1,734;0,379;-0,584;0,078;-2,746;-1,667;-3,307;-2,505;-1,374
"enfant";0,062;0,235;-1,43;-1,887;7,494;-0,384;-2,528;6,574;1,652;-1,481;-0,051;-0,493;41,536;-2,593;-1,574;-3,123;-2,365;-1,297
"cryogénisé";-1,398;-1,183;-2,523;-1,446;-1,35;-1,494;-1,937;-1,937;-1,838;-1,135;-1,018;-1,616;-2,063;-1,987;-1,206;-2,394;-1,813;765,591
"spécialiste";-1,61;-1,362;0,847;-1,666;-0,148;-1,721;-2,232;-2,232;0,002;0,523;-0,01;-1,862;-2,376;188,798;-1,39;-2,757;-2,088;-1,145
"mazaurette";-1,931;-1,634;-3,486;-1,998;-1,865;-2,065;-2,676;-2,676;-2,539;-1,569;-1,406;-2,233;-2,85;529,123;-1,667;-3,307;-2,505;-1,374
"espace";-0,977;-0,827;61,602;-1,011;-0,944;-1,045;-0,053;-1,355;-0,032;2,196;-0,712;-0,003;-1,442;0,446;-0,844;-1,674;-1,268;0,183
"propre";-0,447;0,106;-3,68;-0,496;-1,969;-2,18;-1,049;-2,826;-0,086;-0,204;0,289;-2,357;0,034;-2,899;-1,76;188,62;-2,644;-1,45
"livre";2,863;-1,093;-0,637;0,491;0,638;-0,068;0,086;-1,791;-0,22;-1,05;-0,941;2,04;0,043;26,005;-1,115;-2,213;-1,676;-0,919
"etienne";-2,039;-1,725;-3,68;-2,109;-1,969;-2,18;-2,826;-2,826;-2,68;-1,656;-1,484;-2,357;-3,009;558,634;-1,76;-3,492;-2,644;-1,45
"carbonnier";-2,039;-1,725;-3,68;-2,109;-1,969;-2,18;-2,826;-2,826;-2,68;-1,656;-1,484;-2,357;-3,009;558,634;-1,76;-3,492;-2,644;-1,45
"astronaute";-1,985;-1,679;41,34;-2,053;-1,917;20,356;24,937;-0,987;0,182;-0,18;-1,445;-2,295;-2,929;-1,044;-1,713;-3,399;-2,574;-1,412
"aller";-1,61;-1,362;8,348;4,216;-1,555;-0,238;-2,232;2,085;-2,117;-0,044;-1,172;3,302;0,363;1,939;-0,074;-2,757;-2,088;0,837
"évoquer";0,561;-0,001;-0,637;-1,337;56,322;2,464;3,706;-1,791;-1,699;-1,05;1,467;-1,494;-1,907;-0,301;0,922;-2,213;-1,676;-0,919
"recherche";-1,345;-1,138;49,338;-1,391;-1,299;-1,438;-0,319;1,073;-1,768;0,978;0,006;-0,145;-1,985;11,332;-1,161;-2,303;-1,744;-0,957
"quitter";-0,41;-1,679;-1,686;-0,457;-1,917;-2,122;-2,751;0,114;-2,61;-1,612;-1,445;-0,631;-1,132;0,086;-0,237;194,778;-2,574;-1,412
"scientifique";-0,176;0,442;56,001;0,145;-0,148;0,112;-0,001;-0,577;-2,117;6,706;-0,01;-1,862;-0,683;-2,289;-1,39;-2,757;-2,088;-1,145
"preuve";-1,398;-0,012;-0,786;-1,446;-0,057;214,274;-1,937;-0,367;1,116;0,867;-1,018;-1,616;-2,063;-1,987;-1,206;-2,394;-1,813;-0,994
"humain";-0,237;-1,453;0,618;-0,272;-1,658;1,086;59,579;-0,689;12,964;-0,076;-1,25;0,018;-2,533;-2,441;-1,482;-2,94;-2,227;-1,221
"histoire";0,278;-1,272;-0,94;0,23;2,154;30,684;2,532;-2,084;-1,977;0,678;0,965;-0,247;-0,564;0,622;-1,298;-2,575;-1,95;-1,07
"donner";0,086;-1,498;-3,195;34,098;7,924;-1,893;-2,453;3,78;1,818;10,642;-1,289;-0,449;0,188;-2,517;-1,528;-3,032;-2,296;-1,259
"courir";0,043;-0,167;-3,389;0,88;-1,813;-2,007;-2,602;-0,865;-0,761;-1,525;-1,367;0;-2,77;-2,669;-1,62;208,129;-2,435;-1,335
"plateau";1,219;0,278;-3,195;44,071;48,124;-1,893;-2,453;-2,453;-2,327;-0,094;20,217;-0,449;-0,87;-2,517;-1,528;-3,032;-2,296;-1,259
"maïa";-1,824;-1,543;-3,292;-1,887;-1,761;-1,95;-2,528;-2,528;-2,398;-1,481;-1,328;-2,109;-2,691;499,708;-1,574;-3,123;-2,365;-1,297
"lointain";-1,77;-1,498;-3,195;-1,831;-1,709;17,11;-0,747;-2,453;-2,327;-1,438;-1,289;-2,047;-2,612;-2,517;-1,528;223,063;-2,296;-1,259
"expliquer";0,336;-1,227;10,303;-1,501;93,936;-1,551;-2,011;-0,418;-1,907;0,768;1,073;-0,211;-0,507;-2,063;-1,252;-2,485;-1,882;-1,032
"débat";0,008;14,047;1,38;0,003;-0,944;-1,045;0,495;-1,355;-0,032;-0,794;0,164;0,92;0,38;-0,065;0,055;-1,674;-1,268;-0,695
"dernier";-0,148;-1,317;-0,117;-0,176;-0,122;4,234;-0,522;-0,522;2,637;2,96;-1,133;-0,285;25,209;0;-1,344;-2,666;-2,019;-1,107
"retrouver";-0,122;-1,272;-2,715;-0,147;0,333;0,188;-0,469;149,163;-1,977;-1,221;-0,001;-1,739;0;-2,138;-1,298;-2,575;-1,95;0
"posséder";-1,663;-1,407;-3,003;-1,721;-1,606;3,65;-0,005;-2,305;-2,187;-0,059;-1,211;-0,364;-0,745;-2,365;-1,436;182,415;-2,157;-1,183
"origine";-1,77;-1,498;14,895;0,06;3,962;32,619;-0,026;-0,747;-2,327;10,642;-1,289;-2,047;-2,612;-2,517;-1,528;-3,032;-0,628;-0,03
"comprendre";-0,821;-0,695;0,358;0,055;0,092;-0,878;-0,003;36,556;1,083;-0,667;-0,598;0,016;-1,212;-0,006;-0,709;-1,406;-1,065;-0,584
"terrien";-1,717;-1,453;-0,237;-1,776;-1,658;-1,835;-0,014;-2,379;-0,002;-1,394;-0,027;-1,985;-2,533;-2,441;-1,482;231,213;-2,227;-1,221
"robot";-0,269;-0,121;-1,346;-1,831;-1,709;-1,893;-2,453;-0,026;-2,327;-1,438;0,551;-0,449;-2,612;-2,517;-1,528;-3,032;-2,296;554,471
"naître";-1,77;-1,498;-1,346;-1,831;-1,709;-1,893;-2,453;-2,453;-2,327;-1,438;-1,289;-2,047;10,031;-2,517;-1,528;223,063;-2,296;-1,259
"inviter";15,424;2,704;-0,117;0,185;0,277;-1,664;-2,158;-2,158;-0,445;-1,265;-1,133;1,173;-0,623;34,725;-1,344;-2,666;-2,019;-1,107
"frédéric";6,943;0,979;-0,637;-0,052;3,087;-1,381;-1,791;-1,791;-1,699;-1,05;-0,941;-0,115;-0,344;69,34;-1,115;-2,213;-1,676;-0,919
"voler";-1,663;-1,407;-1,181;-1,721;-0,175;-1,778;-2,305;-0,005;-0,546;-1,351;-1,211;-1,923;-0,745;-2,365;-1,436;239,876;-2,157;-1,183
"vivre";-0,206;-1,407;2,245;-1,721;14,65;-1,778;0,424;0,424;-2,187;-1,351;13,936;-1,923;22,729;-2,365;-1,436;-2,849;-2,157;-1,183
"président";-0,023;-1,049;-0,566;-0,034;-1,197;-1,325;0,125;-0,229;-1,63;-1,007;-0,902;0,367;-1,829;7,775;105,689;-2,123;-1,608;-0,882
"membre";-1,504;-0,033;-2,715;-1,556;-1,452;-1,608;-2,084;-2,084;-0,397;-0,02;-1,095;-1,739;-2,219;-2,138;540,075;-2,575;-1,95;-1,07
"général";-1,03;-0,871;0,07;1,082;-0,994;-1,101;-1,427;-1,427;-1,354;-0,836;-0,75;-1,19;0,291;-1,464;219,251;-1,763;-1,335;-0,732
"trouver";0,657;-1,049;0;-0,034;-0,014;28,978;-0,229;-0,229;0,182;4,708;-0,902;-1,433;1,161;-1,762;-1,07;-2,123;-1,608;0,035
"revenir";-1,451;-1,227;-0,862;1,989;5,962;54,919;-2,011;-0,418;-1,907;-0,011;-1,056;-0,211;0,625;2,615;-1,252;-2,485;-1,882;-1,032
"luc";1,034;8,913;0,178;0,962;1,112;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;0,747;-0,602;0,429;-0,352;-0,699;-0,529;-0,29
"citation";0,042;-0,739;-0,14;-0,903;-0,843;-0,933;0,761;-1,21;-0,004;-0,709;-0,636;1,28;-1,288;0,7;78,889;-1,495;-1,132;-0,621
"cas";0,278;-1,272;0,149;-0,147;-0,099;-0,174;0,005;-2,084;-1,977;-1,221;0,965;0,105;0;68,768;-1,298;-2,575;-1,95;-1,07
"américain";12,008;-0,005;-0,711;-1,391;-0,04;0,355;11,811;3,371;3,787;-1,092;0,006;-1,555;-1,985;-0,35;-1,161;-2,303;-1,744;-0,957
"acteur";0,001;-0,871;-1,859;1,082;0,005;-1,101;-1,427;-1,427;-1,354;-0,836;0,123;-0,011;-1,519;129,829;-0,889;-1,763;-1,335;-0,732
"témoin";-1,451;0,668;-2,619;1,989;-1,401;-0,144;-0,418;-2,011;-0,35;14,582;1,073;-1,677;-0,507;-2,063;106,653;-2,485;-1,882;-1,032
"thierry";-0,148;-0,047;-2,81;-0,176;5,194;-1,664;-2,158;-2,158;-2,047;-1,265;-0,004;-1,8;-2,297;13,532;160,647;-2,666;-2,019;-1,107
"sujet";12,801;50,327;-2,333;2,656;3,087;-1,381;-1,791;-0,273;-1,699;-1,05;-0,941;-0,115;-1,907;1,135;-0,002;-2,213;-1,676;-0,919
"question";21,702;-1,049;13,769;-1,282;-1,197;-0,047;8,128;-0,229;-1,63;1,237;1,627;-1,433;-1,829;-1,762;-1,07;-2,123;-1,608;-0,882
"manquer";-1,61;-1,362;-2,906;-1,666;-1,555;-1,721;-0,577;-2,232;-2,117;-1,308;-1,172;-1,862;1,736;-2,289;-1,39;249,101;-2,088;-1,145
"grandir";-1,504;-1,272;-2,715;-1,556;-0,099;-1,608;-2,084;-2,084;-1,977;-1,221;-1,095;-1,739;0;-2,138;-1,298;269,471;-1,95;-1,07
"forme";-1,292;-1,093;-2,333;6,545;-1,248;-1,381;0,086;1,231;8,241;38,849;0,015;-1,494;1,002;-1,837;-1,115;-2,213;-1,676;-0,919
"député";-1,451;-0,021;-2,619;-1,501;-1,401;-1,551;-2,011;-2,011;-1,907;-1,178;-1,056;0,142;-2,141;-0,453;474,087;-2,485;-1,882;-1,032
"claude";0,072;-0,695;-0,096;23,632;0,092;-0,878;-1,138;-1,138;1,083;-0,667;3,777;0,016;0,769;-0,006;-0,709;-1,406;-1,065;-0,584
"unir";4,315;0,698;1,389;-0,582;-0,543;0,356;-0,779;-0,779;-0,739;5,918;-0,409;-0,65;0,078;2,326;-0,485;-0,963;-0,729;-0,4
"raconter";-1,451;-0,021;1,301;0,283;5,962;4,915;-2,011;-0,418;-1,907;-1,178;68,199;-0,211;0,002;-2,063;-1,252;-2,485;-1,882;-1,032
"porte";-0,098;-1,227;-2,619;-0,12;-1,401;-0,144;-0,418;-0,418;-0,35;-0,011;-1,056;1,47;-2,141;0,008;200,016;-2,485;-1,882;-1,032
"intervenir";-1,504;-1,272;-0,085;-1,556;-1,452;-1,608;-2,084;-2,084;-1,977;-1,221;-0,001;-1,739;-2,219;-2,138;-1,298;269,471;-1,95;-1,07
"figure";-1,557;-0,047;-2,81;-1,611;-1,503;-1,664;0,593;-2,158;-2,047;-1,265;-1,133;-1,8;-2,297;-2,214;-1,344;258,945;-2,019;-1,107
"édition";0,042;-0,739;-1,576;-0,903;-0,843;-0,933;-1,21;-1,21;-1,148;-0,709;-0,636;0,004;-0,031;157,266;-0,754;-1,495;-1,132;-0,621
"visuel";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;0,952;94,07;-0,523;-0,396;-0,217
"site";0,402;-0,012;0,268;-1,446;-0,057;24,458;3,065;-0,367;0,064;-1,135;0,002;1,642;-2,063;0,021;-1,206;-2,394;-1,813;-0,994
"secrétaire";-0,821;-0,695;-1,482;0,055;-0,793;-0,878;-1,138;-1,138;-1,079;-0,667;0,342;-0,949;-1,212;-1,167;280,187;-1,406;-1,065;-0,584
"retour";108,794;9,785;-2,237;-1,282;-1,197;-1,325;-1,718;-1,718;-1,63;-1,007;-0,902;0,367;-1,829;3,862;0;-2,123;-1,608;0,035
"recevoir";68,766;-0,001;1,929;0,491;-1,248;0,428;-0,273;-1,791;-1,699;0;0,015;-0,115;-0,344;-0,301;-1,115;-2,213;-1,676;-0,919
"environnement";-1,398;-1,183;-2,523;-0,095;-1,35;-1,494;-1,937;-1,937;-1,838;-1,135;0,002;-1,616;-2,063;-1,987;-1,206;-2,394;-1,813;652,592
"danger";-1,504;-1,272;-2,715;-0,147;-1,452;-1,608;-2,084;-0,469;-1,977;-1,221;-1,095;-1,739;-0,564;-2,138;-1,298;269,471;-1,95;-1,07
"affaire";0,001;22,497;-1,859;-1,065;0,005;0,985;-1,427;0,392;-1,354;-0,836;2,459;-0,011;0,291;-1,464;12,654;-1,763;-1,335;-0,732
"théoricien";-1,398;-1,183;1,488;-1,446;-1,35;44,995;64,582;-1,937;-1,838;0,867;-1,018;-1,616;-2,063;-1,987;-1,206;-2,394;-1,813;-0,994
"ciel";-1,03;-0,871;3,574;-1,065;-0,994;4,055;-0,081;-1,427;0,489;69,556;2,459;-1,19;-1,519;-1,464;-0,889;-1,763;-1,335;-0,732
"visiteur";-1,292;-1,093;0,435;-1,337;-1,248;2,464;101,678;0,086;-0,22;1,101;-0,941;-1,494;-1,907;-1,837;-1,115;-2,213;-1,676;-0,919
"témoignage";-1,187;-1,004;-2,142;7,625;-1,146;-1,269;-1,645;-1,645;4,971;0,01;161,389;-1,372;-0,246;-1,687;0,001;-2,033;-1,539;-0,844
"parole";-0,023;-1,049;-2,237;-0,034;-1,197;-1,325;-1,718;-0,229;-0,18;-1,007;-0,902;2,271;-1,829;0,102;207,216;-2,123;-1,608;-0,882
"objet";-1,187;-1,004;-2,142;-0,02;-0,005;-0,03;-1,645;8,802;-1,56;199,901;0,043;-1,372;-1,751;-1,687;-1,024;-2,033;-1,539;-0,844
"femme";-1,134;-0,96;-2,048;3,545;-0,001;-1,213;-1,572;9,544;5,449;-0,921;0,064;-1,312;21,381;-0,169;-0,979;-1,943;-1,471;-0,807
"entraîner";-1,345;-1,138;-2,428;-1,391;-1,299;-1,438;-1,864;-1,864;-1,768;-1,092;-0,979;-1,555;-1,985;-1,912;-1,161;305,931;-1,744;-0,957
"créature";0,441;0,698;0,007;-0,582;-0,543;3,873;7,764;0,116;-0,739;0,772;-0,409;-0,65;0,078;-0,799;-0,485;-0,963;-0,729;-0,4
"connaître";-1,292;-1,093;1,929;-1,337;-0,025;-1,381;0,086;-0,273;-1,699;17,3;11,509;16,638;0,043;-1,837;-1,115;-2,213;-1,676;-0,919
"sse";-1,345;-1,138;-2,428;-1,391;-1,299;-1,438;-1,864;-1,864;-1,768;-1,092;-0,979;-1,555;-1,985;-1,912;-1,161;305,931;-1,744;-0,957
"pté";-1,345;-1,138;-2,428;-1,391;-1,299;-1,438;-1,864;-1,864;-1,768;-1,092;-0,979;-1,555;-1,985;-1,912;-1,161;305,931;-1,744;-0,957
"peupler";-1,345;-1,138;-2,428;-1,391;-1,299;-1,438;-1,864;-1,864;-1,768;-1,092;-0,979;-0,145;-1,985;-1,912;-1,161;-2,303;-1,744;679,103
"partir";-1,134;0,011;-0,429;-0,009;-1,095;-1,213;-0,148;-0,148;-0,11;-0,921;-0,826;122,856;-0,201;0,201;-0,979;-1,943;-1,471;-0,807
"mélenchon";-0,152;6,515;-0,275;-0,158;-0,147;-0,163;-0,211;-0,211;-0,2;-0,124;-0,111;4,446;-0,225;3,398;-0,131;-0,261;-0,198;-0,108
"décontraction";-1,345;-1,138;-2,428;-1,391;-1,299;-1,438;-1,864;-1,864;-1,768;-1,092;-0,979;-1,555;-1,985;-1,912;-1,161;305,931;-1,744;-0,957
"culture";-1,187;10,482;-2,142;13,903;-0,005;7,215;4,482;-0,187;-1,56;0,01;-0,864;-0,063;0,109;-1,687;-1,024;-2,033;-1,539;-0,844
"conquérant";-1,345;-1,138;-2,428;-1,391;-1,299;-1,438;-1,864;-1,864;-1,768;-1,092;-0,979;-1,555;-1,985;-1,912;-1,161;305,931;-1,744;-0,957
"aile";-1,345;-1,138;-2,428;-1,391;-1,299;-1,438;-1,864;-1,864;-1,768;-1,092;-0,979;-1,555;-1,985;-1,912;-1,161;305,931;-1,744;-0,957
"accidentellement";-1,292;-1,093;-2,333;-1,337;-1,248;-1,381;-1,791;-1,791;-1,699;-1,05;-0,941;-1,494;-1,907;-1,837;-1,115;-2,213;-1,676;707,737
"temps";0,001;-0,871;-1,859;1,082;-0,994;-0,001;5,986;11,269;0,489;6,533;0,123;-1,19;-0,12;-1,464;-0,889;-1,763;-1,335;-0,732
"rencontre";-1,187;0,003;-0,496;73,369;-1,146;13,245;-0,187;-0,187;-1,56;1,388;0,043;-1,372;-1,751;-0,21;-1,024;-2,033;-1,539;-0,844
"penser";-0,038;-1,093;-0,005;-0,052;-0,025;0,428;3,706;-0,273;13,731;-1,05;1,467;-1,494;6,704;-1,837;-1,115;-2,213;-1,676;-0,919
"mettre";-0,038;9,146;-0,005;-1,337;-1,248;-1,381;-0,273;36,052;1,443;-1,05;0,015;-1,494;1,002;-0,301;-1,115;-2,213;-1,676;-0,919
"jour";-0,004;1,409;0,806;46,599;0,987;-1,213;-1,572;-0,148;0,31;0,021;0,064;-1,312;-1,674;-0,169;-0,979;-1,943;-1,471;-0,807
"identifier";-0,665;-0,563;0,84;-0,688;-0,643;-0,711;-0,922;0,027;-0,875;184,229;-0,484;-0,769;-0,982;-0,946;-0,574;-1,14;-0,863;-0,473
"découverte";4,167;-0,915;24,562;-0,002;-1,045;8,476;-1,5;-0,113;-1,422;-0,879;0,09;-1,251;-0,159;0,268;-0,934;-1,853;-1,403;-0,77
"devenir";-1,187;1,249;-0,496;-1,228;-1,146;-1,269;21,778;-1,645;-1,56;-0,964;1,803;-1,372;48,275;-0,21;-1,024;-2,033;-1,539;-0,844
"voyage";2,396;-0,651;-0,058;0,091;-0,743;-0,822;-1,066;0;-1,011;-0,625;0,428;-0,889;-1,135;1,059;68,231;-1,317;-0,998;-0,547
