"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"ex_membre";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"fils";0,2728;-0,8543;0,7874;-0,0353;-0,3894;1,3761;-0,0094
"citation";-3,9372;-2,4878;-0,2252;-0,1027;8,7288;-0,4284;-0,0275
"film";-3,8297;-1,4385;-0,3946;-0,18;7,2523;-0,7505;-0,0482
"important";-1,3519;1,6439;0,7874;-0,0353;-0,3894;-0,1471;-0,0094
"revenir";-1,5573;1,5626;0,3929;-0,1027;0,3519;-0,4284;-0,0275
"révéler";-2,2131;4,6439;-0,1266;-0,0577;-0,8;-0,2408;-0,0155
"public";-1,7209;-0,5141;-0,0985;-0,0449;2,693;-0,1873;-0,012
"agathe";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"récit";-1,229;3,6272;-0,0703;-0,0321;-0,9161;-0,1337;-0,0086
"csa";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"rapport";-1,229;1,1817;-0,0703;-0,0321;0,3339;-0,1337;-0,0086
"etienne";-4,9236;-3,111;-0,2816;-0,1285;10,9165;-0,5357;-0,0344
"association";-1,3519;-0,8543;0,7874;-0,0353;1,9711;-0,1471;-0,0094
"porte";-3,6908;-0,5973;0,4145;-0,0963;3,2164;0,2194;-0,0258
"président";-4,0605;-1,1212;-0,2323;-0,1059;5,3889;-0,1333;-0,0283
"troisième";-2,2131;-1,3984;-0,1266;-0,0577;4,9057;-0,2408;-0,0155
"travail";-1,3519;-0,8543;0,7874;-0,0353;1,2762;0,5416;-0,0094
"pari";-1,6857;0,339;0,5401;-0,0674;1,132;-0,281;-0,018
"part";-0,5353;-0,5141;-0,0985;1,0077;0,8569;-0,1873;-0,012
"dossier";-1,4749;0,216;-0,0844;-0,0385;1,4782;-0,1605;-0,0103
"gasnier";-5,9108;-3,7347;-0,3381;-0,1542;13,1063;-0,6431;-0,0413
"recevoir";-1,8338;-0,3246;-0,2041;-0,0931;1,9531;0,2285;-0,0249
"expert";-1,3519;2,3793;-0,0774;-0,0353;-0,6933;0,5416;-0,0094
"secret";-0,6859;3,5024;-0,1125;-0,0513;-1,2017;-0,214;-0,0137
"mener";-0,6892;0,579;0,7874;-0,0353;-0,6933;1,3761;-0,0094
"moment";-0,974;-0,5141;-0,0985;-0,0449;1,8972;-0,1873;-0,012
"travers";-0,2244;-0,4598;-0,0914;-0,0417;0,7109;-0,1739;-0,0112
"jimmy";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"dewalle";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"avenir";-1,3519;0,579;-0,0774;-0,0353;0,7863;-0,1471;-0,0094
"conseil";-1,4749;-0,932;-0,0844;-0,0385;2,2093;0,5101;-0,0103
"travailler";-1,7209;-1,0875;-0,0985;-0,0449;2,693;0,4556;-0,012
"lointain";8,6169;0,6445;-0,2534;-0,1156;-11,9751;0,5253;-0,0309
"invité";-7,3931;-4,6711;-0,4228;-0,1929;16,3952;-0,8043;-0,0516
"objet";-1,6438;1,6287;-0,19;-0,0867;0,3096;0,248;-0,0232
"terrien";9,5305;-2,6436;0,9872;2,7108;-7,3089;-0,4552;-0,0292
"laurie";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"chien";3,4312;-0,7766;-0,0703;-0,0321;-2,224;-0,1337;1,7085
"extrait";-2,8286;-1,7873;-0,1618;-0,0738;6,2703;-0,3078;-0,0197
"identifier";-2,1112;2,9822;1,2189;-0,0802;-1,2165;0,7578;-0,0215
"lfi";-1,8439;-1,1652;-0,1055;-0,0481;4,0873;-0,2007;-0,0129
"expliquer";-2,5236;-1,8924;-0,2534;-0,1156;6,096;-0,482;-0,0309
"réseau";-1,229;-0,3055;-0,0703;-0,0321;1,7359;-0,1337;-0,0086
"écrire";-0,7823;0,216;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"auproux";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
