"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"rentrer";12;-0,0143;-0,1819;-0,378;0,4126;-0,0055;-0,0051;0,4403;1,3875;-0,1343;-1,8693;0,4801;-0,0051;0,8434;-0,0021;0,6514;0,2049;-0,1711;-0,0331;-0,0213;-0,0847;0,2343;0,2206;-0,0066;-0,0028
"fruit";11;-0,0131;-0,1667;-0,3465;-0,5568;-0,0051;-0,0047;1,2229;1,4909;-0,1231;-1,7135;0,5111;-0,0047;-0,0616;-0,002;-0,1005;-0,3893;-0,1568;-0,0303;-0,0195;1,8877;-0,3482;1,3732;-0,006;-0,0025
"vendre";14;-0,0167;-0,2122;-0,4411;-0,7087;-0,0065;-0,006;-0,2284;0,2089;1,3188;0,6521;-0,2037;-0,006;0,7818;-0,0025;-0,1279;-0,1552;-0,1996;-0,0386;-0,0249;-0,0988;-0,4432;1,1009;-0,0077;-0,0032
"véritable";18;1,3178;0,3312;-0,5671;0,8925;-0,0083;-0,0077;-0,2937;-0,5377;0,4305;-1,8613;-0,2619;-0,0077;-0,1009;-0,0032;0,5013;-0,6371;-0,2566;0,9666;-0,032;-0,1271;1,4733;1,4053;-0,0099;-0,0042
"cause";11;-0,0131;0,4966;-0,3465;-0,1839;-0,0051;-0,0047;1,2229;0,2752;0,6077;-0,5097;-0,16;-0,0047;-0,0616;-0,002;0,6849;0,2277;-0,1568;-0,0303;-0,0195;0,7858;-0,3482;-0,3665;-0,006;-0,0025
"paranormal";10;-0,0119;-0,1515;-0,315;-0,5062;-0,0046;-0,0043;1,2995;1,6076;0,6438;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;0,7219;0,2539;-0,1425;-0,0276;-0,0178;-0,0706;0,8162;-0,3332;-0,0055;-0,0023
"région";10;-0,0119;0,5308;-0,315;-0,1566;-0,0046;-0,0043;0,5043;1,6076;-0,1119;-1,5577;-0,1455;-0,0043;0,9171;-0,0018;-0,0914;0,7414;-0,1425;-0,0276;-0,0178;-0,0706;0,286;-0,3332;-0,0055;-0,0023
"arme";10;-0,0119;-0,1515;-0,315;1,0536;-0,0046;-0,0043;0,5043;-0,2987;-0,1119;-0,4211;-0,1455;-0,0043;-0,056;-0,0018;-0,0914;-0,3539;-0,1425;-0,0276;-0,0178;1,9702;0,286;0,2711;-0,0055;-0,0023
"surprise";10;-0,0119;-0,1515;0,2875;-0,1566;-0,0046;-0,0043;-0,1631;0,3034;0,6438;-0,4211;-0,1455;-0,0043;-0,056;-0,0018;0,7219;0,2539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;0,7816;-0,0055;-0,0023
"don";10;-0,0119;-0,1515;0,2875;-0,1566;-0,0046;-0,0043;0,5043;-0,2987;-0,1119;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;0,7219;-0,3539;1,404;-0,0276;-0,0178;1,9702;-0,3166;0,7816;-0,0055;-0,0023
"sorte";13;-0,0155;-0,197;-0,4096;0,7825;1,8629;-0,0055;0,413;0,6729;-0,1455;-1,2048;0,4521;-0,0055;-0,0728;-0,0023;-0,1188;-0,4601;-0,1853;-0,0358;-0,0231;-0,0918;-0,4115;1,9089;-0,0071;-0,003
"tour";15;-0,0178;1,037;-0,4726;-0,3037;-0,0069;-0,0064;-0,2447;0,1914;0,4941;-1,4632;-0,2182;-0,0064;-0,0841;-0,0027;1,4206;-0,1741;-0,2138;-0,0414;-0,0267;-0,1059;0,5455;1,6794;-0,0082;-0,0035
"mars";12;-0,0143;-0,1819;0,2356;1,4555;-0,0055;-0,0051;-0,1957;-0,3584;-0,1343;-1,0784;0,4801;-0,0051;-0,0672;-0,0021;-0,1097;0,6187;-0,1711;-0,0331;-0,0213;0,7515;-0,3799;0,6565;-0,0066;-0,0028
"relation";10;-0,0119;0,5308;-0,315;-0,1566;-0,0046;-0,0043;-0,1631;0,856;0,6438;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;1,7589;0,2539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;0,7816;-0,0055;-0,0023
"mener";17;-0,0202;-0,2576;-0,5356;0,5441;-0,0078;-0,0072;0,3261;1,6381;0,4502;-1,7274;-0,2474;-0,0072;-0,0953;-0,003;-0,1554;-0,6017;-0,2424;-0,0469;-0,0302;-0,12;0,9479;1,489;-0,0094;-0,0039
"armée";12;-0,0143;1,2096;-0,378;0,8613;-0,0055;-0,0051;-0,1957;-0,3584;-0,1343;-1,8693;-0,1746;-0,0051;-0,0672;-0,0021;0,6514;0,2049;-0,1711;-0,0331;-0,0213;-0,0847;0,6892;0,6565;1,8216;-0,0028
"composer";11;-0,0131;0,4966;-0,3465;0,462;-0,0051;-0,0047;-0,1794;0,7876;-0,1231;1,0985;-0,16;-0,0047;-0,0616;-0,002;-0,1005;-0,3893;-0,1568;-0,0303;-0,0195;-0,0777;-0,3482;-0,3665;-0,006;-0,0025
"expliquer";19;-0,0226;-0,288;-0,5987;-0,1863;-0,0088;-0,0081;-0,31;0,4401;0,4122;-0,8846;0,3271;-0,0081;-0,1065;-0,0034;1,2324;1,2505;-0,2709;-0,0524;-0,0338;-0,1342;-0,2146;0,3825;-0,0105;1,9984
"parisien";10;-0,0119;-0,1515;0,2875;0,5189;-0,0046;-0,0043;0,5043;1,6076;-0,1119;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;-0,0914;0,7414;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;0,2711;-0,0055;-0,0023
"place";12;-0,0143;0,4658;-0,378;0,8613;-0,0055;-0,0051;0,4403;-0,3584;1,4438;-1,8693;-0,1746;-0,0051;-0,0672;-0,0021;-0,1097;0,2049;-0,1711;1,1346;-0,0213;-0,0847;0,2343;0,6565;-0,0066;-0,0028
"tourner";10;-0,0119;-0,1515;-0,315;0,5189;-0,0046;-0,0043;0,5043;0,856;-0,1119;-1,5577;0,5457;-0,0043;-0,056;-0,0018;-0,0914;1,4223;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;0,2711;-0,0055;-0,0023
"intelligence";17;-0,0202;-0,2576;-0,5356;0,2423;-0,0078;-0,0072;1,6371;-0,5078;0,4502;0,3894;-0,2474;-0,0072;-0,0953;-0,003;-0,1554;-0,6017;-0,2424;-0,0469;-0,0302;1,5221;0,9479;-0,5665;-0,0094;-0,0039
"nuit";17;-0,0202;-0,2576;-0,5356;0,5441;-0,0078;-0,0072;0,3261;1,0036;-0,1902;-1,7274;0,3623;-0,0072;-0,0953;-0,003;0,5218;0,4106;-0,2424;-0,0469;-0,0302;0,6171;-0,1791;0,8998;-0,0094;-0,0039
"chemin";12;-0,0143;-0,1819;-0,378;0,8613;-0,0055;-0,0051;-0,1957;0,727;1,4438;0,2911;-0,1746;-0,0051;-0,0672;-0,0021;-0,1097;-0,4247;-0,1711;-0,0331;-0,0213;-0,0847;-0,3799;0,2206;-0,0066;-0,0028
"soirée";10;-0,0119;-0,1515;-0,315;1,0536;-0,0046;-0,0043;1,2995;0,856;-0,1119;-0,8321;-0,1455;-0,0043;-0,056;-0,0018;-0,0914;0,2539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;0,2711;-0,0055;-0,0023
