"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_CanalFamily";"*chaine_D17";"*chaine_Direct8";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_FranceO";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX";"*chaine_W9"
"situation";0;1;0;3;1;0;0;2;2;1;2;0;2;0;0;0;0;0;0;0;0;1;0;0
"perquisition";0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"twiste";0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"esprit";0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0
"succès";0;0;0;3;0;0;5;0;1;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0
"tomber";2;0;0;5;0;0;1;4;4;0;3;2;0;0;1;1;1;2;0;0;1;2;0;0
"laisser";0;0;0;19;0;0;2;4;3;0;1;0;0;0;3;1;1;0;0;2;10;3;0;0
"époque";0;0;0;16;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0
"intervenir";0;0;0;2;0;0;0;0;0;81;4;0;0;0;1;0;0;0;0;0;0;1;0;0
"télé";0;0;0;0;0;0;12;0;1;0;0;0;0;0;1;1;0;2;0;0;0;2;0;0
"origine";0;1;0;10;0;0;0;0;1;6;0;0;0;0;1;1;1;0;4;5;12;1;0;0
"italie";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;3;0;0;0
"édition";0;14;0;8;0;0;0;3;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
"répondre";0;0;0;1;0;0;0;1;0;26;7;0;0;0;1;2;0;0;0;0;0;0;0;0
"présenter";0;3;0;16;0;0;4;14;1;0;3;0;0;0;2;7;0;0;0;1;3;7;0;0
"chaîne";0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;6;0;0;0;0;2;1;0;0
"spatial";0;1;0;4;0;0;0;0;4;0;5;0;2;0;0;0;0;0;0;0;1;3;0;0
"écrivain";0;0;11;7;0;0;0;5;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0
"terre";1;0;0;40;1;0;0;2;9;5;4;0;8;0;4;3;4;1;0;9;39;5;1;0
"tv";0;1;4;3;0;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
"criminalité";0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"projet";1;1;0;1;0;0;3;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0
"retourner";0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0
"animer";0;0;0;1;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0
"christophe";0;2;43;2;0;0;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"espace";0;3;0;4;0;0;2;0;13;1;9;2;6;0;3;6;1;0;0;0;2;0;0;0
"vie";0;12;2;30;0;0;7;23;6;2;1;0;1;0;2;6;0;1;2;5;14;7;0;0
"mort";0;1;0;1;0;0;2;2;1;0;0;0;0;0;1;2;1;0;3;0;0;2;0;0
"teen";0;0;0;1;0;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tester";0;0;0;4;0;0;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
"science";0;1;1;5;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0
"information";0;3;1;7;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;2;3;0;0
"débat";0;7;19;3;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0
