"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"technologie";-0,0262;0,2709;-0,6932;1,064;-0,0101;-0,0094;-0,3589;-0,6572;-0,2462;-3,4278;-0,3201;-0,0094;-0,1233;-0,0039;-0,2011;-0,7788;-0,3137;-0,0607;5,7433;1,3148;4,1153;0,3092;-0,0121;-0,0051
"observation";-0,0131;-0,1667;-0,3465;-0,1839;-0,0051;-0,0047;-0,1794;-0,3285;-0,1231;-1,7135;-0,16;-0,0047;-0,0616;-0,002;-0,1005;-0,3893;-0,1568;-0,0303;-0,0195;-0,0777;10,5292;-0,3665;-0,006;-0,0025
"sol";-0,0119;-0,1515;-0,315;-0,5062;-0,0046;-0,0043;-0,1631;0,856;-0,1119;-1,5577;1,3881;-0,0043;-0,056;-0,0018;-0,0914;-0,3539;-0,1425;-0,0276;-0,0178;-0,0706;1,5434;1,4875;-0,0055;-0,0023
"ligue";-0,0274;-0,3486;-0,7248;9,0796;-0,0106;-0,0098;-0,3753;-0,6871;-0,2574;-1,2813;-0,3347;-0,0098;1,4597;-0,0041;1,9336;-0,8142;-0,328;-0,0634;-0,0409;-0,1624;-0,7283;-0,7665;-0,0127;-0,0053
"corps";-0,0297;-0,379;-0,7878;-0,6538;-0,0115;-0,0106;-0,4079;1,6497;-0,2798;-1,4925;0,7022;-0,0106;-0,1401;-0,0044;1,0233;-0,885;-0,3565;-0,0689;2,3322;-0,1766;-0,7916;5,2614;-0,0138;-0,0058
"minute";-0,0405;0,4868;-1,0716;-1,7219;-0,0157;-0,0145;-0,1926;-1,016;0,2338;7,4836;-0,1605;-0,0145;-0,1906;-0,006;0,8032;-0,6139;-0,4849;-0,0938;-0,0604;-0,2402;-1,0768;-1,1334;-0,0187;-0,0078
"solère";-0,0167;-0,2122;16,1939;-0,7087;-0,0065;-0,006;-0,2284;-0,4182;-0,1566;-2,1809;-0,2037;-0,006;-0,0784;-0,0025;-0,1279;-0,4955;-0,1996;-0,0386;-0,0249;-0,0988;-0,4432;-0,4665;-0,0077;-0,0032
"égyptien";-0,0131;-0,1667;-0,3465;-0,5568;-0,0051;-0,0047;-0,1794;0,2752;-0,1231;-1,7135;-0,16;-0,0047;-0,0616;-0,002;-0,1005;-0,3893;-0,1568;-0,0303;-0,0195;0,7858;8,7029;-0,3665;-0,006;-0,0025
"sommaire";-0,019;1,793;-0,1608;-0,3359;-0,0074;-0,0068;1,7096;-0,1476;-0,179;-2,4926;1,0181;-0,0068;-0,0897;-0,0028;-0,1462;0,9039;-0,2281;-0,0441;-0,0284;-0,113;-0,5065;0,4775;-0,0088;-0,0037
"nadia";-0,0214;26,4452;-0,5671;-0,9113;-0,0083;-0,0077;-0,2937;-0,5377;-0,2014;-2,8043;-0,2619;-0,0077;-0,1009;-0,0032;-0,1645;-0,6371;-0,2566;-0,0496;-0,032;-0,1271;-0,5699;-0,5998;-0,0099;-0,0042
"daam";-0,0214;26,4452;-0,5671;-0,9113;-0,0083;-0,0077;-0,2937;-0,5377;-0,2014;-2,8043;-0,2619;-0,0077;-0,1009;-0,0032;-0,1645;-0,6371;-0,2566;-0,0496;-0,032;-0,1271;-0,5699;-0,5998;-0,0099;-0,0042
"reportage";-0,0405;-0,1713;-1,0716;-1,0052;-0,0157;-0,0145;8,8194;7,9145;-0,3806;-5,2991;0,5101;-0,0145;-0,1906;-0,006;-0,3108;0,5625;-0,4849;-0,0938;-0,0604;-0,2402;-1,0768;-1,1334;-0,0187;-0,0078
"explorer";-0,0167;-0,2122;-0,4411;-0,2723;-0,0065;-0,006;-0,2284;-0,4182;-0,1566;-1,3332;0,4267;-0,006;-0,0784;-0,0025;-0,1279;0,5221;-0,1996;-0,0386;-0,0249;-0,0988;7,2263;-0,4665;-0,0077;-0,0032
"convaincre";-0,0167;-0,2122;-0,4411;0,3317;-0,0065;-0,006;-0,2284;-0,4182;0,5188;-2,1809;-0,2037;-0,006;-0,0784;-0,0025;3,8032;-0,4955;0,4336;-0,0386;-0,0249;-0,0988;-0,4432;3,5415;-0,0077;-0,0032
"extraterrestre";0,309;-7,8465;-17,4664;1,0719;0,323;-0,2585;-7,4302;-7,6175;4,1196;1,7656;-5,5912;0,9352;1,9559;-0,1077;1,5639;-12,3169;2,3881;1,4272;3,7629;14,8292;18,5934;-5,1499;0,7558;-0,14
"internet";-0,0321;0,6264;-0,8509;0,2344;-0,0125;-0,0115;1,7859;0,2647;-0,3022;-4,2074;0,652;-0,0115;0,5313;-0,0048;0,9667;0,4499;-0,385;0,8026;-0,048;-0,1907;-0,3716;1,9078;-0,0149;-0,0062
"city";-0,1981;-2,5237;-5,2468;-7,0951;-0,0768;-0,0709;-2,7166;-4,9742;-1,8632;80,0437;-2,4228;-0,0709;-0,9331;-0,0295;-1,5217;-5,8943;-2,374;-0,4591;-0,2958;-1,1757;-5,2722;-3,538;-0,0916;-0,0384
"plein";-0,1204;-1,5334;-3,1879;-1,5537;-0,0467;-0,0431;-1,6506;-0,7191;-0,2804;24,5457;-0,8233;-0,0431;-0,2021;-0,0179;-0,9246;-2,5985;-1,4425;0,8721;-0,1798;-0,7144;-3,2034;-0,9031;-0,0556;-0,0233
"tendance";-0,0131;-0,1667;-0,3465;0,9509;-0,0051;-0,0047;-0,1794;2,3576;-0,1231;-1,7135;-0,16;-0,0047;0,8784;-0,002;-0,1005;-0,3893;2,3415;-0,0303;-0,0195;-0,0777;-0,3482;-0,3665;-0,006;-0,0025
"sophie";-0,0167;-0,2122;-0,4411;-0,2723;-0,0065;-0,006;-0,2284;8,8936;-0,1566;-2,1809;-0,2037;-0,006;-0,0784;-0,0025;-0,1279;1,0413;-0,1996;-0,0386;-0,0249;-0,0988;-0,4432;-0,4665;-0,0077;-0,0032
"aller";-0,0941;0,291;-1,6496;1,0463;-0,0365;-0,0337;1,1474;1,8216;0,4872;-7,5487;0,3144;2,5677;4,1554;-0,014;1,0826;0,5588;-0,277;0,4036;1,3823;-0,5585;-2,5044;0,8947;-0,0435;-0,0182
"perdre";1,2949;-0,288;-0,5987;0,4574;-0,0088;-0,0081;-0,31;1,472;1,0807;-2,9602;0,3271;-0,0081;0,6627;-0,0034;2,1689;-0,6725;-0,2709;-0,0524;-0,0338;-0,1342;-0,6016;1,3279;-0,0105;-0,0044
"affirmer";-0,0274;-0,3486;-0,7248;-0,5796;-0,0106;-0,0098;0,2376;0,3394;0,3495;-3,5837;0,2698;-0,0098;-0,1289;-0,0041;0,416;-0,3437;-0,328;0,8669;5,6617;3,3352;1,1317;0,2885;-0,0127;-0,0053
"semaine";-0,0333;3,502;-0,3898;-1,4178;-0,0129;-0,0119;1,0827;2,713;0,289;-4,3634;1,8945;-0,0119;-0,1569;-0,005;0,9403;-0,4624;-0,3993;0,7881;2,2353;-0,1978;-0,8867;-0,9332;-0,0154;-0,0065
"comédien";-0,0238;-0,3031;-0,6302;-1,0126;-0,0092;-0,0085;0,7774;1,3979;-0,2238;-3,1161;0,3113;-0,0085;-0,1121;-0,0035;-0,1828;2,4706;-0,2852;-0,0551;-0,0355;-0,1412;-0,6332;3,4106;-0,011;-0,0046
"différent";-0,0178;-0,2273;-0,1444;-0,7593;1,8012;-0,0064;-0,2447;1,8336;0,4941;-2,3368;1,9191;-0,0064;-0,0841;-0,0027;-0,1371;-0,1741;-0,2138;-0,0414;-0,0267;1,6253;-0,1456;-0,1581;-0,0082;-0,0035
"extra_terrestre";3,6822;1,26;-1,324;1,4408;-0,0194;-0,0179;-0,6855;-0,6537;-0,1485;-1,1141;0,7963;-0,0179;1,781;-0,0075;1,247;-1,4874;-0,5991;-0,1159;-0,0747;-0,2967;-1,3304;1,4857;-0,0231;-0,0097
"inattendu";-0,0178;-0,2273;-0,4726;14,3945;-0,0069;-0,0064;-0,2447;-0,448;-0,1678;-2,3368;-0,2182;-0,0064;-0,0841;-0,0027;-0,1371;-0,5309;-0,2138;-0,0414;-0,0267;-0,1059;-0,4749;-0,4998;-0,0082;-0,0035
"monde";-0,2688;-0,9512;-4,9073;-1,4795;-0,1042;-0,0962;-1,1013;-1,1936;-0,4952;7,2427;0,901;-0,0962;1,5775;-0,0401;-0,3047;-4,8582;-3,2218;0,7668;-0,4015;1,1366;4,3247;-0,8397;-0,1243;-0,0521
"roger";-0,1192;-1,5182;-3,1563;-5,0717;-0,0462;-0,0426;-1,6342;-2,0813;-1,1209;23,1636;-1,4575;-0,0426;-0,5613;-0,0178;-0,9154;-3,5458;-0,2253;-0,2762;-0,178;-0,7073;-3,1716;3,0022;-0,0551;-0,0231
"visiteur";-0,0309;-0,3941;-0,8193;-1,3165;-0,012;-0,0111;-0,4242;-0,7768;-0,291;-4,0515;-0,3784;-0,0111;-0,1457;-0,0046;-0,2376;-0,9204;-0,3708;-0,0717;-0,0462;-0,1836;14,8358;3,3907;-0,0143;-0,006
"naulleau";-0,0143;-0,1819;13,8777;-0,6074;-0,0055;-0,0051;-0,1957;-0,3584;-0,1343;-1,8693;-0,1746;-0,0051;-0,0672;-0,0021;-0,1097;-0,4247;-0,1711;-0,0331;-0,0213;-0,0847;-0,3799;-0,3998;-0,0066;-0,0028
"lilia";-0,0131;-0,1667;-0,3465;-0,5568;-0,0051;-0,0047;-0,1794;-0,3285;-0,1231;-1,7135;-0,16;-0,0047;-0,0616;-0,002;-0,1005;12,1837;-0,1568;-0,0303;-0,0195;-0,0777;-0,3482;-0,3665;-0,006;-0,0025
"désert";-0,0333;-0,4245;-0,8824;0,7247;-0,0129;-0,0119;-0,4569;0,5464;0,7997;-4,3634;0,6287;-0,0119;0,5182;-0,005;0,3514;-0,9913;-0,3993;-0,0772;-0,0498;-0,1978;8,9707;-0,9332;-0,0154;-0,0065
"humoriste";-0,0202;-0,2576;-0,5356;-0,3689;-0,0078;-0,0072;0,3261;2,3917;-0,1902;-2,6485;-0,2474;-0,0072;-0,0953;-0,003;-0,1554;5,8327;-0,2424;-0,0469;-0,0302;-0,12;-0,5382;-0,1943;-0,0094;-0,0039
"seulement";-0,0119;-0,1515;-0,315;-0,5062;-0,0046;-0,0043;0,5043;-0,2987;0,6438;-1,5577;0,5457;-0,0043;-0,056;-0,0018;-0,0914;-0,3539;-0,1425;-0,0276;-0,0178;-0,0706;-0,3166;5,9343;-0,0055;-0,0023
"former";-0,0381;-0,4851;-1,0086;-1,6205;-0,0148;-0,0136;-0,1747;-0,4402;-0,3582;8,4899;-0,4658;-0,0136;-0,1794;-0,0057;-0,2925;-0,5625;-0,4564;-0,0883;-0,0569;-0,226;-1,0134;-0,5159;3,1247;-0,0074
"situation";-0,0178;0,3899;-0,4726;0,6503;1,8012;-0,0064;-0,2447;0,5803;1,2639;-1,4632;1,0669;-0,0064;1,8125;-0,0027;-0,1371;-0,5309;-0,2138;-0,0414;-0,0267;-0,1059;-0,4749;-0,1581;-0,0082;-0,0035
"perquisition";-0,0238;-0,3031;23,1484;-1,0126;-0,0092;-0,0085;-0,3263;-0,5975;-0,2238;-3,1161;-0,291;-0,0085;-0,1121;-0,0035;-0,1828;-0,7079;-0,2852;-0,0551;-0,0355;-0,1412;-0,6332;-0,6665;-0,011;-0,0046
"twiste";-0,0333;-0,4245;-0,8824;26,8959;-0,0129;-0,0119;-0,4569;-0,8366;-0,3134;-4,3634;-0,4075;-0,0119;-0,1569;-0,005;-0,2559;-0,9913;-0,3993;-0,0772;-0,0498;-0,1978;-0,8867;-0,9332;-0,0154;-0,0065
"esprit";-0,0119;0,5308;-0,315;0,5189;-0,0046;-0,0043;-0,1631;0,3034;-0,1119;-1,5577;-0,1455;-0,0043;-0,056;-0,0018;-0,0914;-0,3539;-0,1425;-0,0276;-0,0178;0,8238;0,286;2,3633;-0,0055;-0,0023
"succès";-0,0167;-0,2122;-0,4411;0,7126;-0,0065;-0,006;3,9915;-0,4182;0,5188;-2,1809;1,1197;-0,006;-0,0784;-0,0025;-0,1279;0,5221;-0,1996;-0,0386;-0,0249;-0,0988;0,1941;-0,4665;-0,0077;-0,0032
"tomber";2,5449;-0,4396;-0,9139;0,6806;-0,0134;-0,0124;-0,1487;0,9092;2,2266;-4,5193;1,161;3,4349;-0,1625;-0,0051;0,3402;-0,4871;0,2117;1,8406;-0,0515;-0,2048;-0,4139;-0,1958;-0,016;-0,0067
"laisser";-0,0583;-0,7431;-1,5449;6,3854;-0,0226;-0,0209;0,2647;0,3853;0,8919;-7,6398;-0,2866;-0,0209;-0,2748;-0,0087;1,0869;-1,0222;-0,2778;-0,1352;-0,0871;0,7284;2,7263;-0,2956;-0,027;-0,0113
"époque";-0,0309;-0,3941;-0,8193;9,1011;-0,012;-0,0111;-0,4242;1,0436;0,3113;-4,0515;0,2354;-0,0111;-0,1457;-0,0046;-0,2376;-0,9204;-0,3708;-0,0717;-0,0462;-0,1836;0,5609;-0,3787;-0,0143;-0,006
"intervenir";-0,106;-1,3509;-2,8084;-2,6534;-0,0411;-0,0379;-1,4541;-2,6626;-0,9974;32,6981;0,4723;-0,0379;-0,4995;-0,0158;-0,3523;-3,155;-1,2708;-0,2457;-0,1584;-0,6294;-2,822;-2,0605;-0,049;-0,0206
"télé";-0,0226;-0,288;-0,5987;-0,9619;-0,0088;-0,0081;12,6341;-0,5676;0,4122;-2,9602;-0,2765;-0,0081;-0,1065;-0,0034;0,4821;-0,2552;-0,2709;2,1982;-0,0338;-0,1342;-0,6016;0,3825;-0,0105;-0,0044
"origine";-0,0512;-0,2491;-1,3556;1,788;-0,0198;-0,0183;-0,7019;-1,2851;-0,1543;-1,9272;-0,626;-0,0183;-0,2411;-0,0076;0,2251;-0,8547;-0,2265;-0,1186;4,5447;3,2093;4,5589;-0,7868;-0,0237;-0,0099
"italie";-0,0155;-0,197;-0,4096;-0,2418;-0,006;-0,0055;-0,2121;-0,3883;-0,1455;-2,0251;-0,1891;-0,0055;0,8113;-0,0023;-0,1188;5,9044;-0,1853;-0,0358;-0,0231;-0,0918;1,2345;-0,4332;-0,0071;-0,003
"édition";-0,0476;10,5494;-1,2609;1,1763;-0,0185;-0,017;-0,6529;0,2995;-0,4478;-6,2352;-0,5823;-0,017;-0,2243;-0,0071;-0,3657;6,8339;-0,5706;-0,1103;-0,0711;-0,2826;-1,267;-1,3335;-0,022;-0,0092
"répondre";-0,0452;-0,5762;-1,1978;-1,1684;-0,0175;-0,0162;-0,6202;-0,5663;-0,4254;5,8998;3,6737;-0,0162;-0,213;-0,0067;0,2591;-0,3767;-0,542;-0,1048;-0,0675;-0,2684;-1,2036;-1,2668;-0,0209;-0,0088
"présenter";-0,0726;0,4578;-1,9237;3,1505;-0,0282;-0,026;0,7279;4,4428;-0,269;-9,5136;0,487;-0,026;-0,3421;-0,0108;0,4394;0,7033;-0,8705;-0,1683;-0,1085;0,2011;-0,431;0,7914;-0,0336;-0,0141
"chaîne";-0,0178;-0,2273;-0,4726;-0,7593;-0,0069;-0,0064;3,8288;0,1914;-0,1678;-2,3368;-0,2182;-0,0064;-0,0841;-0,0027;-0,1371;3,2119;-0,2138;-0,0414;-0,0267;-0,1059;0,5455;-0,1581;-0,0082;-0,0035
