"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"*audience_38";0,325484319260141;0,186776149282237;-0,508405745081703;-0,989299258660387;-1,7644612603899;0,153582659780074;0,0881319808445805;-0,239895755207523;-0,46680962022653;-0,832576678549588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26339620221354;NA
"*partdemarche_481";0,330977056025377;0,183355676478484;-0,499121419534123;-0,331947301000805;-0,346724403770234;0,419430977739856;0,232357649146612;-0,63251207657745;-0,42066052157464;-0,439386818609165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,587363495640969;NA
"*partdemarche_151";0,35402041809201;0,19708275073013;-0,358601641321103;-0,791842951315342;0,864544360209305;0,274177575145318;0,152634333887805;-0,277725587101583;-0,613257228093344;0,669562161316191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,826764150665093;NA
"*annéededecennie_2010";-0,687217990824345;0,135497956514181;-0,289801524041148;-0,171597940363131;0,214163722318729;-0,852438099988365;0,16807420956006;-0,359475252140936;-0,212853307390278;0,265652702602886;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,685131216971999;NA
"*partdemarche_258";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*partdemarche_156";0,333345365757453;0,197195478160378;-0,439716586655644;-1,80359596669601;-2,31897222726986;0,11127630202326;0,065827174574737;-0,146784808572778;-0,602070735442678;-0,77411201850333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,77559697850374;NA
"*partdemarche_375";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00475000";0,31631309834661;0,174620265591072;-0,588543096578773;-0,039286432618827;-1,11753179902994;0,240672800843326;0,132863130308177;-0,447804141564204;-0,0298918249763875;-0,850295196467949;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,83087909503211;NA
"*partdemarche_257";0,309500191382273;0,16559018056335;-0,648073700548024;0,666437381012046;-0,63695562773397;0,262226039461905;0,140297351768927;-0,549084635505859;0,564643382582939;-0,539664776385715;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,807470052863672;NA
"*duree_00474100";0,31631309834661;0,174620265591072;-0,588543096578773;-0,039286432618827;-1,11753179902994;0,240672800843326;0,132863130308177;-0,447804141564204;-0,0298918249763875;-0,850295196467949;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,83087909503211;NA
"*notice_360911008";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
