"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"rester";0,5407;-0,4374;-0,0254;-0,0123;-0,1619
"visite";1,2344;-1,0631;-0,0254;-0,0123;-0,1619
"structure";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"utiliser";0,658;-0,8716;-0,023;-0,0111;0,5432
"rencontre";1,6963;-2,042;-0,0303;-0,0146;0,4456
"suite";3,029;-2,7828;-0,0218;-0,0105;-0,1387
"scientologie";2,6922;-2,4733;-0,0194;-0,0094;-0,1233
"élection";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"témoignage";2,5784;-3,0768;-0,0327;-0,0158;0,4192
"gens";2,1973;-2,9375;-0,023;-0,0111;0,5432
"danger";-11,065;11,8631;-0,0351;-0,017;-0,2236
"volant";-1,2124;1,4208;-0,0266;-0,0129;-0,1696
"entrer";0,447;-0,3739;-0,0157;-0,0076;-0,1002
"heure";1,3324;-1,1923;-0,0157;-0,0076;-0,1002
"également";0,4831;-0,823;-0,0121;-0,0058;0,789
"rencontrer";-0,3147;0,3836;-0,0169;-0,0082;-0,1079
"représentant";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"avocat";4,04;-3,7116;-0,029;-0,014;-0,185
"université";0,8123;-0,6914;-0,0206;-0,0099;-0,131
"médecin";2,1973;-1,9769;-0,023;-0,0111;-0,1465
"réaliser";-0,5605;0,6624;-0,0169;-0,0082;-0,1079
"trouver";0,2649;0,2998;-0,0387;-0,0187;-0,2468
"mohammed";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"média";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"preuve";4,1521;-4,6429;-0,046;-0,0223;0,309
"luc";5,389;-4,9509;-0,0387;-0,0187;-0,2468
"carrière";1,0575;-1,6999;1,5204;-0,0064;-0,0848
"examiner";1,7587;-1,5786;-0,0194;-0,0094;-0,1233
"femme";0,3164;-0,3827;-0,0327;-0,0158;0,4192
"persuader";-4,1325;4,4918;-0,0194;-0,0094;-0,1233
"général";5,5578;-5,1059;-0,04;-0,0193;-0,2545
"he";0,3676;-1,0669;-0,0145;-0,007;1,743
"étude";1,2633;-1,1072;-0,0206;-0,0099;-0,131
"laporte";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"chercher";-1,4042;1,5988;-0,0194;-0,0094;-0,1233
"homme";3,0264;-2,9113;-0,0873;-0,0422;-0,1952
"star";0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"fois";1,9014;-3,4019;-0,0266;-0,0129;1,2486
"aider";-2,5876;2,8081;-0,0121;-0,0058;-0,0771
"siècle";1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"voix";1,2633;-1,7102;-0,0206;-0,0099;0,5843
"réputation";1,5128;-1,3305;-0,023;-0,0111;-0,1465
"voir";-0,4861;-0,7328;-0,0715;-0,0346;4,1346
"légende";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"force";-0,3082;0,3682;-0,0133;-0,0064;-0,0848
"histoire";5,1217;-5,8811;-0,046;-0,0223;0,309
"propre";-5,3433;6,0004;-0,0485;-0,0234;-0,3086
"nes";0,3523;-0,5246;-0,0181;-0,0088;0,6313
"omar";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"quotidien";1,4729;-2,1639;-0,0169;-0,0082;0,6576
"géant";0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"suggérer";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"famille";-0,3294;-0,5671;2,7387;-0,0135;0,4747
"vivre";2,7013;-2,3719;-0,04;-0,0193;-0,2545
"comportement";1,7587;-1,5786;-0,0194;-0,0094;-0,1233
"créer";-0,4656;0,3169;1,388;-0,0088;-0,1156
"acteur";5,389;-4,9509;-0,0387;-0,0187;-0,2468
"sauver";-25,3543;25,4161;-0,0715;1,1161;-0,4556
"entraîner";-11,5865;12,3669;-0,0327;-0,0158;-0,2082
"école";1,7587;-2,4733;-0,0194;-0,0094;0,607
"cabrol";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"voyage";1,1232;-0,9499;-0,029;-0,014;-0,185
"scientifique";2,1731;-2,3613;-0,046;-0,0223;0,309
"servir";0,294;-0,2429;-0,0133;-0,0064;-0,0848
"théoricien";4,7144;-4,3311;-0,0339;-0,0164;-0,2159
"livre";1,5171;-3,9822;0,9765;-0,0234;2,2872
"revel";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"super";-25,1689;26,9381;-0,0752;-0,0363;-0,4789
"magazine";1,1938;-1,8546;-0,0145;-0,007;0,7172
"lieu";-1,1416;1,3077;-0,0181;-0,0088;-0,1156
"mystérieux";0,658;-0,5462;-0,023;-0,0111;-0,1465
"petit";-45,5039;46,6644;0,3275;-0,1335;-0,3613
"décider";-4,4409;4,8484;-0,023;-0,0111;-0,1465
"handicapé";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"corbière";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"dieu";0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"mazaurette";6,9081;-6,3464;-0,0497;-0,024;-0,3164
"laure";-4,505;4,8278;-0,0145;-0,007;-0,0925
"ville";-1,8745;2,0909;-0,0169;-0,0082;-0,1079
"etats";0,6211;-0,5246;-0,0181;-0,0088;-0,1156
"père";-0,3864;0,4714;-0,0194;-0,0094;-0,1233
"margot";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"équipe";-0,6007;0,4869;-0,0266;-0,0129;0,4904
"clair";-0,3904;-0,415;1,5612;-0,0058;0,789
"spécialiste";4,7438;-5,2221;-0,0509;-0,0246;0,2791
"main";0,294;-0,2429;-0,0133;-0,0064;-0,0848
"ancien";5,5467;-4,4617;-0,1912;-0,0924;-1,2179
"agir";-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"trace";0,9237;-0,823;-0,0121;-0,0058;-0,0771
"extraire";12,3709;-17,4034;-0,1361;-0,0658;1,324
"nouveau";-5,3642;5,2052;-0,13;2,054;-0,3608
"débarquer";-3,4177;3,6984;-0,0145;-0,007;-0,0925
"parent";-4,1326;3,7709;2,0573;-0,0299;-0,3937
"lopez";2,6922;-2,4733;-0,0194;-0,0094;-0,1233
"rugby";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"côté";-10,3206;11,3029;-0,0545;-0,0264;-0,3473
"capable";0,4831;-0,415;-0,0121;-0,0058;-0,0771
"mars";0,7148;-1,5786;-0,0194;-0,0094;1,5033
"delage";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"new_yorkais";-21,2959;22,6113;-0,0521;-0,0252;-0,3318
"davant";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"mot";0,294;-0,9437;-0,0133;-0,0064;1,8172
"christine";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"rappeler";-0,3875;-0,3739;-0,0157;1,7605;0,6861
"ex_membre";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"fils";-0,9818;1,1117;-0,0133;-0,0064;-0,0848
"citation";5,389;-4,9509;-0,0387;-0,0187;-0,2468
"film";4,3813;-5,2751;-0,0679;-0,0328;0,5877
"important";0,5826;-0,9437;-0,0133;-0,0064;0,7513
"revenir";1,1432;-2,9261;1,0688;-0,0187;1,7388
"révéler";3,029;-2,7828;-0,0218;-0,0105;-0,1387
"public";2,3554;-2,1639;-0,0169;-0,0082;-0,1079
"agathe";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"récit";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"csa";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"rapport";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"etienne";6,7393;-6,1913;-0,0485;-0,0234;-0,3086
"association";1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"porte";2,998;-2,6689;-0,0363;-0,0176;-0,2314
"président";4,3359;-3,9254;-0,04;-0,0193;-0,2545
"troisième";2,05;-2,7828;-0,0218;-0,0105;0,5631
"travail";0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"pari";1,7702;-2,2474;-0,0254;-0,0123;0,507
"part";0,5317;-0,447;-0,0169;-0,0082;-0,1079
"dossier";0,6869;-1,8546;-0,0145;-0,007;1,743
"gasnier";8,0907;-7,4328;-0,0582;-0,0281;-0,3705
"recevoir";1,2259;-1,9115;-0,0351;1,4164;0,3953
"expert";1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"secret";0,7148;-0,9989;-0,0194;-0,0094;0,607
"mener";-0,3082;0,3682;-0,0133;-0,0064;-0,0848
"moment";0,9078;-1,3195;-0,0169;-0,0082;0,6576
"travers";0,447;-0,3739;-0,0157;-0,0076;-0,1002
"jimmy";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"dewalle";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"avenir";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"conseil";1,1938;-1,0669;-0,0145;-0,007;-0,0925
"travailler";1,4729;-1,3195;-0,0169;-0,0082;-0,1079
"lointain";-7,6467;8,3979;-0,0436;-0,0211;-0,2777
"invité";7,4854;-9,297;-0,0727;-0,0352;0,5458
"objet";1,9388;-1,6892;-0,0327;-0,0158;-0,2082
"terrien";-12,042;12,9495;-0,0412;-0,0199;-0,2623
"laurie";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"chien";-3,5923;3,8545;-0,0121;-0,0058;-0,0771
"extrait";2,0342;-3,5567;-0,0278;-0,0135;1,214
"identifier";0,8598;-0,7093;-0,0303;-0,0146;-0,1928
"lfi";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"expliquer";3,0983;-3,4492;-0,0436;-0,0211;0,3257
"réseau";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"écrire";0,6869;-1,0669;-0,0145;-0,007;0,7172
"auproux";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"mélenchon";4,3772;-4,0213;-0,0315;-0,0152;-0,2005
"bernard";4,04;-3,7116;-0,029;-0,014;-0,185
"beau";0,3676;-0,5945;-0,0145;-0,007;0,7172
"sembler";-1,4042;1,5988;-0,0194;-0,0094;-0,1233
"cacher";-0,6182;0,7449;-0,023;-0,0111;-0,1465
"annonce";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"agnès";0,4831;-0,823;-0,0121;-0,0058;0,789
"moyen";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"provoquer";-32,567;34,9295;-0,1019;-0,0493;-0,6494
"système";2,1973;-2,9375;-0,023;-0,0111;0,5432
"membre";4,3359;-3,9254;-0,04;-0,0193;-0,2545
"parole";3,4056;-3,0768;-0,0327;-0,0158;-0,2082
"philippe";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"mois";1,1938;-1,8546;-0,0145;-0,007;0,7172
"naître";-6,8731;7,5636;-0,0412;-0,0199;-0,2623
"enquête";0,3881;-0,3036;-0,0266;-0,0129;-0,1696
"nouvelle";-1,0628;0,4641;-0,0157;-0,0076;1,6755
"mettre";-0,3874;-0,2882;-0,0303;1,4798;0,4456
"construire";1,6151;-1,4483;-0,0181;-0,0088;-0,1156
"émission";4,3359;-4,6598;0,9282;-0,0264;-0,3473
"coeur";-0,6748;0,4641;-0,0157;-0,0076;0,6861
"claude";1,8793;-3,6408;-0,0375;-0,0181;1,776
"présidentiel";2,3554;-2,1639;-0,0169;-0,0082;-0,1079
"âge";0,7955;-0,6906;-0,0157;-0,0076;-0,1002
"manquer";-8,4251;9,154;-0,0375;-0,0181;-0,2391
"bande";1,0234;-1,4483;-0,0181;-0,0088;0,6313
"humanité";4,04;-3,7116;-0,029;-0,014;-0,185
"gouvernement";2,05;-1,843;-0,0218;-0,0105;-0,1387
"antique";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"entrepreneur";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"exister";1,142;-0,9989;-0,0194;-0,0094;-0,1233
"peret";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"actuel";2,3554;-2,1639;-0,0169;-0,0082;-0,1079
"retour";2,8572;-2,5416;-0,0351;-0,017;-0,2236
"cnews";4,04;-3,7116;-0,029;-0,014;-0,185
"élément";1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"groupe";0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"entier";1,4611;-1,264;-0,0278;-0,0135;-0,1773
"humour";-16,7865;17,2144;-0,0764;-0,0369;-0,1575
"frédéric";3,5695;-4,0682;-0,0412;-0,0199;0,3436
"boucher";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"courir";-10,3559;10,2146;-0,046;-0,0223;0,309
"haut";2,6449;-3,4019;-0,0266;-0,0129;0,4904
"nombreux";-21,4608;23,5911;-0,119;-0,0575;-0,7581
"apporter";0,294;-0,5024;-0,0133;-0,0064;0,7513
"revue";0,4831;-1,5453;-0,0121;-0,0058;1,8993
"cnrs";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"sse";-12,8582;13,6516;-0,0315;-0,0152;-0,2005
"chercheur";0,4831;-0,823;1,5612;-0,0058;-0,0771
"départ";-18,6239;19,9129;-0,0545;-0,0264;-0,3473
"bellver";8,0907;-7,4328;-0,0582;-0,0281;-0,3705
"porter";0,227;-0,823;-0,0121;-0,0058;1,8993
"envoyer";-0,3875;0,4641;-0,0157;-0,0076;-0,1002
"alain";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"phénomène";2,1879;-3,8807;-0,0618;-0,0299;1,9152
"péril";-24,2796;25,7799;-0,0594;-0,0287;-0,3782
"pté";-12,8582;13,6516;-0,0315;-0,0152;-0,2005
"sud";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"christian";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"enfant";-0,5453;-0,663;2,2012;-0,0252;2,1745
"vaisseau";-3,9502;4,3812;-0,029;-0,014;-0,185
"bout";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"affrontement";2,187;-2,0092;-0,0157;-0,0076;-0,1002
"blanc";2,6922;-2,4733;-0,0194;-0,0094;-0,1233
