"";"";"";"";"super";""
"34";"déclaration";"-0.86831089326185";"0.785218433106819";"0.761979568192879";"105"
"35";"débarquer";"1.53788697708683";"0.215634873580032";"0.76164040191742";"107"
"36";"commentaire";"-0.86831089326185";"0.785218433106819";"0.723887426944661";"116"
"37";"état";"-0.86831089326185";"0.785218433106819";"0.723887426944661";"117"
"38";"tsoukalos";"-0.86831089326185";"0.785218433106819";"0.711187534185807";"128"
"39";"commenter";"-0.868310893261849";"0.785218433106824";"0.698495178455297";"132"
"40";"présentation";"-0.86831089326185";"0.785218433106819";"0.698495178455297";"133"
"41";"enlever";"1.44163906227288";"0.238418215961103";"0.694538238574942";"135"
"42";"aider";"1.44163906227288";"0.238418215961103";"0.694538238574942";"136"
"43";"ciel";"-0.662065361517677";"0.73639698514738";"0.687694616839013";"140"
"44";"vivre";"-0.605816580132903";"0.723082044794807";"0.686488692304048";"141"
"45";"apparition";"-0.86831089326185";"0.785218433106819";"0.685802822724787";"142"
"46";"scientologie";"-0.86831089326185";"0.785218433106819";"0.685802822724787";"145"
"47";"époque";"-0.86831089326185";"0.785218433106819";"0.673110466994276";"153"
"48";"belhousse";"-0.86831089326185";"0.785218433106819";"0.673110466994276";"154"
"49";"millier";"-0.86831089326185";"0.785218433106819";"0.673110466994276";"155"
"50";"discussion";"-0.86831089326185";"0.785218433106819";"0.673110466994276";"159"
"51";"dewalle";"-0.86831089326185";"0.785218433106819";"0.673110466994276";"160"
"52";"claviere";"-0.86831089326185";"0.785218433106819";"0.673110466994276";"162"
"53";"pomart";"-0.86831089326185";"0.785218433106819";"0.673110466994276";"163"
"54";"karim";"-0.86831089326185";"0.785218433106819";"0.660418111263766";"169"
"55";"public";"-0.86831089326185";"0.785218433106819";"0.660418111263766";"171"
"56";"présidentiel";"-0.86831089326185";"0.785218433106819";"0.660418111263766";"172"
"57";"actuel";"-0.86831089326185";"0.785218433106819";"0.660418111263766";"173"
"58";"polémiste";"-0.86831089326185";"0.785218433106819";"0.660418111263766";"174"
"59";"site";"-0.569610467977186";"0.714511508475908";"0.647770977703317";"185"
"60";"explorer";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"186"
"61";"humoriste";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"187"
"62";"richard";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"188"
"63";"alexis";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"189"
"64";"élection";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"190"
"65";"média";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"191"
"66";"omar";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"192"
"67";"suggérer";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"193"
"68";"corbière";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"194"
"69";"delage";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"195"
"70";"christine";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"196"
"71";"csa";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"197"
"72";"antique";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"198"
"73";"affrontement";"-0.86831089326185";"0.785218433106819";"0.647725755533256";"200"
"74";"gouvernement";"-0.707897701905271";"0.747246195805033";"0.637400026702615";"206"
"75";"naulleau";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"210"
"76";"damien";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"211"
"77";"kelly";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"212"
"78";"pyramide";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"213"
"79";"chef";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"214"
"80";"urgentiste";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"215"
"81";"ligne";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"217"
"82";"explication";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"218"
"83";"laporte";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"219"
"84";"légende";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"220"
"85";"revel";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"221"
