expliquer;2;0;7;0;12;0;0;1;0;2;2;1;1;0;0;0;0;0
débat;1;4;3;1;0;0;2;0;1;0;1;2;2;1;1;0;0;0
dernier;1;0;2;1;1;4;1;1;4;3;0;1;9;2;0;0;0;0
retrouver;1;0;0;1;2;2;1;18;0;0;1;0;2;0;0;0;0;1
posséder;0;0;0;0;0;4;2;0;0;1;0;1;1;0;0;23;0;0
origine;0;0;9;2;4;9;2;1;0;5;0;0;0;0;0;0;1;1
comprendre;0;0;2;1;1;0;1;7;2;0;0;1;0;1;0;0;0;0
terrien;0;0;2;0;0;0;2;0;2;0;1;0;0;0;0;26;0;0
robot;1;1;1;0;0;0;0;2;0;0;2;1;0;0;0;0;0;26
naître;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;26;0;0
inviter;6;3;2;2;2;0;0;0;1;0;0;3;1;10;0;0;0;0
frédéric;4;2;1;1;3;0;0;0;0;0;0;1;1;12;0;0;0;0
voler;0;0;1;0;1;0;0;2;1;0;0;0;1;0;0;26;0;0
vivre;1;0;5;0;6;0;3;3;0;0;5;0;9;0;0;0;0;0
président;1;0;1;1;0;0;2;1;0;0;0;2;0;5;11;0;0;0
membre;0;1;0;0;0;0;0;0;1;1;0;0;0;0;26;0;0;0
général;0;0;2;2;0;0;0;0;0;0;0;0;2;0;14;0;0;0
trouver;2;0;2;1;1;7;1;1;2;3;0;0;3;0;0;0;0;1
revenir;0;0;1;3;4;10;0;1;0;1;0;1;3;4;0;0;0;0
luc;1;2;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0
citation;1;0;1;0;0;0;2;0;1;0;0;2;0;2;8;0;0;0
cas;2;0;3;1;1;1;2;0;0;0;2;2;2;13;0;0;0;0
américain;5;1;1;0;1;2;6;4;4;0;1;0;0;1;0;0;0;0
acteur;1;0;0;2;1;0;0;0;0;0;1;1;0;14;0;0;0;0
témoin;0;2;0;3;0;1;1;0;1;5;2;0;1;0;12;0;0;0
thierry;1;1;0;1;4;0;0;0;0;0;1;0;0;7;15;0;0;0
sujet;5;8;0;3;3;0;0;1;0;0;0;1;0;3;1;0;0;0
question;6;0;7;0;0;1;5;1;0;2;2;0;0;0;0;0;0;0
manquer;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;26;0;0
grandir;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;26;0;0
forme;0;0;0;4;0;0;2;3;5;7;1;0;3;0;0;0;0;0
député;0;1;0;0;0;0;0;0;0;0;0;2;0;1;24;0;0;0
claude;1;0;1;5;1;0;0;0;2;0;2;1;2;1;0;0;0;0
unir;2;1;2;0;0;1;0;0;0;2;0;0;1;2;0;0;0;0
raconter;0;1;4;2;4;4;0;1;0;0;9;1;2;0;0;0;0;0
porte;1;0;0;1;0;1;1;1;1;1;0;3;0;2;16;0;0;0
intervenir;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;26;0;0
figure;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;26;0;0
édition;1;0;0;0;0;0;0;0;0;0;0;1;1;14;0;0;0;0
visuel;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0
site;2;1;3;0;1;7;4;1;2;0;1;3;0;2;0;0;0;0
secrétaire;0;0;0;1;0;0;0;0;0;0;1;0;0;0;14;0;0;0
retour;12;4;0;0;0;0;0;0;0;0;0;2;0;4;1;0;0;1
recevoir;10;1;4;2;0;2;1;0;0;1;1;1;1;1;0;0;0;0
environnement;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;25
danger;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;26;0;0
affaire;1;5;0;0;1;2;0;2;0;0;2;1;2;0;4;0;0;0
théoricien;0;0;4;0;0;9;12;0;0;2;0;0;0;0;0;0;0;0
ciel;0;0;4;0;0;3;1;0;2;8;2;0;0;0;0;0;0;0
visiteur;0;0;3;0;0;3;14;2;1;2;0;0;0;0;0;0;0;0
témoignage;0;0;0;4;0;0;0;0;4;1;12;0;1;0;1;0;0;0
parole;1;0;0;1;0;0;0;1;1;0;0;3;0;2;15;0;0;0
objet;0;0;0;1;1;1;0;5;0;14;1;0;0;0;0;0;0;0
femme;0;0;0;3;1;0;0;5;4;0;1;0;7;1;0;0;0;0
entraîner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0
créature;1;1;1;0;0;2;3;1;0;1;0;0;1;0;0;0;0;0
connaître;0;0;4;0;1;0;2;1;0;5;4;6;2;0;0;0;0;0
sse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0
pté;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0
peupler;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;25
partir;0;1;1;1;0;0;1;1;1;0;0;13;1;2;0;0;0;0
mélenchon;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
décontraction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0
culture;0;4;0;5;1;4;4;1;0;1;0;1;2;0;0;0;0;0
conquérant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0
aile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0
accidentellement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
temps;1;0;0;2;0;1;4;5;2;3;1;0;1;0;0;0;0;0
rencontre;0;1;1;10;0;5;1;1;0;2;1;0;0;1;0;0;0;0
penser;1;0;2;1;1;2;4;1;6;0;2;0;5;0;0;0;0;0
mettre;1;4;2;0;0;0;1;9;3;0;1;0;3;1;0;0;0;0
jour;1;2;3;8;2;0;0;1;2;1;1;0;0;1;0;0;0;0
identifier;0;0;2;0;0;0;0;1;0;10;0;0;0;0;0;0;0;0
découverte;3;0;8;1;0;4;0;1;0;0;1;0;1;2;0;0;0;0
devenir;0;2;1;0;0;0;7;0;0;0;2;0;10;1;0;0;0;0
voyage;2;0;1;1;0;0;0;1;0;0;1;0;0;2;7;0;0;0
vaisseau;0;1;0;0;0;1;3;2;6;1;0;0;0;0;0;0;0;0
sy;1;0;0;0;1;0;0;0;0;0;0;0;1;10;10;0;0;0
pierre;1;0;10;1;1;0;0;0;1;0;2;2;0;1;0;0;0;0
photo;1;0;0;1;9;1;0;0;0;9;0;0;0;0;0;0;0;0
