"V1";"V2";"V3";"V4";"V5";"V6"
"0";" 49";"0.00";"-4.66";"péril";"0.030836636"
"0";" 47";"0.00";"-4.46";"bellver";"0.034608154"
"0";" 46";"0.00";"-4.37";"ambre";"0.036666561"
"0";" 44";"0.00";"-4.17";"départ";"0.041165877"
"0";" 43";"0.00";"-4.07";"parent";"0.043623237"
"0";" 42";"0.00";"-3.97";"gasnier";"0.046231004"
"1";" 61";"1.64";"-3.79";"humour";"0.051484575"
"0";" 39";"0.00";"-3.68";"propre";"0.055057860"
"0";" 39";"0.00";"-3.68";"etienne";"0.055057860"
"0";" 39";"0.00";"-3.68";"carbonnier";"0.055057860"
"1";" 58";"1.72";"-3.51";"extraire";"0.061108933"
"0";" 37";"0.00";"-3.49";"mazaurette";"0.061893281"
"1";" 57";"1.75";"-3.41";"super";"0.064705196"
"0";" 36";"0.00";"-3.39";"courir";"0.065635227"
"0";" 35";"0.00";"-3.29";"maïa";"0.069613012"
"0";" 34";"0.00";"-3.20";"donner";"0.073842849"
"0";" 34";"0.00";"-3.20";"plateau";"0.073842849"
"0";" 34";"0.00";"-3.20";"lointain";"0.073842849"
"1";" 53";"1.89";"-3.04";"présenter";"0.081366815"
"0";" 32";"0.00";"-3.00";"posséder";"0.083130167"
"0";" 31";"0.00";"-2.91";"manquer";"0.088227112"
"6";"133";"4.51";"-2.90";"petit";"0.088763033"
"0";" 30";"0.00";"-2.81";"fry";"0.093655355"
"0";" 30";"0.00";"-2.81";"thierry";"0.093655355"
"0";" 30";"0.00";"-2.81";"figure";"0.093655355"
"1";" 50";"2.00";"-2.76";"grave";"0.096673986"
"0";" 29";"0.00";"-2.71";"retrouver";"0.099439098"
"0";" 29";"0.00";"-2.71";"membre";"0.099439098"
"0";" 29";"0.00";"-2.71";"grandir";"0.099439098"
"0";" 29";"0.00";"-2.71";"danger";"0.099439098"
"0";" 28";"0.00";"-2.62";"étrange";"0.105604696"
"0";" 28";"0.00";"-2.62";"témoin";"0.105604696"
"0";" 28";"0.00";"-2.62";"député";"0.105604696"
"0";" 28";"0.00";"-2.62";"porte";"0.105604696"
"0";" 27";"0.00";"-2.52";"pizza";"0.112180910"
"0";" 27";"0.00";"-2.52";"new_yorkais";"0.112180910"
"0";" 27";"0.00";"-2.52";"livreur";"0.112180910"
"0";" 27";"0.00";"-2.52";"cryogénisé";"0.112180910"
"0";" 27";"0.00";"-2.52";"environnement";"0.112180910"
"0";" 26";"0.00";"-2.43";"entraîner";"0.119199196"
"0";" 26";"0.00";"-2.43";"sse";"0.119199196"
"0";" 26";"0.00";"-2.43";"pté";"0.119199196"
"0";" 26";"0.00";"-2.43";"peupler";"0.119199196"
"0";" 26";"0.00";"-2.43";"décontraction";"0.119199196"
"0";" 26";"0.00";"-2.43";"conquérant";"0.119199196"
"0";" 26";"0.00";"-2.43";"aile";"0.119199196"
"0";" 25";"0.00";"-2.33";"sujet";"0.126694045"
"0";" 25";"0.00";"-2.33";"forme";"0.126694045"
"0";" 25";"0.00";"-2.33";"accidentellement";"0.126694045"
"0";" 24";"0.00";"-2.24";"retour";"0.134703377"
"0";" 24";"0.00";"-2.24";"parole";"0.134703377"
"0";" 23";"0.00";"-2.14";"témoignage";"0.143269003"
"0";" 23";"0.00";"-2.14";"objet";"0.143269003"
"0";" 23";"0.00";"-2.14";"culture";"0.143269003"
"0";" 23";"0.00";"-2.14";"sy";"0.143269003"
"0";" 23";"0.00";"-2.14";"disciple";"0.143269003"
"0";" 22";"0.00";"-2.05";"femme";"0.152437185"
"*****";"*";"*";"*";"*";"*"
" 5";"171";"2.92";"-7.67";"e";"0.005629496"
" 5";"126";"3.97";"-3.55";"leur";"0.059659096"
" 6";"141";"4.26";"-3.52";"pas";"0.060793704"
" 0";" 36";"0.00";"-3.39";"21";"0.065635227"
" 0";" 27";"0.00";"-2.52";"2999";"0.112180910"
"16";"265";"6.04";"-2.39";"s";"0.121771338"
"*";"*";"*";"*";"*";"*"
" 5";"298";"1.68";"-22.80";"*genregroupe_Animation";"1.793072e-06"
" 6";"304";"1.97";"-21.39";"*publicgroupe_Programmejeunesse";"3.750736e-06"
