"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"imaginaire";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,136;0,121;0,684;0,02;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"illustrer";0,059;0,678;0,545;0,647;0;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"identique";0,652;0,678;0,23;0,647;0,658;0,641;0,136;0,596;0,605;0;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"humoristique";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,065;0,717;0,609;0,657;0,742
"hommage";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"heureux";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0,136;0,605;0,684;0,7;0,088;0,155;0,591;0,675;0,555;0,608;0,704
"henry";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"henri";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"hasard";0,696;0,72;0,6;0,691;0,701;0,027;0,646;0,061;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"hanter";0,021;0,72;0,6;0,691;0,701;0,027;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"géoglyphes";0,652;0,678;0,545;0,647;0,658;0;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"générique";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0;0,717;0,609;0,657;0,742
"guider";0,652;0,678;0,545;0,065;0,658;0,641;0,136;0,596;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"gros";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"globe";0,652;0,678;0,23;0,647;0,658;0,072;0,136;0,596;0,605;0,03;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"gigantesque";0,652;0,678;0,003;0,647;0,658;0;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"genre";0,059;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"frontière";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,121;0,684;0,7;0,088;0,584;0,001;0,675;0,555;0,608;0,704
"former";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"foot";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"fonds";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,061;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"fond";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,061;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"faux";0,652;0,035;0,23;0,647;0,658;0;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"faciliter";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,061;0;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"exploser";0,696;0,72;0,6;0,024;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"evanno";0,696;0,72;0,6;0,024;0;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"entreprise";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,02;0;0,155;0,591;0,675;0,555;0,608;0,704
"enseigner";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"enceinte";0,059;0,678;0,545;0,647;0,053;0,641;0,596;0,596;0,121;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"empreinte";0,652;0,035;0,545;0,647;0,658;0,641;0,596;0,136;0,121;0,03;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"développement";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,646;0,654;0,009;0,005;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"détailler";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0,596;0,605;0,03;0,7;0,628;0,001;0,591;0,675;0,555;0,608;0,704
"département";0,652;0,035;0,545;0,065;0,658;0,641;0,596;0,136;0,605;0,684;0,7;0,628;0,584;0,144;0,675;0,555;0,608;0,704
"défi";0,696;0,011;0,6;0,691;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"décryptage";0,652;0,035;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,02;0,628;0,001;0,591;0,675;0,555;0,608;0,704
"décoder";0,652;0,678;0;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"déchiffrer";0,652;0,678;0,23;0,647;0,658;0,641;0;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"décembre";0,059;0,678;0,545;0,647;0,658;0,072;0,596;0,596;0,605;0,03;0,7;0,628;0,584;0,144;0,675;0,555;0,608;0,704
"débris";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"duel";0,652;0;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"dreyfus";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"doter";0,696;0,72;0,118;0,691;0,701;0,687;0,061;0,061;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"dizaine";0,021;0,72;0,6;0,691;0,018;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"diviser";0,696;0,72;0,6;0,691;0,701;0,687;0;0,646;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"disséminer";0,652;0,678;0,545;0,647;0,658;0,641;0;0,136;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"dessiner";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"desagnat";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0;0,675;0,555;0,608;0,704
"culturel";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0;0,642;0,717;0,609;0,657;0,742
"course";0,021;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"couper";0,059;0,035;0,545;0,647;0,658;0,641;0,596;0,596;0,121;0,684;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"cosmique";0,652;0,678;0,23;0;0,658;0,641;0,596;0,136;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"conserver";0,652;0,678;0,23;0,647;0,658;0,641;0;0,136;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"connecter";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,005;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"conférence";0;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"confier";0,652;0,035;0,545;0,647;0,658;0,641;0,596;0,596;0,121;0,684;0,7;0,088;0,155;0,591;0,675;0,555;0,608;0,704
"conduire";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,136;0,121;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,019
"composition";0,696;0,72;0;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"complot";0,652;0,678;0,545;0,647;0,658;0,641;0;0,596;0,121;0,684;0,02;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"coin";0,652;0,678;0,545;0,647;0,658;0;0,596;0,596;0,121;0,03;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"club";0,652;0,678;0,003;0,647;0,658;0,641;0,596;0,596;0,605;0,03;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"citoyen";0,696;0,72;0,6;0,691;0,701;0,687;0;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"cirou";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"chili";0,696;0,72;0,118;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,005;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"charlotte";0,696;0,011;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"chanter";0,652;0,678;0,545;0,065;0;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"capturer";0,696;0,72;0,118;0,691;0,701;0,687;0,061;0,061;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"broch";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"britannique";0,652;0,678;0,545;0,647;0;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"bref";0,696;0,011;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"brack";0,652;0,678;0;0,647;0,658;0,641;0,596;0,136;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"boris";0,652;0,678;0,003;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"boiter";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0;0,591;0,675;0,555;0,608;0,704
"blessure";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"black";0,652;0;0,545;0,647;0,658;0,641;0,596;0,136;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"big_bang";0,696;0,72;0,6;0,691;0;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"big";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,136;0;0,03;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"biais";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,646;0,654;0,009;0,005;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"beccaro";0,652;0,678;0,545;0,065;0;0,641;0,596;0,596;0,605;0,684;0,02;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"barthès";0,652;0;0,545;0,647;0,053;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,144;0,675;0,555;0,608;0,704
"banque";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"avancée";0,696;0,72;0;0,691;0,701;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"arme";0,652;0,678;0,545;0,647;0,658;0,641;0,136;0,136;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"apprêter";0,652;0,678;0,003;0,065;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"anna";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0;0,121;0,684;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"angela";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0;0,605;0,684;0,7;0,628;0,584;0,001;0,675;0,555;0,608;0,704
"amy";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,646;0,052;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"amener";0,652;0,678;0,545;0;0,658;0,641;0,136;0,596;0,605;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"allemagne";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0;0,675;0,555;0,608;0,704
"affirmation";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"acheter";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,035;0,072;0,642;0,717;0,609;0,657;0,742
"1ère";0,652;0,678;0,545;0,647;0,053;0,641;0,596;0,596;0,121;0,03;0,02;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"épais";0,696;0,72;0,6;0,691;0,701;0,027;0,646;0,061;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"éjonatown";0,696;0;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"économique";0,696;0,011;0,6;0,024;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"zapping";0,696;0,011;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"yéti";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"william";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,009;0,005;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"we";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,061;0,052;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"vétérinaire";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"vérif";0,696;0;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"véhicule";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,035;0,072;0,642;0,717;0,609;0,657;0,742
"voie";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,061;0,052;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"vivant";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0;0,642;0,717;0,609;0,657;0,742
"vallée";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"unique";0,696;0,72;0,6;0,024;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"télescope";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"trump";0,021;0,011;0,6;0,691;0,701;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"transe";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,061;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"terrain";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"terme";0,696;0,72;0,118;0,691;0,701;0,687;0,061;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"technopolis";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,061;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"sénateur";0,021;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"sébastien";0,021;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"synthèse";0,696;0,72;0,118;0,691;0;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"surprendre";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,061;0,052;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"supergirl";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,061;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"sud_ouest";0,696;0,72;0,118;0,691;0;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"steven";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,035;0,635;0,065;0,717;0,609;0,657;0,742
"sphère";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"souterrain";0,021;0,72;0,6;0,024;0,701;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"soulever";0,696;0,72;0,6;0,691;0,701;0,687;0;0,646;0,654;0,725;0,005;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"sortie";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,635;0;0,717;0,609;0,657;0,742
"sevan";0,696;0,72;0,118;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"session";0,696;0;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"serpent";0,696;0,72;0,6;0,691;0,701;0,687;0;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"semer";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,646;0,052;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"saison";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,065;0,717;0,609;0,657;0,742
"résoudre";0,696;0,011;0,6;0,691;0,018;0,687;0,646;0,061;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"répéter";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"régulièrement";0,696;0,72;0,118;0,691;0,018;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"réfugier";0,021;0,72;0,6;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"rédaction";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"réaction";0,021;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"russe";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"royaume";0,696;0,011;0,6;0,691;0,701;0,687;0;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"rire";0,696;0,72;0,6;0;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"rice";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"retraite";0,696;0,72;0,6;0,024;0,018;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"res";0,696;0,72;0,118;0,691;0,701;0,687;0,061;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"représentation";0,696;0,72;0,6;0,691;0,701;0;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"relater";0,696;0,72;0,6;0;0,701;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"rappel";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0;0,609;0,657;0,742
"raphaël";0,696;0;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"qualité";0,021;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"prévoir";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"progrès";0,696;0,72;0,6;0,024;0,701;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,05;0,742
"prix";0,021;0,72;0,6;0,691;0,701;0,687;0,646;0;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"primitif";0,696;0,72;0,6;0,024;0,701;0;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"prime";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0;0,717;0,609;0,657;0,742
"poétique";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"poubelle";0,696;0,011;0,118;0,691;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"porteil";0,696;0,72;0,6;0,024;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"pluie";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,061;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"plat";0,021;0,72;0,6;0,691;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"pied";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"phrase";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0;0,654;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"photographe";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"personnel";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,035;0,072;0,642;0,717;0,609;0,657;0,742
"peau";0,021;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"parvenir";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,035;0,072;0,642;0,717;0,609;0,657;0,742
"participant";0,696;0,72;0,118;0,691;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"paroi";0,696;0,72;0;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"papou";0,696;0,72;0,118;0,024;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"orphelin";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"originaire";0,696;0,72;0;0,691;0,701;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"négociation";0,696;0,72;0,6;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,005;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"noir";0,696;0,72;0,118;0,691;0,018;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"neige";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,005;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"métrage";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0;0,635;0,642;0,717;0,609;0,657;0,742
"métier";0,696;0,72;0,6;0;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"mériter";0,021;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"mémoire";0,696;0,72;0,6;0,691;0,018;0,687;0,646;0;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"mur";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"montage";0,696;0,72;0;0,691;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"monnet";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"minute";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,646;0,654;0,725;0,005;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"min";0,696;0,72;0,6;0,691;0;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"microtrottoir";0,696;0,72;0,118;0,024;0,701;0,687;0,646;0,646;0,654;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"mi_homme";0,696;0,72;0,118;0,691;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"maxence";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0;0,635;0,642;0,717;0,609;0,657;0,742
"mariage";0,696;0,72;0,6;0,691;0;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"marabout";0,696;0,72;0,6;0,024;0,701;0,687;0,646;0,061;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
