"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"vision";0,059;0,035;0,545;0,647;0,658;0,072;0,596;0,596;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"virus";0,696;0,72;0,6;0,691;0,701;0,027;0,646;0,061;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"version";0,021;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"vague";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0;0,005;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"us";0,652;0,678;0,545;0,647;0,658;0,072;0,596;0,596;0,121;0,03;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"télé";0,059;0,678;0,545;0,647;0,658;0,641;0,596;0,136;0,605;0,684;0,02;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"trou";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0;0,635;0,642;0,717;0,609;0,657;0,742
"tracer";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,136;0,605;0,684;0,7;0,628;0;0,591;0,675;0,555;0,608;0,704
"terrible";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"terrestre";0,652;0,678;0,003;0,647;0,658;0,641;0,596;0,596;0,605;0,03;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"technologique";0,652;0,678;0,003;0,647;0,658;0,641;0,136;0,596;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"taille";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,052;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"ségolène";0,696;0,011;0,6;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"séance";0,059;0,678;0,23;0,065;0,658;0,641;0,596;0,596;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"sylvie";0,021;0,72;0,118;0,691;0,018;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"surprenant";0,021;0,72;0,6;0,691;0,701;0,027;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"supercherie";0,652;0,678;0,23;0,647;0,658;0,072;0,596;0,596;0,605;0,684;0,7;0,628;0,001;0,591;0,675;0,555;0,608;0,704
"succession";0,652;0,678;0,545;0,065;0,658;0,641;0,596;0,136;0,605;0,684;0,7;0,088;0,584;0,144;0,675;0,555;0,608;0,704
"stellaire";0,696;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"soutenir";0,696;0,72;0,6;0,691;0,018;0,027;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"souhaiter";0,652;0,035;0,23;0,647;0,658;0,641;0,596;0,596;0,121;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"simplement";0,652;0,678;0,23;0,065;0,658;0,641;0,136;0,596;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"simple";0,696;0,011;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"signaler";0,696;0,72;0,6;0,691;0,701;0;0,061;0,646;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"seulement";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
