"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"fou";-0,032;-0,3013;-0,4104;-1,007;-0,0105;-0,0073;-0,4153;0,6433;0,3193;-2,4031;0,7538;-0,0068;-0,1215;-0,0059;0,4071;-0,585;-0,2321;-0,0715;-0,0407;-0,1325;-0,2548;7,2554;-0,0127;-0,0072
"expérience";-0,0202;0,4501;-0,2592;-0,636;-0,0067;-0,0046;0,3436;0,5494;-0,179;-0,8138;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;0,5429;2,334;-0,0257;0,7564;1,2106;-0,4552;-0,0081;-0,0045
"technologie";-0,0371;0,2579;-0,4752;1,0006;-0,0122;-0,0084;-0,4809;-0,8727;-0,3283;-2,7827;-0,3919;-0,0078;-0,1407;-0,0068;-0,2499;-0,6774;-0,2688;-0,0828;5,4087;1,3241;3,7875;0,252;-0,0148;-0,0083
"observation";-0,0185;-0,1744;-0,2376;-0,1978;-0,0061;-0,0042;-0,2404;-0,4363;-0,1641;-1,3912;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;-0,1344;-0,0414;-0,0235;-0,0767;10,0638;-0,4173;-0,0074;-0,0041
"sol";-0,0169;-0,1586;-0,216;-0,53;-0,0055;-0,0038;-0,2186;0,6674;-0,1492;-1,2647;1,232;-0,0036;-0,064;-0,0031;-0,1136;-0,3079;-0,1222;-0,0377;-0,0214;-0,0697;1,4231;1,3479;-0,0067;-0,0038
"son";1,4878;-1,8762;-3,7711;-0,7157;-0,1712;-0,1183;1,0857;4,4993;5,5899;-31,0303;2,7729;-0,1099;2,2118;0,7064;7,3429;-1,6989;-1,1593;3,4055;-0,6606;-1,3736;-4,0565;11,9586;-0,2071;-0,1162
"ligue";-0,0388;-0,3647;-0,4968;8,8065;-0,0128;-0,0088;-0,5028;-0,9123;-0,3432;-0,8831;-0,4097;-0,0082;1,3557;-0,0071;1,6843;-0,7082;-0,281;-0,0866;-0,0492;-0,1604;-0,8132;-0,8726;-0,0154;-0,0087
"corps";-0,0422;-0,3964;-0,54;-0,6971;-0,0139;-0,0096;-0,5465;1,2105;-0,373;-1,0393;0,5753;-0,0089;-0,1599;-0,0077;0,8683;-0,7698;-0,3055;-0,0941;2,1738;-0,1743;-0,8839;4,7767;-0,0168;-0,0094
"minute";-0,0573;0,4614;-0,7345;-1,8022;-0,0189;-0,013;-0,303;-1,3488;-0,1672;9,2486;-0,2212;-0,0121;-0,2175;-0,0105;0,6601;-0,5031;-0,4155;-0,128;-0,0728;-0,2371;-1,2022;-1,29;-0,0228;-0,0128
"cette";-0,162;0,5825;-0,8247;3,7633;-0,0533;-0,0368;0,2916;3,2406;-0,4357;-10,6255;1,0366;-0,0342;-0,6144;-0,0296;-0,5413;-0,4549;-1,1736;0,6964;1,0901;0,3436;-0,9159;1,5429;-0,0645;1,0975
"solère";-0,0236;-0,222;18,4104;-0,742;-0,0078;-0,0054;-0,306;-0,5553;-0,2089;-1,7706;-0,2494;-0,005;-0,0895;-0,0043;-0,159;-0,4311;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,5311;-0,0094;-0,0053
"égyptien";-0,0185;-0,1744;-0,2376;-0,583;-0,0061;-0,0042;-0,2404;0,198;-0,1641;-1,3912;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;-0,1344;-0,0414;-0,0235;0,7908;8,2884;-0,4173;-0,0074;-0,0041
"sommaire";-0,027;1,7409;0,2606;-0,3599;-0,0089;-0,0061;1,3877;-0,2315;-0,2387;-2,0236;0,8741;-0,0057;-0,1023;-0,0049;-0,1818;1,0367;-0,1955;-0,0602;-0,0342;-0,1116;-0,5657;0,407;-0,0107;-0,006
"nadia";-0,0304;26,0478;-0,3888;-0,954;-0,01;-0,0069;-0,3935;-0,714;-0,2686;-2,2766;-0,3206;-0,0064;-0,1151;-0,0055;-0,2045;-0,5542;-0,2199;-0,0678;-0,0385;-0,1255;-0,6364;-0,6829;-0,0121;-0,0068
"daam";-0,0304;26,0478;-0,3888;-0,954;-0,01;-0,0069;-0,3935;-0,714;-0,2686;-2,2766;-0,3206;-0,0064;-0,1151;-0,0055;-0,2045;-0,5542;-0,2199;-0,0678;-0,0385;-0,1255;-0,6364;-0,6829;-0,0121;-0,0068
"reportage";-0,0573;-0,1842;-0,7345;-1,0686;-0,0189;-0,013;7,419;6,4238;-0,5074;-4,3009;0,399;-0,0121;-0,2175;-0,0105;-0,3863;0,6968;-0,4155;-0,128;-0,0728;-0,2371;-1,2022;-1,29;-0,0228;-0,0128
"explorer";-0,0236;-0,222;-0,3024;-0,2921;-0,0078;-0,0054;-0,306;-0,5553;-0,2089;-1,0122;0,3597;-0,005;-0,0895;-0,0043;-0,159;0,6054;-0,171;-0,0527;-0,03;-0,0976;6,822;-0,5311;-0,0094;-0,0053
