Notice;Base Id;Chaine;Annee de diff;Genre;Public;Type d emission;resume
680716.072;SA;Gulli;2017;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Des extraterrestres enlèvent Morty à plusieurs reprises, ce qui rend Julian jaloux. Escorté de Clover et de son équipe, le roi décide de rencontrer ces étrangers..."
685388.001;TV;Canal +;1997;Fiction;Programme jeunesse;Emission simple incluse;Un casque au pouvoir télépathique est en possession d'Olrik. En suivant la piste du malfrat, Blake se retrouve à l'île de Pâques. Epaulé par Mortimer, il perce le secret des Moai, ces statues géantes qui ornent les plages de l'île. Elles ne seraient en réalité que des copies d'un grand Moai laissé là, il y a un millier d'années par une civilisation extra-terrestre. Le casque télépathique aurait la même origine... Arrêter Olrik ne sera pas une partie de plaisir, et l'affaire se complique lorsqu'un vaisseau d'origine inconnue se pose sur l'île, avec des intentions manifestement belliqueuses.
714248.058;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714317.056;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714382.069;SA;France 4;2018;Fiction;Programme jeunesse;Episode ou partie d'un programme inclus;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714382.070;SA;France 4;2018;Fiction;Programme jeunesse;Episode ou partie d'un programme inclus;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714382.071;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714382.072;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714466.054;SA;France 4;2018;Fiction;Programme jeunesse;Episode ou partie d'un programme inclus;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714466.055;SA;France 4;2018;Fiction;Programme jeunesse;Episode ou partie d'un programme inclus;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
714466.057;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
715209.059;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Des vaches se font enlever par un vaisseau OVNI trop rapide pour les Titans. Changelin est persuadé qu'en achetant un deux roues il pourra l'attraper.
Des vaches se font mystérieusement enlever par un vaisseau OVNI. Ce dernier est trop rapide pour les jeunes Titans. Changelin est persuadé qu'en achetant le nouveau deux roues qui vient de sortir il pourra enfin l'attraper. Mais pour se le payer il va devoir trouver un petit boulot..."
715209.060;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
715430.058;SA;France 4;2018;Fiction;Programme jeunesse;Episode ou partie d'un programme inclus;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
715430.059;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
719861.019;SA;RMC Découverte HD 24;2018;Culture connaissance;Déconseillé aux enfants;Emission simple;"[Source iMedia]
Selon les théoriciens des 'Anciens Astronautes', des douzaines d'épaves seraient cachées dans des bases militaires secrètes disséminées dans le monde entier.
Le gouvernement américain possède-t-il des vaisseaux extraterrestres ? Selon les théoriciens des 'Anciens Astronautes', des douzaines d'épaves seraient cachées dans des bases militaires secrètes disséminées dans le monde entier."
719861.020;SA;RMC Découverte HD 24;2018;Culture connaissance;Déconseillé aux enfants;Emission simple;"[Source iMedia]
Au XXIe siècle, spécialistes, scientifiques et gouvernements se sont officiellement associés pour partir à la recherche d'une vie extraterrestre intelligente.
Au XXIe siècle, spécialistes, scientifiques et gouvernements se sont officiellement associés pour partir à la recherche d'une vie extraterrestre intelligente. Pourtant, cela fait des décennies que cette 'chasse aux extraterrestres' a commencé."
719861.021;SA;RMC Découverte HD 24;2018;Culture connaissance;Déconseillé aux enfants;Emission simple;"[Source iMedia]
La Russie est la patrie du 'cosmisme' : les théoriciens des 'Anciens Astronautes' suggèrent que des visites extraterrestres ont précédé l'établissement de cette nation.
La Russie est la patrie du 'cosmisme' : les théoriciens des 'Anciens Astronautes' suggèrent que des visites extraterrestres ont précédé l'établissement de la nation, notamment sur le site antique d'Arkaïm."
720867.025;SA;RMC Découverte HD 24;2018;Culture connaissance;Déconseillé aux enfants;Emission simple;"[Source iMedia]
Selon des théoriciens des anciens astronautes, la vie sur terre, il y a plusieurs millénaires, aurait été bien différente de ce que l'on imagine généralement.
Selon des théoriciens des anciens astronautes, la vie sur terre, il y a plusieurs millénaires, aurait été bien différente de ce que l'on imagine généralement. D'après eux, les humains se partageaient la planète avec d'autres espèces inteligentes, telles que l'homme de Néandertal, de Denisova et même des hobbits. Les extraterrestres auraient utilisé la terre comme un laboratoire où implanter différents prototypes humains. A terme, seule une espèce aurait été conservée."
756770.019;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
756770.020;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Les Teen Titans, des adolescents qui possèdent des super pouvoirs, sauvent le monde de graves périls : à leur tête, le jeune Robin, ancien disciple de Batman.
Les Teen Titans ne sont pas des ados comme les autres. Grâce à leur super pouvoirs, ils interviennent lorsque le monde court de graves dangers. Avec humour et décontraction, ils sauvent l'univers de tous les périls. A leur tête, Robin, qui a grandi dans un cirque avec ses parents. Il a été adopté par Batman, qui l'a bien entraîné. Il vole aujourd'hui de ses propres ailes, après avoir quitté Gotham City pour Jump City. A ses côtés, figure Starfire, une princesse extraterrestre née sur la planète Tamaran, mais aussi Raven, fille d'une Terrienne et d'un lointain conquérant. Une série d'animation rythmée, pleine d'aventures et qui ne manque pas d'humour."
760937.016;TV;TF1;1998;Fiction;Programme jeunesse;Emission simple incluse;Joie incommensurable ! Le docteur Sydney Globule a gagné la super cagnotte de la grande loterie transylvanienne ! Malheureusement pour lui, un kangourou pickpocket lui dérobe lâchement le billet gagnant avant d'être kidnappé p ar des extra terrestres. Globule et Horrifido se lancent à leur poursuite et c'est le début d'aventures intersidérales... sidérantes. Globule parviendra t il à récupérer le billet gagnant ?
762702.005;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple;"[Source iMedia]
Alors que les Super 4 croient venir repousser une nouvelle invasion sykronienne, ils ont la surprise de voir le Docteur X, le Roi Kenric, la Reine des Fées et même Barbe de Requin en train de boire le thé avec l'extraterrestre à Technopolis. Sykronior est venu signer un traité de paix. Les Super 4 sont chassés de la cité. Mais ils sont rappelés quand Sykronior dévoile ses véritables intentions, endormir tout Technopolis..."
762891.005;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple;"[Source iMedia]
Dans le ciel de l'Ile enchantée apparaît un vortex d'où s'abat une pluie de projectiles. Pensant faire face à une nouvelle arme sykronienne, les Super 4 partent en guerre contre les extraterrestres. Mais contre toute attente, Sykronior n'a pas la moindre idée de ce dont il s'agit. Les Super 4 se catapultent alors à travers le vortex, pour découvrir qu'il s'agit en fait d'une poubelle géante où le Dr X jette les détritus de Technopolis..."
764038.078;SA;France 4;2018;Fiction;Programme jeunesse;Episode ou partie d'un programme inclus;"[Source iMedia]
Lex Luthor s'allie avec un scientifique d'origine extra-terrestre et doté d'une intelligence exceptionelle, Brainiac, pour en finir avec Superman.
Lex Luthor s'allie avec un scientifique d'origine extra-terrestre, Brainiac, d'une intelligence exceptionelle, pour en finir avec Superman. Luthor fournit un nouveau corps à Brainiac, composé de kryptonite, mais Brainiac ne tarde pas à trahir son associé pour entamer la conquête de la Terre..."
764038.079;SA;France 4;2018;Fiction;Programme jeunesse;Episode ou partie d'un programme inclus;"[Source iMedia]
Lex Luthor s'allie avec un scientifique d'origine extra-terrestre et doté d'une intelligence exceptionelle, Brainiac, pour en finir avec Superman.
Lex Luthor s'allie avec un scientifique d'origine extra-terrestre, Brainiac, d'une intelligence exceptionelle, pour en finir avec Superman. Luthor fournit un nouveau corps à Brainiac, composé de kryptonite, mais Brainiac ne tarde pas à trahir son associé pour entamer la conquête de la Terre..."
764979.026;SA;C8;2018;Culture connaissance;Présence d'un public in situ;Emission simple;"[Source iMedia]
Il n'y a pas que la télévision dans la vie : partant de ce constat qu'il rappelle souvent à l'antenne, Cyril Hanouna s'intéresse plus largement à toute l'actualité avec une équipe remaniée. Sans complexe et toujours avec beaucoup d'humour, ils abordent différents sujets de société qui font la une, et tous les avis sont permis. Des rubriques étonnantes permettent de dénicher des informations parfois un peu oubliées dans le flot continu de nouvelles.



[Source Kantar Media] : 
Avec Eric Naulleau, Agathe Auproux, Karim Zeribi, Ramous, Eric Revel, Christine Kelly, Bernard Laporte, Doc Gynéco. Premier débat : boucheries vandalisées par des vegans, team vegans ou team bouchers ? 
22:55:50 Extrait d'une vidéo de Ramous contre les vandalisations de boucheries par des mouvements vegans.

22:56:44 Commentaire sur le phénomène. Visuel BFM TV. 
22:57:04  Visuel Cnews. 
22:57: 30 Interview d'Aymeric Caron. 
22:57:44  Visuel Europe 1. Le responsable des débordements est le gouvernement qui n'a tenu aucune de ses promesses pour le bien-être animal.
Avec Romain Leboeuf, boucher et meilleur ouvrier de France ; Vincent Aubry, végan et membre du collectif Boucherie Abolition. Les anti spécistes veulent l' abolition des boucheries. 
22:59:38  La boucherie de Romain a été vandalisée plusieurs fois.
Avec Romain Leboeuf, boucher et meilleur ouvrier de France ; Vincent Aubry, végan et membre du collectif Boucherie Abolition. De plus en plus de personnes sont végans. 
23:02:40 Citation des élevages.
Avec Romain Leboeuf, boucher et meilleur ouvrier de France ; Vincent Aubry, végan et membre du collectif Boucherie Abolition. Certaines vidéos d'abattoirs sont choquantes. 
23:05:45  La filière viande va dans le sens du consommateur.
Avec Romain Leboeuf, boucher et meilleur ouvrier de France ; Vincent Aubry, végan et membre du collectif Boucherie Abolition. 
23:08:26 Citation d'Anne Hidalgo. Personne n'est pour la souffrance animale. 
23:09:15 Citation des lois. 
23:09: 50  Les bouchers dont les vitrines ont été fissurées ont été reçus par le ministre de l'Intérieur. Les anti spécistes n'ont pas d'interlocuteur.
Avec Romain Leboeuf, boucher et meilleur ouvrier de France ; Vincent Aubry, végan et membre du collectif Boucherie Abolition. Les anti-spécistes veulent l' abolition de la zoophagie. 
23:11:45  Les bouchers se préoccupent du bien-être animal.
Avec Romain Leboeuf, boucher et meilleur ouvrier de France ; Vincent Aubry, végan et membre du collectif Boucherie Abolition. L'avis des téléspectateurs : majorité de team bouchers. 
23:12:23  Visuel Franceinfo.fr.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ?  
23:42:45 Commentaire sur l'affaire des perquisitions. 
23:44:05 Citation de BFM TV. 
23: 44:28  Le syndicat de police Alliance envisage de porter plainte. 
23:44:35 Visuel AFP TV. 
23:44:43 Extrait d'interview de l'avocat de Jean-Luc Mélenchon sur Europe 1.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. 
23:47:41 Citation de la fraude et l'évasion fiscale.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. 
23:48:06 Extrait de Quotidien sur TMC sur les perquisitions.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Le point sur les perquisitions. 
23:50:03  De nombreux policiers meurent en service. 
23:51:05  La France Insoumise est irrespectueuse envers des policiers et de magistrats.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Jamais aucun leader d'un parti politique n'avait bousculé de magistrat avant Jean-Luc Mélenchon. 
23:52:05 Citation du bouton nucléaire. 
23:54:50  Jean-Luc Mélenchon vote des lois puis s'assoit dessus.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Il n'y a pas de perquisitions au siège de LREM alors que leurs comptes de campagne sont discutables également.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Le point sur les perquisitions. La France Insoumise estime que ces perquisitions sont abusives.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. 
00:09:54 Commentaire sur l'affaire de la ""glottophobie"" de Jean-Luc Mélenchon. Visuel BFM TV et Cnews. 
00:10:15 Retour plateau. 
00:10: 49 Citation d'une loi d'un député LREM contre la ""glottophobie"". Sur le fond,  il est compréhensible de douter de l'impartialité du parquet. Sur la forme, Jean-Luc Mélenchon n'a pas été correct.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Jean-Luc Mélenchon est un personnage ""grande gueule"" et il n'est pas épargné par les médias. 
00:17:00  La politique et la justice ne doivent devenir ni des cirques ni des théâtres.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Emmanuel Macron s'est mêlé de la nomination d'un procureur.c 
00:17: 33  La CEDH montre du doigt la France sur son problème de non indépendance des procureurs.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. La justice doit pouvoir faire son travail. Le cas de François Fillon lors de l'élection présidentielle. L'un des emplois fictifs de Pénélope Fillon a été reconnu. 
00:20:53  La justice peut percuter la vie politique.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. A propos d'un livre de Marcel Gauchet sur Robespierre. Jean-Luc Mélenchon est la réincarnation de Robespierre.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Jean-Luc Mélenchon déteste la police. 
00:27:14 Citation des lois Travail.
Troisième débat : perquisition,  comprenez-vous le comportement de Jean-Luc Mélenchon ? Avec Alexis Corbière de LFI et Jean-Claude Delage, secrétaire général du syndicat de police Alliance. Cette affaire n'a pas fait du bien à Jean-Luc Mélenchon. 
00:31:08 La France Insoumise lutte tous les jours contre la pauvreté et les inégalités.
Quatrième débat : pour ou contre le célibat des prêtres ?  
00:40:06 Commentaire sur la question du célibat des prêtres. La question revient beaucoup avec les scandales d'abus sexuels et de pédophilie dans l'Eglise. 
00:40:40  Visuel TV5 Monde et France 2. 
00:40:48  Visuel Konbini.
Quatrième débat : pour ou contre le célibat des prêtres ? La question a été relancée par les nombreux scandales d'agressions sexuelles au sein de l'Eglise. 
00:47:24 Citation de la PMA.
Quatrième débat : pour ou contre le célibat des prêtres ? Les exceptions existent dans toutes les religions. Ce n'est pas le célibat qui produit la perversion. 
00:54:35 Citation de la pédophilie.
Le thème : croyez-vous aux extraterrestres ? Le témoignage de Cédric. 
01:40:23 Citation de Youtube."
765018.078;SA;France 4;2018;Fiction;Programme jeunesse;Emission simple incluse;"[Source iMedia]
Tous les matins, Oscar et sa voisine Malika font ensemble le chemin jusqu'à l'école. Tous les matins, en dépit de leurs efforts, ils arrivent en retard à cause d'un événement extraordinaire."
766388.002;TV;Canal +;1998;Fiction;Programme jeunesse;Emission simple incluse;Henri se lance dans une entreprise héroïque. Il construit une fusée rudimentaire afin de devenir la première taupe qui aura voyagé dans l'espace. Le décollage est toutefois catastrohique. La fusée explose et catapulte Henri derrière un buisson. Tombée de son engin interplanétaire, la taupe croit avoir atterri sur un monde lointain ou, possibilité plus angoissante encore, sur une terre d'une dimension parallèle identique à la nôtre. Henri se comportera avec ses ami comme le ferait un cosmonaute qui rencontrerait des extraterrestres, d'ou une succession de situations équivoques...
