"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"changement";15,902;-0,346;-1,4;-1,632;-0,44;-0,992
"be";-2,381;25,987;-1,602;-1,867;-0,503;-1,135
"ancien";0,011;0,004;3,256;-0,929;-0,251;-0,565
"altra";-2,983;-3,145;-2,007;-2,34;-0,631;71,988
"youtu";-2,081;22,711;-1,4;-1,632;-0,44;-0,992
"série";0,011;5,845;-0,797;-0,929;-0,251;-0,565
"science";0,301;1,485;0,087;-0,511;-0,631;-1,422
"réseau";0,023;6,718;-0,096;-1,867;-0,503;-1,135
"roswell";0,011;-1,249;-0,797;8,328;-0,251;-0,565
"relique";-1,782;-1,878;30,47;-1,397;-0,377;-0,849
"org";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"oddbods";-2,081;22,711;-1,4;-1,632;-0,44;-0,992
"nextraterrestre";-2,983;32,56;-2,007;-2,34;-0,631;-1,422
"nextra_terrestre";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"nalien";-2,381;25,987;-1,602;-1,867;-0,503;-1,135
"meilleur";-0,888;3,072;-0,597;-0,696;4,111;-0,423
"matin";-2,983;-1,051;-2,007;33,651;-0,631;-1,422
"marion";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"live";12,528;-2,51;-0,096;-0,209;-0,503;-1,135
"libre";18,846;-3,145;-0,314;-0,511;-0,631;-1,422
"jour";-1,483;0,738;6,876;-1,163;-0,314;-0,707
"cospirazione";-2,983;-3,145;-2,007;-2,34;-0,631;71,988
"contact";-2,983;-3,145;13,833;2,987;-0,631;-1,422
"comprendre";19,242;-0,561;-1,602;-1,867;-0,503;-1,135
"cacher";-2,682;-0,011;10,021;0,071;-0,567;-1,279
"animé";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"épisode";-0,128;6,165;-1,198;-1,397;1,275;-0,849
"spécialiste";6,234;-1,249;0,208;-0,929;-0,251;-0,565
"sam";-0,289;15,002;-1,4;-1,632;-0,44;-0,992
"répondre";1,695;-1,249;3,256;-0,929;-0,251;-0,565
"royalty";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"retrouver";-1,782;6,165;1,233;-1,397;-0,377;-0,849
"recherche";-0,888;3,072;0,614;-0,696;-0,188;-0,423
"propos";-0,888;3,072;0,614;-0,696;-0,188;-0,423
"passer";7,249;-2,51;0,418;-1,867;0,643;-1,135
"noir";-0,888;0,154;0,614;0,418;-0,188;-0,423
"nickelodeon";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"macleod";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"kevin";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"janvier";10,211;-0,936;-0,597;-0,696;-0,188;-0,423
"jacques";23,939;-2,193;-1,4;-1,632;-0,44;-0,992
"isrc";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"incompetech";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"gli";-2,682;-2,827;-1,804;-2,103;-0,567;64,712
"free";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"exister";-2,381;-0,561;29,437;-1,867;-0,503;-1,135
"découvrir";0,135;-2,193;15,392;-1,632;-0,44;-0,992
"découverte";-0,289;-0,346;15,392;-1,632;-0,44;-0,992
"dr";15,651;-0,798;-1,804;-0,351;-0,567;-1,279
"del";-2,682;-0,798;-1,804;-2,103;-0,567;49,35
"conscience";30,852;-2,827;-1,804;-2,103;-0,567;-1,279
"complet";-2,081;15,002;-1,4;-1,632;0,905;-0,992
"bellanca";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"article";-2,381;25,987;-1,602;-1,867;-0,503;-1,135
"équipe";0,023;0,007;-0,096;1,856;-0,503;-1,135
"web";0,011;5,845;-0,797;-0,929;-0,251;-0,565
"voir";-2,381;0,849;12,347;-1,867;-0,503;-1,135
"vf";-2,381;25,987;-1,602;-1,867;-0,503;-1,135
"tricher";-0,022;8,811;-0,997;-1,163;-0,314;-0,707
"reportage";-0,484;18,169;-1,602;-1,867;-0,503;-1,135
"pyramide";19,242;-2,51;-0,096;-1,867;-0,503;-1,135
"preuve";-1,782;-1,878;30,47;-1,397;-0,377;-0,849
"prendre";-0,484;0,849;6,543;-1,867;-0,503;-1,135
"photo";-2,381;11,746;0,418;-1,867;-0,503;-1,135
"of";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"musique";1,619;1,431;-0,026;-1,632;-0,44;-0,992
"jones";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
