"";"x"
"1052";1
"1053";0
"1054";1
"1055";1
"1056";0
"1057";0
"1058";0
"1059";0
"1060";2
"1061";1
"1062";3
"1063";1
"1064";1
"1065";0
"1066";3
"1067";2
"1068";2
"1069";2
"1070";2
"1071";0
"1072";1
"1073";1
"1074";0
"1075";0
"1076";0
"1077";0
"1078";2
"1079";3
"1080";2
"1081";2
"1082";2
"1083";2
"1084";0
"1085";0
"1086";1
"1087";1
"1088";0
"1089";2
"1090";0
"1091";2
"1092";2
"1093";2
"1094";2
"1095";2
"1096";2
"1097";2
"1098";2
"1099";2
"1100";2
"1101";2
"1102";2
"1103";2
"1104";2
"1105";2
"1106";2
"1107";3
"1108";1
"1109";2
"1110";2
"1111";2
"1112";2
"1113";2
"1114";2
"1115";2
"1116";2
"1117";1
"1118";2
"1119";0
"1120";0
"1121";1
"1122";1
"1123";1
"1124";1
"1125";0
"1126";0
"1127";0
"1128";2
"1129";0
"1130";0
"1131";1
"1132";1
"1133";1
"1134";0
"1135";0
"1136";2
"1137";2
"1138";0
"1139";1
"1140";1
"1141";1
"1142";1
"1143";2
"1144";0
"1145";0
"1146";2
"1147";2
"1148";2
"1149";2
"1150";0
"1151";2
"1152";3
"1153";3
"1154";4
"1155";0
"1156";0
"1157";3
"1158";1
"1159";4
"1160";4
"1161";0
"1162";4
"1163";5
"1164";3
"1165";3
"1166";0
"1167";2
"1168";5
"1169";0
"1170";0
"1171";4
"1172";4
"1173";3
"1174";1
"1175";1
"1176";0
"1177";0
"1178";0
"1179";3
"1180";0
"1181";3
"1182";3
"1183";4
"1184";3
"1185";3
"1186";5
"1187";0
"1188";5
"1189";1
"1190";4
"1191";3
"1192";1
"1193";4
"1194";1
"1195";0
"1196";1
"1197";1
"1198";2
"1199";1
"1200";3
"1201";1
"1202";0
