no	de
753999.103	dessin animé (Léo et les extraterrestres)
493694.021	astrophysique
493694.021	extraterrestre
493694.021	ovni
493694.021	recherche scientifique
493694.021	observation
493694.021	témoignage
493694.021	nuit (05 novembre 1990)
17858.015	DVD ROM (Signes)
17858.015	extraterrestre
17858.015	personnage de bande dessinée (Corto Maltese)
17858.015	broche (badge)
17858.015	jeu de société
17858.015	1951
17858.015	conte (musical)
17858.015	disque (L'héroïne au bain)
17858.015	chanson
17858.015	festival (Printemps des arts de Monte Carlo)
17858.015	création artistique
17858.015	bébé
17858.015	salon
17858.015	relation parent enfant
99904.019.009	extraterrestre
178269.023.011	Etats Unis
178269.023.011	cosmonaute
178269.023.011	extraterrestre
178391.008	film
178391.008	science fiction
178391.008	film fantastique
178391.008	extraterrestre
780125.014	République démocratique du Congo
780125.014	musique
780125.014	musicien (Congolais)
780125.014	compositeur
780125.014	biographie
780125.014	carrière professionnelle
780125.014	chanteur
780125.014	création artistique
780125.014	Lema Ray
780125.014	jazz
780125.014	musique traditionnelle
879878.006	politique sociale
879878.006	réforme
879878.006	retraite (par points)
879878.006	cotisation (régime spécial)
879878.006	revenu (pension de retraite)
879878.006	âge (pivot
879878.006	64 ans)
879878.006	syndicat
879878.006	négociation
879878.006	manifestation
879878.006	police
879878.006	violence
879878.006	projet de loi
879878.006	bioéthique
879878.006	PMA
879878.006	GPA
879878.006	écologie
879878.006	réchauffement climatique
879878.006	hydrogène
879878.006	Vosges-massif montagneux
879878.006	tourisme
879878.006	vacances (scolaires)
879878.006	Montoire sur le Loir
879878.006	dette
879878.006	élection
879878.006	élection municipale
879878.006	Marseille
879878.006	Rennes
879878.006	En marche-France
879878.006	Rassemblement national-France
879878.006	Les Républicains-France
879878.006	Royal Ségolène
879878.006	enquête de police (Parquet national financier)
879878.006	Etats Unis
879878.006	réseau social en ligne
879878.006	vidéo
879878.006	information (désinformation)
879878.006	Pelosi Nancy
860703.006.004	Etats Unis
860703.006.004	armée
860703.006.004	marine (US Navy)
860703.006.004	pilote d'avion (pilotes de la marine américaine)
860703.006.004	entraînement
860703.006.004	vidéo
860703.006.004	ovni
739608.056.004	astronomie
739608.056.004	espace
739608.056.004	technologie
739608.056.004	recherche scientifique
739608.056.004	système solaire
739608.056.004	fusée
739608.056.004	vol spatial
739608.056.004	extraterrestre (vie)
765013.010	Etats Unis
765013.010	recherche scientifique
765013.010	astronomie
765013.010	astrophysique
765013.010	algorithme
765013.010	informatique
765013.010	intelligence artificielle
765013.010	intelligence
765013.010	extraterrestre
765013.010	ovni
765013.010	Nasa
765013.010	Agence spatiale européenne
719225.072.008	Etats Unis
719225.072.008	espace
719225.072.008	système solaire
719225.072.008	recherche scientifique
719225.072.008	télescope (Tess)
719225.072.008	Nasa
905937.010	Etats Unis
905937.010	espace
905937.010	recherche scientifique
905937.010	sciences de l'univers (ufologie)
905937.010	ovni
905937.010	extraterrestre
905937.010	Japon
905937.010	technologie
905937.010	traducteur interprète (automatique)
1084767.025	média
1084767.025	émission télévisée
1084767.025	mensonge (supercherie)
1084767.025	documentaire
1084767.025	danger
1084767.025	éthique
1084767.025	vérité
4582.004.014	cinéma
4582.004.014	film
4582.004.014	sortie
1270.025	Etats Unis
1270.025	Californie
1270.025	religion
1270.025	communauté religieuse (Aetherius Society)
1270.025	croyance
1270.025	consultation
1270.025	conseiller juridique
1270.025	avocat
86933.050.006	planète Terre
86933.050.006	planète Mars
86933.050.006	extraterrestre
86933.050.006	microbe
88155.026	Nevada
88155.026	Las Vegas
88155.026	vie économique
88155.026	casino
88155.026	hôtel
88155.026	habitant
88155.026	vie quotidienne
205258.027	média
205258.027	football
205258.027	carrière professionnelle
205258.027	émission télévisée (Faites entrer l'accusé)
205258.027	chaîne de télévision
205258.027	chaîne de radio (RTL)
112889.022	recherche scientifique
112889.022	astronomie
210385.022.004	espace
210385.022.004	cosmologie
210385.022.004	astronomie
210385.022.004	recherche scientifique
210385.022.004	exploration
210385.022.004	sonde spatiale (exomars
210385.022.004	bepicolombo)
210385.022.004	système solaire
210385.022.004	planète Mars
210385.022.004	planète Mercure
210385.022.004	découverte
210385.022.004	planète (exoplanete)
210385.022.004	énergie (noire)
210385.022.004	univers
210385.022.004	vie
210385.022.004	extraterrestre
235953.014	croyance
235953.014	surnaturel (mystère)
235953.014	classement
205393.025	média
205393.025	émission télévisée (Thé ou café)
205393.025	audience-média
205393.025	Solo Bruno
214317.022	média
214317.022	télévision
214317.022	radio
214317.022	audience-média
214317.022	zapping
214317.022	Croix Rouge française
214317.022	notoriété
214317.022	solidarité
214317.022	campagne de solidarité
214317.022	association
214317.022	don-solidarité
214317.022	émission télévisée (La grande soirée : spécial OVNI)
214317.022	science (paranormal)
214317.022	Direct 8
214317.022	Union européenne
214317.022	Parlement européen
214317.022	élection européenne
214317.022	campagne électorale
214317.022	message publicitaire (spot de campagne)
214317.022	polémique
214317.022	PS-France
214317.022	TF6
214317.022	télé réalité (Incroyable Talent)
214317.022	Ménibus Cécile de
214317.022	Europe 1
214317.022	sport
214317.022	tennis
214317.022	tournoi (de Roland Garros)
214317.022	France 4
214317.022	humour
214317.022	fiction
214317.022	Chevaliers du Fiel-groupe
214317.022	fait divers
214317.022	magazine (Présumé innocent)
203295.028	média
203295.028	actualité
203295.028	NT1
129487.021	film (nanar)
126190.005	ovni
126190.005	vie politique
126190.005	élection présidentielle
126190.005	campagne électorale
126190.005	candidat
126190.005	Buffet Marie George
126190.005	Bové José
133975.058.014	astronomie
133975.058.014	planète
133975.058.014	observation
133975.058.014	vie
133975.058.014	extraterrestre
145547.022	érotisme
145547.022	enseignement
