no	de
1271193.009.016	extraterrestre
1271193.009.016	recherche scientifique
1271193.009.018	univers
1271193.009.018	astronomie
1271193.009.018	planète
1271193.009.018	extraterrestre
1271193.009.018	recherche scientifique
1271193.009.018	société
1271193.009.018	justice
1271193.009.018	condamnation
1271193.009.018	peine de mort (ABOLITION)
1271193.009.018	rétrospective
1198455.007.015	musique classique
1198455.007.015	pianiste
1198455.007.015	piano
1198455.007.015	loup
1198455.007.015	Grimaud Hélène
1198455.007.015	portrait
1598735.001.022	vidéo
1598735.001.022	extraterrestre
1598735.001.022	ovni
1598735.001.022	insecte
1670799.002	film (L'extra-terrestre)
1386320.024	espace
1386320.024	vie
1386320.024	extraterrestre
1386320.024	polémique
1386320.024	étudiant
1413233.001.004	Israël
1413233.001.004	Etats Unis
1413233.001.004	Phoenix-Arizona
1413233.001.004	espace
1413233.001.004	extraterrestre
1413233.001.004	ovni
1413233.001.004	observation
1413233.001.004	témoignage
1413233.001.005	espace
1413233.001.005	ovni
1413233.001.005	extraterrestre
1413233.001.005	observation
1413233.001.005	témoignage
1413233.001.008	espace
1413233.001.008	extraterrestre
1413233.001.008	ovni
1413233.001.008	observation
1413233.001.008	enregistrement
1413233.001.008	radar
1413233.001.008	témoignage
1413233.001.009	espace
1413233.001.009	science
1413233.001.009	extraterrestre
1413233.001.009	ovni
1413233.001.009	observation
1413233.001.009	recherche scientifique
1413233.001.009	témoignage
1413233.001.010	espace
1413233.001.010	extraterrestre
1413233.001.010	ovni
1413233.001.010	homme (en noir)
1413233.001.010	témoignage
1413233.001.011	espace
1413233.001.011	ovni
1413233.001.011	extraterrestre
1413233.001.011	homme (en noir)
1413233.001.011	témoignage
1413233.001.013	espace
1413233.001.013	extraterrestre
1413233.001.013	ovni
1413233.001.013	communication
1413233.001.015	espace
1413233.001.015	extraterrestre
1413233.001.015	ovni
1413233.001.015	homme (en noir)
1413233.001.015	témoignage
1343848.001	film
1399632.016	image (insolite)
1315935.001.012	cinéma
1315935.001.012	film (L'extraterrestre)
1315935.001.012	Inconnus-humoristes
1315462.038	manifestation (Gllissexpo)
1315462.038	sport (extrême)
1315462.038	planche à roulettes (skate board)
1315462.038	cinéma
1315462.038	film (L'Extra terrestre)
1413233.001.014	espace
1413233.001.014	extraterrestre
1413233.001.014	ovni
1413233.001.014	enlèvement
1413233.001.014	témoignage
1413909.017	exposition
1413909.017	animal domestique
1413909.017	habitat
1371724.001.007	émission télévisée (Ovni)
1360767.012.003	extraterrestre
2023197.001.009	Etats Unis
2023197.001.009	cinéma
2023197.001.009	film (K-Pax)
2023197.001.009	tournage
2023197.001.009	extraterrestre
2005236.001.012	cinéma
2005236.001.012	film (E.T.)
2005236.001.012	science fiction
2005236.001.012	extraterrestre
1961711.001.023	Porto Rico
1961711.001.023	astronomie
1961711.001.023	radiotélescope
1980340.001.008	secte (Les Raëliens)
1980340.001.008	Raël (dit Raël)
1980340.001.008	extraterrestre
1980340.001.008	escroquerie (manipulation mentale)
1980340.001.008	pédophilie
1980340.001.008	manipulation génétique
1980340.001.008	clonage (humain)
1980340.001.008	gourou
2037545.001.007	recherche scientifique
2037545.001.007	extraterrestre
2045966.001.006	film (Lilo et Stitch)
2045966.001.006	dessin animé
2045966.001.006	extraterrestre
2045966.001.006	jeune fille
1685918.008.002	Pays Bas
1685918.008.002	Hollande
1685918.008.002	Raël
1685918.008.002	adepte
1685918.008.002	baptême
1685918.008.002	cérémonie
1685918.008.002	livre (oui au clonage humain)
1685918.008.002	clonage
1685918.008.002	extraterrestre
1681058.001.008	secte (Raélienne)
1681058.001.008	hippy
1681058.001.008	ovni
1681058.001.008	extraterrestre (fils)
1681058.001.008	témoignage
1681058.001.008	Raël
1552014.001.031	Etats Unis
1552014.001.031	escroquerie
1552014.001.031	extraterrestre
1552014.001.031	opération chirurgicale
1552014.001.031	microprocesseur
1619852.001.017	Biarritz
1619852.001.017	surfeur
1619852.001.017	carrière professionnelle
1619852.001.017	championnat du monde
1619852.001.017	vie privée
1619852.001.017	Anderson Pamela
1590807.014.002	secte (Mouvement raëlien)
1590807.014.002	extraterrestre (elohim)
1590807.014.002	argent
1590807.014.002	sexualité
1590807.014.002	clonage (humain)
1590807.014.002	propagande
1604844.016.005	cinéma
1604844.016.005	science fiction
1604844.016.005	extraterrestre
1604844.016.005	film
1459462.017.006	Australie
1459462.017.006	chapelle
1459462.017.006	fleuve
1459462.017.013	Grande Bretagne
1459462.017.013	bateau
1459462.017.013	baleine
1459462.017.015	Belgique
1459462.017.015	Bruxelles
1459462.017.015	tapis
1459462.017.015	fleur
1459462.017.016	peinture-art
1459462.017.016	corps
1467507.001.008	Roumanie
1467507.001.008	art
1467507.001.008	sculpture
1467507.001.008	chewing gum
1467507.001.010	curiosité
1467507.001.010	animal domestique
1467507.001.010	porc
1467507.001.012	Australie
1467507.001.012	Sydney-Australie
1467507.001.012	salon
1467507.001.012	automobile
1467507.001.014	Creuse
1467507.001.014	Paris
1467507.001.014	modèle réduit
1473786.001.006	Autriche
1473786.001.006	orang outan
1473786.001.006	peinture-art
1473786.001.006	image insolite
1473786.001.008	Japon
1473786.001.008	Tokyo
1473786.001.008	restaurant (Alcatraz)
1473786.001.008	prison
1473786.001.010	Italie
1473786.001.010	beauté (laideur)
1473786.001.010	fête
1986412.001.002	film (E.T L'extra terrestre.)
1986412.001.002	science fiction
1986412.001.002	anniversaire
1986412.001.004	film (E.T l'extra terrestre)
1986412.001.004	science fiction
1986412.001.004	acteur
1986412.001.004	enfant
1986412.001.006	film ( E.T l'extra terrestre.)
1986412.001.006	science fiction
1986412.001.006	spectateur
1986412.001.006	enfant
1971310.001.006	film
1971310.001.007	film
1975935.001.008	cinéma
1975935.001.008	film
1975935.001.008	sortie
1971019.001.009	film
1987822.001.020	cinéma
1987822.001.020	film (ET l'extraterrestre
1987822.001.020	Resident evil)
981126.009.004	extraterrestre
981126.009.004	éclipse
981126.009.004	lune
981126.009.004	soleil
983619.005.012	sida
983619.005.012	engagement personnel
983619.005.012	chanteur (chanteuse)
983619.005.012	association
983619.005.012	vidéoclip (Ensemble contre le sida)
995816.009.013	Bernstein Léonard
995816.009.013	compositeur
995816.009.013	chef d'orchestre
1000081.007.021	vedette de spectacle (Insolite)
1000081.007.021	Brooks Garth
1000081.007.021	Rieu André
1000081.007.021	Kane Candye
1000081.007.021	Manson Marilyn
1000081.007.021	McFerrin Bobby
921307.009.014	chanteur
921307.009.014	portrait
921307.009.014	entreprise (maison de disques)
943168.009.017	rétrospective
943168.009.017	chanteur
943168.009.017	succès
943168.009.017	microtrottoir
943168.009.017	Brel Jacques
1037150.009.016	compositeur
1037150.009.016	musicien
1037150.009.016	portrait
1037150.009.016	vidéoclip
1037150.009.016	concert
1758368.001.002	France
1758368.001.002	pêche-loisir
1758368.001.002	pêche artisanale (PECHE A LA TRACE)
1758368.001.002	harpon (FOUENE)
1758368.001.002	pêcheur à la ligne (TIREUR DE POISSONS)
1758368.001.002	interview
1051593.009.013	portrait
1051593.009.013	musicien
1051593.009.013	voyageur
1051593.009.013	Mano Negra-groupe
1020292.009.014	Smith Will
1020292.009.014	portrait
1047414.002.002	série télévisée (X Files)
1047414.002.002	extraterrestre
1047414.002.002	complot
934407.009.014	Etats Unis
934407.009.014	rap
934407.009.014	portrait
852345.001.007	Paris
852345.001.007	stade (ROLAND GARROS)
852345.001.007	tennis (INTERNATIONAUX DE FRANCE)
852345.001.007	jeune fille
852345.001.007	déguisement
852345.001.007	humour
852345.001.007	supporter
1027694.009.014	musique
1027694.009.014	chanson
1027694.009.014	portrait
1027694.009.014	rétrospective
1027694.009.014	document d'archives
1027694.009.014	Brown James
1037449.003.008	publicité
1037449.003.008	message publicitaire
1037449.003.008	extraterrestre
479914.001.015	ovni
479914.001.015	extraterrestre
400715.020	espace
400715.020	physiologie
400715.020	cosmonaute
400715.020	vol spatial
400715.020	apesanteur
408123.006.002	Etats Unis
408123.006.002	film (Independence day)
408123.006.002	cinéma
408123.006.002	extraterrestre
408123.006.002	effet d'image
412901.001.004	cinéma
412901.001.004	film (Independance day)
412901.001.004	trucage (effets spéciaux)
412901.001.004	extraterrestre
417230.001.004	Etats Unis
417230.001.004	Nevada
417230.001.004	ville (RACHEL)
417230.001.004	armée
417230.001.004	base militaire (ZONE STRATEGIQUE
417230.001.004	ZONE 51)
417230.001.004	ovni
417230.001.004	extraterrestre
417230.001.004	observation
417230.001.004	image (INSOLITE)
529132.003.027	extraterrestre
529132.003.027	humour
533318.017.004	schizophrénie
594791.003.004	Etats Unis
594791.003.004	ésotérisme
594791.003.004	secte
594791.003.004	prophète
594791.003.004	extraterrestre
594791.003.004	média
586444.013.004	biologie
586444.013.004	univers
595353.015.002	astronomie
595353.015.002	espace
595353.015.002	planète
595353.015.002	système solaire
595353.015.002	observatoire (de Haute Provence)
610941.003.006	pastiche
610941.003.006	film (Mars attacks)
610941.003.006	extraterrestre
610941.003.006	communisme
610941.003.006	ministre
610941.003.006	gouvernement
610941.003.006	Hue Robert
586656.015.001	Welles Orson
586656.015.001	émission radiophonique (La guerre des mondes)
586656.015.001	extraterrestre
586656.015.001	invasion
586656.015.001	panique
586656.015.002	extraterrestre
586656.015.002	science fiction
586656.015.002	imagination
645647.010.004	science fiction
645647.010.004	série télévisée (Darkskies)
645647.010.004	extraterrestre
816476.004.010	rap
816476.004.010	Doc Gynéco-chanteur
816476.004.010	portrait
759279.001.003	Etats Unis
759279.001.003	Nevada
759279.001.003	armée
759279.001.003	base militaire
759279.001.003	base aérienne
759279.001.003	secret professionnel
759279.001.003	ovni
759279.001.003	extraterrestre
759279.001.003	rumeur
759279.001.003	journaliste
759279.001.003	chercheur
759279.001.003	tourisme
759279.001.003	Las Vegas
759279.001.004	journaliste
759279.001.004	Etats Unis
759279.001.004	Nevada
759279.001.004	armée
759279.001.004	base militaire
759279.001.004	secret professionnel
759279.001.004	rumeur
759279.001.004	témoignage
759279.001.004	ovni
759279.001.004	extraterrestre
695866.006.004	univers
695866.006.004	extraterrestre
695866.006.004	vie
695866.006.004	planète
694433.006.010	Miossec-chanteur
694433.006.010	portrait
704373.005.010	jazz
704373.005.010	chanteur
704373.005.010	Kane Candye
756550.006.008	portrait
756550.006.008	chanteur
756550.006.008	chanson (française)
794707.001.014	Espagne
794707.001.014	Canaries
794707.001.014	Ténérife
794707.001.014	croyance
794707.001.014	secte
794707.001.014	ovni
794707.001.014	suicide
794707.001.014	pédophilie
794707.001.014	Fittkau Garthe Heide
810607.006.010	Londres
810607.006.010	chanson
810607.006.010	production
810607.006.010	producteur de spectacle
810607.006.010	document d'archives
810607.006.010	Martin George
727981.005.008	Jackson Joe
727981.005.008	portrait
727981.005.008	rétrospective
727981.005.008	chanteur
727981.005.008	musique
1093652.011.015	rap
1093652.011.015	chanteur
1093652.011.015	Busta Rhymes-chanteur
1106529.011.019	groupe musical
1106529.011.019	engagement politique
1161653.007.016	Chao Manu
1161653.007.016	musique
1161653.007.016	Amérique latine
1135095.010.011	violoniste
1135095.010.011	musique classique
1135095.010.011	succès
1152776.010.005	musique (celtique)
1152776.010.005	Dan Ar Braz-groupe
1152776.010.005	portrait
1152776.010.005	rétrospective
1168954.008.013	chanson
1168954.008.013	chanteur
1168954.008.013	carrière professionnelle
1168954.008.013	portrait
1168954.008.013	Spears Britney
1177099.008.006	Etats Unis
1177099.008.006	rap
1177099.008.006	chanteur
1177099.008.006	vidéoclip
1177099.008.006	humour
749542.005.008	spectacle
749542.005.008	chanteur (chanteuse)
749542.005.008	cinéma
749542.005.008	enfance
749542.005.008	rétrospective
642568.010.004	film (Les mille merveilles de l'univers)
673278.034	festival (14èmes rencontres internationales de l'audiovisuel scientifique)
673278.034	espace
673278.034	astronautique
673278.034	observation
673278.034	planète Terre
673278.034	extraterrestre
734551.003.003	Russie
734551.003.003	Saratov
734551.003.003	avion
734551.003.003	ovni (soucoupe volante)
734551.003.003	construction
972581.009.013	Love Courtney
972581.009.013	musique
972581.009.013	rock and roll
972581.009.013	spectacle
972581.009.013	film (Larry Flint)
974304.009.016	rock and roll
974304.009.016	chanteur
974304.009.016	batteur
974304.009.016	Collins Phil
983834.009.019	portrait
983834.009.019	rock and roll
983834.009.019	Morissette Alanis
958642.001.004	film (The X files le futur)
958642.001.004	extraterrestre
963053.009.018	chanteur
963053.009.018	Williams Robbie
442924.001.015	ovni
556307.001.006	Nançay
556307.001.006	radiotélescope
556307.001.006	comète
556307.001.006	planète Terre
556307.001.006	vie
364352.004.008	Etats Unis
364352.004.008	Nevada
364352.004.008	base militaire
364352.004.008	désert
364352.004.008	café bar (Little Ale Inn)
364352.004.008	ovni
504191.001.012	Angleterre
504191.001.012	ovni
504191.001.012	extraterrestre
504191.001.012	enlèvement
504191.001.012	assurance
517080.003.010	extraterrestre
517080.003.010	ovni
562600.003.003	Cambridge
562600.003.003	espace
562600.003.003	recherche scientifique
562600.003.003	univers
562600.003.003	extraterrestre
1065669.046.014	Celte
1065669.046.014	musique traditionnelle
1065669.046.014	Dan Ar Braz-groupe
1085546.017.015	portrait
1085546.017.015	carrière professionnelle
1033495.010.014	violoniste
1135095.010.017	JoeyStarr-chanteur
1135095.010.017	musique
1135095.010.017	rap
1135095.010.017	NTM-groupe
1135095.010.017	violence
1058954.001.015	salon (Parapsy 99)
1058954.001.015	parapsychologie
1058954.001.015	voyant
1110805.012.014	musique classique
1110805.012.014	piano
1110805.012.014	pianiste
1110805.012.014	Grimaud Hélène
1122866.011.019	groupe musical
1122866.011.019	carrière professionnelle
1122866.011.019	décès
1122866.011.019	Indochine-groupe
1115154.012.025	chanson
1115154.012.025	chanteur
1115154.012.025	succès
1115154.012.025	carrière professionnelle
1115154.012.025	rétrospective
1129441.011.004	science
1129441.011.004	recherche scientifique
1129441.011.004	vie
1119789.011.015	Jamiroquai-groupe
1119789.011.015	portrait
1119789.011.015	musique (funk)
1119789.011.015	Kay Jason
1015514.009.016	Petrucciani Michel
1061889.010.016	variétés
1061889.010.016	chanteur
1061889.010.016	portrait
1004471.001.003	émission télévisée
1004471.001.003	jeu télévisé (Le Bigdil)
1004471.001.003	personnage de fiction (personnage virtuel)
1004471.001.003	extraterrestre (Bill)
1004471.001.003	enfant
CAG05002339	ovni
CAG05002339	enregistrement (sonore)
CAG05002339	document amateur
CAG05002339	enfant
CAG05002339	témoignage
CAG05002339	laboratoire (GEPAN)
CAC87042433	fin du monde
CAC87042433	manifestation
CAC87042433	secte
CAC87042433	philosophie
CAC87042433	croyance
CAA87004177	espace
CAA87004177	galaxie
CAA87004177	radiotélescope (Nançay)
CAA87004177	extraterrestre (off)
CAA87004177	message
CAA88047992	film (moonwalker)
CAA88047992	Jackson Michael
CAA88047992	effet d'image
CAA91044568	Grande Bretagne
CAA91044568	gag
CAA91044568	champ
CAA91044568	blé
CAA91044568	Bower Douglas
CAA91044568	Chorley David
CAA91044568	ovni (off)
CAA91044568	image insolite (insolite)
CAB91044390	Grande Bretagne
CAB91044390	région (KENT)
CAB91044390	extraterrestre
CAB91044390	ovni
CAB91044390	champ
CAB91044390	blé
CAB91044390	gag (CANULAR)
CAB91044390	mystification
CAB91044390	journal (TODAY)
CAB91044651	Grande Bretagne
CAB91044651	champ
CAB91044651	presse écrite
CAB91044651	fait divers
CAB91044651	extraterrestre (off)
CAB91044651	ovni (off)
CAA91017569	cinéma
CAA91017569	Sélignac Arnaud
CAA91017569	Anglade Jean Hugues
CAA91017569	film (gawin)
CAB90015690	Belgique
CAB90015690	ovni
CAB90015690	avion
CAB90015690	policier
CAB90015690	aéroport (Liège-bierset)
CAB90015690	Verviers (off)
CAA90015542	Belgique
CAA90015542	astronomie
CAA90015542	surnaturel
CAA90015542	ciel
CAA90015542	ovni
CAA90015542	témoignage
CAA90015542	radar
CAA90015542	avion de reconnaissance (CS-o3)
CAA90015542	aéroport (Liège-bierset)
CAA90015542	extraterrestre (off)
CAA90015542	image insolite (insolite)
CAA90015542	surveillance (aérienne)
CAA90015578	Belgique
CAA90015578	astronomie
CAA90015578	surnaturel
CAA90015578	ciel
CAA90015578	ovni
CAA90015578	surveillance
CAA90015578	Bougart Michel
CAA90015578	extraterrestre (off)
CAA90015578	aéroport (Liège-bierset
CAA90015578	off)
CAC91048805	Belgique
CAC91048805	espace aérien
CAC91048805	surveillance
CAC91048805	observation
CAC91048805	ovni
CAC91048805	avion de reconnaissance
CAC91048805	Flémalle (off)
CAC91048805	aéroport (Liège-bierset)
CAA90000178	Belgique
CAA90000178	ovni
CAA90000178	témoin
CAA90000178	vidéo
CAA90000178	extraterrestre (off)
CAA90000397	France
CAA90000397	astronomie
CAA90000397	astrophysique
CAA90000397	radar
CAA90000397	recherche scientifique
CAA90000397	témoignage
CAA90000397	animation
CAA90000397	Heidman Jean
CAA90000397	Biraud François
CAA90000397	Reeves Hubert
CAA90000397	drapeau (terre-planète)
CAA90000397	étoile (photo)
CAA90000397	galaxie (photo)
CAA90000397	extraterrestre (off)
CAA90000397	télescope (radiotélescope)
CAA90000397	ovni (off)
CAG08004474	Belgique
CAG08004474	ovni (OBJET VOLANT NON IDENTIFIE)
CAG08004474	recherche
CAG08004474	témoignage
CAA90015485	Belgique
CAA90015485	astronomie
CAA90015485	astrophysique
CAA90015485	microtrottoir
CAA90015485	ovni (off)
CAA90015485	extraterrestre (off)
CAC91048767	Belgique
CAC91048767	espace
CAC91048767	astronomie
CAC91048767	ovni
CAC91048767	recherche scientifique
CAC91048767	enquête d'investigation
CAC91048767	image insolite (insolite)
CAC91048767	armée (Belgique)
CAC91048767	Bruxelles (off)
CAG03019937	France
CAG03019937	Paris (OFF)
CAG03019937	duel
CAG03019937	ovni (OBJET VOLANT NON IDENTIFIE)
CAG03019937	Mesnard Joël (PLATEAU)
CAG03019937	Pellat René (PLATEAU)
CAG03019937	Belgique
CAG03019937	recherche
CAG03019937	témoignage
CAB90019409	congrès
CAB90019409	ovni
CAB90019409	Lyon (off)
CAA91015002	Belgique
CAA91015002	ovni
CAA91015002	image (choc)
517600.003.014	Espagne
517600.003.014	ovni
517600.003.014	extraterrestre
517600.003.014	médecine
517596.003.014	Etats Unis
517596.003.014	recherche
517596.003.014	extraterrestre
517596.003.014	ovni
504330.004.011	Hongrie
504330.004.011	ovni
504330.004.011	extraterrestre
1357044.012	extraterrestre
1357044.012	ovni
1357044.012	télévision
1372771.001.014	recherche scientifique
1372771.001.014	espace
1372771.001.014	planète
1372771.001.014	vie
1372771.001.014	extraterrestre
1372771.001.016	recherche scientifique
1372771.001.016	espace
1372771.001.016	planète
1372771.001.016	vie
1372771.001.016	extraterrestre
1372771.001.017	recherche scientifique
1372771.001.017	espace
1372771.001.017	planète
1372771.001.017	vie
1372771.001.017	extraterrestre
1426583.017	image (insolite)
1426380.018	image (insolite)
952388.009.018	chanson (I put a spell on you)
958501.010.017	Lang Jonny
958501.010.017	blues
958501.010.017	portrait
903541.001	pornographie
903541.001	film
903541.001	best of
1473786.001.004	Suède
1473786.001.004	neige
1473786.001.004	eau minérale
1473786.001.004	humour (canular)
1473786.001.012	Etats Unis
1473786.001.012	animal domestique
1473786.001.012	chien
1473786.001.012	mariage
1473786.001.012	préparatifs
1473786.001.014	Etats Unis
1473786.001.014	basket ball (slam jam)
1473786.001.014	trampoline
1725264.001.002	Internet
1725264.001.002	site internet
1729606.010.005	extraterrestre
1729606.010.005	intelligence
1729606.010.005	télévision
1814029.001.002	cinéma
1814029.001.002	film
1814029.001.002	extraterrestre
1814029.001.002	interview
1814029.001.004	Russie
1814029.001.004	cinéma
1814029.001.004	film
1814029.001.004	extraterrestre
1814029.001.006	bande dessinée (Valérian)
1814029.001.006	extraterrestre
1814029.001.006	Mezières Jean Claude
1814029.001.006	interview
1814029.001.008	Paris
1814029.001.008	Américain
1814029.001.008	extraterrestre
1814029.001.008	microtrottoir
2365137.001.004	science fiction
2365137.001.004	extraterrestre
2365137.001.004	planète Mars
2365137.001.004	recherche scientifique
2365137.001.004	histoire
2365137.001.012	ovni
2365137.001.012	extraterrestre
2365137.001.012	fauteuil
2365137.001.012	cosmonaute
2365137.001.012	vol spatial
2365137.001.011	ovni
2365137.001.011	témoignage
2365137.001.011	pilote
5581462.001.002	Etats Unis
5581462.001.002	Nasa
5581462.001.002	recherche scientifique
5581462.001.002	astronomie
5581462.001.002	planète Mars
5581462.001.002	eau
5397150.001.006	Royaume Uni
5397150.001.006	ovni
5397150.001.006	extraterrestre
5397150.001.006	défense nationale
5397150.001.006	observation
5372730.001.008	Chine République populaire
5372730.001.008	extraterrestre
5372730.001.008	ovni
5372730.001.008	recherche scientifique
5372730.001.008	astronomie
4901083.001.006	cinéma
4901083.001.006	film (Iron Sky)
4901083.001.006	genre artistique (Série B)
4901083.001.006	science fiction
4901083.001.006	DVD ROM
5570993.001.007	musique
5570993.001.007	instrument de musique (boîte à rythme
5570993.001.007	TR 808)
5570993.001.007	hip hop
7701617.001	recherche scientifique
7701617.001	Nasa
7701617.001	extraterrestre
7701617.001	livre
7701617.001	planète Mars
7701617.001	vie
7701617.001	planète Terre
7701617.001	Cordillère des Andes
7894208.001.002	Symi
7894208.001.002	Mer Méditerranée
7894208.001.002	paysage méditerranéen
7894208.001.002	île
7894208.001.002	terroir
7894208.001.002	tradition
7894208.001.002	habitant
7894208.001.002	Ormesson Jean d'
7515060.001	acteur (actrice)
7515060.001	enfance
7515060.001	vie privée
7515060.001	carrière professionnelle
7515060.001	enregistrement
7515060.001	roman (Moderato Cantabile)
7515060.001	série télévisée (Ovni(s))
7515060.001	Ardant Fanny
7515060.001	Duras Marguerite
7752267.001	média
7752267.001	cinéma
7752267.001	série télévisée (Ovni(s)
7752267.001	The Gilded Age
7752267.001	La fabuleuse Mme Maisel
7752267.001	Starstruck
7752267.001	Pam & Tommy
7752267.001	Ozark)
7752267.001	série télévisée (A very british scandal
7752267.001	Severance
7752267.001	Yellowjackets
7752267.001	Inventing Anna
7752267.001	Killing Eve)
7752267.001	série télévisée (Search Party)
7752267.001	critique (cinématographique)
7752267.001	réalisateur
7752267.001	scénario
7752267.001	acteur
7669338.001	humour
7669338.001	sketch
7669338.001	humoriste
7722789.001.004	art contemporain
7722789.001.004	art conceptuel (bio-art)
7722789.001.004	art numérique
7722789.001.004	artiste
7722789.001.004	recherche scientifique
7722789.001.004	biologie
7722789.001.004	festival (Ars Electronica)
7722789.001.004	Davis Joe
7908967.001.002	Arabie saoudite
7908967.001.002	Djeddah
7908967.001.002	cinéma
7908967.001.002	film (Barakah meets Barakah)
7908967.001.002	comédie
7908967.001.002	jeunesse
7908967.001.002	tradition
7908967.001.002	liberté
7908967.001.002	société
7908967.001.002	femme
7908967.001.002	mode
7908967.001.002	Sabbagh Mahmoud
8112352.001.004	athlétisme
8112352.001.004	athlète
8112352.001.004	champion
8112352.001.004	épreuve sportive (100 mètres)
8112352.001.004	carrière professionnelle
8112352.001.004	résultat sportif
626588.001	Arcachon
626588.001	mode (robes à crinoline)
626588.001	bateau (pinasse)
626588.001	livre (Les Ovnis)
626588.001	chien (lévrier)
626588.001	bicyclette (bi cross)
626588.001	film (Speed 2
626588.001	bande annonce)
626588.001	esturgeon
406656.001	variétés
406656.001	pop music
406656.001	notoriété
818268.001	écriture
818268.001	calligraphie
818268.001	alphabet
818268.001	plume-écriture
818268.001	stylo
818268.001	histoire
2100570.001	médecine
2100570.001	santé
2100570.001	cellulite
2100570.001	thérapeutique
2100570.001	humour
2100570.001	spectacle
2100570.001	festival (d'humour du Point Virgule
2100570.001	2002)
2100570.001	décoration-habitat
2100570.001	boîte
2100570.001	ovni
2100570.001	recette de cuisine (mayonnaise)
2234259.001	santé
2234259.001	circulation sanguine
2234259.001	veine
2234259.001	histoire
2234259.001	peuple (Cagots)
2234259.001	extraterrestre
2234259.001	mode
2234259.001	maroquinerie
2234259.001	dessinateur
2234259.001	Hergé
2234259.001	gastronomie
2234259.001	recette de cuisine (consommé au bouillon gras)
2234259.001	météorologie
4780571.001	Etats Unis
4780571.001	espace
4780571.001	Nasa
4780571.001	vol spatial (Apollo 11)
4780571.001	lune
4780571.001	alunissage
4780571.001	anniversaire (40 ans)
4780571.001	cosmonaute (astronaute)
4780571.001	Armstrong Neil
4780571.001	Aldrin Edwin
4780571.001	Collins Michael
4514919.001	sciences de l'univers
4514919.001	sciences de la terre
4514919.001	astronomie
4514919.001	astrophysique
4514919.001	découverte
4514919.001	campagne d'information (nuits des étoiles
4514919.001	21ème)
4514919.001	étoile (filante)
4514919.001	météorite
4514919.001	ovni
4514919.001	observation
4514919.001	ciel
4514919.001	planète (exoplanète)
4514919.001	galaxie
4630256.001	surnaturel
4630256.001	magie
4630256.001	sorcier
4630256.001	disparition
4630256.001	fantôme
4630256.001	légende
2329622.001.016	Thaïlande
2329622.001.016	message publicitaire
2329622.001.016	jeune homme
2329622.001.016	nettoyage
2329622.001.016	disque jockey
2329622.001.016	boisson
2447489.001	Etats Unis
2447489.001	Californie
2447489.001	Santa Barbara-Californie
2447489.001	moeurs
2447489.001	sexualité
2447489.001	pédophilie
2447489.001	comportement psychologique
2447489.001	identité
2447489.001	Jackson Michael
2579461.001	société
2579461.001	homosexualité
2579461.001	homosexuel
2579461.001	droit civil
2579461.001	couple
2579461.001	parent
2579461.001	enfant (désir d'enfant)
2579461.001	conception de la vie
2579461.001	amour
2579461.001	polémique
2579461.001	astrophysique
2579461.001	univers (Big Bang)
2579461.001	théorie
2579461.001	livre (Avant le Big Bang)
2795302.001	télévision
2795302.001	émission télévisée
2795302.001	présentateur
2795302.001	Yonne
2795302.001	Auxerre
2795302.001	disparition
2795302.001	meurtre
2795302.001	jeune fille
2795302.001	livre (Disparues de l'Yonne
2795302.001	la huitième victime)
2795302.001	recette de cuisine
2795302.001	commémoration
2795302.001	Verne Jules
2795302.001	espace
2795302.001	cosmonaute
2795302.001	ovni
2990954.001	enfant
2990954.001	question philosophique
2990954.001	amour
2990954.001	racisme
2990954.001	politique
2990954.001	cerveau
2990954.001	association (Un regard un enfant)
2954637.001	émission télévisée
2954637.001	humour
2954637.001	document d'archives
2954637.001	Internet
2954637.001	publicité
2954637.001	film (Palais royal)
2954637.001	pièce de théâtre (Numéro complémentaire)
3078258.001	Iran
3078258.001	relations diplomatiques (France Iran)
3078258.001	Khomeiny Rouhollah
3078258.001	islam
3078258.001	intégrisme
3078258.001	Furiani
3078258.001	football
3078258.001	catastrophe
3078258.001	ovni
3616310.001	concert
3616310.001	musique rock
3616310.001	pop music
3616310.001	jazz
3616310.001	chanteur
3616310.001	musicien
3473769.001	maison
3473769.001	rénovation-bâtiment
3473769.001	décoration-habitat
3473769.001	bricolage
3473769.001	revêtement de sol (PVC)
3473769.001	couverture (couette)
3444190.001	croyance
3444190.001	secte
3444190.001	communauté
3444190.001	adepte
3444190.001	gourou
3444190.001	guérisseur
3444190.001	comportement psychologique
3315401.001	histoire
3315401.001	accord (de Munich)
3315401.001	relations diplomatiques
3315401.001	France
3315401.001	Allemagne
3315401.001	Daladier Edouard
3315401.001	livre (Le fantôme de Munich ; Ovnis
3315401.001	des archives à explorer)
3315401.001	ovni
3315401.001	spectacle (Arthur en vrai)
3584300.001	chanson
3584300.001	succès
3584300.001	classement
3231352.001.019	livre (Kiffe kiffe demain
3231352.001.019	Du rêve pour les oufs)
3198280.001	chanson (française)
3198280.001	chanteur
3818265.001	fait divers
3818265.001	fantôme
3818265.001	légende
3818265.001	surnaturel
3514085.001	livre
3514085.001	extraterrestre
3514085.001	parlement
3514085.001	Clay Philippe
3514085.001	Turner Ike
3782399.001	espace
3782399.001	recherche scientifique
3782399.001	planète Mars
3782399.001	planète Saturne
3782399.001	satellite naturel (Titan)
3782399.001	rhinocéros
3782399.001	automobile
3782399.001	vitesse
3782399.001	record
3782399.001	prototype
