"";"X.baseid_SA";"X.baseid_TV"
"mélenchon";0,71;0,04
"bernard";0,33;0,07
"beau";0,16;0,49
"sembler";0,22;0,67
"crabe";0,71;0
"cacher";0,27;0,82
"fatou";2,15;0
"bruno";0,49;0,11
"françois";0,19;1,01
"comment";1,74;0,82
"concours";0,22;0,11
"colocataire";1,53;0
"parisien";0,11;0,22
"raven";3,71;0
"provoquer";2,26;0,19
"système";0,33;0,19
"brigitte";0,38;0
"adolescent";0,63;0,15
"toutes";0,87;1,01
"oise";0,41;0
"monter";0,05;0,37
"48";0,52;0
"49";0,33;0,15
"47";0,57;0,07
"44";0,57;0,19
"45";0,49;0,22
"42";0,38;0,19
"40";0,38;0,67
"41";0,25;0,15
"membre";0,84;0,41
"inédit";0;0,71
"direct";0,27;0,34
"air";0,05;0,3
"philippe";0,14;0,49
"même";0,82;1,08
"changer";0,25;0,22
"pendant";0,38;0,49
"actualité";0,38;0,71
"m6";0,41;0,19
"assez";0,03;0,6
"mois";0,08;0,52
"me";0,41;0,26
"ma";0,08;0,26
"naître";2,21;0,37
"mi";0,3;0
"enquête";0,35;0,86
"entretien";0,22;0,22
"laquelle";0,08;0,34
"nouvelle";0,35;0,45
"vite";0,16;0,22
"mettre";0,27;1,23
"autre";0,3;0,63
"jeune";1,17;1,87
"construire";0,3;0,22
"réal";0;0,41
"émission";1,36;2,02
"coeur";0,19;0,37
"claude";0,41;0,45
"présidentiel";0,25;0,19
"photo";0,19;0,19
"boulot";1,55;0
"transformer";0,11;0,41
"frontière";0,11;0,34
"candidat";0,33;0,15
"alien";0,27;0,15
"jean";1,2;1,64
"proposer";0,08;0,75
"fête";0,05;0,3
"vérité";0,14;0,22
"manquer";2,21;0,22
"enfin";0,16;0,34
"2999";1,14;0,04
"bande";0,08;0,52
"59";0,57;0
"58";0,38;0
"55";0,57;0,11
"54";0,71;0
"56";0,49;0
"51";0,46;0,11
"50";0,68;0,3
"53";0,38;0,04
"52";0,49;0,11
"57";0,38;0,11
"humanité";0,65;0,93
"gouvernement";0,55;0,19
"plus";2,59;3,73
"entrepreneur";0,3;0
"exister";0,35;0,19
"hugues";0,38;0
"voisin";0,05;0,37
"peret";0;0,37
"ne";6,79;5,04
