"";"*baseid_SA";"*baseid_TV"
"après";137;41
"ados";82;1
"éléphant";26;1
"site";21;14
"paul";52;14
"politique";17;16
"crise";0;13
"manège";2;9
"imedia";404;159
"hier";12;1
"alliance";14;3
"catherine";0;25
"lune";4;9
"nommer";2;8
"milieu";1;11
"participer";8;4
"seul";13;15
"survivre";0;17
"tamaran";81;0
"mauvais";1;15
"chez";9;29
"chef";8;11
"hors";27;4
"communauté";9;6
"servir";34;5
"appeler";5;10
"falloir";7;19
"soucoupe";4;14
"interview";59;30
"nombre";7;5
"pizza";42;2
"rire";0;13
"l";764;750
"alexis";13;0
"survivant";0;18
"enlever";4;12
"responsable";1;11
"prendre";55;45
"alors";17;46
"livreur";42;1
"état";14;8
"plaindre";3;7
"grave";104;4
"avouer";3;7
"de";1838;1814
"du";285;331
"malgré";3;18
"déage";0;10
"bien";100;48
"auteur";20;36
"bras";0;10
"ils";303;99
"thierry";15;10
"carbonnier";40;0
"bunny";1;15
"raid";15;0
"déclaration";21;4
"contact";15;13
"the";3;16
"poser";4;14
"lci";22;0
"bord";1;13
"loin";1;11
"connaître";8;24
"peupler";24;2
"commencer";14;14
"occasion";9;9
"sujet";14;20
"rentrer";4;8
"zone";6;5
"donner";10;24
"partager";2;10
"quelques";5;18
"urgentiste";12;0
"gilet";21;1
"ciel";22;8
"finir";63;10
"echoué";0;15
"cas";13;17
"car";4;15
"discussion";13;0
"cours";5;17
"michel";4;14
"cafard";0;14
"découvrir";18;55
"forme";20;17
"valérie";4;11
"nom";6;6
"non";16;28
"emmener";1;9
"nos";6;21
"en";311;451
"ex";12;2
"et";834;826
"album";0;15
"marine";7;7
"message";7;12
"incroyable";14;6
"premier";28;39
"presque";8;2
"deux";15;37
"ligne";6;4
"étrange";33;26
"disparaître";4;13
"secrétaire";27;2
"joli";1;16
"leur";287;108
"sport";4;9
"3";44;6
"vrai";7;9
"près_de";4;13
"tropical";79;0
"maïa";37;0
"prétexte";80;0
"explication";5;7
"soir";11;8
"media";7;3
"fruit";4;7
"glacier";26;0
