"";"banalfreq";"X.baseid_SA";"X.baseid_TV"
"laquelle";12;-1,6466;1,6466
"nouvelle";25;-0,4589;0,4589
"vite";12;-0,4037;0,4037
"autre";28;-1,427;1,427
"jeune";93;-1,7911;1,7911
"construire";17;0,4259;-0,4259
"émission";104;-1,5404;1,5404
"coeur";17;-0,8953;0,8953
"claude";27;-0,3189;0,3189
"présidentiel";14;0,3785;-0,3785
"photo";12;0,218;-0,218
"transformer";15;-1,8279;1,8279
"frontière";13;-1,3369;1,3369
"candidat";16;0,9004;-0,9004
"alien";14;0,647;-0,647
"jean";88;-1,068;1,068
"fête";10;-1,7502;1,7502
"vérité";11;-0,5267;0,5267
"enfin";15;-0,8898;0,8898
"50";33;1,5969;-1,5969
"57";17;1,5035;-1,5035
"humanité";49;-0,8699;0,8699
"gouvernement";25;1,7576;-1,7576
"exister";18;0,8002;-0,8002
"actuel";15;0,4725;-0,4725
"retour";51;0,5458;-0,5458
"valentin";19;0,9224;-0,9224
"frédéric";25;-1,6352;1,6352
"haut";23;1,9511;-1,9511
"antoine";27;1,5974;-1,5974
"1";33;0,95;-0,95
"rapport";11;0,6082;-0,6082
"réponse";15;-1,3045;1,3045
"oeuf";10;-0,3735;0,3735
"apporter";11;-0,2774;0,2774
"place";12;-1,1069;1,1069
"république";10;-1,1364;1,1364
"chanteur";16;-0,2632;0,2632
"chaque";16;-0,7263;0,7263
"20";185;1,2485;-1,2485
"concernant";10;0,239;-0,239
"curieux";35;1,4806;-1,4806
"réussir";10;-1,7502;1,7502
"phénomène";37;-1,5887;1,5887
"catastrophe";13;-1,9161;1,9161
"endroit";14;-0,7121;0,7121
"programme";15;-0,5711;0,5711
"sur";826;0,4791;-0,4791
"prochain";12;-1,1069;1,1069
"différents";15;-1,8279;1,8279
"emmanuel";16;0,3425;-0,3425
"style";10;-0,3735;0,3735
"blanc";18;1,178;-1,178
"passer";74;-1,3538;1,3538
"dans";656;-1,5134;1,5134
"nathalie";26;-0,8016;0,8016
"ainsi";16;-0,7263;0,7263
"tourner";10;-0,6871;0,6871
"vincent";18;0,8002;-0,8002
"intelligence";17;1,5035;-1,5035
"matin";15;-1,3045;1,3045
"raconter";20;-1,4711;1,4711
"année";55;0,6377;-0,6377
"publicité";10;-1,1364;1,1364
"détruire";15;-1,3045;1,3045
"propos";13;-0,8873;0,8873
"plateau";47;-0,6673;0,6673
"anne";28;0,3415;-0,3415
"question";67;0,9291;-0,9291
"long";11;0,3261;-0,3261
"nasa";14;1,5577;-1,5577
"au_dessus";11;-0,8895;0,8895
"patron";16;0,9004;-0,9004
"fédération";12;1,8683;-1,8683
"nuit";17;-1,283;1,283
"g";16;0,3425;-0,3425
"permettre";27;-0,3189;0,3189
"encore";27;-0,6873;0,6873
"défense";11;-0,2774;0,2774
"rendre";44;-0,9368;0,9368
"partir";41;-1,5894;1,5894
"chemin";12;-1,1069;1,1069
"janvier";10;-0,3735;0,3735
"américain";44;-0,9368;0,9368
"soirée";10;-0,6871;0,6871
"humain";49;-0,8699;0,8699
"marier";15;-0,8898;0,8898
"michaël";10;0,4835;-0,4835
"fantôme";13;-1,9161;1,9161
