"";"V1";"V2";"V3";"V4";"V5"
"435";"ambre";"-0.539976625741433";"0.144249311802962";"0.9";"801"
"436";"julien";"-0.501160223359636";"0.383062907181384";"0.9";"802"
"437";"pernin";"-0.742385224364935";"-1.30328847618107";"0.9";"803"
"438";"cabrol";"-0.612322717275366";"-0.24003879025705";"0.9";"804"
"439";"frontière";"-0.694677969620488";"-1.02002560537268";"0.9";"805"
"440";"nathalie";"-0.567984572867352";"-0.0253221689872771";"0.9";"807"
"441";"paul";"-0.355966483127367";"0.516388428242388";"0.9";"810"
"442";"seuil";"-0.629952104588206";"-0.35740222674334";"0.9";"811"
"443";"bristielle";"-0.568516360922255";"0.0515915670725186";"0.9";"812"
"444";"astrobiologiste";"-0.607835236868463";"-0.210164460969631";"0.9";"814"
"445";"animation";"-1.07936769045455";"-2.48783214099559";"0.9";"818"
"446";"voler";"-1.04839447784778";"-2.29076662151028";"0.9";"822"
"447";"entraîner";"-1.04236533099343";"-2.35297506018581";"0.9";"823"
"448";"grandir";"-1.04349128989695";"-2.32209051988629";"0.9";"824"
"449";"manquer";"-1.03113474267353";"-2.27301891410973";"0.9";"825"
"450";"antoine";"0.180072212041904";"0.0477786870646375";"0.9";"826"
"451";"quitter";"-0.872499330725265";"-1.85474095684317";"0.9";"827"
"452";"courir";"-0.762510961019826";"-2.07783527410361";"0.9";"838"
"453";"propre";"-0.971884500559515";"-1.98243508150915";"0.9";"839"
"454";"aujourd_hui";"-0.877554139155326";"-1.5249468646249";"0.9";"842"
"455";"créature";"-0.994802222573825";"-1.84326191701473";"0.9";"843"
"456";"didier";"-0.723451755759812";"-2.21786940941438";"0.9";"844"
"457";"eau";"-0.287812160943409";"1.84150625910966";"0.9";"845"
"458";"glacier";"-0.29819908879207";"1.8511642598623";"0.9";"846"
"459";"vinci";"-0.29819908879207";"1.8511642598623";"0.9";"847"
"460";"crabe";"-0.29819908879207";"1.8511642598623";"0.9";"848"
"461";"éléphant";"-0.293119457636788";"1.79696877768715";"0.9";"849"
"462";"respirer";"-0.2938514438103";"1.8235599723826";"0.9";"851"
"463";"chrono";"-0.30941752823064";"1.69665079791137";"0.9";"852"
"464";"duo";"-0.0742634605715555";"1.70533321952669";"0.9";"853"
"465";"quoi";"-0.303944300717123";"1.73059455667679";"0.9";"854"
"466";"tromper";"-0.125690208582734";"1.53276927185505";"0.9";"855"
"467";"former";"-0.321081926055648";"1.64747233762894";"0.9";"856"
"468";"hors";"-0.132776066820507";"1.52155036504378";"0.9";"857"
"469";"minute";"-0.308573625913376";"1.64349782745055";"0.9";"858"
"470";"pauline";"-0.29819908879207";"1.8511642598623";"0.9";"859"
"471";"claviere";"-0.29819908879207";"1.8511642598623";"0.9";"860"
"472";"mazaurette";"-0.461827947531627";"0.761844204138107";"0.9";"861"
"473";"maïa";"-0.465569979644174";"0.736932518872066";"0.9";"862"
"474";"belhousse";"-0.29819908879207";"1.8511642598623";"0.9";"863"
"475";"yacine";"-0.29819908879207";"1.8511642598623";"0.9";"864"
"476";"depétrini";"-0.29819908879207";"1.8511642598623";"0.9";"866"
"477";"réputation";"-0.283970442602523";"1.88106990072532";"0.9";"867"
"478";"omar";"-0.29819908879207";"1.8511642598623";"0.9";"868"
"479";"giorgio";"-0.469836627263341";"0.92614424452249";"0.9";"870"
"480";"tsoukalos";"-0.479372046067301";"0.874754243670278";"0.9";"871"
"481";"laurie";"-0.29819908879207";"1.8511642598623";"0.9";"872"
"482";"peret";"-0.29819908879207";"1.8511642598623";"0.9";"873"
"483";"chaouch";"-0.29819908879207";"1.8511642598623";"0.9";"874"
"484";"margot";"-0.391073786182328";"1.40515240338938";"0.9";"875"
"485";"théoricien";"-0.592340344915076";"0.123432614238992";"0.9";"876"
"486";"ukrainien";"-0.285730903229104";"1.7181389854324";"0.9";"877"
"487";"italie";"-0.370015741030416";"1.3602673023191";"0.9";"878"
"488";"anne";"-0.30400126342951";"1.21654390558458";"0.9";"881"
"489";"selon";"-0.52805074108142";"0.269966720135074";"0.9";"883"
