"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"si";0;0;0;0;0;0;1,49;0;0;0;0;0;4,46;0;0,25;0,47;1,61;1,77;0,94;0,72;1,95;2,23;0,2;0,38;0;0,84;0,72;0,7
"sa";6,62;0;0;0;0;0;2,99;0;0;6,13;3,33;16,77;8,91;4,57;2,23;8,91;2,76;6,18;7,5;6,49;4,55;3,9;1,58;0,38;1,66;0,84;0,96;2,11
"se";19,87;0;9,43;12,71;9,26;10;14,93;18,52;0;2,63;0;9,99;3,82;4,57;3,72;5,63;14,27;8,83;5,16;12,26;5,2;5,01;2,96;4,23;3,87;3,01;1,91;7,45
"extraterrestre";0;0;3,14;12,71;2,31;10;13,43;18,52;0;2,63;1,66;0,36;1,91;10,67;4,96;9,85;10,81;25,6;12,66;13,7;10,41;12,25;5,53;18,47;6,64;7,82;9,92;11,67
"internet";0;0;0;0;0;0;0;0;0;3,5;0;1,07;0,64;0;0;1,41;0,92;0;0;0,72;1,3;0,56;0,39;0;0;0,24;0,12;0,42
"million";0;0;0;0;0;0;0;0;0;0;0;0;1,27;0;0,74;0,47;0,23;0;0,47;0;0;0;0;0;0;0,12;0,84;0,84
"city";0;0;3,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,56;5,53;0,19;2,77;5,78;9,8;0
"2";0;0;0;0;0;0;0;0;0;0;4,99;0;0;1,52;2,97;3,75;1,84;0;0,47;1,44;0;0,56;0,39;0,19;0,55;0,48;0;0,28
"plein";0;0;0;0;4,63;0;1,49;0;0;0;0;0;0,64;0;0,5;0,47;0,69;0;0,47;0,72;0;1,11;3,75;0;1,11;2,89;4,9;0,14
"tendance";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,69;0;0,47;1,44;0,65;0;0,2;0;0;0;0;0,42
"sophie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47;1,44;0,65;0,56;1,18;0;0;0,36;0;0
"aller";13,25;0;0;8,47;2,31;0;1,49;0;8,33;0;0;1,78;3,18;0;1,24;2,81;1,38;4,41;0,94;1,44;4,55;1,67;1,18;0;1,11;0,72;0,36;1,12
"perdre";0;0;0;0;0;0;2,99;0;0;0,88;0;1,07;3,18;0;0;0,47;0,46;0;0;0;0,65;0;0,59;0;0;0;0,12;0
