behind;0;1;0;0;0;0;2
autorité;0;1;2;0;0;0;0
atterrissage;1;0;2;0;0;0;0
archeologia;0;0;0;0;0;0;3
antérieur;0;2;0;0;1;0;0
ancient;0;0;0;3;0;0;0
analyse;0;1;0;0;2;0;0
agir;1;0;2;0;0;0;0
action;1;0;2;0;0;0;0
abduction;1;1;0;1;0;0;0
38z;0;0;3;0;0;0;0
37z;0;0;3;0;0;0;0
