"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"175";175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"176";176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"177";177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"178";178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"179";179;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"180";180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"181";181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"182";182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"183";183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"184";184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"185";185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"186";186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"187";187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"188";188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"189";189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"190";190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"191";191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"192";192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"193";193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"194";194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"195";195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"196";196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"197";197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"198";198;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"199";199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"200";200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"201";201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"202";202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"203";203;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"204";204;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"205";205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"206";206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"207";207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"208";208;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"209";209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"210";210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"211";211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
