"";"";"";"";"mohammed";""
"48";"énergie";"0.2527931213863";"-0.628540594452343";"0.840510891852347";"273"
"49";"visiter";"0.250383489769773";"-0.645063132708972";"0.840510891852347";"274"
"50";"atterrir";"0.247076466173866";"-0.603067674555815";"0.839788490376114";"275"
"51";"enfermer";"0.255960940968214";"-0.58552969950873";"0.839788490376114";"277"
"52";"appareil";"0.260177796297135";"-0.556615257559629";"0.839788490376114";"278"
"53";"révélation";"0.255960940968214";"-0.58552969950873";"0.839788490376114";"279"
"54";"niveau";"0.255960940968214";"-0.58552969950873";"0.839788490376114";"280"
"55";"manipuler";"0.255960940968214";"-0.58552969950873";"0.839788490376114";"281"
"56";"imaginaire";"0.260177796297135";"-0.556615257559629";"0.839788490376114";"282"
"57";"voir";"0.29371755488565";"-0.44344940413677";"0.839288086330864";"283"
"58";"damien";"0.293541504053656";"-0.478979619507633";"0.839284447028717";"284"
"59";"françois";"0.324158279697363";"-0.296807967928442";"0.83924623435617";"285"
"60";"étude";"0.282003343497511";"-0.563638978455162";"0.839113399827795";"286"
"61";"pierre";"0.301430801116044";"-0.436564705755798";"0.839058810295586";"287"
"62";"volant";"0.271507155983454";"-0.553429550092751";"0.838927795418284";"288"
"63";"famille";"0.288956180497711";"-0.496926398409552";"0.838893222047885";"289"
"64";"vendre";"0.272689186705831";"-0.527501893290131";"0.838796780540982";"290"
"65";"voiture";"0.280844546207536";"-0.584932932547536";"0.838713076591595";"291"
"66";"hypothèse";"0.280844546207536";"-0.584932932547536";"0.838713076591595";"292"
"67";"voyager";"0.280844546207536";"-0.584932932547536";"0.838713076591595";"293"
"68";"sarah";"0.280844546207536";"-0.584932932547536";"0.838713076591595";"294"
"69";"explorateur";"0.280844546207536";"-0.584932932547536";"0.838713076591595";"295"
"70";"astronomie";"0.280844546207536";"-0.584932932547536";"0.838713076591595";"296"
"71";"chanteur";"0.297711967523221";"-0.469275164751133";"0.837825086867661";"297"
"72";"salvatore";"0.297711967523221";"-0.469275164751133";"0.837825086867661";"298"
"73";"carrière";"0.297711967523221";"-0.469275164751133";"0.837825086867661";"299"
"74";"laure";"0.288299892451683";"-0.517464679913631";"0.837748661522568";"300"
"75";"proposer";"0.29978673794324";"-0.446002217274206";"0.837446599444345";"301"
"76";"tuer";"0.256808766142711";"-0.595409312163923";"0.837228241315509";"303"
"77";"confiance";"0.269114503731918";"-0.53581999736713";"0.837228241315509";"304"
"78";"venir";"0.27147118880659";"-0.537315538766342";"0.837191848294036";"305"
"79";"fantôme";"0.278770048667347";"-0.579876725035529";"0.836857032496487";"306"
"80";"disparaître";"0.273471626136626";"-0.58510975238789";"0.836857032496487";"307"
"81";"émission";"0.314627689623135";"-0.350523091967621";"0.836800623313204";"311"
"82";"réponse";"0.352013371772111";"-0.128187876309976";"0.835970862423626";"313"
"83";"responsable";"0.343672444832981";"-0.147596785822975";"0.835970862423626";"314"
"84";"laisser";"0.254690908711766";"-0.612149623191881";"0.835266657458129";"316"
"85";"recette";"0.332895610594046";"-0.134657463895791";"0.835011906307821";"317"
"86";"mai";"0.342963137730629";"-0.185035757716836";"0.834777171319321";"319"
"87";"livre";"0.30369796540553";"-0.356515143839593";"0.834753515855364";"320"
"88";"chine";"0.261028243178069";"-0.599341932340454";"0.834240374252599";"321"
"89";"image";"0.289037206012502";"-0.494202039280101";"0.834149391698917";"322"
"90";"vidéo";"0.3532064723097";"-0.0342286771098983";"0.833840051016399";"323"
"91";"nuit";"0.271470994109004";"-0.534645809469187";"0.83372541299876";"324"
