origine;11;18;0;4;0;0;0
comprendre;4;4;0;5;5;14;0
terrien;5;0;0;0;2;0;26
robot;0;3;0;5;0;0;0
naître;0;2;0;6;0;0;26
inviter;0;1;5;13;0;0;0
frédéric;0;0;0;21;0;0;0
voler;1;1;1;1;1;0;0
vivre;3;14;0;9;5;0;0
président;1;2;6;5;1;12;0
police;1;0;0;1;1;28;0
membre;0;3;1;0;0;27;0
général;0;3;0;3;0;27;0
trouver;9;12;0;5;0;0;0
revenir;11;2;1;13;0;0;0
politique;0;0;16;10;0;1;0
luc;0;2;5;3;0;17;0
citation;0;3;4;3;0;13;0
cas;5;1;2;8;0;0;0
américain;10;4;4;5;4;0;0
acteur;0;0;5;6;1;0;0
témoin;5;5;0;4;0;14;0
thierry;0;1;2;6;0;14;0
sujet;0;1;12;15;1;1;0
question;7;7;2;10;0;0;0
manquer;1;2;0;2;0;0;26
grandir;0;1;0;3;0;0;0
forme;8;11;0;4;3;1;0
député;0;0;1;1;1;25;0
claude;1;2;1;13;0;13;0
unir;2;4;0;4;0;0;0
raconter;2;12;0;11;4;0;0
porte;2;2;4;3;2;15;0
intervenir;0;2;0;2;0;0;0
figure;3;0;1;0;0;0;26
david;1;2;0;14;1;0;0
édition;0;0;0;7;0;0;0
visuel;0;0;12;1;0;5;0
site;10;9;1;4;1;0;0
secrétaire;0;0;0;2;0;27;0
retour;0;0;14;5;0;3;0
recevoir;5;1;2;17;2;0;0
danger;0;0;0;2;1;0;0
cirque;0;1;0;1;1;0;0
affaire;0;2;4;9;5;5;0
adopter;0;0;0;3;0;0;0
théoricien;25;2;0;0;0;0;0
ciel;9;9;0;2;0;0;0
visiteur;18;4;0;0;3;0;0
témoignage;0;10;1;8;5;1;0
rythmé;0;0;0;1;0;0;26
parole;0;1;6;3;1;15;0
objet;3;18;0;0;1;0;0
femme;1;2;0;15;7;0;0
créature;3;4;0;1;2;0;0
connaître;2;11;1;9;3;0;0
tamaran;0;0;0;0;0;0;26
starfire;0;0;0;0;0;0;26
raven;0;0;0;0;0;0;26
prince;0;0;0;0;0;0;26
partir;2;1;11;6;2;1;0
mélenchon;0;0;3;1;0;17;0
culture;6;5;3;8;1;0;0
conquérant;0;0;0;0;0;0;26
animation;0;0;0;0;0;0;26
temps;7;6;2;6;4;0;0
sophie;0;1;0;21;0;0;0
rencontre;5;11;1;4;1;0;0
penser;6;9;0;8;1;0;0
mettre;6;3;0;3;12;0;0
jour;1;10;1;7;2;0;0
identifier;2;10;0;0;0;0;0
découverte;7;7;5;2;1;0;0
devenir;5;9;1;7;1;0;0
voyage;0;7;0;1;0;6;0
vaisseau;8;3;0;0;3;0;0
sy;0;0;4;2;0;11;0
pierre;1;13;5;3;1;0;0
photo;2;10;0;9;0;0;0
montrer;0;7;2;11;1;1;0
ministre;0;2;11;2;0;4;0
humanité;18;2;0;1;0;0;0
cnews;0;0;11;1;0;12;0
