"";"V1";"V2";"V3";"V4";"V5"
"80";"bande";"0.312658948868238";"-0.360164446219809";"0.9";"282"
"81";"ville";"0.262549755137467";"-0.576411111218469";"0.9";"283"
"82";"travailler";"0.294433500202841";"-0.475407309805849";"0.9";"286"
"83";"théorie";"0.255596740267467";"-0.627908710372425";"0.9";"287"
"84";"réaliser";"0.278296628437066";"-0.529034984393982";"0.9";"292"
"85";"rencontrer";"0.261566115323055";"-0.597006739815101";"0.9";"293"
"86";"quotidien";"0.336164177130219";"-0.116382617239269";"0.9";"294"
"87";"près_de";"0.290215335827361";"-0.52067861710509";"0.9";"297"
"88";"plan";"0.27576168474532";"-0.512030441084502";"0.9";"299"
"89";"part";"0.276373573313634";"-0.567776781403291";"0.9";"301"
"90";"moment";"0.280590428642556";"-0.538862339454191";"0.9";"303"
"91";"journal";"0.361418259364768";"-0.0526205089561867";"0.9";"307"
"92";"italie";"0.290647024129742";"-0.45101233968579";"0.9";"308"
"93";"géant";"0.259757782586931";"-0.620088451569866";"0.9";"310"
"94";"groupe";"0.271458984408911";"-0.554440228619081";"0.9";"311"
"95";"dieu";"0.245306647030146";"-0.655084832735877";"0.9";"314"
"96";"actuel";"0.275014346730017";"-0.558204941527057";"0.9";"316"
"97";"élection";"0.36898256059989";"-0.021598098672115";"0.9";"317"
"98";"âge";"0.269484656676834";"-0.558337556407323";"0.9";"318"
"99";"travers";"0.287193319286952";"-0.528051972979345";"0.9";"319"
"100";"richard";"0.31231564666632";"-0.378514754998426";"0.9";"321"
"101";"rappeler";"0.284643574721289";"-0.5101733220858";"0.9";"323"
"102";"propos";"0.343538991400367";"-0.0772704501901138";"0.9";"324"
"103";"portrait";"0.29386230893593";"-0.478233122987902";"0.9";"325"
"104";"omar";"0.352013371772111";"-0.128187876309976";"0.9";"326"
"105";"nouvelle";"0.280930192717117";"-0.54946834080735";"0.9";"327"
"106";"média";"0.328606067940987";"-0.276188568466079";"0.9";"328"
"107";"long";"0.272227402579057";"-0.563930224420739";"0.9";"329"
