"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"laëtitia";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
"animal";0;1;4;0;7;1;0;0;1;0;0;0;0;4;1
"pyramide";0;0;0;0;0;0;0;0;0;0;0;0;1;11;0
"robot";0;0;0;1;1;2;0;1;1;1;26;0;0;0;1
"temps";1;0;0;1;4;2;1;2;1;0;0;0;1;6;3
"david";0;0;0;9;16;3;0;0;0;0;0;0;0;2;0
"façon";0;0;0;1;2;2;0;0;0;0;0;0;0;2;0
"face";0;0;0;0;7;0;2;0;0;1;0;0;0;0;1
"rouge";0;0;0;0;5;2;0;1;0;1;0;0;0;0;0
"montrer";0;0;1;0;8;8;0;1;0;1;0;0;0;1;3
"tenter";0;0;0;1;5;0;1;0;0;3;42;0;0;0;7
"quitter";0;0;1;1;5;0;26;0;0;0;0;0;0;0;3
"inviter";0;2;0;8;7;0;0;4;0;1;0;0;0;0;1
"ados";0;0;0;1;0;0;26;0;0;0;0;0;0;0;0
"site";0;1;0;0;7;0;0;0;0;0;0;0;2;11;3
"politique";0;4;4;0;5;0;0;6;0;0;0;0;0;1;1
"alliance";0;2;14;0;0;0;0;0;0;0;0;0;0;0;0
"lune";0;0;0;0;2;6;0;4;1;0;0;0;0;3;0
"seul";0;0;0;0;3;2;1;2;0;1;3;0;1;3;1
"tamaran";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"mauvais";0;0;0;7;2;1;0;0;0;0;0;0;0;0;2
"chef";0;2;0;1;4;0;0;1;0;0;0;0;1;2;1
"appeler";0;1;0;0;2;0;0;1;0;0;0;0;0;3;2
"françois";0;3;1;4;3;2;0;3;0;0;0;0;0;0;2
"soucoupe";0;0;0;0;1;4;1;4;2;2;0;0;0;0;1
"nombre";0;0;0;0;2;0;0;0;0;0;0;2;0;4;1
"pizza";0;0;0;1;0;0;0;0;0;0;42;0;0;0;0
"alexis";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
"enlever";0;0;0;0;0;0;2;0;2;3;0;0;0;0;3
"prendre";0;0;0;1;11;8;4;1;0;3;42;0;0;2;6
"livreur";0;0;0;1;0;0;0;0;0;0;42;0;0;0;0
"état";0;2;0;0;1;1;0;1;0;0;0;0;0;14;0
"grave";0;1;0;0;0;0;49;0;0;0;0;0;0;0;0
"déage";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
"yacine";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
"thierry";0;7;14;0;1;5;0;2;0;0;0;0;0;0;1
"carbonnier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jerry";0;0;0;0;0;2;8;0;0;0;0;0;0;0;0
"raid";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
"déclaration";0;1;7;0;0;0;0;0;0;0;0;0;0;0;0
"contact";0;0;0;1;2;2;0;0;0;0;0;0;2;12;1
"the";0;4;0;1;1;0;0;0;0;2;0;0;0;1;1
"photo";0;1;0;0;6;4;0;0;0;0;0;0;0;2;9
"transformer";0;0;0;3;3;3;0;0;0;1;0;0;0;0;0
"lci";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
"bord";0;0;0;0;1;9;0;0;0;0;0;0;0;0;2
"jacques";0;0;0;2;9;1;0;0;1;0;0;0;0;0;5
"connaître";0;1;0;0;12;4;0;2;0;1;0;0;0;5;1
"peupler";0;0;0;1;0;0;0;1;0;0;24;0;0;0;0
"commencer";0;0;1;0;6;0;0;0;0;1;0;0;1;2;1
"archive";0;0;0;3;0;3;0;0;0;0;0;0;0;0;5
"sujet";0;0;5;2;7;1;0;3;0;0;0;0;0;0;4
"zone";0;1;0;0;3;1;0;0;0;0;0;0;0;2;0
"donner";0;1;0;4;14;2;0;1;5;2;0;0;0;3;5
"urgentiste";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"gilet";0;0;21;0;0;0;0;0;0;0;0;0;0;0;0
"ciel";0;0;0;1;3;1;1;2;1;0;0;0;0;17;2
"cas";0;7;1;0;4;6;0;0;0;0;0;0;1;2;2
"discussion";0;0;9;0;0;0;0;0;0;0;0;0;0;0;2
"cours";0;0;0;0;8;1;1;2;0;0;0;0;0;3;4
"découvrir";0;0;0;1;9;8;1;1;0;5;0;1;0;11;6
"forme";0;0;1;1;7;2;0;1;2;1;0;0;1;14;1
"nom";0;1;0;0;1;1;0;0;0;0;0;0;0;4;2
