"";"";"";"";"cryogénisé";""
"43";"scientologie";"0.173925166060071";"-0.127708680868776";"1.20169865584337";"100"
"44";"grandir";"-1.47701895368861";"0.242852410115368";"1.17250120176225";"101"
"45";"manquer";"-1.47701895368861";"0.242852410115368";"1.17250120176225";"102"
"46";"vigi";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"103"
"47";"solère";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"105"
"48";"brigitte";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"106"
"49";"syndicat";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"108"
"50";"seines";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"109"
"51";"hugues";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"110"
"52";"langlois";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"111"
"53";"joe";"1.35069199441933";"-1.66272199474255";"1.17006711697648";"112"
"54";"consacrer";"0.1881810289957";"-0.112857697023585";"1.16755787042773";"113"
"55";"alexandre";"1.27714406764687";"-1.56678366262544";"1.15403453476521";"115"
"56";"voler";"-1.4384251937201";"0.246895909378734";"1.13654497068691";"117"
"57";"terrien";"-1.4230400100351";"0.230386580225504";"1.13654497068691";"118"
"58";"alexis";"1.35069199441933";"-1.66272199474255";"1.11991109437179";"119"
"59";"lci";"1.35069199441933";"-1.66272199474255";"1.11991109437179";"120"
"60";"corbière";"1.35069199441933";"-1.66272199474255";"1.11991109437179";"121"
"61";"delage";"1.35069199441933";"-1.66272199474255";"1.11991109437179";"122"
"62";"affrontement";"1.35069199441933";"-1.66272199474255";"1.11991109437179";"124"
"63";"bruno";"1.21267461101003";"-1.4800694436849";"1.10371084361232";"126"
"64";"salvatore";"0.163118696346558";"-0.0617014402518731";"1.09529272615844";"127"
"65";"avocat";"1.12717168439257";"-1.36538464499322";"1.07104438508592";"132"
"66";"naulleau";"1.35069199441933";"-1.66272199474255";"1.06976085344117";"133"
"67";"laporte";"1.35069199441933";"-1.66272199474255";"1.06976085344117";"135"
"68";"revel";"1.35069199441933";"-1.66272199474255";"1.06976085344117";"136"
"69";"agathe";"1.35069199441933";"-1.66272199474255";"1.06976085344117";"137"
"70";"csa";"1.35069199441933";"-1.66272199474255";"1.06976085344117";"138"
"71";"auproux";"1.35069199441933";"-1.66272199474255";"1.06976085344117";"139"
"72";"troisième";"1.16281676996986";"-1.39280298925848";"1.06212904366155";"141"
"73";"parole";"1.16107048074833";"-1.40661401793641";"1.06212904366155";"142"
"74";"reportage";"0.187459732090242";"-0.109981267436464";"1.06033094302408";"143"
"75";"karim";"1.27448544241078";"-1.55523269370464";"1.05702382545291";"144"
"76";"comportement";"1.20498552249279";"-1.45676562616752";"1.05664801663801";"146"
"77";"lopez";"1.21733052840435";"-1.47461571792624";"1.05664801663801";"147"
"78";"théorie";"0.184504048642559";"-0.117046385752303";"1.034047452677";"148"
"79";"frédéric";"0.221414744886765";"-0.166926057419113";"1.02645611461591";"149"
"80";"urgentiste";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"151"
"81";"hapsatou";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"152"
"82";"sy";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"153"
"83";"mohammed";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"154"
"84";"rugby";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"155"
"85";"ex_membre";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"156"
"86";"entrepreneur";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"157"
"87";"fédération";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"158"
"88";"polémiste";"1.35069199441933";"-1.66272199474255";"1.01962795753278";"159"
"89";"christine";"1.26017146916092";"-1.54464404752149";"1.00871793855237";"163"
"90";"pyramide";"0.146412172556604";"-0.101258393391241";"1.00281484932131";"165"
"91";"astronaute";"0.168558216624914";"-0.10177854038792";"0.978179136085741";"168"
"92";"damien";"0.173925166060072";"-0.127708680868776";"0.972443715402875";"170"
"93";"handicapé";"0.173925166060072";"-0.127708680868776";"0.972443715402875";"171"
"94";"boucherie";"1.35069199441933";"-1.66272199474255";"0.969512406646613";"173"
"95";"jimmy";"1.25323127028609";"-1.5318819902337";"0.960573938525937";"174"
"96";"désert";"0.169513461615404";"-0.101767942494596";"0.951785793931225";"178"
"97";"fantôme";"0.175904244168219";"-0.0955156694322523";"0.951167154805149";"179"
"98";"observation";"0.168136845572783";"-0.096941428984362";"0.950959014538432";"180"
"99";"représentant";"0.153129341973097";"-0.103597746030024";"0.950959014538432";"182"
"100";"sophie";"0.189168047917578";"-0.108075868810066";"0.944656989796171";"184"
"101";"présenter";"0.190300212331341";"-0.101453380705331";"0.939626933350513";"186"
"102";"unir";"0.157359926799646";"-0.0826241499508658";"0.934793453823421";"187"
