"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"cabrol";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"voyage";-0,0184;-0,2466;4,3056;-0,4464;0,3117;1,2791;-2,4416;0,2739;-0,1267;-0,2005;-0,5236;-0,0619;-0,147;-1,1911;0,2867
"scientifique";-0,0309;-0,4151;-2,3647;0,294;1,5456;0,3539;-3,0374;0,4451;-0,2133;-0,3375;-0,8811;1,6262;1,7315;1,2162;0,8105
"aller";-0,0267;-0,3589;-1,2608;1,2517;1,2038;-0,1886;-1,8326;-0,1525;1,1801;2,3852;0,2886;1,7453;-0,214;-1,7333;0,3415
"servir";-0,0092;-0,1233;-0,7022;-0,2231;0,5878;0,2783;-0,5966;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;0,8078;2,2599;-0,3852
"théoricien";-0,0234;-0,314;-1,7887;-0,5682;-2,152;-0,8279;-3,1085;-0,4201;-0,1614;-0,2553;-0,6665;-0,0788;5,4812;15,2869;-0,9812
"livre";-0,0267;2,9267;-1,2608;7,065;0,5966;0,8073;-3,5533;-0,4802;-0,1844;-0,2918;-0,7619;-0,0901;-0,214;-0,3238;-0,5541
"revel";-0,01;-0,1345;10,3893;-0,2434;-0,9216;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;-0,4202
"super";-0,0518;-0,6963;-3,9671;-0,3392;-3,6568;-1,8361;27,8471;0,8001;-0,3578;-0,5662;-1,4781;-0,1748;-0,4151;-3,363;-2,176
"magazine";-0,0092;-0,1233;-0,264;0,3961;2,4025;-0,325;-1,2202;2,2828;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"lieu";1,5466;-0,1681;-0,9577;-0,3042;0,3488;0,587;-1,6642;-0,2249;3,0427;0,5686;-0,3569;-0,0422;-0,1002;-0,3359;1,6118
"batman";-0,0418;-0,5612;-3,1975;-1,0157;-3,8468;-1,4799;30,2763;-0,7509;-0,2884;-0,4563;-1,1914;-0,1409;-0,3346;-2,7106;-1,0365
"mystérieux";-0,0159;-0,213;-1,2133;-0,3854;-0,4147;0,446;-2,1084;-0,285;-0,1094;-0,1732;-0,1359;-0,0535;1,4763;5,7736;-0,251
"petit";-0,1818;-2,4425;-13,9224;-3,3592;-2,6783;-0,2609;54,6409;0,3458;-1,2551;-0,2727;-5,1857;-0,613;-1,4562;-11,8011;-0,6848
"décider";-0,0142;-0,1905;-1,0855;-0,3448;0,271;-0,1604;-1,8863;-0,2549;1,6867;2,3153;1,2321;-0,0478;-0,1136;-0,9202;2,1104
"handicapé";-0,0092;-0,1233;-0,7022;-0,2231;8,7061;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"corbière";-0,0108;-0,1457;11,2567;-0,2637;-0,9984;-0,3841;-1,4421;-0,1949;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"dieu";-0,0117;-0,1569;-0,8938;-0,2839;-1,0753;-0,4137;-1,5532;-0,2099;-0,0806;-0,1276;-0,3331;-0,0394;1,7287;6,5208;0,5284
"mazaurette";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"laure";-0,01;-0,1345;-0,766;-0,2434;-0,4001;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;11,1996
"ville";-0,0108;0,5452;-0,8299;-0,2637;-0,1897;0,68;-0,7622;0,4418;0,8004;0,6221;0,293;-0,0366;-0,0869;0,3368;-0,1346
"etats";-0,0108;0,5452;-0,8299;0,3419;-0,1897;0,2313;-1,4421;-0,1949;3,236;-0,1185;-0,3093;-0,0366;0,7417;0,3368;0,5742
"père";-0,0134;-0,1793;-1,0216;-0,3245;0,9874;0,5469;-1,7752;0,9968;-0,0922;-0,1458;1,2995;-0,045;-0,1069;-0,866;1,5136
"margot";-0,0092;-0,1233;-0,7022;14,7952;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"équipe";-0,0125;-0,1681;-0,4291;-0,3042;-0,258;1,1474;-1,6642;0,3934;0,7438;0,5686;0,7242;-0,0422;-0,1002;-0,3359;0,98
