"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"ados";0;0;0;1,91;0;0;10,06;0;0;0;0;0;0;0;0
"site";0;3,42;0;0;3,77;0;0;0;0;0;0;0;11,43;8,19;3,38
"politique";0;13,7;2,55;0;2,69;0;0;15,42;0;0;0;0;0;0,74;1,13
"alliance";0;6,85;8,93;0;0;0;0;0;0;0;0;0;0;0;0
"lune";0;0;0;0;1,08;7,96;0;10,28;6,62;0;0;0;0;2,23;0
"seul";0;0;0;0;1,61;2,65;0,39;5,14;0;4,2;4,91;0;5,71;2,23;1,13
"tamaran";0;0;0;0;0;0;10,06;0;0;0;0;0;0;0;0
"mauvais";0;0;0;13,38;1,08;1,33;0;0;0;0;0;0;0;0;2,25
"chef";0;6,85;0;1,91;2,15;0;0;2,57;0;0;0;0;5,71;1,49;1,13
"appeler";0;3,42;0;0;1,08;0;0;2,57;0;0;0;0;0;2,23;2,25
"françois";0;10,27;0,64;7,65;1,61;2,65;0;7,71;0;0;0;0;0;0;2,25
"soucoupe";0;0;0;0;0,54;5,31;0,39;10,28;13,25;8,4;0;0;0;0;1,13
"nombre";0;0;0;0;1,08;0;0;0;0;0;0;27,03;0;2,98;1,13
"pizza";0;0;0;1,91;0;0;0;0;0;0;68,74;0;0;0;0
"alexis";0;0;8,3;0;0;0;0;0;0;0;0;0;0;0;0
"enlever";0;0;0;0;0;0;0,77;0;13,25;12,61;0;0;0;0;3,38
"prendre";0;0;0;1,91;5,92;10,61;1,55;2,57;0;12,61;68,74;0;0;1,49;6,76
"livreur";0;0;0;1,91;0;0;0;0;0;0;68,74;0;0;0;0
"état";0;6,85;0;0;0,54;1,33;0;2,57;0;0;0;0;0;10,42;0
"grave";0;3,42;0;0;0;0;18,96;0;0;0;0;0;0;0;0
"déage";0;0;0;19,12;0;0;0;0;0;0;0;0;0;0;0
