"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"réponse";-0,61;0,933;-0,124;4,152;-0,714;-0,54
"robert";0,006;-0,028;1,838;-0,369;-0,445;-0,337
"publier";0,459;3,264;-1,67;-0,593;-0,714;-0,54
"présence";1,979;0,933;-1,67;-0,593;-0,714;-0,54
"problème";-4,386;23,376;-1,46;-0,518;-0,624;-0,473
"physique";-5,017;26,737;-1,67;-0,593;-0,714;-0,54
"peuple";6,667;-0,311;-1,46;-0,518;-0,624;-0,473
"personnalité";-0,304;6,066;-0,832;-0,295;-0,356;-0,269
"partager";1,979;0,016;-1,67;0,402;-0,714;-0,54
"oeil";8,212;-2,425;-0,124;-0,593;-0,714;-0,54
"nicolas";-3,756;0,352;4,566;0,909;-0,535;-0,405
"mouvement";-1,729;0,117;3,263;0,609;-0,624;-0,473
"mission";1,979;-0,513;0,346;-0,593;-0,714;-0,54
"lisa";-2,281;18,747;-1,67;-0,593;-0,714;-0,54
"lancer";-5,017;3,264;6,097;-0,593;-0,714;-0,54
"isabelle";-3,128;16,67;-1,041;-0,369;-0,445;-0,337
"invasion";8,212;-2,425;-1,67;0,402;-0,714;-0,54
"géo";-5,017;-2,425;-1,67;109,412;-0,714;-0,54
"génération";-2,281;0,933;2,338;0,402;-0,714;-0,54
"filmer";-1,203;0,352;4,566;-0,444;-0,535;-0,405
"festival";-3,756;0,352;-0,001;17,578;-0,535;-0,405
"essayer";-0,718;0,802;1,838;-0,369;-0,445;-0,337
"endroit";11,299;-2,12;-1,46;-0,518;-0,624;-0,473
"encel";-5,017;-2,425;-1,67;109,412;-0,714;-0,54
"désormais";-0,718;0,802;1,838;-0,369;-0,445;-0,337
"début";-2,281;18,747;-1,67;-0,593;-0,714;-0,54
"docteur";-0,304;0,008;3,039;-0,295;-0,356;-0,269
"didier";-3,756;-1,816;29,07;-0,444;-0,535;-0,405
"connaissance";12,924;-2,425;-1,67;-0,593;-0,714;-0,54
"confiance";-2,281;7,011;0,346;-0,593;-0,714;-0,54
"concours";-2,281;0,933;6,097;-0,593;-0,714;-0,54
"compagnie";-5,017;26,737;-1,67;-0,593;-0,714;-0,54
"civilisation";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"choisir";-4,386;0,117;14,564;-0,518;-0,624;-0,473
"chiffre";5,15;-1,816;-0,001;-0,444;-0,535;-0,405
"changer";6,667;-0,311;-1,46;-0,518;-0,624;-0,473
"cerveau";11,299;-2,12;-1,46;-0,518;-0,624;-0,473
"bientôt";1,017;0,175;-0,624;-0,221;-0,267;-0,202
"avion";-0,003;-0,513;-0,124;11,843;-0,714;-0,54
"astrobiologiste";-5,017;-2,425;-1,67;109,412;-0,714;-0,54
"artiste";-0,61;0,016;2,338;0,402;-0,714;-0,54
"armée";4,564;-0,513;-1,67;0,402;-0,714;-0,54
"apprendre";0,059;0,117;0,642;-0,518;-0,624;-0,473
"amour";-5,017;26,737;-1,67;-0,593;-0,714;-0,54
"air";0,459;3,264;-1,67;-0,593;-0,714;-0,54
"agent";-0,718;0,802;1,838;-0,369;-0,445;-0,337
"agence";0,059;0,117;0,642;-0,518;-0,624;-0,473
"actu";-5,017;12,172;0,346;-0,593;-0,714;-0,54
"écriture";-3,128;16,67;-1,041;-0,369;-0,445;-0,337
"écraser";11,299;-2,12;-1,46;-0,518;-0,624;-0,473
"youn";-3,756;-1,816;-1,25;81,926;-0,535;-0,405
"vérité";6,667;-0,311;-1,46;-0,518;-0,624;-0,473
"voiture";0,992;0,802;-1,041;-0,369;-0,445;-0,337
"visiter";11,299;-2,12;-1,46;-0,518;-0,624;-0,473
"téléspectateur";-1,203;2,444;1,106;-0,444;-0,535;-0,405
"troublant";6,667;-0,311;-1,46;-0,518;-0,624;-0,473
"train";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"texte";1,047;0,117;-0,041;-0,518;-0,624;-0,473
"style";-3,128;9,123;0,028;-0,369;-0,445;-0,337
"stratégique";-0,287;-2,12;-1,46;45,974;-0,624;-0,473
"société";0,059;-0,311;3,263;-0,518;-0,624;-0,473
"situer";-0,718;3,833;0,028;-0,369;-0,445;-0,337
"situation";2,039;-0,142;-1,25;0,909;-0,535;-0,405
"seuil";-4,386;-2,12;-1,46;95,658;-0,624;-0,473
"science_fiction";1,047;-2,12;3,263;-0,518;-0,624;-0,473
"salle";-4,386;4,574;0,642;0,609;-0,624;-0,473
"réussir";-0,718;0,802;1,838;-0,369;-0,445;-0,337
"robbie";0,229;1,627;-0,832;-0,295;-0,356;-0,269
"représenter";11,299;-2,12;-1,46;-0,518;-0,624;-0,473
"reprise";0,059;-0,311;3,263;-0,518;-0,624;-0,473
"rentrer";-0,065;2,444;-0,001;-0,444;-0,535;-0,405
"refuser";-0,065;6,42;-1,25;-0,444;-0,535;-0,405
"rapporter";2,039;0,352;-1,25;-0,444;-0,535;-0,405
"raison";6,667;-2,12;-0,041;-0,518;-0,624;-0,473
"prétendre";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"planétologie";-4,386;-2,12;-1,46;95,658;-0,624;-0,473
"peur";5,15;-1,816;-0,001;-0,444;-0,535;-0,405
"personnage";-0,065;2,444;-0,001;-0,444;-0,535;-0,405
"particulier";-1,729;1,538;3,263;-0,518;-0,624;-0,473
"parisien";-3,128;-0,028;6,471;1,359;-0,445;-0,337
"paraître";1,017;-0,906;0,552;-0,221;-0,267;-0,202
"ordre";-0,032;0,175;0,552;-0,221;-0,267;-0,202
"off";-0,287;9,226;-1,46;-0,518;-0,624;-0,473
"oeuf";-0,718;9,123;-1,041;-0,369;-0,445;-0,337
"occasion";0,059;1,538;-0,041;-0,518;-0,624;-0,473
"observer";1,047;1,538;-1,46;-0,518;-0,624;-0,473
"nommer";6,441;-1,209;-0,832;-0,295;-0,356;-0,269
"new";-0,304;0,008;3,039;-0,295;-0,356;-0,269
"musée";0,229;1,627;-0,832;-0,295;-0,356;-0,269
"militant";-0,032;3,202;-0,624;-0,221;-0,267;-0,202
"michaël";-3,756;-1,816;-1,25;81,926;-0,535;-0,405
"maudit";6,667;-0,311;-1,46;-0,518;-0,624;-0,473
"liste";0,992;-0,028;0,028;-0,369;-0,445;-0,337
"laurence";-4,386;1,538;3,263;0,609;-0,624;-0,473
"journée";-1,203;6,42;-0,001;-0,444;-0,535;-0,405
"janvier";-4,386;-0,311;14,564;0,609;-0,624;-0,473
"jamy";-4,386;23,376;-1,46;-0,518;-0,624;-0,473
"horizon";-3,756;-1,816;-0,001;55,23;-0,535;-0,405
"h";0,059;0,117;0,642;-0,518;-0,624;-0,473
"gérard";-1,203;6,42;-0,001;-0,444;-0,535;-0,405
"gourmaud";-4,386;23,376;-1,46;-0,518;-0,624;-0,473
"glace";3,676;-1,512;0,028;-0,369;-0,445;-0,337
"exercice";-3,756;20,02;-1,25;-0,444;-0,535;-0,405
"enlèvement";-1,729;-0,311;14,564;-0,518;-0,624;-0,473
"emmener";0,344;-1,816;4,566;-0,444;-0,535;-0,405
"défense";3,676;-0,028;-1,041;-0,369;-0,445;-0,337
"don";3,676;-1,512;0,028;-0,369;-0,445;-0,337
"domaine";3,676;-1,512;-1,041;1,359;-0,445;-0,337
"disparition";11,299;-2,12;-1,46;-0,518;-0,624;-0,473
"cuisine";-1,203;6,42;-0,001;-0,444;-0,535;-0,405
"crise";-3,128;-1,512;24,206;-0,369;-0,445;-0,337
"contacter";-3,756;20,02;-1,25;-0,444;-0,535;-0,405
"compte";2,274;-1,209;-0,832;2,069;-0,356;-0,269
"civil";1,017;-0,906;0,552;-0,221;-0,267;-0,202
"cinéma";-3,756;-0,142;18,548;-0,444;-0,535;-0,405
"cicatrice";-0,032;0,175;-0,624;3,302;-0,267;-0,202
"christelle";-4,386;23,376;-1,46;-0,518;-0,624;-0,473
"chambre";-0,304;6,066;-0,832;-0,295;-0,356;-0,269
"carburant";3,676;-1,512;0,028;-0,369;-0,445;-0,337
"bourret";-3,756;2,444;4,566;-0,444;-0,535;-0,405
"bien_être";-3,128;9,123;0,028;-0,369;-0,445;-0,337
"ballestrero";-4,386;23,376;-1,46;-0,518;-0,624;-0,473
"atterrir";6,441;-1,209;-0,832;-0,295;-0,356;-0,269
"atr";-1,729;15,493;-1,46;-0,518;-0,624;-0,473
"artificiel";2,039;0,352;-1,25;-0,444;-0,535;-0,405
"arrêter";0,992;0,802;-1,041;-0,369;-0,445;-0,337
"argent";-3,756;20,02;-1,25;-0,444;-0,535;-0,405
"apparence";11,299;-2,12;-1,46;-0,518;-0,624;-0,473
"apercevoir";2,039;-0,142;-0,001;-0,444;-0,535;-0,405
"andré";6,667;-2,12;-0,041;-0,518;-0,624;-0,473
"accueillir";-1,729;-0,311;14,564;-0,518;-0,624;-0,473
"accepter";-1,729;4,574;-0,041;0,609;-0,624;-0,473
"éviter";0,229;1,627;-0,832;-0,295;-0,356;-0,269
"élève";-3,128;9,123;0,028;-0,369;-0,445;-0,337
"zeitoun";-3,756;20,02;-1,25;-0,444;-0,535;-0,405
"vraiment";-3,756;2,444;4,566;-0,444;-0,535;-0,405
"vieux";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"ven";-3,756;6,42;1,106;-0,444;-0,535;-0,405
"valérie";-1,203;0,352;1,106;0,909;-0,535;-0,405
"traiter";-0,065;-1,816;4,566;0,909;-0,535;-0,405
"tradition";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"tour";0,992;-1,512;1,838;-0,369;-0,445;-0,337
"top";-0,065;6,42;-1,25;-0,444;-0,535;-0,405
"thouanel";-3,756;20,02;-1,25;-0,444;-0,535;-0,405
"tester";-0,718;-1,512;13,927;-0,369;-0,445;-0,337
"tenir";-0,718;-0,028;1,838;1,359;-0,445;-0,337
"surprise";0,992;-1,512;0,028;1,359;-0,445;-0,337
"succès";-1,203;-1,816;18,548;-0,444;-0,535;-0,405
"stéphane";-2,5;6,066;0,173;-0,295;-0,356;-0,269
"spirou";0,992;-1,512;1,838;-0,369;-0,445;-0,337
"solaire";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"soeur";-1,203;0,352;4,566;-0,444;-0,535;-0,405
"show";-3,128;9,123;0,028;-0,369;-0,445;-0,337
"savant";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"satellite";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"sang";-0,718;3,833;0,028;-0,369;-0,445;-0,337
"saint";-3,128;-0,028;13,927;-0,369;-0,445;-0,337
"région";-0,718;9,123;-1,041;-0,369;-0,445;-0,337
"réel";2,039;-1,816;1,106;-0,444;-0,535;-0,405
"réalisateur";-1,203;-1,816;18,548;-0,444;-0,535;-0,405
"réagir";0,344;-1,816;-1,25;17,578;-0,535;-0,405
"roi";3,676;-1,512;0,028;-0,369;-0,445;-0,337
"responsable";-2,5;1,627;3,039;-0,295;-0,356;-0,269
"remplacer";3,676;-1,512;0,028;-0,369;-0,445;-0,337
"remonter";3,676;-0,028;-1,041;-0,369;-0,445;-0,337
"recueillir";5,15;-0,142;-1,25;-0,444;-0,535;-0,405
"présent";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"projet";5,15;-1,816;-1,25;0,909;-0,535;-0,405
"produire";3,676;-1,512;-1,041;1,359;-0,445;-0,337
"pratiquer";-1,874;9,986;-0,624;-0,221;-0,267;-0,202
"populaire";-3,128;-0,028;13,927;-0,369;-0,445;-0,337
"plume";-1,874;9,986;-0,624;-0,221;-0,267;-0,202
