"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"explorer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;1;8
"convaincre";1;0;0;1;0;0;0;0;0;1;0;1;0;1;4;0;0;1;0;0;1;0;0;0;1;0;2;0
"si";0;0;0;0;0;0;1;0;0;0;0;0;7;0;1;1;7;2;2;1;3;4;1;2;0;7;6;5
"sa";1;0;0;0;0;0;2;0;0;7;2;47;14;3;9;19;12;7;16;9;7;7;8;2;3;7;8;15
"se";3;0;3;3;4;2;10;1;0;3;0;28;6;3;15;12;62;10;11;17;8;9;15;22;7;25;16;53
"extraterrestre";0;0;1;3;1;2;9;1;0;3;1;1;3;7;20;21;47;29;27;19;16;22;28;96;12;65;83;83
"internet";0;0;0;0;0;0;0;0;0;4;0;3;1;0;0;3;4;0;0;1;2;1;2;0;0;2;1;3
"million";0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;1;1;0;1;0;0;0;0;0;0;1;7;6
"city";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28;1;5;48;82;0
"2";0;0;0;0;0;0;0;0;0;0;3;0;0;1;12;8;8;0;1;2;0;1;2;1;1;4;0;2
"plein";0;0;0;0;2;0;1;0;0;0;0;0;1;0;2;1;3;0;1;1;0;2;19;0;2;24;41;1
"tendance";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;1;0;1;0;0;0;0;3
"sophie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;6;0;0;3;0;0
"aller";2;0;0;2;1;0;1;0;2;0;0;5;5;0;5;6;6;5;2;2;7;3;6;0;2;6;3;8
"perdre";0;0;0;0;0;0;2;0;0;1;0;3;5;0;0;1;2;0;0;0;1;0;3;0;0;0;1;0
"affirmer";0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;3;1;3;1;4;0;0;0;0;1;3;2
