"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"français";0;0;0;0;0;0;0;0;0;0;4;0;2;1;1;2;4;0;0;1;3;0;1;15;3;11;0;4
"gitan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0
"volant";0;0;0;1;1;0;1;0;0;1;2;1;0;2;1;0;5;3;0;1;1;2;0;0;0;3;0;4
"entrer";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;3;1;0;0;0;1;0;0;0;0;3;0;5
"heure";0;0;0;0;0;0;0;0;0;1;7;0;0;1;2;0;1;0;0;0;0;0;0;1;0;0;2;2
"également";0;0;0;0;1;0;0;0;2;2;0;1;0;0;1;1;1;0;0;1;0;0;2;1;1;3;0;2
"rencontrer";0;0;0;1;0;0;0;0;0;1;0;2;1;0;0;1;4;0;0;1;1;4;0;1;0;2;1;5
"représentant";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2
"avocat";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;15;1;4;0;0
"cause";0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;1;0;1;1;0;0
"université";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;2;8
"lancer";0;0;0;2;0;1;0;0;0;1;1;1;0;1;4;1;1;2;1;0;0;0;1;2;1;0;0;1
"ovni";0;0;1;1;0;2;0;0;0;0;5;1;3;1;2;4;5;0;0;1;1;4;6;1;4;7;5;17
"adopter";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;14;0;2;25;41;0
"sy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;13
"liste";0;0;0;0;0;0;0;0;0;4;1;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1
"âge";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;1;0;0;0;0;0;0;0;7;0
"jaune";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;21;0;0;0;0
"maintenant";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;1;0;0;0;2;0;1;0;1;3;0
"laurent";0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;1;0;0;0;0;0;1;1;0;0;0;0
"réaliser";0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;1;4;0;0;1;2;1;2;3;0;0;0;3
"courir";0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;1;0;0;3;0;1;14;3;2;24;41;0
"rubrique";0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;1;0;1
"trouver";1;0;0;0;0;0;1;0;2;2;0;11;0;1;1;1;3;3;2;2;4;0;3;3;1;5;7;4
"mohammed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
"j";0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;0;0;6;0;0;0;2;0;0;0;0;0
"média";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;2;0;4;0;3
"preuve";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;4;12;12
"macron";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;1;7;0;1
"luc";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;24;0;0;2;0;0
"lui";1;2;0;2;1;1;1;0;0;1;0;31;8;1;6;16;12;1;7;5;2;2;2;3;4;6;6;13
"ukrainien";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10
"police";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;15;14;0;0;0;0
"animateur";0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;1;4;0;0;1;2;0;0;1;0;0;0;0
"paranormal";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;1;0;1;0;2;0;0;2;0;0
"vinci";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"carrière";0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;2;0;2;0;0;0;0;0;1;0;0;0
"examiner";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;14;1
"46";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;3;1;1;0;4
"femme";1;0;0;0;1;0;0;0;0;3;0;7;4;0;7;1;7;0;7;2;1;0;0;0;3;5;0;1
"région";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;1;2;0;0;0;1;0;2
"moins";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;2;2
"persuader";1;0;0;0;0;0;1;1;0;2;0;4;0;1;2;1;1;1;1;1;0;2;2;0;2;0;2;0
"yacine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
"général";0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;2;0;1;0;13;14;0;2;0;0
"eau";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;2;0;0;0;0;0;52
"étude";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;5
"laporte";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0
"inconnu";0;0;1;0;0;0;0;0;0;0;0;4;0;0;1;0;0;1;0;0;0;2;0;0;0;2;0;0
"chercher";1;0;0;0;0;0;1;0;0;0;0;2;0;1;4;2;2;0;1;2;0;1;1;4;1;3;1;1
"eric";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;2;22;2;13;0;0
"pernin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0
"arrêter";0;0;1;0;0;0;1;0;0;0;0;1;0;0;2;1;2;0;2;0;0;2;0;0;0;0;0;0
"star";0;0;1;0;0;0;0;0;0;3;0;1;1;0;8;2;2;0;0;1;0;2;1;1;1;0;0;3
"fois";0;0;0;0;0;0;0;0;0;1;3;2;4;1;1;0;2;0;0;0;0;3;2;0;1;17;43;0
"parole";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;15;1;7;0;2
"aider";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;3;0;1;0;0;3;0;2
"aux";1;1;0;1;1;0;0;0;0;2;3;5;8;4;12;7;10;2;6;4;8;11;15;4;16;28;14;33
"siècle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;5;3
"voix";0;0;0;0;0;0;0;0;0;2;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2
"réputation";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;17
"voir";1;0;0;1;1;1;1;0;0;1;1;4;3;0;3;5;3;0;2;0;5;3;4;5;2;3;3;5
"légende";0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0;3;1;1;0;0;0;0;1;3;3
"force";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;4;1;0;1;0;3;0;2;4;1
"histoire";0;0;0;2;0;0;0;0;0;0;2;0;2;6;1;1;1;2;3;5;2;1;2;0;2;3;8;10
"new";0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;1;1;0;0;0;2;0;4
"propre";0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;1;0;3;1;0;0;14;0;3;24;41;2
"aujourd_hui";0;0;0;0;0;0;1;0;0;0;1;0;1;0;4;1;3;0;3;0;4;3;16;0;2;26;42;6
"omar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
"arme";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;1;1;1;2;0;1
"dettinger";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0
"quotidien";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;2;2;2;1;6;1;1;5;0;1
"géant";0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;3;0;0;0;0;0;1;1;0;4;2;3
"quoi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;27
"suggérer";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;8
"afin";0;0;0;1;0;0;1;0;2;0;0;1;1;0;0;0;1;0;2;0;3;2;0;0;3;1;1;2
"famille";0;0;0;1;0;0;0;0;0;1;0;7;3;0;1;1;1;1;9;6;2;0;0;1;0;1;2;0
"vivre";0;0;0;0;0;0;0;0;0;0;0;5;3;1;2;0;4;1;11;2;0;0;2;1;0;3;3;4
"comportement";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;14;0;0;1;0;0
"aide";0;0;0;0;0;1;1;0;0;1;0;1;0;0;3;0;0;4;2;0;1;2;0;0;1;0;0;0
"créer";0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;2;2;2;1;2;3;0;0;1;2;2;2
"acteur";0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;27
"surprise";0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1
"sauver";0;0;1;0;0;0;0;0;0;0;0;2;1;1;5;0;2;2;0;0;1;0;28;1;4;33;44;0
"entraîner";0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;14;0;3;24;41;0
"attaque";0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;1;0;0;0;1;2;0;7;0;5;1;1
"école";0;0;0;0;0;0;1;0;0;2;0;0;7;0;3;0;1;0;0;0;1;0;2;0;0;1;0;7
"chroniqueur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;20;10;11;30;1;44
"syndicat";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0
"avion";0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1
"terrestre";2;2;3;1;0;0;0;0;0;3;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0
"don";0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;3;1;1;0;0;0;0;1;0;0;0;0
"doo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;6;0;0;0;0;0;1;0;0
"christopher";0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"traverser";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;1;0;0;0;0;0;0;0;0;0
"julien";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;23;0;27
"cabrol";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;9
"02";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;1;1;9;0;4
"03";0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;1;1;0;1;0;7
"00";0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;0;0;0;0;0;0;14;4;0;1;0;8
"01";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;1;5;0;5;0;9
"07";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;6;0;3;0;4
"04";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;1;7;0;4
"05";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;4;4;0;3;0;4
"08";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;6;2;2;0;2;0;2
"09";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;3;1;1;4;0;6
"sorte";0;0;0;0;1;0;0;1;0;0;0;4;0;1;3;0;1;1;0;0;0;0;0;0;0;1;0;0
"confronter";0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;2;0;1;2;0;0;0;0;0
"une";3;2;2;8;8;1;14;1;4;20;8;60;30;8;43;18;56;26;48;29;21;32;82;110;26;136;217;74
"scientifique";0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;4;2;1;1;0;3;0;6;3;3;2;2;7
"mathieu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;9;0;0
"il";2;0;3;2;5;5;9;1;0;4;3;47;33;2;41;29;71;16;20;22;6;13;52;13;14;99;101;37
"amour";0;0;0;0;0;0;0;0;0;0;1;0;2;1;4;2;0;0;2;0;1;0;0;0;1;0;0;0
"théoricien";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;5;17
"quand";0;0;0;0;0;1;1;1;0;0;1;2;4;4;0;0;3;2;2;3;0;1;2;0;3;0;1;3
"livre";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;2;0;2;0;6;3;0;16
"elle";4;3;0;0;1;0;3;0;4;1;1;47;2;0;50;3;8;4;47;6;12;2;9;10;16;19;8;11
"vieux";0;0;0;0;0;0;0;0;0;0;1;3;4;0;0;2;0;2;0;2;0;0;0;0;0;0;1;0
"kid";0;0;1;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"neptuna";0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nicolas";0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;1;0;0;0;1;1;0;1;0;1;0;1
"royal";0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3;0;0
"musique";0;0;0;0;0;0;0;0;0;1;0;0;3;0;4;0;2;0;0;0;2;0;0;0;0;0;0;2
"revel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0
"super";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;2;33;0;2;33;41;2
"magazine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;5;1;1;0;2;0;0
"maître";0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;6;0;0;0
"lieu";0;0;0;0;1;0;0;0;0;1;0;4;0;1;0;2;3;1;0;0;1;1;0;1;0;0;0;1
"batman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;2;34;41;0
"très";0;0;0;0;0;1;1;0;2;0;0;2;6;0;8;4;5;1;6;0;0;1;7;1;1;4;0;30
"mystérieux";0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;4;1;2;2;1;0;0;1;0;5;1;7
"petit";0;0;0;0;3;0;0;0;2;5;0;3;8;4;5;2;6;8;2;10;2;10;1;161;2;2;2;11
"décider";0;0;0;0;0;1;0;0;2;1;0;5;0;0;6;0;5;2;4;1;1;1;0;2;0;2;1;1
"corbière";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0
"dieu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;2;0;0;2;0;0;0;6;0;4
"chrono";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;26
"mazaurette";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;28
"laure";0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"ville";0;0;0;1;0;1;0;0;0;0;1;0;0;0;2;0;5;5;2;1;1;1;1;1;0;4;1;3
"etats";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;1;0;0;0;1;0;0;6
"accompagner";0;0;0;0;0;0;1;0;0;2;0;3;1;0;0;0;0;2;1;0;1;0;1;1;1;1;0;0
"voiture";0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3
"boy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;14;41;0
"père";0;0;0;0;0;0;2;0;0;0;0;15;1;0;4;0;5;1;1;0;2;0;0;0;1;0;1;0
"bon";0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;5;0;4;2;0;1;2;0;0;0;0;2
"margot";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11
"univers";0;0;2;0;0;0;0;0;2;0;0;0;4;0;1;0;0;0;0;0;0;0;15;0;3;24;41;6
"france";0;0;0;0;0;0;0;0;0;0;6;2;3;1;21;10;6;0;0;3;2;5;17;4;1;21;0;5
"équipe";0;0;0;0;1;1;0;0;0;1;0;0;0;1;3;2;2;0;0;2;1;2;1;1;0;3;2;5
"vous";0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;5;0;3;2;5;10;25;0;0;0;0;1
"militaire";0;0;0;0;1;0;0;0;0;0;0;9;0;0;2;0;3;1;0;0;2;0;2;2;0;2;1;0
"sous";0;0;0;0;0;0;0;0;0;0;0;7;0;1;3;0;0;0;0;0;5;0;1;2;1;8;3;1
"agent";0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;3;4;0;0;0;1;0;1;0;0;0;0;0
"mal";0;0;0;0;0;1;0;0;0;0;1;0;2;0;3;1;1;0;1;1;1;0;0;0;0;0;0;1
"avant";0;0;0;1;0;0;2;0;0;0;2;1;1;0;5;0;1;0;1;0;1;1;4;0;2;1;0;0
"nous";0;0;1;0;0;0;0;0;2;2;5;12;4;0;0;1;8;0;4;2;14;5;8;2;3;12;1;12
"spécialiste";0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;1;0;0;0;1;0;2;0;13;2;0;15
"mais";3;1;1;1;1;2;6;1;2;5;0;15;9;1;8;7;10;3;6;1;5;8;28;6;5;47;89;41
"main";0;0;0;0;0;0;2;0;0;0;0;4;2;0;1;0;0;0;1;0;0;0;0;0;0;2;0;1
"nouveau";0;0;3;0;0;1;0;0;0;2;1;1;4;1;6;4;46;3;4;1;2;2;7;3;3;15;6;15
"ancien";0;0;0;0;0;0;0;0;0;0;1;2;1;1;8;3;3;5;1;0;5;0;20;35;0;19;20;39
"agir";0;0;0;0;0;0;0;0;0;0;0;3;6;0;2;1;1;2;2;1;0;1;4;0;0;4;2;2
"homme";0;0;0;0;1;1;1;0;2;3;1;11;1;1;4;2;13;5;4;1;2;3;5;4;1;8;7;18
"ministre";0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;6;2;7;0;8
"chanson";0;0;0;0;0;0;0;0;0;0;2;0;4;0;6;0;0;1;0;2;0;3;1;0;0;0;0;1
"11";0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;2;1;0;0;0;0;0;1;2;1;4;0;9
"10";0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;0;1;0;0;0;0;2;1;3;5;0;1
"13";0;0;0;0;0;0;0;0;0;0;3;0;1;0;3;0;1;0;1;0;1;0;0;2;2;6;0;0
"12";0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;3;0;0;0;0;0;6;2;2;1;3;0;7
"15";0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;5;0;0;0;2;1;1;8;0;5
"14";0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;1;0;3;4;0;1
"17";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;0;6;2;1;1;3;0;3
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;4;2;4;0;4
"19";0;0;0;0;0;0;0;0;0;0;1;0;0;0;64;35;0;0;0;0;0;0;0;0;6;41;0;74
"18";0;0;0;0;0;0;0;0;0;0;0;1;0;0;34;14;1;0;0;0;0;0;0;0;0;4;0;1
"spectacle";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;2;0;0;0;2;0;1;1;0;1
"trace";0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;15;0;0;0;0;0;0;0;0;4;3;1;0
"extraire";0;0;0;0;0;0;0;0;0;32;16;0;0;1;12;16;6;0;1;0;0;0;3;3;0;24;0;34
"fille";0;1;0;0;0;0;0;0;0;0;0;9;3;2;6;0;4;2;7;0;1;3;14;79;5;24;41;2
"show";0;0;0;0;0;0;0;0;0;0;1;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0
"aventure";0;0;0;1;0;0;0;0;2;1;0;0;5;0;0;0;0;1;0;0;0;0;17;79;3;26;41;0
"étranger";0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;1;0;0;4;0;1
"débarquer";1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;1;0;1;0;6;1;0;2;0;0;1
"43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;1;0;1;4;0;5
"parent";0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;3;0;9;7;3;1;15;1;2;26;41;2
"jt";0;0;0;0;0;0;0;0;0;0;6;0;0;0;5;2;0;0;0;0;0;0;0;7;0;0;0;0
"je";0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0;0;0;11;0;2;0;0;0;0;0;0;0
"lopez";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;0;0
"rugby";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;2;0;0
"tour";0;0;0;0;0;0;1;0;0;1;0;0;5;0;0;0;0;1;0;0;0;0;0;1;2;2;1;1
"tous";0;1;1;0;0;1;4;0;0;1;0;4;6;0;7;2;9;1;2;2;0;7;20;2;2;32;42;6
"capable";0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;1;0;0;0;2;2;2
"côté";0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;1;0;1;3;3;3;15;7;4;31;43;1
"ex_membre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
"lorsque";0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;1;1;0;1;2;0;1;14;0;3;25;42;1
"dessin";0;0;0;0;0;1;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
"mars";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;1;0;0;0;0;2;1;1;0;1
"quatre";0;0;0;0;0;0;0;0;0;0;1;0;1;0;15;0;1;1;2;0;0;0;0;0;0;4;1;0
"par";0;1;7;0;4;3;3;2;2;14;8;33;9;6;21;15;20;7;16;12;12;17;30;12;9;50;63;27
"pas";2;0;1;0;1;0;3;1;0;4;1;7;8;0;12;5;15;0;15;7;4;6;46;12;6;59;86;13
"tout";0;1;0;1;3;0;1;0;0;6;2;6;6;2;11;4;13;3;16;3;3;2;12;4;3;6;9;4
"autour";0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;2;0;0;0;0;6;1;8;0;1;3;2
"entourer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;4;1;0;0;0;0
"starfire";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;2;38;82;0
"new_yorkais";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;40;0;0;0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;3;0;0;1;0;0;4;0;0;0;0;2
"mot";0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1;0;0;2;0;0;1;1;0;2;0;0
"mon";0;0;0;0;0;0;0;0;0;0;2;0;2;0;3;1;0;0;6;1;1;0;0;0;2;0;0;0
"luthor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;3;0;0;0;0
"christine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0
"journée";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;2;1;0;1;0;0;0;1;0;1
"titan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;3;33;41;0
"soudain";0;0;0;0;0;0;2;0;0;0;0;3;3;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
"gorg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
"venir";0;0;1;1;2;0;2;0;0;4;0;2;3;0;9;3;4;6;5;3;7;4;5;2;3;7;10;6
"fils";0;0;0;0;0;0;0;0;0;0;0;7;0;0;4;0;5;0;9;0;1;1;2;2;0;1;0;0
"citation";0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;11;15;2;5;0;3
"pourquoi";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;0;1;1;0;0;5;2
"eliot";0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"film";0;0;0;0;2;0;0;0;0;12;0;1;1;2;2;0;6;1;0;1;0;2;3;0;0;1;0;14
"important";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;1;0;0;1;0;0;0;2;0;5
"emily";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;11;0;1
"revenir";2;0;0;0;0;0;1;0;0;0;1;5;1;1;2;0;2;0;2;0;1;0;2;0;0;2;0;14
"poilu";0;0;0;0;0;0;0;0;0;1;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
"révéler";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;1;0;6;0;5
"public";0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;3;1;1;1;0;0;6;0;0;4;0;0;1
