"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"souvenir";-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;0,8502;6,8749;0,4811;-0,0722;-0,4563;-0,2375;-0,1551;-0,1251;-0,2375;1,3304;1,2506;-0,1994;-0,5777;-0,5935;-0,2008;-0,9745;-0,4468;-0,8259
"demander";-0,0217;-0,0088;-0,0458;-0,034;-0,0623;-0,0288;1,6893;-0,0078;-0,0345;-0,1656;-0,0868;3,6483;-0,2285;-0,0947;-0,599;0,8072;-0,2413;-0,1642;0,2906;1,1182;0,3954;0,9283;-0,7582;-0,779;0,9235;-0,6598;-1,2889;-0,5216
"parler";-0,029;-0,0117;-0,0611;-0,0453;-0,083;-0,0384;-0,129;-0,0103;-0,0461;0,3996;-0,1157;0,4533;0,2973;1,4717;-0,3361;0,2104;0,5231;0,4022;0,6162;-0,2687;1,5291;2,1191;-0,2138;0,3925;-0,3514;-1,7056;-1,7186;-0,4218
"fry";-0,0548;-0,0221;-0,1156;-0,0858;-0,1572;0,8124;-0,2443;-0,0196;-0,0872;-0,418;-0,219;-1,0394;-0,577;5,9055;-1,512;0,2713;40,1706;-0,4146;-0,7869;-0,5086;-0,5643;-0,6608;-1,9141;-1,9666;-0,6653;-3,2291;-3,2538;-2,7366
"penser";-0,031;-0,0125;-0,0654;-0,0485;-0,089;-0,0411;-0,1383;-0,0111;-0,0494;-0,2365;-0,1239;-0,2106;3,1054;1,4166;0,9206;-0,4453;-0,1793;0,3794;1,105;0,3146;0,2834;0,2386;0,3639;-0,2595;-0,3765;-1,8274;-1,0967;-0,2501
"suivre";-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;-0,0922;-0,0074;2,5876;-0,1577;-0,0826;1,983;0,4043;-0,0902;-0,1979;0,3052;-0,616;0,5193;0,3052;-0,1919;-0,2129;0,3598;-0,7221;-0,2973;0,3576;-0,2981;-1,2275;0,7467
"superhéros";-0,059;-0,0238;-0,1244;-0,0922;-0,1691;-0,0781;-0,2627;-0,0211;-0,0938;-0,4495;-0,2356;-1,1178;-0,2318;-0,2572;-1,6262;-0,8463;-1,7561;-0,4459;-0,8463;-0,547;-0,6069;-0,7107;-2,0586;-2,115;-0,2886;1,8706;23,3139;-2,9432
"évoquer";-0,0486;-0,0196;-0,1025;-0,076;-0,1394;-0,0644;-0,2166;-0,0174;-0,0773;-0,3706;-0,1942;-0,9217;-0,5116;-0,2121;6,101;-0,277;0,663;-0,3677;0,3265;-0,1392;-0,5004;-0,2113;-1,6973;0,7357;2,6794;0,3776;-2,8853;-0,4174
"emploi";-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;-0,3137;-0,1633;-0,3388;-0,086;-0,1633;-0,1055;-0,1171;-0,1371;0,2224;-0,408;14,4355;-0,67;-0,6751;-0,5678
"tête";-0,1273;-0,0514;-0,2685;-0,1991;-0,3651;-0,1687;-0,5673;-0,0455;-0,2025;-0,4577;-0,5086;-1,0566;-0,3868;-0,5553;-2,5396;-1,1043;-2,7891;-0,9628;-0,3934;-1,1811;-1,3104;-1,5344;6,4659;-3,4877;0,5629;5,2878;8,6405;-5,1357
"empêcher";-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;0,958;-0,0041;3,1162;-0,0867;-0,0454;1,0851;-0,1197;-0,0496;-0,3137;0,504;-0,3388;-0,086;-0,1633;-0,1055;-0,1171;-0,1371;-0,3971;0,2153;-0,138;-0,67;0,3607;0,4512
"marcher";-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;-0,2353;-0,1306;-0,0541;0,7573;-0,1781;0,7069;-0,0938;-0,1781;-0,1151;0,5938;0,5356;2,8007;-0,4451;-0,1506;-0,7309;-0,7364;-0,2189
"possible";-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;0,7185;-0,0074;-0,0329;-0,1577;-0,0826;-0,3921;1,9001;-0,0902;-0,1979;-0,2969;-0,616;-0,1564;0,3052;0,4472;0,4117;-0,2493;-0,7221;-0,7419;-0,251;1,9706;0,576;-0,4853
"hassaine";-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;-0,3137;-0,1633;-0,3388;-0,086;-0,1633;-0,1055;-0,1171;-0,1371;-0,3971;-0,408;-0,138;9,7184;-0,6751;-0,5678
"théorie";-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;-0,3137;-0,1741;0,815;-0,4563;-0,2375;-0,4928;1,4901;0,3755;-0,1535;5,8873;-0,1994;-0,5777;-0,5935;-0,2008;0,4559;-0,19;-0,3459
"fou";-0,0197;-0,0079;-0,0414;-0,0307;-0,0563;-0,026;-0,0876;-0,007;-0,0313;9,1688;-0,0785;-0,3725;1,9627;3,0267;-0,5419;-0,282;-0,5852;-0,1486;0,3209;-0,1823;-0,2022;1,0017;-0,686;-0,7048;0,3742;-1,1573;-0,5768;-0,9808
"expérience";-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;-0,2353;-0,1306;-0,0541;0,7573;-0,1781;1,3544;-0,0938;0,4731;0,6329;-0,1277;-0,1496;0,1998;-0,4451;0,5331;-0,2827;-0,7364;0,4024
"technologie";-0,0228;-0,0092;-0,048;-0,0356;2,0109;-0,0302;-0,1014;-0,0081;-0,0362;-0,1735;-0,0909;-0,4313;-0,2394;-0,0993;0,3851;-0,3266;-0,2598;1,236;-0,3266;-0,2111;2,753;0,3296;-0,7943;-0,8161;-0,2761;0,4905;-0,7128;1,0366
"observation";-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;-0,3137;-0,1633;-0,3388;-0,086;-0,1633;-0,1055;-0,1171;-0,1371;-0,3971;-0,408;-0,138;0,3645;4,9872;-0,1897
"sol";-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;2,0885;-0,1088;-0,0451;-0,2852;-0,1484;0,8348;-0,0782;-0,1484;-0,0959;1,6352;-0,1246;-0,361;-0,3709;-0,1255;-0,609;-0,6137;1,0342
"son";1,4245;-0,1289;1,1539;-0,166;0,4567;0,2059;1,7588;-0,1141;1,5214;-1,0783;4,3442;10,5089;3,9939;-0,2174;2,6088;-0,385;0,8;1,288;2,7201;-0,3104;3,661;0,7785;-1,9148;-2,0598;-1,2206;-8,0166;-8,1222;-4,5331
