"";"banalfreq";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"55";24;-0,0248;-0,01;-0,0523;-0,0388;-0,0712;-0,0329;-0,1106;-0,0089;-0,0395;-0,1892;0,6901;-0,4705;-0,2612;-0,1083;0,7136;0,7162;-0,7392;-0,1877;-0,3563;-0,2303;-0,2555;-0,2992;-0,3779;0,5043;-0,3012;1,5242;-1,473;1,8652
"50";33;-0,0341;-0,0138;-0,072;-0,0534;-0,0979;-0,0452;-0,1521;-0,0122;-0,0543;-0,2602;-0,1363;-0,2449;-0,3592;-0,1489;1,2549;-0,1579;1,1432;-0,2581;-0,4899;-0,3166;-0,3513;1,1819;0,5728;0,289;0,2114;-0,7562;-1,2466;1,1583
"57";17;-0,0176;-0,0071;-0,0371;-0,0275;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;-0,0702;-0,3333;-0,185;-0,0767;-0,1516;1,7424;-0,5236;-0,133;-0,2523;-0,1631;-0,181;-0,2119;0,826;-0,2299;0,411;0,7598;-1,0433;0,9414
"gouvernement";25;-0,0259;-0,0104;-0,0545;-0,0404;-0,0741;-0,0343;-0,1152;-0,0092;-0,0411;-0,1971;-0,1033;-0,4902;-0,2721;-0,1128;-0,7131;-0,3711;1,5991;-0,1955;-0,3711;-0,2399;0,339;-0,3116;0,873;-0,9274;0,2887;1,9313;-0,4658;0,5152
"exister";18;-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;-0,0829;-0,0067;-0,0296;-0,1419;-0,0744;-0,3529;-0,1959;-0,0812;-0,5134;0,3377;-0,5544;1,3947;-0,2672;-0,1727;-0,1916;-0,2244;0,7718;-0,6677;-0,2259;1,6409;-0,5327;1,3627
"groupe";23;-0,0238;-0,0096;-0,0502;-0,0372;-0,0682;-0,0315;-0,106;-0,0085;-0,0378;-0,1813;-0,095;-0,1366;-0,2503;-0,1038;-0,2475;-0,3414;-0,7084;1,2015;0,2641;1,8762;0,3656;-0,2867;-0,8304;0,2425;0,3138;0,4502;-0,3978;0,9701
"entier";23;-0,0238;-0,0096;-0,0502;-0,0372;-0,0682;-0,0315;-0,106;-0,0085;-0,0378;0,4668;-0,095;-0,4509;0,3585;-0,1038;-0,656;0,7448;-0,2785;-0,1799;0,7448;-0,2207;-0,2448;-0,2867;0,2537;-0,8532;-0,2886;0,7598;-0,3978;1,9717
"réponse";15;1,4548;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;0,8762;0,3081;-0,1632;-0,0677;-0,4278;-0,2226;-0,462;1,543;-0,2226;-0,1439;-0,1597;-0,187;0,9501;0,4549;-0,1882;-0,4006;0,2171;0,2895
"apporter";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;0,958;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;0,2887;-0,1633;-0,3388;-0,086;1,2947;-0,1055;-0,1171;0,5675;-0,3971;-0,408;-0,138;-0,2457;-0,2486;1,5657
"place";12;-0,0124;-0,005;1,233;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;0,7083;-0,0496;0,3786;0,5855;-0,0541;0,7573;-0,1781;-0,3696;-0,0938;0,4731;1,5651;-0,1277;-0,1496;-0,4332;-0,4451;-0,1506;-0,7309;-0,286;0,4024
"chaque";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;-0,3137;0,4811;1,9347;-0,137;-0,2375;-0,4928;-0,1251;0,3755;0,5262;0,4889;0,4339;-0,1998;-0,2085;1,1266;-0,4419;-0,4468;0,2603
"concernant";10;-0,0103;-0,0042;-0,0218;-0,0162;1,1805;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;-0,1088;-0,0451;0,3175;-0,1484;-0,308;-0,0782;-0,1484;-0,0959;-0,1064;-0,1246;-0,361;0,7105;0,6004;0,4161;-0,6137;1,0342
"endroit";14;-0,0145;-0,0058;-0,0305;-0,0226;1,0402;-0,0192;-0,0645;-0,0052;-0,023;0,6489;-0,0578;1,6638;-0,1524;-0,0632;-0,3993;0,4199;-0,4312;-0,1095;0,4199;0,5751;1,357;-0,1745;-0,5054;-0,5193;-0,1757;-0,8527;-0,8592;1,2016
"style";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;1,6174;-0,0451;0,3175;-0,1484;0,2942;0,7831;-0,1484;-0,0959;-0,1064;1,5093;-0,361;0,2408;-0,1255;-0,2101;-0,6137;-0,5161
"organiser";10;-0,0103;-0,0042;-0,0218;-0,0162;1,1805;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;-0,1088;-0,0451;0,3175;-0,1484;-0,308;0,7831;-0,1484;-0,0959;0,6628;-0,1246;-0,361;0,2408;0,6004;0,8772;-0,6137;-0,5161
"ainsi";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;0,8065;-0,0059;-0,0263;-0,1261;-0,0661;0,8083;-0,1741;1,9347;-0,137;0,3755;-0,1551;-0,1251;-0,2375;-0,1535;-0,1703;-0,1994;0,4333;-0,5935;1,1266;-0,1871;-0,982;0,2603
"tourner";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;-0,1088;-0,0451;0,3175;-0,1484;0,2942;-0,0782;1,3722;-0,0959;0,6628;-0,1246;-0,361;-0,3709;-0,1255;-0,609;-0,6137;1,7224
"intelligence";17;-0,0176;-0,0071;1,0871;-0,0275;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;-0,0702;-0,3333;-0,185;-0,0767;0,5307;0,3559;-0,5236;0,5789;0,3559;-0,1631;-0,181;-0,2119;1,3819;0,3862;-0,2133;-1,0354;-0,2163;0,5292
"raconter";20;-0,0207;-0,0084;-0,0436;1,144;0,894;-0,0274;-0,0922;-0,0074;-0,0329;-0,1577;-0,0826;0,2258;0,4043;0,7268;0,4365;0,3052;-0,616;1,3108;-0,2969;0,4472;-0,2129;-0,2493;-0,2853;-0,7419;-0,251;-0,6149;-0,6215;1,7195
"détruire";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;-0,2941;-0,1632;0,8408;0,6084;-0,2226;1,1048;-0,1173;-0,2226;-0,1439;0,512;-0,187;-0,5415;0,9246;-0,1882;-0,9136;0,9031;-0,3129
"arriver";24;-0,0248;-0,01;-0,0523;-0,0388;-0,0712;1,137;0,6482;-0,0089;-0,0395;1,1628;-0,0992;-0,1466;0,3449;-0,1083;-0,2647;-0,3563;0,6493;-0,1877;0,252;1,0179;-0,2555;0,3029;0,5244;0,5043;-0,3012;-0,4255;-0,8062;-0,6336
"propos";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;-0,0599;-0,0048;-0,0214;0,6774;-0,0537;0,9583;-0,1415;-0,0586;0,241;-0,193;1,2626;-0,1017;-0,193;0,6027;0,5641;-0,162;-0,1416;-0,4822;0,5043;-0,3209;-0,7978;-0,2493
"rien";17;-0,0176;-0,0071;-0,0371;-0,0275;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;-0,0702;1,4349;1,1864;0,7908;-0,1516;-0,2523;-0,1715;-0,133;0,9585;0,5043;0,4676;-0,2119;-0,6138;-0,2299;0,411;-0,2131;-0,4894;-0,8775
"long";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;-0,3137;-0,1633;1,4572;-0,086;1,2947;1,638;-0,1171;-0,1371;-0,3971;-0,408;-0,138;-0,67;0,7745;-0,1897
"compagnie";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;0,7083;-0,0496;1,0184;-0,1306;0,9311;-0,3422;-0,1781;1,3544;0,7114;1,2251;-0,1151;-0,1277;-0,1496;-0,4332;-0,4451;-0,1506;0,3202;-0,7364;-0,6194
"antique";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;-0,3993;-0,2078;-0,4312;0,652;0,4199;-0,1343;-0,149;-0,1745;-0,1603;-0,5193;-0,1757;0,249;1,5472;1,2016
"chose";25;-0,0259;-0,0104;-0,0545;-0,0404;0,8043;1,12;-0,1152;-0,0092;-0,0411;-0,1971;-0,1033;1,0175;-0,2721;-0,1128;0,6776;0,2407;0,2856;0,4407;-0,3711;-0,2399;0,339;-0,3116;-0,9027;1,3096;0,2887;-0,4595;-0,8536;0,2658
"au_dessus";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;0,958;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;0,2887;-0,1633;-0,3388;-0,086;-0,1633;0,6661;-0,1171;1,4303;-0,3971;0,2153;-0,138;0,3645;-0,6751;0,9323
"permettre";27;-0,0279;-0,0113;-0,0589;-0,0437;-0,0801;-0,037;-0,1244;-0,01;-0,0444;-0,2129;-0,1116;-0,1777;-0,2939;-0,1218;-0,7701;-0,4008;1,4663;1,0794;0,6393;-0,2591;0,859;0,7521;0,7839;-1,0016;0,2663;0,5624;-1,6572;-0,1928
"encore";27;-0,0279;-0,0113;-0,0589;1,0192;-0,0801;-0,037;-0,1244;-0,01;-0,0444;-0,2129;-0,1116;-0,1777;0,8437;-0,1218;0,2848;0,22;-0,3567;0,4144;-0,4008;-0,2591;1,5706;-0,3366;-0,451;-0,2092;0,2663;1,7224;-1,6572;-0,1928
"centre";20;-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;0,7185;-0,0074;-0,0329;1,3046;-0,0826;0,2258;-0,2177;-0,0902;-0,1979;-0,2969;-0,616;-0,1564;-0,2969;1,1555;-0,2129;0,9638;-0,7221;-0,7419;-0,251;1,9706;0,2996;-0,4853
"certaines";20;-0,0207;-0,0084;-0,0436;-0,0324;0,894;-0,0274;-0,0922;-0,0074;-0,0329;-0,1577;-0,0826;0,2258;-0,2177;-0,0902;0,4365;-0,2969;-0,616;-0,1564;-0,2969;-0,1919;1,0784;-0,2493;-0,2853;-0,7419;-0,251;1,4203;0,2996;0,7467
"préparer";17;-0,0176;-0,0071;1,0871;1,2122;-0,0504;-0,0233;0,7824;-0,0063;-0,028;-0,134;-0,0702;-0,3333;-0,185;0,7908;-0,1516;-0,2523;-0,1715;-0,133;0,3559;0,5043;-0,181;1,9423;-0,6138;0,3862;0,411;-0,2131;-1,0433;-0,3798
"soirée";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;0,7799;-0,0413;-0,196;-0,1088;-0,0451;0,8879;-0,1484;0,2942;-0,0782;0,5384;-0,0959;-0,1064;-0,1246;-0,361;0,2408;0,6004;0,4161;-0,6137;-0,1616
"humain";49;-0,0507;-0,0205;-0,1069;-0,0793;-0,1453;-0,0672;-0,2258;-0,0181;-0,0806;-0,3864;-0,2025;-0,9609;-0,5334;-0,2211;1,0506;1,0868;-0,8464;1,9463;-0,2954;-0,4702;-0,176;1,3052;-0,6204;-0,6498;-0,615;1,0009;0,5019;0,3238
"marier";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;1,5811;-0,1632;-0,0677;1,899;0,3968;-0,1392;-0,1173;0,3968;-0,1439;-0,1597;0,4562;-0,5415;-0,5564;-0,1882;0,9116;-0,9206;-0,7743
