"";"banalfreq";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"télévision";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;0,6489;-0,0578;0,3293;-0,1524;0,8686;0,6531;1,1046;0,201;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;-0,1603;-0,5193;-0,1757;-0,8527;0,2458;0,6959
"nommer";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;1,5078;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;-0,1088;1,0059;0,8879;-0,1484;-0,308;-0,0782;0,5384;-0,0959;-0,1064;-0,1246;0,2483;0,7105;-0,1255;-0,2101;-0,6137;-0,5161
"participer";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;1,9931;-0,0197;0,7083;-0,0496;-0,2353;-0,1306;-0,0541;-0,3422;-0,1781;0,7069;1,7293;-0,1781;0,6329;1,4827;-0,1496;-0,4332;-0,4451;-0,1506;0,3202;-0,7364;-0,2189
"seul";28;-0,029;-0,0117;-0,0611;1,0042;0,7593;-0,0384;-0,129;-0,0103;-0,0461;0,3996;-0,1157;0,4533;0,2973;-0,1263;0,2686;-0,4156;1,4052;-0,219;-0,4156;0,9056;-0,2981;0,2578;-0,476;0,3925;0,2559;-0,9882;-0,3133;-0,2112
"nombre";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;0,3786;-0,1306;-0,0541;-0,3422;-0,1781;0,2418;-0,0938;-0,1781;-0,1151;1,4827;-0,1496;0,1998;0,193;-0,1506;1,8648;-0,7364;-0,2189
"poser";18;-0,0186;-0,0075;1,0633;-0,0291;-0,0534;-0,0247;0,7598;-0,0067;-0,0296;-0,1419;-0,0744;-0,3529;-0,1959;-0,0812;0,9892;-0,2672;0,9162;1,3947;0,3377;0,484;-0,1916;0,3942;-0,2415;0,3565;-0,2259;-1,0964;-0,2439;-0,9291
"loin";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;0,7083;-0,0496;1,0184;-0,1306;-0,0541;-0,3422;-0,1781;0,7069;-0,0938;1,2251;-0,1151;0,5938;1,3592;-0,4332;0,193;-0,1506;-0,7309;-0,7364;-0,2189
"connaître";32;-0,0331;-0,0134;-0,0698;-0,0518;-0,0949;-0,0439;0,5407;-0,0118;-0,0526;-0,2523;0,5809;1,2928;1,3561;-0,1444;-0,4113;0,5342;-0,2051;-0,2503;0,5342;-0,307;-0,3407;0,2212;1,4145;-1,1871;0,6361;0,6294;-1,1963;-1,652
"partager";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;-0,2353;-0,1306;-0,0541;0,7573;-0,1781;0,2418;-0,0938;0,4731;-0,1151;-0,1277;0,5356;0,1998;0,193;-0,1506;-0,2827;-0,7364;1,4291
"quelques";23;-0,0238;-0,0096;-0,0502;-0,0372;-0,0682;-0,0315;-0,106;-0,0085;-0,0378;0,4668;0,7066;-0,1366;-0,2503;-0,1038;0,752;-0,3414;-0,7084;0,4696;1,3911;0,3997;-0,2448;0,8631;0,5582;-0,3687;-0,2886;-0,7513;0,444;-0,5958
"ciel";30;-0,031;-0,0125;-0,0654;0,9758;-0,089;-0,0411;-0,1383;-0,0111;-0,0494;-0,2365;-0,1239;-0,5882;-0,3265;1,4166;-0,8557;1,105;-0,1793;0,3794;-0,4453;-0,2878;0,7858;-0,374;-0,5267;-0,5476;-0,3765;0,2481;1,8992;0,3587
"cours";22;-0,0228;-0,0092;-0,048;-0,0356;0,8555;-0,0302;-0,1014;-0,0081;-0,0362;1,2299;0,7239;-0,4313;-0,2394;-0,0993;1,323;0,2769;-0,2598;0,4853;0,2769;0,4146;-0,2342;0,3296;-0,7943;-0,3445;0,89;0,2491;-0,7128;-0,5585
"forme";37;-0,0383;-0,0155;-0,0807;0,8902;-0,1097;-0,0507;-0,1705;-0,0137;-0,0609;-0,2917;-0,1529;-0,2926;0,2187;-0,1669;-1,0554;-0,19;-0,5691;0,313;0,4505;0,7136;0,647;-0,1436;0,2404;-0,3904;0,5463;-0,3391;-0,3454;1,7297
"emmener";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;0,9971;-0,0037;-0,0164;0,7799;-0,0413;1,1597;-0,1088;-0,0451;-0,2852;-0,1484;-0,308;0,7831;0,5384;-0,0959;-0,1064;1,5093;0,2483;-0,3709;-0,1255;-0,2101;-0,6137;-0,5161
"ligne";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;1,1597;-0,1088;-0,0451;-0,2852;1,3722;-0,308;-0,0782;-0,1484;-0,0959;-0,1064;0,603;-0,361;-0,3709;0,6004;-0,2101;0,4121;-0,1616
"vrai";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;0,8065;-0,0059;-0,0263;0,5985;0,8502;-0,3137;0,4811;-0,0722;1,7961;-0,2375;-0,4928;-0,1251;-0,2375;0,5262;1,2506;-0,1994;-0,1998;-0,2085;-0,2008;-0,1871;-0,4468;-0,8259
