"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"aux";61,86;24,1;18,09;33,61;25,84;18,52;34,48;67,57;18,87;14,03;5,83;36,66;40,75;15,35;38,35;32;35,89;33,2;51,22;27,23;36,22;21;38,79;27,16;26,99;44,29;58,17;33,76
"nr";56,7;72,29;330,59;58,82;106,38;70,37;56,8;81,08;69,18;133,62;127,19;78,28;91,58;115,13;110,53;102,03;87,76;77,03;49,74;71,9;91,04;106,18;98,81;178,07;120,65;120,4;76,79;120,3
"pro_ind";5,15;36,14;3,29;5,6;12,16;11,11;9,13;0;0;6,71;2,33;8,82;9,16;5,48;6,39;9,79;7,28;4,65;12,53;9,26;8,1;3,96;9,2;2,58;5,73;8,49;12,48;6,96
"adj";30,93;96,39;57,57;72,83;59,27;44,44;52,74;54,05;100,63;62,84;63,01;46,58;66,85;82,24;59,77;61,37;73,73;90,97;65,59;71,35;67,21;71,32;67,05;108,63;62,58;65,88;62,41;67,29
"pro_dem";10,31;12,05;1,64;5,6;4,56;3,7;8,11;13,51;6,29;3,66;1,17;4,41;16,48;2,19;6,2;10,92;5,68;3,32;8,47;5,99;5,24;4,36;4,35;3,61;4,91;3,07;2,12;4,18
"nom";164,95;120,48;184,21;224,09;259,88;233,33;214;202,7;220,13;251,37;264,88;206,73;215,66;260,96;217,29;211,22;225,62;222,44;203,02;217,32;219,73;228,61;241,6;245,27;266,67;233,84;230,25;234,45
"art_ind";41,24;24,1;24,67;56,02;47,11;44,44;29,41;108,11;25,16;51,86;31,51;45,76;41,67;35,09;39,47;32;60,58;70,39;50,85;56,64;47,19;47,94;43,3;38,33;30,27;41,02;58,62;38,98
"adj_int";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0,75;0;0;0,74;1,09;0,95;0,4;0,17;0,17;0,82;0,1;0;0
"pro_pos";0;0;0;2,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,22;0,12
"nom_sup";0;0;3,29;11,2;6,08;0;0;0;0;4,27;2,33;4,69;6,41;0;2,82;5,65;3,55;5,98;6,63;1,63;5,72;7,92;2,01;3,27;4,5;1,13;1,23;2,55
"adv_sup";56,7;24,1;6,58;16,81;6,08;18,52;25,35;67,57;37,74;14,64;8,17;20,95;34,8;14,25;23,87;27,86;18,83;17,26;33,53;17,43;23,36;19,41;32,77;12,55;16,36;26,49;39,01;24,36
"adj_sup";10,31;24,1;4,93;2,8;3,04;3,7;0;0;0;2,44;1,17;0;2,75;2,19;0,94;1,51;1,42;0,66;3,32;1,63;0,48;0,79;0,5;0,17;0,41;0,1;0,22;0,58
"art_def";128,87;144,58;60,86;100,84;110,94;129,63;135,9;54,05;132,08;84,81;151,69;92,34;90,2;132,68;91,92;90,36;82,79;81,01;77,01;99,13;104,86;104,2;87,78;82,67;104,7;88,69;76,12;101,39
"adj_num";0;0;0;0;1,52;11,11;2,03;13,51;12,58;3,05;1,17;1,65;3,66;1,1;4,7;2,64;3,55;6,64;2,95;1,09;0,48;1,98;1,5;0,86;2,86;1,64;0,67;0,7
"pro_rel";15,46;24,1;6,58;25,21;12,16;11,11;21,3;27,03;18,87;12,81;5,83;15,71;18,77;10,96;15,6;7,91;11,72;15,27;18,79;17,97;20,5;16,64;16,55;19,25;11,86;16,67;25,97;15,55
"con";77,32;96,39;27,96;39,22;31,91;40,74;39,55;67,57;44,03;25,02;17,5;39,14;43,5;30,7;31,77;32,38;33,75;29,22;40,53;40,31;34,8;34,87;38,79;31,11;30,27;32,84;51,82;33,76
