"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"visage";12;-0,0148;-0,1369;-0,3765;-0,2118;0,7891;0,1936;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;0,9955;-0,0403;-0,0785;0,7711;0,5398;-0,0118
"cet";21;-0,0258;-0,2395;-0,659;-0,3706;-0,3498;0,6139;-0,7151;1,3379;0,5831;-0,0103;-0,2355;-0,9284;-0,365;1,8348;-0,0706;-0,1374;1,4703;0,2465;-0,0207
"véritable";12;1,476;0,5682;-0,3765;-0,2118;-1,0541;0,1936;-0,3085;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;0,9955;-0,0403;-0,0785;1,3234;1,0781;-0,0118
"jour";25;-0,0308;-0,2852;-0,3261;0,581;0,5201;0,475;-1,6132;0,2021;1,3069;-0,0123;-0,2804;0,6603;-0,4346;1,6899;0,7548;-0,1636;-0,1923;-1,0082;-0,0246
"grand";55;-0,0677;-0,2357;0,2681;-0,2045;-0,9933;0,7976;-1,8692;0,7853;1,3549;-0,0271;-0,2296;1,437;-0,9564;-0,2121;-0,1849;0,2491;0,6672;0,2637;-0,0541
"jouer";13;-0,016;0,5388;-0,4079;-0,2294;0,6935;1,0763;-0,8387;0,3959;-0,0814;-0,0064;1,3767;-0,1957;0,3919;-0,0501;-0,0437;-0,0851;-0,7276;-0,5242;-0,0128
"utiliser";19;-0,0234;-0,2167;-0,5962;-0,3353;0,927;1,1939;-0,6191;-0,3263;-0,1189;-0,0093;-0,2131;0,251;-0,3302;-0,0732;-0,0638;0,6039;1,153;-0,7662;-0,0187
"rencontre";25;-0,0308;-0,2852;-0,7845;0,1952;1,144;-0,9254;-1,6132;-0,4294;-0,1565;-0,0123;-0,2804;0,3558;-0,4346;-0,0964;-0,084;1,2727;0,7515;1,7073;-0,0246
"cela";11;-0,0135;0,6005;-0,3451;-0,1941;0,9006;0,2159;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;-0,0424;-0,037;0,8161;0,4078;0,1939;-0,0108
"également";10;-0,0123;-0,114;0,2887;-0,1765;0,5657;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;0,643;0,5997;-0,1738;-0,0385;-0,0336;-0,0654;0,4619;0,2184;-0,0098
"rencontrer";14;-0,0172;-0,1597;-0,4393;-0,2471;0,3127;0,4963;-0,9033;-0,2404;0,7383;-0,0069;-0,157;-0,6189;-0,2433;-0,054;-0,047;-0,0916;1,6961;0,9162;-0,0138
"fois";22;-0,0271;0,9576;-0,2673;-0,3883;-0,2052;1,0013;-1,4196;0,6795;-0,1377;-0,0108;0,9698;-0,4465;-0,3824;-0,0848;-0,0739;-0,144;-0,3072;0,9028;-0,0217
