"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"d";38,1;9,36;13,53;21,65;23,69;27,04;27,91;25,02;13,18;23,81;21,14;22,55;21,29;12,2;10,49;23,42;30,3;28,56;35,71
"technologie";0;0;0;0,68;0;0,33;0;0;0;0;0;0;0;0;13,99;0;1,78;0,61;0
"alexandre";0;0;5,8;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"frère";0;1,04;0;0,68;0,59;0,33;0;1,39;0;0;0;1,39;0;0;0;0;0;0,91;0
"t";0;0;0;1,35;0,88;0,99;0;0;0;0;0;0,56;0;3,05;3,5;1,8;1,11;0,91;0
"où";0;0;0;1,35;1,47;1,98;0,39;2,08;5,65;0;1,06;0,28;0;9,15;0;1,8;0,89;2,43;0
"millénaire";0;0;0;0,68;0;0;0;0;0;0;0;0;28,85;0;0;3,6;0;0;0
"meilleur";0;0;2,32;0;0,29;0;0;0;1,88;0;0;0,28;0;0;0;0;0;0;11,9
"observation";0;0;0;0,68;0;0;0;0;0;0;0;0;0;0;0;0;2,23;0;0
"un";47,62;12,47;5,03;14,88;22,36;27,37;14,44;17,37;28,25;23,81;39,11;6,96;112,64;12,2;10,49;5,41;17,38;21,88;23,81
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;2,78;0;0;0;0;0;0;0
"décontraction";0;0;0;0;0;0;5,07;0;0;0;0;0;0;0;0;0;0;0;0
"astronaute";0;0;0;0,68;0,29;0,33;0;3,47;0;0;0;0,28;0;0;13,99;10,81;4,46;0;0
"pouvoir";19,05;1,04;1,55;1,35;3,68;2,64;10,34;6,25;1,88;0;4,23;1,67;0;0;6,99;9,01;13,37;2,43;0
"découverte";0;0;0,77;0;1,03;0,33;0;0,69;0;0;0;0,56;0;0;0;0;2,01;0,91;0
"millier";0;1,04;0;0;0,15;0,33;0;0,69;0;0;0;0;0;0;0;0;2,23;0,3;0
"continuer";0;0;0;0;0,44;0;0;0,69;1,88;0;0;0,56;0;0;0;0;1,56;0,61;0
"ambre";0;0;0;0;0;0;0;0;0;0;0;13,36;0;0;0;0;0;0;0
"les";57,14;25,99;13,92;27,74;28,39;30,01;23,22;21,54;30,13;47,62;23,26;16,43;0,69;21,34;66,43;39,64;43;29,78;71,43
"beaucoup";0;0;0,77;0;1,18;0,66;0;0;0;0;0;0;0;0;0;0;0,67;0,3;0
"pour";38,1;12,47;2,71;12,18;12,65;14,84;7,03;12,51;13,18;47,62;12,68;7,8;2,75;6,1;3,5;7,21;5,35;7,6;0
"laëtitia";0;0;5,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"animal";0;1,04;1,55;0;1,03;0,33;0;0;1,88;0;0;0,28;0;3,05;0;0;0,89;0,3;0
"pyramide";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,8;2,45;0;0
"robot";0;0;0;0,68;0,15;0,66;0;0,69;1,88;0;1,06;0;17,86;0;0;0;0;0,3;0
"comme";0;2,08;0,77;0,68;1,62;1,32;5,07;3,47;0;0;1,06;0,56;0;3,05;0;3,6;1,78;0,61;0
"temps";9,52;0;0;0,68;0,59;0,66;0,2;1,39;1,88;0;0;0,56;0;3,05;0;1,8;1,34;0,91;0
"façon";0;0;0;0,68;0,29;0,66;0;0;0;0;0;0,84;0;0;0;0;0,45;0;0
"03";0;1,04;0,77;0;0;0;0;0;0;0;0;2,23;0;0;0;0;0;1,52;0
"face";0;0;0;0;1,03;0;0,39;0;0;0;1,06;0;0;0;0;0;0;0,3;0
"rouge";0;0;0;0;0,74;0,66;0;0,69;0;0;1,06;0,28;0;0;0;0;0;0;0
"montrer";0;0;0,39;0;1,18;2,64;0;0,69;0;0;1,06;0,28;0;0;0;0;0,22;0,91;0
"tenter";0;0;0;0,68;0,74;0;0,2;0;0;0;3,17;0;28,85;0;0;0;0;2,13;0
"quitter";0;0;0,39;0,68;0,74;0;5,07;0;0;0;0;0,84;0;0;0;0;0;0,91;0
"inviter";0;2,08;0;5,41;1,03;0;0;2,78;0;0;1,06;3,06;0;0;0;0;0;0,3;0
"ce";0;5,2;1,55;2,71;6,03;5,61;0,98;4,86;5,65;0;4,23;3,9;0;15,24;0;7,21;5,12;3,65;0
"après";0;0;0;1,35;1,32;1,98;5,46;2,78;1,88;0;3,17;0,84;28,85;0;6,99;1,8;0,67;1,82;0
"site";0;1,04;0;0;1,03;0;0;0;0;0;0;1,11;0;3,05;0;3,6;2,45;0,91;0
"avoir";9,52;14,55;10,82;20,97;20,01;19,13;31,62;17,37;9,42;0;22,2;19,21;32,28;33,54;20,98;55,86;33,42;21,88;23,81
"alliance";0;2,08;5,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lune";0;0;0;0;0,29;1,98;0;2,78;1,88;0;0;0;0;0;0;0;0,67;0;0
"seul";0;0;0;0;0,44;0,66;0,2;1,39;0;0;1,06;0,28;2,06;0;0;1,8;0,67;0,3;0
"mauvais";0;0;0;4,74;0,29;0,33;0;0;0;0;0;0;0;0;0;0;0;0,61;0
"chez";0;7,28;0;2,71;0,59;0;0;0;1,88;0;0;0;0;3,05;0;0;0;0,3;0
