"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX"
"sy";0;0;11;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0
"si";0;0;0;0;6;0;0;2;0;0;0;1;0;1;2;1;12;2;0
"sa";1;4;0;6;37;6;2;4;1;0;8;12;4;4;0;2;1;21;0
"se";2;5;2;7;42;21;13;7;9;0;11;13;44;1;0;3;25;20;1
"internet";0;2;0;1;1;0;0;0;1;0;2;3;0;1;0;0;1;0;0
"million";0;0;0;0;2;2;0;1;0;0;0;2;0;0;0;1;12;2;0
"2";0;0;2;1;6;3;0;3;0;0;0;6;0;0;0;0;0;0;0
"plein";0;0;0;1;4;3;26;1;0;0;0;1;0;1;0;0;0;0;0
"aller";0;0;1;4;9;2;2;1;2;0;4;8;2;0;2;0;0;3;0
"affirmer";0;0;0;1;3;1;0;1;0;0;1;1;0;1;4;3;4;4;0
"semaine";0;4;1;0;8;1;0;3;0;0;2;1;0;0;2;0;0;0;0
"différent";0;0;1;1;6;0;0;0;0;0;0;1;0;0;0;2;1;0;0
"extra_terrestre";0;0;0;1;6;1;0;0;0;0;2;0;0;0;0;0;0;1;0
"monde";0;1;2;2;12;4;50;3;4;0;2;3;0;0;0;7;33;8;0
"visiteur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;9;0
"naulleau";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fille";0;1;0;2;12;4;104;1;0;0;0;1;3;1;0;0;0;5;0
"désert";0;0;0;0;2;2;0;2;0;0;1;0;0;0;0;0;14;0;0
"humoriste";0;0;0;0;4;0;0;0;0;0;0;9;0;0;0;0;0;0;0
"apparition";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;10;0
"s";1;8;54;10;39;20;165;8;2;0;5;15;1;2;0;3;10;18;1
"autour";0;6;6;2;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0
"venir";0;1;0;2;6;7;4;1;5;0;2;7;0;0;4;1;6;9;0
"tomber";2;0;0;0;4;4;0;2;0;0;1;1;0;0;0;0;1;3;0
"vouloir";0;0;2;1;7;3;1;1;2;0;3;4;0;1;0;0;0;5;0
"laisser";0;0;0;0;3;3;0;1;0;0;3;1;0;0;0;0;10;1;0
"époque";0;0;0;1;4;4;0;1;0;0;0;0;0;0;0;0;3;2;0
"intervenir";0;0;0;0;2;0;26;1;0;0;0;0;0;0;0;0;0;1;0
"origine";0;1;0;2;5;4;0;0;0;0;0;1;1;0;4;4;12;1;0
"image";0;0;0;2;14;10;0;2;1;0;0;1;0;1;0;0;6;6;0
"mythe";0;0;0;4;0;5;0;0;0;0;0;0;0;0;0;1;0;1;0
"italie";0;0;0;1;1;1;0;0;0;0;0;8;0;0;0;0;3;0;0
"plusieurs";0;0;1;0;3;2;1;0;1;0;0;1;0;1;2;2;3;1;0
"édition";0;5;0;7;2;0;0;0;0;0;0;15;0;0;0;0;0;0;0
"répondre";0;0;0;1;4;0;0;4;0;0;1;2;0;0;0;0;0;0;0
"présenter";0;2;0;4;28;12;0;3;0;0;1;7;0;0;0;1;3;3;0
"chaîne";0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;2;1;0
"an";0;0;0;2;13;13;0;6;0;0;5;1;1;2;0;1;5;12;0
"au";0;11;6;10;74;11;2;9;5;0;9;16;6;2;2;2;15;17;0
"spatial";0;0;0;3;2;3;0;5;2;0;0;0;0;0;0;0;1;3;0
"écrivain";0;0;11;0;7;0;0;1;0;0;0;3;0;0;0;0;0;1;0
"terre";1;0;0;5;8;8;0;2;5;0;2;3;1;0;0;6;39;4;1
"sans";0;2;1;0;7;8;0;1;0;0;0;0;0;1;0;0;3;0;0
"richard";0;0;0;0;10;0;0;3;0;0;0;0;0;0;0;0;0;0;0
"gagner";0;0;0;0;4;4;0;0;0;0;0;1;0;0;0;0;0;2;0
"espace";0;0;0;4;1;11;0;9;6;0;0;6;1;0;0;0;2;1;0
"vie";0;1;2;9;38;5;2;1;0;0;2;6;0;1;2;5;12;9;0
"mort";0;1;0;0;1;2;0;0;0;0;1;1;0;0;3;0;0;6;0
"damien";0;0;0;0;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"science";0;0;1;6;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0
"information";0;3;1;6;2;1;0;0;0;0;0;3;0;0;0;0;2;3;0
"notre";0;0;1;2;9;1;0;0;0;0;0;0;0;0;1;0;15;0;0
"débat";0;7;19;1;3;0;0;0;0;0;0;4;0;0;0;0;0;2;0
"créature";0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;2;20;1;0
"visuel";0;0;25;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"boucherie";0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"personne";0;0;2;3;14;2;0;0;0;0;1;1;0;0;0;1;4;2;0
"astrophysicien";0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"comprendre";1;0;14;1;6;0;2;0;0;0;1;3;0;1;1;0;0;5;0
"contre";0;0;6;3;1;0;2;0;0;0;1;0;1;0;0;0;0;4;1
"dernier";0;3;1;2;5;4;1;0;0;0;4;4;0;1;0;0;7;4;0
"leçon";0;0;0;1;0;0;1;1;0;0;0;8;0;0;0;0;0;0;0
"grandir";0;0;0;1;4;0;26;0;0;0;0;0;0;0;0;0;0;0;0
"plan";0;0;0;0;1;1;1;2;0;0;1;2;0;0;0;0;3;3;0
"toujours";2;0;1;1;2;3;0;1;0;0;0;0;0;0;1;1;4;5;0
"secte";0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"croire";0;0;1;1;5;3;2;0;2;0;2;0;0;0;2;0;5;4;0
"ses";0;6;2;4;38;22;81;4;0;0;7;3;0;1;0;1;5;16;1
"notamment";0;2;0;0;1;1;0;3;0;0;0;2;0;0;0;1;0;1;0
"incident";0;0;0;0;0;0;78;0;0;0;1;0;0;0;0;0;3;0;0
"recherche";0;10;0;4;9;4;0;0;1;0;2;1;0;0;0;2;1;5;0
"garçon";0;0;0;0;3;4;0;2;0;0;1;0;0;0;0;0;0;0;1
"environnement";0;0;0;1;2;2;0;0;0;0;0;0;24;0;0;0;0;0;0
"nucléaire";0;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;3;0;0
"belhousse";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"témoin";0;0;13;0;4;2;0;0;0;0;0;1;2;0;0;1;5;3;0
"mystère";0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;1;2;0
"kelly";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"retrouver";0;0;0;0;7;3;2;1;3;0;5;0;1;0;0;1;1;11;0
"victime";0;0;0;2;5;0;0;0;0;0;1;0;0;0;0;0;0;3;0
"d";4;9;35;32;161;82;143;36;7;1;20;81;31;4;3;13;136;94;3
"technologie";0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;0;8;2;0
"alexandre";0;0;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"frère";0;1;0;1;4;1;0;2;0;0;0;5;0;0;0;0;0;3;0
"t";0;0;0;2;6;3;0;0;0;0;0;2;0;1;1;1;5;3;0
"où";0;0;0;2;10;6;2;3;3;0;1;1;0;3;0;1;4;8;0
"millénaire";0;0;0;1;0;0;0;0;0;0;0;0;42;0;0;2;0;0;0
"meilleur";0;0;6;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;1
"observation";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
"un";5;12;13;22;152;83;74;25;15;1;37;25;164;4;3;3;78;72;2
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
"décontraction";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0
"astronaute";0;0;0;1;2;1;0;5;0;0;0;1;0;0;4;6;20;0;0
"pouvoir";2;1;4;2;25;8;53;9;1;0;4;6;0;0;2;5;60;8;0
"découverte";0;0;2;0;7;1;0;1;0;0;0;2;0;0;0;0;9;3;0
"millier";0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;10;1;0
"continuer";0;0;0;0;3;0;0;1;1;0;0;2;0;0;0;0;7;2;0
"ambre";0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0
"les";6;25;36;41;193;91;119;31;16;2;22;59;1;7;19;22;193;98;6
"beaucoup";0;0;2;0;8;2;0;0;0;0;0;0;0;0;0;0;3;1;0
"pour";4;12;7;18;86;45;36;18;7;2;12;28;4;2;1;4;24;25;0
"laëtitia";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"animal";0;1;4;0;7;1;0;0;1;0;0;1;0;1;0;0;4;1;0
"pyramide";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0
"robot";0;0;0;1;1;2;0;1;1;0;1;0;26;0;0;0;0;1;0
"comme";0;2;2;1;11;4;26;5;0;0;1;2;0;1;0;2;8;2;0
"temps";1;0;0;1;4;2;1;2;1;0;0;2;0;1;0;1;6;3;0
"façon";0;0;0;1;2;2;0;0;0;0;0;3;0;0;0;0;2;0;0
"03";0;1;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;5;0
"face";0;0;0;0;7;0;2;0;0;0;1;0;0;0;0;0;0;1;0
"rouge";0;0;0;0;5;2;0;1;0;0;1;1;0;0;0;0;0;0;0
"montrer";0;0;1;0;8;8;0;1;0;0;1;1;0;0;0;0;1;3;0
"tenter";0;0;0;1;5;0;1;0;0;0;3;0;42;0;0;0;0;7;0
"quitter";0;0;1;1;5;0;26;0;0;0;0;3;0;0;0;0;0;3;0
"inviter";0;2;0;8;7;0;0;4;0;0;1;11;0;0;0;0;0;1;0
"ce";0;5;4;4;41;17;5;7;3;0;4;14;0;5;0;4;23;12;0
"après";0;0;0;2;9;6;28;4;1;0;3;3;42;0;2;1;3;6;0
"site";0;1;0;0;7;0;0;0;0;0;0;4;0;1;0;2;11;3;0
"avoir";1;14;28;31;136;58;162;25;5;0;21;69;47;11;6;31;150;72;2
"alliance";0;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lune";0;0;0;0;2;6;0;4;1;0;0;0;0;0;0;0;3;0;0
"seul";0;0;0;0;3;2;1;2;0;0;1;1;3;0;0;1;3;1;0
"mauvais";0;0;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0
"chez";0;7;0;4;4;0;0;0;1;0;0;0;0;1;0;0;0;1;0
"chef";0;2;0;1;4;0;0;1;0;0;0;0;0;0;0;1;2;1;0
"appeler";0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;0;3;2;0
"qui";1;8;7;17;91;40;185;15;10;0;19;26;0;6;4;3;62;29;0
"falloir";0;0;3;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"françois";0;3;1;4;3;2;0;3;0;0;0;5;0;0;0;0;0;2;0
"soucoupe";0;0;0;0;1;4;1;4;2;0;2;0;0;0;0;0;0;1;0
"nombre";0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;4;1;0
"pizza";0;0;0;1;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0
"l";1;41;50;57;205;136;142;64;15;3;21;97;4;9;7;10;124;75;3
"alexis";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"enlever";0;0;0;0;0;0;2;0;2;0;3;0;0;0;0;0;0;3;0
"prendre";0;0;0;1;11;8;4;1;0;0;3;1;42;1;0;0;2;6;0
"alors";1;0;1;0;4;8;3;1;0;0;4;2;4;1;0;0;1;6;1
"livreur";0;0;0;1;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0
"état";0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;14;0;0
"grave";0;1;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0
"de";4;97;235;103;574;205;308;133;34;4;54;240;122;14;24;24;250;285;7
"du";0;31;85;20;108;42;3;31;6;1;11;51;2;4;0;6;58;74;0
"déage";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bien";0;1;1;0;4;5;26;2;0;0;1;0;0;1;5;2;5;3;0
"ils";3;0;1;2;21;19;55;6;8;0;0;3;0;7;1;6;35;22;0
"yacine";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"thierry";0;7;14;0;1;5;0;2;0;0;0;1;0;0;0;0;0;1;0
"carbonnier";0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0
"jerry";0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0
"raid";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"déclaration";0;1;7;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0
"contact";0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;2;12;1;0
"the";0;4;0;1;1;0;0;0;0;0;2;1;0;0;0;0;1;1;0
"photo";0;1;0;0;6;4;0;0;0;0;0;1;0;1;0;0;2;9;0
"transformer";0;0;0;3;3;3;0;0;0;0;1;1;0;0;0;0;0;0;0
"lci";0;0;13;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"bord";0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;2;0
"jacques";0;0;0;2;9;1;0;0;1;0;0;0;0;0;0;0;0;5;0
"loin";0;0;0;0;3;1;0;0;0;0;2;1;0;0;0;0;0;3;0
"connaître";0;1;0;0;12;4;0;2;0;0;1;0;0;1;0;0;5;1;0
"peupler";0;0;0;1;0;0;0;1;0;0;0;0;24;0;0;0;0;0;0
"commencer";0;0;1;0;6;0;0;0;0;0;1;1;0;2;0;1;2;1;0
"archive";0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;5;0
"sujet";0;0;5;2;7;1;0;3;0;0;0;9;0;0;0;0;0;4;0
"zone";0;1;0;0;3;1;0;0;0;0;0;4;0;0;0;0;2;0;0
"donner";0;1;0;4;14;2;0;1;5;1;2;0;0;0;0;0;3;5;0
"quelques";0;0;0;1;11;6;0;2;0;0;0;0;0;0;0;0;3;1;0
"urgentiste";0;0;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ciel";0;0;0;1;3;1;1;2;1;0;0;0;0;0;0;0;17;2;0
"cas";0;7;1;0;4;6;0;0;0;0;0;9;0;0;0;1;2;2;0
"discussion";0;0;9;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0
"cours";0;0;0;0;8;1;1;2;0;0;0;0;0;0;0;0;3;4;0
"découvrir";0;0;0;1;9;8;1;1;0;1;5;0;0;2;1;0;11;6;0
"forme";0;0;1;1;7;2;0;1;2;0;1;0;0;0;0;1;14;1;0
"nom";0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;4;2;0
"non";0;1;1;6;3;2;0;1;0;0;2;1;0;0;0;0;11;4;0
"nos";0;0;1;0;8;2;0;2;0;0;0;0;0;0;1;0;3;0;0
"en";3;20;2;25;189;66;9;38;9;2;14;69;46;5;3;3;56;66;0
"ex";0;0;11;0;1;0;0;0;0;0;0;6;3;0;0;0;0;0;0
"et";2;31;63;46;237;101;166;45;32;1;33;54;32;8;7;12;98;95;3
"marine";0;2;0;0;0;0;0;0;0;0;2;3;0;2;0;0;2;0;0
"toulouse";0;0;0;7;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0
"message";0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;2;0
"incroyable";0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;12;1;0
"premier";0;3;4;4;6;6;0;5;2;0;3;8;1;1;0;0;7;3;0
"déguiser";0;0;0;0;9;0;0;2;0;0;2;0;0;0;0;0;0;2;0
"deux";0;3;3;2;7;10;2;0;3;1;1;3;0;0;0;0;1;7;0
"ligne";0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4;4;0
"étrange";0;0;0;0;5;5;2;0;0;0;0;0;0;1;0;2;28;4;0
"secrétaire";0;0;27;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bruno";0;0;15;0;1;0;0;0;0;0;0;3;0;0;0;0;0;1;0
"leur";1;2;0;7;23;13;78;1;5;1;9;3;1;1;2;1;11;18;0
"3";0;0;2;0;4;2;0;1;0;0;0;5;0;1;0;0;0;3;0
"près_de";0;1;0;0;2;5;0;1;0;0;1;2;0;0;0;1;0;1;0
"maïa";0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0
"prétexte";0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0
"explication";0;0;0;1;4;2;0;0;0;0;0;2;0;0;1;0;2;0;0
"ami";0;0;0;3;2;9;0;0;3;0;4;0;0;0;0;0;0;1;0
"certains";0;0;0;0;2;3;0;0;0;0;0;2;0;0;0;1;9;3;0
"faire";2;2;5;6;43;30;8;7;1;1;9;8;0;2;0;1;23;11;1
"héros";0;1;0;1;5;1;1;2;0;0;0;0;0;0;0;0;0;1;0
"vendre";0;0;0;0;1;2;3;0;1;0;0;1;0;0;0;0;0;2;0
"loi";0;0;4;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
"giorgio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0
"aile";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0
"aimer";0;0;0;1;4;1;0;0;1;0;0;1;0;1;0;0;0;2;0
"vidéo";0;0;2;1;2;1;0;1;0;0;0;9;1;0;0;0;1;1;0
"réalité";0;0;0;4;3;1;3;0;3;0;0;0;0;1;0;0;4;2;0
"visage";0;0;0;0;4;1;0;0;0;0;0;1;0;1;0;0;3;2;0
"posséder";0;2;0;0;2;1;23;0;0;0;0;0;0;0;0;5;2;0;0
"diffuser";0;1;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;2;0
"cet";0;0;0;0;3;3;1;3;1;0;0;0;0;2;0;0;6;2;0
"ces";0;1;1;2;12;7;0;2;1;0;0;1;0;0;0;4;18;4;0
"base";0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;3;2;0;0
"dire";0;2;0;1;9;2;0;1;0;0;2;1;0;1;0;0;0;1;0
"selon";0;0;0;0;1;2;0;1;0;0;0;2;0;0;0;4;25;2;1
"véritable";1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;4;3;0
"aussi";0;0;0;4;3;4;26;5;0;0;1;3;3;1;0;0;2;3;0
"jour";0;0;1;2;6;3;0;1;2;0;0;4;0;2;1;0;3;0;0
"justice";0;0;7;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0
"voler";0;0;0;0;0;4;26;0;2;0;0;1;0;0;0;0;0;0;0
"culture";0;0;0;0;10;0;1;0;0;0;0;3;0;0;2;2;8;0;0
"portrait";0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;3;0
"effet";1;0;0;0;1;1;0;1;3;0;1;2;0;0;0;0;1;0;0
"planète";1;0;0;1;6;4;27;1;4;0;3;2;2;0;0;3;4;3;0
"grand";0;1;4;2;6;7;2;4;3;0;1;10;0;0;0;1;9;5;0
"000";0;0;1;0;3;5;0;0;0;0;0;1;0;0;0;0;3;1;0
"autres";0;0;1;1;12;0;27;1;0;0;0;0;1;0;2;3;10;1;0
"pierre";0;0;0;1;4;1;0;5;0;0;0;2;0;0;0;0;1;10;0
"jouer";0;1;0;0;4;3;0;1;0;0;2;1;1;0;0;0;0;0;0
"jamais";0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0;6;4;0
"être";3;23;43;24;156;93;139;41;11;1;32;74;52;11;9;23;178;74;2
"hapsatou";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"univers";0;3;0;1;2;2;27;0;0;0;0;0;0;0;0;0;6;2;0
"info";0;0;5;2;0;0;0;3;0;0;0;6;0;0;0;0;0;0;0
"cryogénisé";0;0;0;1;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0
"rester";0;0;0;0;0;3;1;1;0;0;2;0;0;1;0;0;10;3;0
"visite";0;1;0;0;5;1;0;0;1;0;0;1;0;1;0;3;7;1;0
"structure";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;0;0
"e";0;3;11;8;18;5;104;3;0;0;4;30;0;0;0;0;1;1;0
"utiliser";0;0;0;0;6;4;1;0;0;0;0;2;0;0;0;1;5;0;0
"rencontre";0;0;0;1;8;0;0;0;0;0;0;3;0;0;0;2;5;6;0
"suite";0;0;9;0;3;2;0;0;0;0;0;1;0;0;0;0;1;2;0
"scientologie";0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"élection";0;7;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
"témoignage";0;0;2;2;12;0;0;2;0;0;0;1;0;1;0;0;0;7;0
"cela";0;1;0;0;4;1;0;0;0;0;1;0;0;0;0;1;2;1;0
"gens";0;0;11;0;2;0;0;0;0;0;0;1;0;0;0;1;1;3;0
"danger";0;0;0;0;2;0;26;0;0;0;0;0;0;0;0;0;0;1;0
"volant";0;0;0;0;0;5;1;4;2;0;3;1;0;0;0;0;4;2;0
"entrer";0;0;0;1;1;0;0;0;3;0;0;2;0;0;1;0;5;0;0
"heure";0;0;0;2;1;0;0;9;0;0;1;0;0;0;0;0;0;0;0
"également";0;0;1;0;3;0;0;0;0;0;1;2;0;0;0;0;2;1;0
"rencontrer";0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;0;5;3;0
"représentant";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0
"avocat";0;1;16;0;2;0;0;1;0;0;0;4;0;0;0;0;0;0;0
"université";0;0;0;7;6;0;0;0;0;1;1;1;0;0;0;0;0;1;0
"nous";0;0;2;2;19;7;0;1;0;0;5;1;0;1;8;0;20;8;0
"médecin";0;0;11;0;6;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"réaliser";1;0;0;0;7;0;1;0;0;0;0;2;1;0;0;0;1;1;0
"trouver";0;0;0;0;7;2;1;0;2;0;1;0;2;0;0;0;12;5;0
"mohammed";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"média";0;0;3;0;1;2;0;0;0;0;0;7;0;0;0;0;0;0;0
"preuve";0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;2;27;4;0
"luc";0;1;23;0;3;0;0;1;0;0;0;2;0;0;0;0;0;2;0
"lui";1;1;0;1;14;6;3;2;2;0;1;2;1;3;0;0;12;15;0
"carrière";0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;5;0
"examiner";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0
"femme";0;1;0;1;9;6;0;0;0;0;4;3;0;0;0;0;0;3;0
"persuader";0;0;0;0;1;2;3;0;1;0;5;0;0;0;0;0;0;4;0
"général";0;0;27;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"he";0;1;0;1;4;1;0;3;0;0;0;0;0;1;0;0;0;1;0
"étude";0;0;0;4;7;2;0;0;0;0;2;1;0;0;0;0;0;1;0
"laporte";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chercher";0;0;0;1;2;2;4;0;3;0;0;0;0;0;0;1;0;3;0
"homme";0;0;2;9;10;9;0;7;0;1;3;4;0;0;0;3;17;6;1
"star";0;0;0;1;6;1;1;0;0;0;0;2;0;2;0;0;0;1;0
"fois";0;2;1;0;4;4;0;2;0;0;2;1;0;0;0;0;2;4;0
"aider";1;0;0;0;2;0;1;0;3;0;1;2;0;0;0;0;0;0;0
"aux";1;12;1;12;40;5;0;2;7;0;6;22;1;2;0;4;23;10;0
"siècle";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;6;1;0
"voix";0;2;0;0;0;6;0;0;0;0;2;5;0;0;0;0;0;2;0
