"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"dieu";0,53;0,07;0;0;0
"chrono";0,82;0;0;9,13;0
"mazaurette";1,29;0;0;0;0
"laure";0,06;1,7;0;0;0
"ville";0,22;0,72;1,65;0;0
"etats";0,28;0,16;0;0;0
"accompagner";0,22;0,26;0;0;0
"voiture";0,22;0,2;0;0;0
"boy";0;1,93;0;0;0
"père";0,35;0,72;0;0;0
"bon";0,38;0,13;0;0;11,2
"margot";0,35;0,03;0;0;0
"univers";0,38;2,75;3,29;0;0
"france";3,15;0,16;0;4,57;2,8
"équipe";0,47;0,43;0;0;0
"vous";1,73;0;0;0;2,8
"militaire";0,19;0,62;0;0;0
"sous";0,6;0,43;0;0;0
"agent";0,09;0,33;0;0;0
"mal";0,25;0,16;0;0;0
"avant";0,38;0,29;0;4,57;2,8
"nous";2,39;0,46;4,94;0;14,01
"spécialiste";1,2;0,07;0;0;0
"mais";2,42;7,7;0;0;0
"main";0,16;0,26;0;0;0
"nouveau";1,73;2,36;4,94;0;0
"ancien";4,22;0,95;0;0;0
"agir";0,41;0,59;0;0;0
"homme";1,92;1,25;0;0;0
"ministre";0,88;0;0;0;0
"chanson";0,47;0,07;0;0;8,4
"11";0,76;0,03;0;0;0
"10";0,57;0,07;0;0;0
"13";0,63;0;0;0;0
"12";0,94;0,13;0;0;0
"15";0,82;0;0;0;0
"14";0,44;0;0;4,57;0
"17";0,66;0;0;0;0
"16";0,53;0,07;0;0;0
"19";6,95;0;0;0;0
"18";1,7;0,03;0;0;0
"spectacle";0,35;0,03;0;0;0
"trace";0,25;0,62;0;0;0
"extraire";4,53;0;0;0;11,2
"fille";0,98;5,64;0;0;0
"show";0,06;0;23,06;0;2,8
"aventure";0,09;5,67;0;0;0
"étranger";0,19;0,16;0;0;0
"débarquer";0,09;0,49;0;0;0
"43";0,6;0;0;0;0
"parent";0,82;2,85;0;0;0
"jt";0,63;0;0;0;0
"je";0,53;0,03;0;0;2,8
"lopez";0,5;0;0;0;0
"rugby";0,35;0;0;9,13;0
"tour";0,25;0,2;1,65;0;0
"tous";1,23;3,57;1,65;13,7;0
"capable";0,19;0,2;0;0;0
"côté";0,41;3,44;0;0;0
"ex_membre";0,35;0;0;0;0
"lorsque";0,09;3,08;0;0;0
"dessin";0,13;0,2;0;0;0
"mars";0,31;0,07;0;0;0
"quatre";0,13;0,2;23,06;0;5,6
"par";5,66;7,21;0;9,13;2,8
"pas";3,05;7,04;1,65;0;2,8
