"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"garçon";-0,4732;0,5635;-0,096;-0,0345;-0,0563
"environnement";-6,654;7,1035;-0,1294;-0,0465;-0,0759
"robin";-46,4363;49,07;-0,6726;-0,2419;-0,3948
"vol";-1,266;1,3731;-0,0417;-0,015;-0,0245
"belhousse";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"35";5,409;-5,1233;-0,0751;-0,027;-0,0441
"consacrer";4,2082;-4,9321;-0,0918;1,1354;-0,0539
"témoin";3,5641;-3,2747;-0,1085;-0,039;-0,0637
"mystère";0,2991;-0,2486;-0,0709;-0,0255;-0,0416
"kelly";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"hôpital";-0,7676;0,8477;-0,0417;-0,015;-0,0245
"retrouver";-5,6771;5,73;0,3329;-0,0976;-0,1593
"couple";-1,6908;-5,6927;23,7726;-0,03;0,972
"victime";0,2992;-0,2514;-0,0626;-0,0225;-0,0367
"d";-3,648;5,5069;-3,3352;-0,9155;-1,4383
"personnalité";1,4811;-1,3647;-0,0459;-0,0165;-0,0269
"alexandre";3,1753;-2,9504;-0,0751;-0,027;-0,0441
"frère";1,1398;-1,0167;-0,0709;-0,0255;-0,0416
"t";0,7588;-0,6384;-0,1168;-0,042;-0,0686
"directeur";4,2082;-3,9206;-0,0918;-0,033;-0,0539
"millénaire";-10,5608;11,2412;-0,1878;-0,0676;-0,1102
"bientôt";-2,2378;2,3897;-0,0459;-0,0165;-0,0269
"ailleurs";0,3877;-0,3254;-0,0751;-0,027;-0,0441
"meilleur";0,8179;-1,1021;-0,0626;-0,0225;1,0909
"un";-13,6928;13,1422;0,9281;-0,3947;-0,3144
"tard";-1,1407;1,2514;-0,0501;-0,018;-0,0294
"menace";-0,8783;0,9773;-0,0542;-0,0195;-0,0318
"coda";-5,1285;5,4093;-0,0709;-0,0255;-0,0416
"tirailleur";3,0047;-2,846;-0,0417;-0,015;-0,0245
"astronaute";9,3895;-8,8016;-0,1711;-0,0615;-0,1004
"pouvoir";-1,1838;1,7913;-1,1875;-0,4271;-0,697
"découverte";0,7035;-0,5781;-0,1419;-0,051;-0,0833
"millier";3,5784;-3,3548;-0,0668;-0,024;-0,0392
"continuer";1,8054;-1,6394;-0,0751;-0,027;-0,0441
"garder";-0,2066;0,2405;-0,0417;-0,015;-0,0245
"apparence";-2,2378;1,6127;0,9988;-0,0165;-0,0269
"les";0,8477;-1,5052;0,8785;4,6828;-0,4058
"beaucoup";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"marc";3,3042;-4,2693;-0,0626;1,2966;-0,0367
"on";8,1296;-9,3828;0,2815;-0,1156;1,1546
"laëtitia";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"devant";-0,4256;0,2405;-0,0417;-0,015;1,261
"pour";0,9997;-0,8231;-1,4204;-0,3409;0,7511
"animal";1,7543;-1,5701;-0,096;-0,0345;-0,0563
"pyramide";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"robot";-7,2316;6,7716;-0,1544;-0,0555;0,725
"comme";-5,1596;6,0732;-0,5931;-0,2133;-0,3481
"temps";0,452;-0,3685;-0,1127;-0,0405;-0,0661
"oeil";0,2993;-0,2546;-0,0542;-0,0195;-0,0318
"david";3,7786;-5,9356;2,5356;-0,045;-0,0735
"façon";1,9643;-1,8349;-0,0417;-0,015;-0,0245
"envoyer";-0,9828;1,1003;-0,0668;-0,024;-0,0392
"voyage";2,7217;-2,4613;-0,1168;-0,042;-0,0686
"06";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"chien";-1,1491;1,2819;-0,0709;-0,0255;-0,0416
"face";-0,4926;0,3643;0,7777;-0,0285;-0,0465
"rouge";0,5592;-0,8535;-0,0459;-0,0165;1,2208
"montrer";0,515;-0,4454;-0,0626;-0,0225;-0,0367
"lala";-4,2233;-3,9846;28,3382;-0,021;-0,0343
"tenter";-22,2839;23,7777;-0,4175;-0,1502;-0,2451
"attaquer";-1,9739;2,1096;-0,0417;-0,015;-0,0245
"télévision";2,1834;-2,0209;-0,0584;-0,021;-0,0343
"quitter";-15,5807;16,8834;-0,4259;-0,1532;-0,25
"astrobiologiste";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"inviter";10,9695;-13,945;-0,2296;0,7616;1,4145
"ce";4,8879;-4,2561;-0,7479;-0,269;-0,1347
"seuil";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"après";-22,5606;23,1102;-0,3086;-0,2675;-0,1335
"ados";-21,5107;22,8193;-0,3465;-0,1246;-0,2034
"éléphant";6,668;-6,2705;-0,1127;-0,0405;-0,0661
"site";3,5837;-3,2453;-0,1461;-0,0525;-0,0857
"paul";11,8435;-10,986;-0,2755;-0,0991;-0,1617
"politique";9,9182;-9,3943;-0,1377;-0,0495;-0,0808
"crise";1,9444;-2,5847;-0,0542;-0,0195;1,1507
"manège";0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"imedia";-16,3844;11,5054;3,3828;1,8556;0,9998
"hier";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"alliance";3,8541;-3,6148;-0,0709;-0,0255;-0,0416
"catherine";-1,6721;1,8725;-0,1043;-0,0375;-0,0612
"lune";0,2993;-0,2546;-0,0542;-0,0195;-0,0318
"nommer";0,4218;-0,3713;-0,0417;-0,015;-0,0245
"milieu";-0,7155;0,7995;-0,0501;-0,018;-0,0294
"participer";-0,7155;0,7995;-0,0501;-0,018;-0,0294
"seul";-0,7681;0,9032;-0,1168;-0,042;-0,0686
"survivre";-5,1285;5,4093;-0,0709;-0,0255;-0,0416
"tamaran";-24,4534;25,7929;-0,3382;-0,1216;-0,1985
"mauvais";1,4107;-1,2749;-0,0668;-0,024;-0,0392
"chez";2,5837;-2,2891;-0,1586;-0,057;-0,0931
"chef";3,4303;-3,1898;-0,0793;-0,0285;-0,0465
"hors";5,6209;-5,2224;-0,1294;-0,0465;-0,0759
"communauté";3,3042;-3,0964;-0,0626;-0,0225;-0,0367
"servir";7,7278;-7,2029;-0,1628;-0,0585;-0,0955
"appeler";0,515;-0,4454;-0,0626;-0,0225;-0,0367
"falloir";-0,377;0,3022;0,6555;-0,039;-0,0637
"soucoupe";-2,4315;2,6378;-0,0751;-0,027;-0,0441
"interview";20,358;-21,8132;-0,3716;-0,1336;1,0467
"nombre";2,4928;-2,3321;-0,0501;-0,018;-0,0294
"pizza";-11,6228;12,3183;-0,1836;-0,0661;-0,1078
"rire";2,7611;-2,5847;-0,0542;-0,0195;-0,0318
"l";9,4834;-8,2436;-2,9541;0,5697;-0,2838
"alexis";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"survivant";-5,4302;5,7276;-0,0751;-0,027;-0,0441
"enlever";-3,595;3,8287;-0,0668;-0,024;-0,0392
"responsable";0,7097;-0,6321;-0,0501;-0,018;-0,0294
"prendre";-7,0838;7,9726;-0,4175;-0,1502;-0,2451
"alors";-4,2547;4,7914;-0,263;-0,0946;-0,1544
"livreur";-12,9758;13,6865;-0,1795;-0,0645;-0,1053
"état";4,2082;-3,9206;-0,0918;-0,033;-0,0539
"plaindre";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"grave";-28,8394;30,5619;-0,451;-0,1622;-0,2647
"avouer";-1,9739;2,1096;-0,0417;-0,015;-0,0245
"de";18,2052;-18,281;-1,9578;0,4187;2,038
"du";47,9219;-52,0892;-1,7372;0,7826;3,6447
"malgré";-3,9672;4,2525;-0,0876;-0,0315;-0,0514
"déage";3,0047;-2,846;-0,0417;-0,015;-0,0245
"bien";-12,6048;13,4558;-0,2322;-0,2224;-0,3629
"auteur";10,2127;-12,807;-0,2337;-0,0841;2,4067
"bras";0,4218;-0,3713;-0,0417;-0,015;-0,0245
"ils";-32,453;35,7702;-1,6825;-0,6052;-0,4707
"thierry";6,0989;-7,1162;-0,1043;1,0821;-0,0612
"carbonnier";12,023;-11,3879;-0,1669;-0,06;-0,098
"bunny";-4,8267;-3,3548;29,1675;-0,024;-0,0392
"raid";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"déclaration";7,5131;-7,1162;-0,1043;-0,0375;-0,0612
"contact";1,7412;-1,5394;-0,1168;-0,042;-0,0686
"the";2,0111;-3,1898;-0,0793;-0,0285;2,2958
"poser";-0,2288;0,2779;-0,0751;-0,027;-0,0441
"lci";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"bord";-3,0459;3,2469;-0,0584;-0,021;-0,0343
"loin";-0,4141;0,4736;-0,0501;-0,018;-0,0294
"connaître";1,5939;-1,7575;-0,1335;-0,048;0,7822
"peupler";-6,4115;6,8098;-0,1085;-0,039;-0,0637
"commencer";0,3685;-1,5394;-0,1168;-0,042;6,3161
"occasion";2,417;-2,9504;-0,0751;-0,027;1,0153
"sujet";6,4028;-6,968;-0,1419;-0,051;0,7582
"rentrer";0,41;-0,3562;-0,0501;-0,018;-0,0294
"zone";1,4811;-1,3647;-0,0459;-0,0165;-0,0269
"donner";0,5135;-0,5781;0,5549;-0,051;-0,0833
"partager";0,7097;-0,6321;-0,0501;-0,018;-0,0294
"quelques";1,7543;-2,0542;0,7027;-0,0345;-0,0563
"urgentiste";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"gilet";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"ciel";4,5152;-4,1632;-0,1252;-0,045;-0,0735
"finir";-14,817;15,8643;-0,3047;-0,1096;-0,1789
"echoué";-4,525;4,7728;-0,0626;-0,0225;-0,0367
"cas";5,3628;-4,9801;-0,1252;-0,045;-0,0735
"car";-0,4926;0,5766;-0,0793;-0,0285;-0,0465
"discussion";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"cours";1,575;-1,4058;-0,0918;-0,033;-0,0539
"michel";2,417;-2,9504;-0,0751;-0,027;1,0153
"cafard";-4,2233;-3,9846;28,3382;-0,021;-0,0343
"découvrir";-2,3378;2,1417;-0,3047;0,6516;0,4716
"forme";1,9897;-1,7396;-0,1544;-0,0555;-0,0906
"valérie";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"nom";0,41;-0,3562;-0,0501;-0,018;-0,0294
"non";2,7268;-2,4004;-0,1836;-0,0661;-0,1078
"emmener";-1,266;1,3731;-0,0417;-0,015;-0,0245
"nos";0,6515;-0,5444;-0,1127;-0,0405;-0,0661
"en";10,657;-10,4681;-0,5802;0,9028;-0,4227
"ex";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"et";-6,4549;2,0467;18,906;1,5205;0,3399
"album";0,2992;-4,2693;-0,0626;-0,0225;11,9841
"marine";0,6707;-0,5904;-0,0584;-0,021;-0,0343
"message";-0,4926;0,5766;-0,0793;-0,0285;-0,0465
"incroyable";2,2216;-2,0251;-0,0835;-0,03;-0,049
"premier";5,4733;-6,586;-0,2797;-0,1006;2,1888
"presque";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"deux";-0,6179;0,7818;-0,217;-0,0781;-0,1274
"ligne";3,0047;-2,846;-0,0417;-0,015;-0,0245
"étrange";1,2227;-0,9906;-0,2463;-0,0886;-0,1446
"disparaître";-2,9383;3,1582;-0,0709;-0,0255;-0,0416
"secrétaire";7,2392;-6,8101;-0,121;-0,0435;-0,071
"joli";-3,8719;4,122;-0,0709;-0,0255;-0,0416
"leur";-47,421;49,7257;-0,5679;-0,5946;-0,4588
"sport";0,8714;-0,7796;-0,0542;-0,0195;-0,0318
"3";13,3234;-12,5611;-0,2087;-0,0751;-0,1225
"vrai";1,4107;-1,8031;-0,0668;-0,024;1,0641
"près_de";-0,303;0,3607;-0,0709;-0,0255;-0,0416
"tropical";-23,849;25,1555;-0,3298;-0,1186;-0,1936
"maïa";11,1209;-10,5334;-0,1544;-0,0555;-0,0906
"prétexte";-24,1512;25,4742;-0,334;-0,1201;-0,196
"explication";0,41;-0,3562;-0,0501;-0,018;-0,0294
"soir";2,6478;-2,4372;-0,0793;-0,0285;-0,0465
"media";3,0047;-2,846;-0,0417;-0,015;-0,0245
"fruit";0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"glacier";7,8137;-7,401;-0,1085;-0,039;-0,0637
"européen";8,1143;-7,6857;-0,1127;-0,0405;-0,0661
"ami";-2,7853;2,6398;0,5051;-0,0585;-0,0955
"certains";3,6031;-3,3302;-0,096;-0,0345;-0,0563
"faire";-0,948;1,1108;-1,3133;0,5303;0,2773
"héros";-0,5394;-0,2546;2,178;-0,0195;-0,0318
"vilain";1,2584;-1,8349;1,0381;-0,015;-0,0245
"vendre";-1,0509;1,1651;-0,0584;-0,021;-0,0343
"intervention";0,762;-0,6875;-0,0417;-0,015;-0,0245
"loi";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"chambre";-0,9493;1,0445;-0,0459;-0,0165;-0,0269
"giorgio";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"vers";-0,3029;0,357;-0,0626;-0,0225;-0,0367
"aile";-24,4534;25,7929;-0,3382;-0,1216;-0,1985
"médecin";2,6478;-2,4372;-0,0793;-0,0285;-0,0465
"iran";5,409;-5,1233;-0,0751;-0,027;-0,0441
"aimer";1,4107;-1,2749;-0,0668;-0,024;-0,0392
"vidéo";3,3601;-3,9206;0,72;-0,033;-0,0539
"réalité";0,4307;-0,3398;-0,1461;-0,0525;-0,0857
"visage";1,7497;-1,6007;-0,0626;-0,0225;-0,0367
"posséder";-1,851;2,1075;-0,1502;-0,054;-0,0882
"suivant";0,7097;-0,6321;-0,0501;-0,018;-0,0294
"fr";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"invasion";-3,0459;2,3667;0,9001;-0,021;-0,0343
"documentaire";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"cet";0,452;-0,3685;-0,1127;-0,0405;-0,0661
"ces";-0,6135;0,8928;-0,5806;-0,2088;-0,3408
"base";-0,5204;0,5974;-0,0626;-0,0225;-0,0367
"dire";0,5981;-0,4841;-0,1461;-0,0525;-0,0857
"selon";7,2741;-6,7489;-0,1711;-0,0615;-0,1004
"diffuser";8,415;-7,9704;-0,1168;-0,042;-0,0686
"tf1";6,0226;-5,5123;-0,192;-0,0691;-0,1127
"téléspectateur";3,0047;-2,846;-0,0417;-0,015;-0,0245
"véritable";0,3877;-0,3254;-0,0751;-0,027;-0,0441
"charlotte";1,4811;-3,1307;-0,0459;-0,0165;2,7755
"aussi";-4,1181;4,9789;-0,66;-0,2374;-0,3874
"jour";1,3422;-1,15;-0,1461;-0,0525;-0,0857
"justice";2,227;-2,082;-0,0459;-0,0165;-0,0269
"international";2,227;-2,082;-0,0459;-0,0165;-0,0269
"événement";-0,3983;0,4653;-0,0668;-0,024;-0,0392
"voler";-24,9144;26,3543;-0,3716;-0,1336;-0,2181
"culture";7,8125;-7,3517;-0,1294;-0,0465;-0,0759
"portrait";1,5375;-1,4037;-0,0584;-0,021;-0,0343
"effet";-0,6768;0,7645;-0,0584;-0,021;-0,0343
"sophia";-0,7676;0,8477;-0,0417;-0,015;-0,0245
"créature";2,3357;-2,0725;-0,1419;-0,051;-0,0833
"planète";-27,3412;29,4905;-0,6642;-0,2389;-0,3899
"docteur";-0,564;0,3489;0,9988;-0,0165;-0,0269
"grand";1,8798;-3,2528;-0,3382;6,3858;-0,1985
"000";0,4009;-0,3441;-0,0584;-0,021;-0,0343
"coup";0,2994;-0,4954;-0,0459;-0,0165;1,2208
"autres";-7,9463;9,0252;-0,5387;-0,1938;-0,3162
"pierre";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"jouer";-1,0509;0,7645;-0,0584;-0,021;1,1197
"jamais";1,9674;-2,4794;-0,0668;-0,024;1,0641
"être";-1,4784;1,7899;0,45;-0,6168;-1,5103
"hapsatou";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"pauline";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"cryogénisé";-12,9758;13,6865;-0,1795;-0,0645;-0,1053
"rester";0,7199;-0,8129;-0,1335;0,98;-0,0784
"visite";1,0736;-0,9485;-0,0793;-0,0285;-0,0465
"structure";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"peut_être";0,515;-0,4454;-0,0626;-0,0225;-0,0367
"utiliser";1,0193;-0,8923;-0,0876;-0,0315;-0,0514
"rencontre";1,2086;-2,8368;-0,1127;5,6438;-0,0661
"supervilains";-4,2233;-3,9846;28,3382;-0,021;-0,0343
"suite";4,1311;-3,8761;-0,0751;-0,027;-0,0441
"scientologie";4,8079;-4,5539;-0,0668;-0,024;-0,0392
"apprendre";-0,3026;0,3489;-0,0459;-0,0165;-0,0269
"avoir";-4,4558;6,8587;-6,0687;-2,1827;-0,7457
"michael";0,5592;-0,4954;-0,0459;-0,0165;-0,0269
"élection";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"jump";-24,7555;26,1116;-0,3423;-0,1231;-0,2009
"cela";1,9444;-1,7973;-0,0542;-0,0195;-0,0318
"gens";3,8541;-3,6148;-0,0709;-0,0255;-0,0416
"danger";-28,3822;29,937;-0,3925;-0,1412;-0,2304
"français";8,2688;-9,4664;-0,217;-0,0781;1,4589
"gitan";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"volant";-0,6442;0,7679;-0,121;-0,0435;-0,071
"entrer";0,9746;-0,866;-0,0668;-0,024;-0,0392
"heure";1,6051;-1,4542;-0,0709;-0,0255;-0,0416
"également";0,7419;-1,3397;-0,0793;2,7103;-0,0465
"rencontrer";-0,9454;1,0898;-0,1043;-0,0375;-0,0612
"représentant";2,227;-2,082;-0,0459;-0,0165;-0,0269
"avocat";7,5131;-7,1162;-0,1043;-0,0375;-0,0612
"cause";0,2994;-0,2579;-0,0459;-0,0165;-0,0269
