"";"*genre_Cultureconnaissance";"*genre_Fiction";"*genre_Jeunesse";"*genre_Sport";"*genre_Variétésdivertissement"
"lui";45;89;0;0;0
"ukrainien";11;0;0;0;0
"police";32;4;0;0;0
"animateur";14;2;0;0;0
"paranormal";8;2;0;0;0
"vinci";26;0;0;0;0
"carrière";8;2;0;0;0
"examiner";15;1;0;0;0
"46";14;0;0;0;0
"femme";28;22;0;0;0
"région";8;2;0;0;0
"moins";10;1;0;0;0
"persuader";4;21;0;0;0
"yacine";15;0;0;0;0
"général";31;11;0;0;0
"eau";57;1;0;0;0
"étude";7;3;0;0;0
"laporte";12;0;0;0;0
"inconnu";4;7;0;0;0
"chercher";9;19;0;0;0
"eric";45;2;0;0;0
"pernin";10;0;0;0;0
"arrêter";4;8;0;0;0
"star";22;5;0;0;0
"fois";16;62;0;0;2
"parole";27;1;0;0;0
"aider";1;14;0;0;0
"aux";149;42;1;2;2
"siècle";9;3;0;0;0
"voix";11;3;0;0;1
"réputation";18;2;0;0;0
"voir";29;27;0;0;1
"légende";17;0;0;1;0
"force";8;11;0;0;0
"histoire";43;9;0;0;1
"new";13;1;0;0;0
"propre";9;85;0;0;0
"aujourd_hui";28;84;0;0;1
"omar";13;0;0;0;0
"arme";4;6;0;0;0
"dettinger";43;0;0;0;0
"quotidien";22;2;0;0;1
"géant";12;7;0;0;0
"quoi";30;1;0;0;0
"suggérer";13;0;0;0;0
"afin";5;16;0;0;0
"famille";19;18;0;0;0
"vivre";31;10;1;0;0
"comportement";14;3;0;0;0
"aide";3;14;0;0;0
"créer";11;13;0;0;0
"acteur";36;1;0;0;0
"surprise";4;6;0;0;0
"sauver";1;123;1;0;0
"entraîner";2;83;0;0;0
"attaque";1;23;0;0;0
"école";16;9;0;0;0
"chroniqueur";124;0;0;0;0
"syndicat";14;0;0;0;0
"avion";6;5;0;0;0
"terrestre";3;12;0;0;0
"don";6;4;0;0;0
"doo";0;11;0;0;0
"christopher";1;13;0;0;0
"traverser";1;15;0;0;0
"julien";53;1;0;0;0
"cabrol";23;0;0;0;0
"02";22;0;0;0;0
"03";14;0;0;0;0
"00";34;0;0;0;0
"01";26;0;0;0;0
"07";19;0;0;0;0
"04";17;0;0;0;0
"05";18;0;0;0;0
"08";17;0;0;0;0
"09";20;0;0;0;0
"sorte";4;9;0;0;0
"confronter";3;7;0;0;0
"une";343;733;1;3;7
"scientifique";23;14;0;0;1
"mathieu";12;0;0;0;0
"il";232;414;1;1;2
"amour";7;5;0;0;2
"théoricien";28;0;0;0;0
"quand";15;18;1;0;0
"livre";31;2;0;0;1
"elle";161;109;0;0;1
"vieux";3;12;0;0;0
"kid";0;12;1;0;0
"neptuna";0;10;0;0;0
"nicolas";9;1;0;0;0
"royal";11;0;0;0;0
"musique";13;1;0;0;0
"revel";12;0;0;0;0
"super";3;116;0;0;0
"magazine";13;0;0;2;0
"maître";9;6;0;0;0
"lieu";5;12;0;0;0
"batman";0;105;0;0;0
"très";64;16;0;0;0
"mystérieux";19;10;0;0;0
"petit";52;197;0;0;0
"décider";5;30;0;0;0
"corbière";13;0;0;0;0
"dieu";17;2;0;0;0
"chrono";26;0;0;2;0
"mazaurette";41;0;0;0;0
"laure";2;52;0;0;0
"ville";7;22;1;0;0
"etats";9;5;0;0;0
"accompagner";7;8;0;0;0
"voiture";7;6;0;0;0
"boy";0;59;0;0;0
"père";11;22;0;0;0
"bon";12;4;0;0;4
"margot";11;1;0;0;0
"univers";12;84;2;0;0
"france";100;5;0;1;1
"équipe";15;13;0;0;0
"vous";55;0;0;0;1
"militaire";6;19;0;0;0
"sous";19;13;0;0;0
"agent";3;10;0;0;0
"mal";8;5;0;0;0
"avant";12;9;0;1;1
"nous";76;14;3;0;5
"spécialiste";38;2;0;0;0
"mais";77;235;0;0;0
"main";5;8;0;0;0
"nouveau";55;72;3;0;0
"ancien";134;29;0;0;0
"agir";13;18;0;0;0
"homme";61;38;0;0;0
"ministre";28;0;0;0;0
"chanson";15;2;0;0;3
"11";24;1;0;0;0
"10";18;2;0;0;0
"13";20;0;0;0;0
"12";30;4;0;0;0
"15";26;0;0;0;0
"14";14;0;0;1;0
"17";21;0;0;0;0
"16";17;2;0;0;0
"19";221;0;0;0;0
"18";54;1;0;0;0
"spectacle";11;1;0;0;0
"trace";8;19;0;0;0
"extraire";144;0;0;0;4
"fille";31;172;0;0;0
"show";2;0;14;0;1
"aventure";3;173;0;0;0
"étranger";6;5;0;0;0
"débarquer";3;15;0;0;0
"43";19;0;0;0;0
"parent";26;87;0;0;0
"jt";20;0;0;0;0
"je";17;1;0;0;1
"lopez";16;0;0;0;0
"rugby";11;0;0;2;0
"tour";8;6;1;0;0
"tous";39;109;1;3;0
"capable";6;6;0;0;0
"côté";13;105;0;0;0
"ex_membre";11;0;0;0;0
"lorsque";3;94;0;0;0
"dessin";4;6;0;0;0
"mars";10;2;0;0;0
"quatre";4;6;14;0;2
"par";180;220;0;2;1
"pas";97;215;1;0;1
"tout";72;46;1;0;2
"autour";24;3;0;1;1
"entourer";10;0;0;0;0
"starfire";0;137;0;0;0
"new_yorkais";0;43;0;0;0
"4";8;5;0;0;0
"mot";10;3;0;0;1
"mon";16;0;0;0;2
"luthor";0;11;0;0;0
"christine";12;0;0;0;0
"journée";6;1;0;0;5
"titan";0;109;0;0;0
"soudain";0;11;0;0;0
"gorg";0;0;14;0;0
"venir";35;53;0;1;0
"fils";14;18;0;0;0
"citation";44;0;0;0;0
"pourquoi";11;2;0;0;2
"eliot";0;22;0;0;0
"film";45;3;0;0;0
"important";9;5;0;0;0
"emily";1;15;0;0;0
"revenir";24;10;0;0;2
"poilu";1;0;14;0;0
"révéler";13;4;0;0;0
"public";21;0;0;0;0
"à";559;590;2;7;1
"agathe";12;0;0;0;0
"des";806;435;14;9;4
"csa";14;0;0;0;0
"civilisation";13;3;0;0;0
"delage";13;0;0;0;0
"trois";5;11;0;0;0
"théâtre";16;0;0;0;0
"24";21;0;0;0;0
"25";20;0;0;0;0
"26";21;3;0;0;0
"27";22;0;0;0;0
"22";36;0;0;0;0
"23";40;0;0;0;0
"28";23;0;0;0;0
"29";17;1;0;0;0
"etienne";40;1;0;0;0
"robbie";2;14;0;0;0
"porte";32;11;0;2;0
"président";35;2;0;0;0
"troisième";19;1;0;0;0
"dont";15;12;1;0;0
"donc";10;5;0;0;0
"cirque";1;83;0;0;0
"pari";25;3;0;0;0
"part";10;5;0;2;0
"john";5;8;0;0;0
"gasnier";48;0;0;0;0
"recevoir";19;5;1;0;0
"relation";5;5;0;0;0
"témoignage";16;1;0;0;0
"express";5;5;0;0;0
"expert";10;1;0;0;0
"point";26;5;0;1;0
"léo";26;1;0;0;0
"secret";23;9;0;0;0
"cyborg";0;55;0;0;0
"puissant";8;4;0;0;0
"mener";9;8;0;0;0
"puis";10;4;0;0;1
"moment";15;5;0;0;0
"travers";9;7;0;0;0
"entre";21;18;0;0;1
"salvatore";10;0;0;0;1
"y";54;30;0;0;0
"délirant";1;1;14;0;0
"source";215;362;17;6;6
"ça";9;5;0;0;1
"peu";12;11;0;0;0
"depuis";37;11;0;0;2
"jimmy";11;0;0;0;0
"aliens";6;21;0;0;0
"dewalle";15;0;0;0;0
"avenir";12;1;0;0;0
"conseil";10;1;2;0;0
"travailler";12;2;0;0;0
"lointain";8;85;0;0;0
"elles";30;5;0;0;0
"armée";6;5;0;0;1
"invité";73;0;0;0;0
"brainiac";0;14;0;0;0
"ennemi";0;13;0;0;0
"objet";13;6;0;0;0
"lorenzo";0;11;0;0;0
"crop";1;9;0;0;0
"39";17;0;0;0;0
"38";15;0;0;0;0
"33";22;0;0;0;0
"32";19;0;0;0;0
"31";21;0;0;0;0
"30";29;0;0;0;0
"37";13;0;0;0;0
"36";15;0;0;0;0
"34";14;0;0;0;0
"composer";4;7;0;0;0
"train";7;6;0;0;0
"souvent";13;6;0;0;0
"terrien";2;93;0;0;0
"laurie";10;0;0;0;0
"extrait";33;1;0;0;0
"le";745;548;20;8;6
"la";995;737;20;6;10
"eux";9;9;1;0;0
"oggy";0;0;14;0;0
"image";28;5;0;0;0
"tuer";2;15;0;0;0
"identifier";18;7;0;0;0
"lfi";15;0;0;0;0
"expliquer";12;7;0;0;0
"réseau";10;0;0;0;0
"là";8;19;0;0;0
"que";176;210;0;1;0
"qui";268;509;15;1;8
"parvenir";4;12;0;0;0
"publier";11;0;0;0;0
"auproux";12;0;0;0;0
"seines";14;0;0;0;0
"tromper";27;2;0;0;0
"mélenchon";27;0;0;0;0
"bernard";14;0;0;0;0
"beau";14;5;0;0;0
"sembler";7;19;0;0;0
"crabe";26;0;0;0;0
"cacher";14;18;0;0;0
"fatou";0;79;0;0;0
"bruno";20;0;0;0;1
"françois";18;16;0;0;0
"comment";82;3;0;0;1
"concours";8;3;0;0;0
"colocataire";1;55;0;0;0
"parisien";10;0;0;0;0
"raven";0;136;0;0;0
"provoquer";5;83;0;0;0
"système";17;0;0;0;0
"brigitte";14;0;0;0;0
"adolescent";2;25;0;0;0
"toutes";37;21;0;1;0
"oise";15;0;0;0;0
"monter";7;4;0;0;1
"48";19;0;0;0;0
"49";16;0;0;0;0
"47";23;0;0;0;0
"44";26;0;0;0;0
"45";24;0;0;0;0
"42";19;0;0;0;0
"40";25;7;0;0;0
"41";13;0;0;0;0
"membre";35;7;0;0;0
"inédit";2;3;14;0;0
"direct";17;2;0;0;0
"air";8;2;0;0;0
"philippe";16;2;0;0;0
"même";32;27;0;0;0
"changer";10;5;0;0;0
"pendant";14;13;0;0;0
"actualité";31;0;0;1;1
"m6";15;5;0;0;0
"assez";2;15;0;0;0
"mois";14;3;0;0;0
"me";22;0;0;0;0
"ma";10;0;0;0;0
"naître";9;82;0;0;0
"mi";11;0;0;0;0
"enquête";24;12;0;0;0
"entretien";14;0;0;0;0
"laquelle";7;5;0;0;0
"nouvelle";13;10;1;0;1
"vite";5;7;0;0;0
"mettre";18;23;1;1;0
"autre";10;18;0;0;0
"jeune";36;55;0;0;2
"construire";15;2;0;0;0
"réal";11;0;0;0;0
"émission";90;4;0;5;5
"coeur";8;8;0;0;1
"claude";25;2;0;0;0
"présidentiel";14;0;0;0;0
"photo";8;4;0;0;0
"boulot";1;56;0;0;0
"transformer";7;8;0;0;0
"frontière";13;0;0;0;0
"candidat";15;1;0;0;0
"alien";8;6;0;0;0
"jean";84;4;0;0;0
"proposer";17;5;0;0;1
"fête";8;2;0;0;0
"vérité";5;6;0;0;0
"manquer";5;82;0;0;0
"enfin";4;11;0;0;0
"2999";0;43;0;0;0
"bande";14;3;0;0;0
"59";21;0;0;0;0
"58";14;0;0;0;0
"55";23;0;0;0;1
"54";26;0;0;0;0
"56";18;0;0;0;0
"51";20;0;0;0;0
"50";33;0;0;0;0
"53";15;0;0;0;0
"52";21;0;0;0;0
"57";17;0;0;0;0
"humanité";25;24;0;0;0
"gouvernement";20;5;0;0;0
"plus";135;54;2;2;2
"entrepreneur";11;0;0;0;0
"exister";15;3;0;0;0
"hugues";14;0;0;0;0
"voisin";0;12;0;0;0
"peret";10;0;0;0;0
"ne";114;266;1;0;3
"actuel";15;0;0;0;0
"retour";45;5;0;1;0
"valentin";19;0;0;0;0
"cnews";24;0;0;0;0
"groupe";15;8;0;0;0
"entier";20;3;0;0;0
"langlois";14;0;0;0;0
"bill";0;19;0;0;0
"frédéric";23;1;0;1;0
"boucher";10;0;0;0;0
"figure";5;81;0;0;0
"haut";21;1;1;0;0
"antoine";27;0;0;0;0
"1";31;1;0;1;0
"rapport";10;0;0;1;0
"réponse";11;4;0;0;0
"oeuf";8;2;0;0;0
"apporter";8;3;0;0;0
"place";5;7;0;0;0
"gotham";0;81;0;0;0
"animation";0;82;0;0;0
"république";10;0;0;0;0
"chanteur";11;1;0;0;4
"espoir";1;10;0;0;0
"trop";3;14;0;0;0
"chaque";13;1;0;2;0
"20";178;4;0;0;3
"21";74;0;0;0;0
"didier";5;14;0;0;0
"concernant";9;1;0;0;0
"parfois";5;6;0;0;0
"devoir";23;43;0;0;3
"récupérer";2;9;0;0;0
"départ";5;46;0;0;0
"curieux";33;2;0;0;0
"patrick";8;6;0;0;1
"où";24;25;0;0;0
"réussir";5;5;0;0;0
"décontraction";0;81;0;0;0
"bellver";48;0;0;0;0
"ou";67;25;0;3;1
"celui";5;8;0;0;0
"lemercier";11;0;0;0;0
"alain";11;0;0;0;0
"samedi";10;0;0;1;0
"phénomène";27;9;0;0;1
