"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"magazine";0;0;0;0;2,01;0;0
"lieu";1,46;0,55;5,59;12,2;1,01;5,92;0
"mystérieux";0,36;7,12;0;24,39;0,34;2,96;0
"petit";61,16;2,74;0;12,2;8,23;8,88;0
"décider";2,18;0;22,35;0;0,67;14,79;0
"handicapé";0;0;0;0;1,85;0;0
"corbière";0;0;0;0;2,18;0;0
"dieu";0;6,58;0;0;0;5,92;0
"mazaurette";0;0;0;0;6,88;0;0
"laure";0;0;61,45;0;0,17;0;0
"ville";2,18;1,1;5,59;0;0,5;2,96;45,45
"etats";1,09;2,19;0;0;1,34;0;0
"père";1,09;1,1;11,17;0;1,34;2,96;0
"margot";0;0;0;0;1,85;0;0
"équipe";1,09;0,55;0;24,39;2,18;8,88;0
"clair";0;0;0;0;1,34;5,92;0
"spécialiste";0;2,74;0;0;6,04;2,96;0
"main";1,09;0,55;0;0;1,18;0;0
"ancien";8,37;42,74;5,59;0;9,06;2,96;0
"agir";1,46;2,74;11,17;0;1,34;5,92;0
"trace";0;1,1;5,59;0;1,18;0;0
"extraire";0;0;0;0;18,8;0;0
"nouveau";17,47;8,22;5,59;24,39;6,38;8,88;0
"débarquer";2,55;0;11,17;12,2;0,34;0;0
"parent";9,46;1,1;0;0;3,53;5,92;0
"lopez";0;0;0;0;2,69;0;0
"rugby";0;0;0;0;1,85;0;0
"côté";9,83;1,64;11,17;24,39;1,01;14,79;0
"capable";0,73;3,29;0;0;0,34;0;0
"mars";0;0,55;0;0;2,35;2,96;0
"delage";0;0;0;0;2,18;0;0
"new_yorkais";15,65;0;0;0;0;0;0
"davant";0;0;0;0;1,68;0;0
"mot";0;1,1;0;0;1,34;2,96;0
"christine";0;0;0;0;2,18;0;0
"rappeler";1,09;0,55;5,59;0;1,34;0;0
"ex_membre";0;0;0;0;1,85;0;0
"fils";1,09;0;5,59;0;0,84;5,92;0
"citation";0;0;0;0;5,37;0;0
"film";1,09;2,19;0;0;8,23;0;0
"important";0;2,74;5,59;0;0,84;0;0
"revenir";1,09;5,48;5,59;0;3,02;0;0
"révéler";0;6,03;0;0;1,18;0;0
"public";0;0,55;0;0;2,18;0;0
"agathe";0;0;0;0;2,01;0;0
"récit";0;3,84;0;0;0,5;0;0
"csa";0;0;0;0;2,18;0;0
"rapport";0;2,19;0;0;1,01;0;0
"etienne";0;0;0;0;6,71;0;0
"association";0;0;5,59;0;1,68;0;0
"porte";0;1,64;5,59;0;4,2;2,96;0
"président";0;1,1;0;0;5,04;2,96;0
"troisième";0;0;0;0;3,02;0;0
"travail";0;0;5,59;0;1,51;2,96;0
"pari";0,36;2,19;5,59;0;2,52;0;0
"part";0,73;0,55;0;12,2;1,68;0;0
"dossier";0;1,1;0;0;1,68;0;0
"gasnier";0;0;0;0;8,06;0;0
"recevoir";0,73;2,19;0;0;3,69;2,96;0
"expert";0;3,29;0;0;0,67;2,96;0
"secret";0,73;4,93;0;0;0,84;0;0
"mener";0,36;1,64;5,59;0;0,67;5,92;0
"moment";0,36;0,55;0;0;2,01;0;0
"travers";1,09;0,55;0;0;1,51;0;0
"jimmy";0;0;0;0;2,01;0;0
"dewalle";0;0;0;0;2,52;0;0
"avenir";0;1,64;0;0;1,34;0;0
"conseil";0;0;0;0;1,85;2,96;0
"travailler";0;0;0;0;2,18;2,96;0
"lointain";9,46;4,38;0;0;0;5,92;0
"invité";0;0;0;0;10,07;0;0
"objet";0,73;4,93;0;0;2,52;2,96;0
"terrien";9,46;0;11,17;36,59;0,5;0;0
"laurie";0;0;0;0;1,68;0;0
"chien";2,91;0;0;0;0,17;0;45,45
"extrait";0;0;0;0;3,86;0;0
"identifier";0,36;6,03;11,17;0;1,51;5,92;0
"lfi";0;0;0;0;2,52;0;0
"expliquer";0,73;0,55;0;0;5,54;0;0
"réseau";0;0,55;0;0;1,51;0;0
"écrire";0,36;1,1;0;0;1,51;0;0
"auproux";0;0;0;0;2,01;0;0
"mélenchon";0;0;0;0;4,36;0;0
"bernard";0;0;0;0;4,03;0;0
"beau";0;1,1;0;12,2;1,34;2,96;0
"sembler";0,73;2,74;5,59;0;0,34;17,75;0
"cacher";0;3,84;16,76;0;0,67;14,79;0
"annonce";0;0;0;0;1,85;0;0
"agnès";0;0;0;0;1,51;0;45,45
"moyen";0;0;0;0;1,68;0;0
"provoquer";28,39;0;0;0;0,84;2,96;0
"système";0;7,67;0;0;0,84;0;0
"membre";0,36;0;0;0;5,37;0;0
"parole";0;0,55;5,59;0;4,2;0;0
"philippe";0;0;0;0;2,01;0;0
"mois";0;1,1;0;0;1,68;0;0
"naître";9,46;0;0;0;1,34;0;0
"enquête";0,36;2,74;5,59;0;1,85;11,83;0
"nouvelle";1,09;0,55;5,59;0;1,18;2,96;0
"mettre";1,09;1,64;5,59;0;2,52;8,88;0
"construire";0,36;4,93;0;0;0,84;0;0
"émission";0;0,55;0;0;7,05;5,92;0
"coeur";1,46;0,55;0;0;1,18;2,96;0
"claude";1,09;0;0;0;4,7;0;0
"présidentiel";0;0;0;0;2,35;0;0
"âge";0;3,84;5,59;0;0,67;2,96;0
"manquer";9,46;0;0;0;0,84;0;0
"bande";0;0,55;0;12,2;2,18;0;0
"humanité";0;11,51;0;0;0,5;0;0
"gouvernement";0,36;6,58;0;0;0,84;0;0
"antique";0;7,12;0;0;0;0;0
"entrepreneur";0;0;0;0;1,85;0;0
"exister";0,73;3,29;0;0;1,34;0;0
"peret";0;0;0;0;1,68;0;0
"actuel";0;4,38;0;0;1,01;0;0
"retour";0,73;0;0;0;4,53;0;0
"cnews";0;0;0;0;4,03;0;0
"élément";0;1,64;0;12,2;1,18;0;0
"groupe";0;0,55;0;0;1,85;5,92;0
"entier";1,09;10,41;0;0;0,17;0;0
"humour";18,93;0;0;0;1,85;0;0
"frédéric";0;0;0;0;5,54;2,96;0
"boucher";0;0;0;0;1,85;0;0
"courir";9,46;0;5,59;12,2;1,18;0;136,36
"haut";0;0;0;0;3,69;0;0
"nombreux";28,39;6,03;0;0;1,51;0;0
"apporter";0;2,74;0;0;0,67;5,92;0
"revue";0;0;0;0;1,68;0;0
"cnrs";0;0;0;0;1,85;0;0
"sse";9,46;0;0;0;0;0;0
"chercheur";0;0;5,59;0;1,51;0;0
"départ";15,65;0;0;0;0,34;0;0
"bellver";0;0;0;0;8,06;0;0
"porter";0;2,19;5,59;0;0,84;0;0
"envoyer";1,46;0,55;0;0;1,18;0;45,45
"alain";0;3,29;0;0;1,18;0;0
"phénomène";0;7,12;11,17;0;5,71;5,92;0
"péril";17,84;0;0;0;0;0;0
"pté";9,46;0;0;0;0;0;0
"sud";0;1,1;0;0;1,34;0;0
"christian";0;0;0;0;1,68;0;0
"enfant";1,82;2,19;16,76;12,2;4,7;5,92;0
"vaisseau";3,64;2,74;11,17;24,39;0,34;8,88;0
"bout";0;1,64;0;0;1,18;0;0
"affrontement";0;0;0;0;2,18;0;0
"blanc";0;1,64;0;0;2,18;0;0
"passer";1,09;12,6;11,17;0;3,53;5,92;0
"professeur";0;1,64;22,35;0;1,68;11,83;0
"maison";0,73;1,1;16,76;0;2,01;2,96;0
"arriver";1,82;1,1;0;24,39;1,01;2,96;0
"tourner";0;0;0;0;1,34;5,92;0
"vincent";0;0;0;0;1,85;2,96;0
"matin";0;0;0;0;2,01;0;0
"raconter";0,36;3,29;0;0;3,86;0;0
"année";0,36;12,6;5,59;0;4,36;0;0
"plateau";0;0;0;0;6,21;0;0
"réveiller";15,65;0;0;0;0,17;0;0
"anne";0;0;0;0;3,69;0;0
"question";0;2,74;0;0;4,36;0;0
"long";0,36;3,29;0;0;1,01;0;0
"présentation";0;1,64;0;0;2,35;0;0
"nasa";0,36;1,1;0;0;1,85;0;0
"yves";0;0,55;0;0;2,85;0;0
"théâtre";0;1,1;0;0;1,68;0;0
"chose";0,73;0;11,17;0;0,84;5,92;0
"olivier";0,36;1,1;0;0;2,52;0;0
"claviere";0;0;0;0;2,52;0;0
"figure";9,46;1,64;0;0;0,17;0;0
"patron";0,73;0;0;0;2,01;0;0
"fédération";0;0;0;0;1,85;0;0
"nuit";0,36;1,1;0;0;1,18;2,96;0
"permettre";0,36;3,84;0;0;1,85;2,96;0
"tsoukalos";0;9,86;0;0;0;0;0
"polémiste";0;0;0;0;2,35;0;0
"galley";0;0;0;0;1,68;0;0
"pomart";0;0;0;0;2,52;0;0
"xavier";0;0;16,76;0;1,01;0;45,45
"rendre";2,55;4,38;33,52;0;2,69;17,75;0
"partie";0;4,38;0;12,2;1,85;0;0
"partir";0,73;2,74;5,59;0;2,85;2,96;0
"marier";0,36;0,55;11,17;0;1,85;0;0
"joe";0;0;0;0;2,52;0;0
"disciple";8,37;0;0;0;0;0;0
"préparer";0;0,55;0;12,2;1,34;0;0
"mère";0;0,55;11,17;0;0,67;8,88;0
"américain";0,36;6,58;0;0;3,19;0;0
"conquérant";9,46;0;0;0;0;0;0
"val";0;0;0;0;2,69;0;0
"humain";1,46;8,77;22,35;0;1,68;11,83;0
"courant";0;0;0;0;2,01;0;0
"décrire";0;1,1;0;0;1,68;0;0
"fantôme";0;1,1;0;0;1,51;0;0
