"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"éveil";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"voyage";-0,031;-1,623;9,847;0,369;-0,598;-0,491;-1,118
"user";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"spazio";-1,713;-1,896;-1,536;-0,738;-0,699;-0,573;38,296
"social";-0,974;0,036;8,969;-0,42;-0,398;-0,326;-0,743
"retour";-0,974;-1,079;2,839;-0,42;1,259;1,778;-0,743
"odh";-1,713;-1,896;-1,536;-0,738;71,568;-0,573;-1,307
"octobre";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"obama";-1,713;-1,896;-1,536;-0,738;-0,699;-0,573;38,296
"nufologie";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"lune";-1,713;-1,896;7,455;9,233;-0,699;-0,573;-1,307
"juin";-1,22;-1,35;1,688;-0,525;16,009;-0,408;-0,931
"inganno";-1,713;-1,896;-1,536;-0,738;-0,699;-0,573;38,296
"info";-0,122;0,234;3,02;-0,738;0,242;-0,573;-1,307
"illuminati";-1,713;-1,896;-1,536;-0,738;-0,699;-0,573;38,296
"engager";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"el";2,387;-1,079;0,141;-0,42;1,259;-0,326;-0,743
"direct";-0,122;-1,896;-0,061;-0,738;33,684;-0,573;-1,307
"devenir";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"dello";-1,713;-1,896;-1,536;-0,738;-0,699;-0,573;38,296
"della";-1,466;-1,623;-0,006;-0,632;-0,598;-0,491;21,11
"curieux";-0,031;-1,623;17,717;-0,632;-0,598;-0,491;-1,118
"conquista";-1,713;-1,896;-1,536;-0,738;-0,699;-0,573;38,296
"base";-0,73;-0,808;4,901;2,011;-0,298;-0,244;-0,557
"bande";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"américain";-0,031;-1,623;17,717;-0,632;-0,598;-0,491;-1,118
"amour";0,368;0,269;0,493;-0,314;-0,298;-0,244;-0,557
"alex";-1,713;-1,896;-1,536;-0,738;-0,699;-0,573;38,296
"00z";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"tomber";-1,22;1,075;6,109;-0,525;-0,498;-0,408;-0,931
"super";-1,22;-1,35;0,016;-0,525;-0,498;38,19;-0,931
"prédiction";0,001;-1,35;0,016;-0,525;16,009;-0,408;-0,931
"programme";-1,466;-1,623;0,991;-0,632;24,598;-0,491;-1,118
"parler";0,001;-0,004;1,688;-0,525;0,745;-0,408;-0,931
"oeil";0,001;-1,35;13,279;-0,525;-0,498;-0,408;-0,931
"nmusique";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"nel";-1,466;-1,623;-0,006;-0,632;-0,598;-0,491;21,11
"michel";-1,22;10,47;0,016;-0,525;-0,498;-0,408;-0,931
"mettre";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"invasion";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"inconnu";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"humain";-1,466;-1,623;9,847;4,039;-0,598;-0,491;-1,118
"esprit";-0,031;-1,623;17,717;-0,632;-0,598;-0,491;-1,118
"episodes";-1,466;-1,623;-1,315;-0,632;-0,598;74,712;-1,118
"envoyer";-1,22;-1,35;23,199;-0,525;-0,498;-0,408;-0,931
"enquête";-0,031;0,54;4,272;-0,632;-0,598;-0,491;-1,118
"enlèvement";-1,22;-1,35;0,016;29,32;-0,498;-0,408;-0,931
"civilisation";-1,22;-1,35;13,279;-0,525;0,745;-0,408;-0,931
"chi";-0,974;-1,079;0,141;-0,42;-0,398;-0,326;10,791
"changer";-1,466;3,025;4,272;-0,632;-0,598;-0,491;-1,118
"cerchi";-1,466;-1,623;-0,006;-0,632;-0,598;-0,491;21,11
"cas";0,078;2,011;0,141;-0,42;-0,398;-0,326;-0,743
"antenne";-1,22;10,47;0,016;-0,525;-0,498;-0,408;-0,931
"vrai";-1,22;-1,35;0,016;29,32;-0,498;-0,408;-0,931
"vaisseau";-1,22;-1,35;13,279;-0,525;0,745;-0,408;-0,931
"utiliser";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"studio";-1,22;-0,004;13,279;-0,525;-0,498;-0,408;-0,931
"scientifique";0,078;-1,079;2,839;-0,42;-0,398;1,778;-0,743
"réflexion";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"réaliser";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"roblox";-0,974;-1,079;-0,874;38,581;-0,398;-0,326;-0,743
"qumran";-0,73;-0,808;0,493;-0,314;-0,298;-0,244;5,973
"projet";2,387;-1,079;2,839;-0,42;-0,398;-0,326;-0,743
"personnage";-0,974;-1,079;8,969;1,138;-0,398;-0,326;-0,743
"patrice";-1,22;10,47;-1,094;-0,525;0,745;-0,408;-0,931
"one";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"occulter";-1,22;-1,35;-1,094;-0,525;-0,498;-0,408;27,272
"nla";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"nfacebook";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"nazismo";-1,22;-1,35;-1,094;-0,525;-0,498;-0,408;27,272
"moon";-1,22;-1,35;0,016;29,32;-0,498;-0,408;-0,931
"metz";20,81;-1,35;-1,094;-0,525;-0,498;-0,408;-0,931
"message";-1,22;-1,35;23,199;-0,525;-0,498;-0,408;-0,931
"mer";-0,974;0,036;2,839;1,138;-0,398;-0,326;-0,743
"invasione";-1,22;-1,35;-1,094;-0,525;-0,498;-0,408;27,272
"image";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"grano";-1,22;-1,35;-1,094;-0,525;-0,498;-0,408;27,272
"gesù";-0,73;-0,808;0,493;-0,314;-0,298;-0,244;5,973
"gde";4,274;-0,808;0,493;-0,314;-0,298;-0,244;-0,557
"freedom";-1,22;-1,35;-1,094;-0,525;-0,498;-0,408;27,272
"fin";-0,73;-0,808;-0,654;-0,314;2,18;-0,244;5,973
"fascism";-1,22;-1,35;-1,094;-0,525;-0,498;-0,408;27,272
"exemple";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"edition";4,274;-0,808;0,493;-0,314;-0,298;-0,244;-0,557
"dossier";0,368;0,269;0,493;-0,314;-0,298;-0,244;-0,557
"dernier";-0,974;0,036;8,969;-0,42;-0,398;-0,326;-0,743
"cultur";4,274;-0,808;0,493;-0,314;-0,298;-0,244;-0,557
"chose";0,368;-0,808;4,901;-0,314;-0,298;-0,244;-0,557
"blanc";-0,974;0,036;8,969;-0,42;-0,398;-0,326;-0,743
"art";-0,974;7,003;0,141;-0,42;-0,398;-0,326;-0,743
"année";-0,974;-1,079;8,969;-0,42;1,259;-0,326;-0,743
"and";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"aliena";-1,22;-1,35;-1,094;-0,525;-0,498;-0,408;27,272
"abonné";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"état";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"ép";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"vérifier";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"visiter";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"videos";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"ufologiques";4,274;-0,808;0,493;-0,314;-0,298;-0,244;-0,557
"trou";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"théorie";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"suite";-0,974;7,003;0,141;-0,42;-0,398;-0,326;-0,743
"souhaiter";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"sophie";-0,974;15,012;-0,874;-0,42;-0,398;-0,326;-0,743
"short";-0,974;-1,079;8,969;1,138;-0,398;-0,326;-0,743
"réalité";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"recevoir";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"rater";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"présenter";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"proibite";-0,974;-1,079;-0,874;-0,42;-0,398;-0,326;21,784
"philippe";-0,73;0,269;-0,654;-0,314;12,244;-0,244;-0,557
"ombre";2,387;-1,079;0,141;-0,42;-0,398;1,778;-0,743
"nfilm";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"naliens";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"moment";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"minute";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"mardi";16,623;-1,079;-0,874;-0,42;-0,398;-0,326;-0,743
"marc";-0,974;0,036;-0,874;1,138;8,265;-0,326;-0,743
"manoscritti";-0,73;-0,808;0,493;-0,314;-0,298;-0,244;5,973
"jt";16,623;-1,079;-0,874;-0,42;-0,398;-0,326;-0,743
"jeu";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"interview";-0,73;-0,808;4,901;-0,314;2,18;-0,244;-0,557
"identifier";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"hanter";2,387;0,036;-0,874;-0,42;1,259;-0,326;-0,743
"h";7,902;-1,079;0,141;-0,42;-0,398;-0,326;-0,743
"galley";-0,974;0,036;-0,874;-0,42;21,416;-0,326;-0,743
"faux";-0,73;-0,808;4,901;-0,314;2,18;-0,244;-0,557
"famille";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"existence";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"ex";-0,974;0,036;8,969;-0,42;-0,398;-0,326;-0,743
"entretien";-0,974;-1,079;0,141;1,138;8,265;-0,326;-0,743
"défunt";-0,73;-0,808;-0,654;2,011;12,244;-0,244;-0,557
"cyril";-0,974;-1,079;-0,874;-0,42;40,711;-0,326;-0,743
"cure";-0,974;-1,079;-0,874;-0,42;-0,398;-0,326;21,784
"communication";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"combat";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"cancro";-0,974;-1,079;-0,874;-0,42;-0,398;-0,326;21,784
"bientôt";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"armée";0,368;-0,808;4,901;-0,314;-0,298;-0,244;-0,557
"apollo";-0,974;-1,079;8,969;1,138;-0,398;-0,326;-0,743
"animal";-0,974;-1,079;2,839;1,138;1,259;-0,326;-0,743
"air";0,368;-0,808;4,901;-0,314;-0,298;-0,244;-0,557
"affranchi";0,078;0,036;0,141;-0,42;1,259;-0,326;-0,743
"30z";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"29z";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"11z";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"07z";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"étudier";0,368;-0,808;4,901;-0,314;-0,298;-0,244;-0,557
"énergie";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"walton";0,368;0,269;-0,654;2,011;-0,298;-0,244;-0,557
"vraiment";-0,73;-0,808;4,901;-0,314;2,18;-0,244;-0,557
"vost";-0,73;-0,808;0,493;2,011;-0,298;2,901;-0,557
"vivre";-0,73;-0,808;0,493;2,011;2,18;-0,244;-0,557
"visiteur";-0,73;-0,808;4,901;-0,314;2,18;-0,244;-0,557
"vague";0,368;0,269;0,493;-0,314;-0,298;-0,244;-0,557
"ucciso";-0,73;-0,808;-0,654;-0,314;-0,298;-0,244;16,314
"témoin";-0,73;0,269;0,493;-0,314;-0,298;2,901;-0,557
"tueur";-0,73;-0,808;4,901;2,011;-0,298;-0,244;-0,557
"travis";0,368;0,269;-0,654;2,011;-0,298;-0,244;-0,557
"travers";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"thomas";-0,73;-0,808;4,901;-0,314;2,18;-0,244;-0,557
"thierry";-0,73;-0,808;0,493;-0,314;12,244;-0,244;-0,557
"sérieux";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"sylvain";-0,73;0,269;0,493;-0,314;2,18;-0,244;-0,557
"surprenant";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"surnaturel";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"storia";-0,73;-0,808;0,493;-0,314;-0,298;-0,244;5,973
"station";-0,73;-0,808;0,493;-0,314;-0,298;-0,244;5,973
"spiritualité";-0,73;11,242;-0,654;-0,314;-0,298;-0,244;-0,557
"shag";12,448;-0,808;-0,654;-0,314;-0,298;-0,244;-0,557
"sarah";-0,73;3,747;-0,654;-0,314;2,18;-0,244;-0,557
"réincarnation";0,368;0,269;0,493;-0,314;-0,298;-0,244;-0,557
"rfk";-0,73;-0,808;-0,654;-0,314;-0,298;-0,244;16,314
"repas";4,274;-0,808;0,493;-0,314;-0,298;-0,244;-0,557
"proibita";-0,73;-0,808;-0,654;-0,314;-0,298;-0,244;16,314
"pooyard";-0,73;11,242;-0,654;-0,314;-0,298;-0,244;-0,557
"pentagone";-0,73;0,269;0,493;2,011;-0,298;-0,244;-0,557
"origine";-0,73;0,269;0,493;-0,314;2,18;-0,244;-0,557
"observation";0,368;-0,808;0,493;2,011;-0,298;-0,244;-0,557
"nspace";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"nombreux";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"médium";-0,73;0,269;0,493;2,011;-0,298;-0,244;-0,557
"méditation";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"millier";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"mentir";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"maurin";-0,73;-0,808;-0,654;-0,314;30,487;-0,244;-0,557
"martine";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"maison";4,274;-0,808;-0,654;-0,314;-0,298;2,901;-0,557
"magiche";-0,73;-0,808;-0,654;-0,314;-0,298;-0,244;16,314
"machine";-0,73;-0,808;0,493;2,011;2,18;-0,244;-0,557
"macchine";-0,73;-0,808;-0,654;-0,314;-0,298;-0,244;16,314
"long";-0,73;-0,808;4,901;-0,314;2,18;-0,244;-0,557
"linda";-0,73;0,269;0,493;2,011;-0,298;-0,244;-0,557
"ligne";-0,73;3,747;0,493;-0,314;-0,298;-0,244;-0,557
"jeune";0,368;-0,808;4,901;-0,314;-0,298;-0,244;-0,557
"inédit";-0,73;-0,808;-0,654;-0,314;-0,298;37,187;-0,557
