"";"";"";"";"recherche";""
"108";"surnaturel";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"323"
"109";"méditation";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"325"
"110";"martine";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"326"
"111";"ligne";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"327"
"112";"deïmian";"-0.445545954518129";"-0.633889687060348";"0.811384751417766";"328"
"113";"deuxième";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"329"
"114";"continuer";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"331"
"115";"claude";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"332"
"116";"antérieur";"-0.445545954518129";"-0.633889687060348";"0.811384751417766";"333"
"117";"janvier";"-0.475307608639169";"-0.495806069019041";"0.80885869409643";"334"
"118";"planète";"-0.48602297108658";"-0.515853474252629";"0.808841200624676";"335"
"119";"expérience";"-0.439178463827378";"-0.515758622785405";"0.808841200624676";"337"
"120";"projet";"-0.533050088022752";"-0.497666279635737";"0.808207936947167";"341"
"121";"média";"-0.451072200319149";"-0.497500289568095";"0.808207936947167";"342"
"122";"témoignage";"-0.495444066381318";"-0.496687597650392";"0.808207936947167";"343"
"123";"spécialiste";"-0.457838044739884";"-0.495708915665046";"0.808207936947167";"345"
"124";"mer";"-0.460607191658243";"-0.42730605461019";"0.808207936947167";"346"
"125";"animal";"-0.416235325596074";"-0.428118746527893";"0.808207936947167";"347"
"126";"hanter";"-0.535548619821721";"-0.635576153725138";"0.806626527100568";"351"
"127";"extraordinaire";"-0.464440384799283";"-0.543796474926343";"0.805902297369936";"352"
"128";"sylvain";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"353"
"129";"origine";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"354"
"130";"vivre";"-0.417991218501849";"-0.451287750872741";"0.805902297369936";"355"
"131";"machine";"-0.417991218501849";"-0.451287750872741";"0.805902297369936";"356"
"132";"guérison";"-0.449238150409274";"-0.542685872320539";"0.805902297369936";"357"
"133";"fabrice";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"358"
"134";"commencer";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"359"
"135";"partie";"-0.51770721485988";"-0.559744878419121";"0.805373994522953";"360"
"136";"new";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"361"
"137";"walton";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"362"
"138";"observation";"-0.527295068773321";"-0.451509070962931";"0.805311018024637";"364"
"139";"abduction";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"365"
"140";"cas";"-0.518879265311887";"-0.565236188736241";"0.805311018024637";"366"
"141";"pentagone";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"367"
"142";"médium";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"368"
"143";"linda";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"369"
"144";"confirmer";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"370"
"145";"équipe";"-0.527381758938406";"-0.524694243275939";"0.804180939749303";"371"
"146";"parler";"-0.461799448775524";"-0.524561451221825";"0.804180939749303";"372"
"147";"affranchi";"-0.474507399249718";"-0.566048880653944";"0.802679999872775";"374"
"148";"reportage";"-0.523602872882175";"-0.54271288570274";"0.8";"375"
"149";"archéologie";"-0.523602872882175";"-0.54271288570274";"0.8";"376"
"150";"amour";"-0.523602872882175";"-0.54271288570274";"0.8";"377"
"151";"dossier";"-0.523602872882175";"-0.54271288570274";"0.8";"378"
"152";"vague";"-0.523602872882175";"-0.54271288570274";"0.8";"379"
"153";"réincarnation";"-0.523602872882175";"-0.54271288570274";"0.8";"380"
