"";"banalfreq";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"où";49;-0,3043;0,4058;-0,2045;-0,0736;-0,12
"réussir";10;-0,2066;0,2405;-0,0417;-0,015;-0,0245
"celui";13;-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"catastrophe";13;-0,3028;0,3531;-0,0542;-0,0195;-0,0318
"endroit";14;-0,4053;0,4687;-0,0584;-0,021;-0,0343
"lisa";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"programme";15;1,223;-1,1021;-0,0626;-0,0225;-0,0367
"prochain";12;1,71;-1,5784;-0,0501;-0,018;-0,0294
"enfant";55;0,6733;-0,5214;-0,2296;-0,0826;-0,1347
"profiter";10;-0,4256;0,4809;-0,0417;-0,015;-0,0245
"différents";15;0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"mission";18;-1,8179;1,4713;0,7991;-0,027;-0,0441
"style";10;0,4218;-0,6875;1,0381;-0,015;-0,0245
"organiser";10;-0,2066;0,2405;-0,0417;-0,015;-0,0245
"passer";74;1,6146;-1,7755;-0,3089;1,5656;-0,1813
"professeur";25;-1,2749;1,4468;-0,1043;-0,0375;-0,0612
"dans";656;0,715;-0,5698;-0,3967;-0,2179;-0,5451
"ainsi";16;0,6404;-0,866;-0,0668;1,2693;-0,0392
"maison";32;-0,3696;0,3165;-0,1335;0,98;-0,0784
"tourner";10;0,4218;-0,3713;-0,0417;-0,015;-0,0245
"intelligence";17;-0,303;-0,2486;0,8219;-0,0255;-0,0416
"c";130;1,1569;-0,8349;-0,5429;-0,1953;-0,3187
"arriver";24;-0,8179;0,9475;-0,1001;-0,036;-0,0588
"propos";13;1,9444;-1,7973;-0,0542;-0,0195;-0,0318
"monstre";11;-1,4898;1,6127;-0,0459;-0,0165;-0,0269
"rien";17;-0,5052;0,5857;-0,0709;-0,0255;-0,0416
"savoir";43;0,4159;-0,442;0,4705;-0,0645;-0,1053
"compagnie";12;-1,1407;1,2514;-0,0501;-0,018;-0,0294
"chose";25;-1,6721;1,8725;-0,1043;-0,0375;-0,0612
"au_dessus";11;0,2994;-0,2579;-0,0459;-0,0165;-0,0269
"patron";16;1,9674;-1,8031;-0,0668;-0,024;-0,0392
"nuit";17;0,4996;-0,4273;-0,0709;-0,0255;-0,0416
"g";16;-0,3983;0,4653;-0,0668;-0,024;-0,0392
"encore";27;1,5764;-1,3894;-0,1127;-0,0405;-0,0661
"centre";20;0,8766;-0,7637;-0,0835;-0,03;-0,049
"défense";11;0,5592;-0,4954;-0,0459;-0,0165;-0,0269
"rendre";44;-1,0676;1,2758;-0,1836;-0,0661;-0,1078
"partir";41;1,518;-1,2945;-0,1711;-0,0615;-0,1004
"chemin";12;-1,7199;1,8588;-0,0501;-0,018;-0,0294
"préparer";17;-0,303;-0,2486;0,8219;-0,0255;-0,0416
"soirée";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"humain";49;-0,4156;0,5396;-0,2045;-0,0736;-0,12
"marier";15;0,8179;-0,7236;-0,0626;-0,0225;-0,0367
