"";"classe 1";"classe 2"
"poser";-5,251;5,251
"observation";-3,326;3,326
"nuit";-0,222;0,222
"notamment";3,827;-3,827
"mythe";-5,174;5,174
"mystère";-7,314;7,314
"mot";0,018;-0,018
"mener";-0,634;0,634
"meilleur";0,113;-0,113
"marine";1,011;-1,011
"main";-2,051;2,051
"leçon";0,242;-0,242
"justice";7,288;-7,288
"important";-4,278;4,278
"handicapé";7,288;-7,288
"garçon";-1,162;1,162
"gagner";2,323;-2,323
"force";-8,911;8,911
"fils";5,456;-5,456
"fantôme";-3,339;3,339
"face";1,238;-1,238
"extra_terrestre";-5,251;5,251
"expert";1,821;-1,821
"effet";-8,911;8,911
"convaincre";-0,026;0,026
"cnrs";-11,16;11,16
"chose";-2,051;2,051
"chine";-2,051;2,051
"carrière";5,688;-5,688
"base";-8,401;8,401
"avenir";-5,251;5,251
"association";0,551;-0,551
"apporter";-5,251;5,251
"annonce";6,57;-6,57
"aimer";6,57;-6,57
"également";1,634;-1,634
"xavier";-0,89;0,89
"vendre";-0,634;0,634
"trace";-7,314;7,314
"tourner";1,634;-1,634
"suivre";-0,728;0,728
"sud";0,729;-0,729
"substance";-3,326;3,326
"secte";9,127;-9,127
"réseau";3,115;-3,115
"récit";-3,339;3,339
"rouge";0,729;-0,729
"revue";4,816;-4,816
"rapport";-0,02;0,02
"préparer";3,058;-3,058
"porter";8,207;-8,207
"nucléaire";-0,237;0,237
"nombre";-0,263;0,263
"nom";-3,339;3,339
"mère";0,729;-0,729
"moyen";-2,129;2,129
"message";-0,634;0,634
"loi";3,956;-3,956
"jerry";-4,128;4,128
"galley";9,127;-9,127
"fou";-0,02;0,02
"façon";3,058;-3,058
"enlever";0,034;-0,034
"diffuser";8,207;-8,207
"davant";4,816;-4,816
"clair";1,238;-1,238
"christian";3,956;-3,956
"chien";0,485;-0,485
"chercheur";-2,129;2,129
"chaîne";2,298;-2,298
"capable";-4,278;4,278
"bout";-0,01;0,01
"astrophysicien";-10,034;10,034
"appeler";0,034;-0,034
"aider";0,485;-0,485
"agnès";3,631;-3,631
"étranger";1,634;-1,634
"église";0,322;-0,322
"virtuel";-0,01;0,01
"village";-1,338;1,338
"thème";1,634;-1,634
"spectacle";7,288;-7,288
"signe";-5,174;5,174
"scooby";-8,911;8,911
"says";1,522;-1,522
"roswell";-2,446;2,446
"relation";-0,02;0,02
"puissant";-6,237;6,237
"prouver";-0,02;0,02
"procès";2,298;-2,298
"plaindre";3,115;-3,115
"place";-3,339;3,339
"pilote";-1,619;1,619
"perdre";-0,02;0,02
"pays";-0,89;0,89
"participer";-0,728;0,728
"musk";-5,174;5,174
"monter";4,816;-4,816
"militaire";-10,034;10,034
"maître";0,242;-0,242
"manifestation";7,288;-7,288
"mai";7,288;-7,288
"machine";0,729;-0,729
"intérieur";2,298;-2,298
"intéresser";4,816;-4,816
"intervention";-3,339;3,339
"international";3,115;-3,115
