"";"classe 1";"classe 2"
"*notice_715209059";-0,005;0,005
"*duree_00232700";0;0
"*partdemarche_165";-4,439;4,439
"*partdemarche_164";-4,439;4,439
"*partdemarche_167";6,371;-6,371
"*partdemarche_166";-2,216;2,216
"*annéededatediffusion_1997";11,751;-11,751
"*annéededatediffusion_1996";4,517;-4,517
"*annéededatediffusion_1995";2,851;-2,851
"*notice_340923006";-1,107;1,107
"*partdemarche_206";-0,005;0,005
"*notice_2234259001";4,542;-4,542
"*annéededatediffusion_1999";3,083;-3,083
"*duree_00092700";0;0
"*notice_4411001";0,43;-0,43
"*duree_00521500";-2,216;2,216
"*duree_00250400";0;0
"*notice_1070394026";-2,216;2,216
"*notice_626588001";5,688;-5,688
"*audience_75";0,43;-0,43
"*notice_4596770001";2,72;-2,72
"*duree_00525800";-3,326;3,326
"*duree_01241400";10,049;-10,049
"*duree_00215600";-2,216;2,216
"*duree_00594900";-0,01;0,01
"*notice_3078258001";6,57;-6,57
"*duree_00102700";0;0
"*duree_01153300";6,371;-6,371
"*notice_5861025001";5,456;-5,456
"*notice_764979026";6,269;-6,269
"*audiencefemme_83";0,43;-0,43
"*genregroupe_Tranchehoraire";-0,01;0,01
"*notice_1169949013";-3,326;3,326
"*audiencefemme_112";-5,554;5,554
"*audiencehomme_39";0,975;-0,975
"*notice_1852440003";-8,911;8,911
"*duree_00235300";-1,107;1,107
"*audiencehomme_31";4,976;-4,976
"*audience_91";-5,554;5,554
"*notice_1247286012";-0,444;0,444
"*audiencefemme_27";-4,439;4,439
"*duree_01195900";3,631;-3,631
"*notice_1247286011";-3,326;3,326
"*audiencefemme_22";2,263;-2,263
"*notice_671503021";-2,216;2,216
"*duree_00373000";8,355;-8,355
"*audience_83";5,456;-5,456
"*audiencefemme_28";9,465;-9,465
"*audiencefemme_29";8,207;-8,207
"*duree_00202200";-2,216;2,216
"*duree_00473700";-4,439;4,439
"*notice_5902399001";6,371;-6,371
"*notice_532936068";-2,216;2,216
"*duree_00430600";3,956;-3,956
"*duree_00290100";-0,444;0,444
"*notice_5367293001";-4,439;4,439
"*duree_00460200";-0,005;0,005
"*notice_1280121012";-2,216;2,216
"*duree_00212100";0;0
"*duree_00095800";0;0
"*annéededatediffusion_2023";-27,436;27,436
"*notice_1230963016";2,263;-2,263
"*duree_01390400";23,815;-23,815
"*genregroupe_Feuilleton";-16,838;16,838
"*chaine_M6";-2,606;2,606
"*notice_4640364001";1,812;-1,812
"*notice_523304001";1,011;-1,011
"*duree_00212300";0;0
"*partdemarche_335";-2,129;2,129
"*duree_00532800";-2,216;2,216
"*duree_00524000";-4,439;4,439
"*notice_535713001";0,242;-0,242
"*duree_01363600";17,834;-17,834
"*duree_00051800";1,812;-1,812
"*audiencefemme_16";0,089;-0,089
"*notice_1056992067";0;0
"*notice_1163341011";-4,439;4,439
"*duree_01121500";-0,01;0,01
"*duree_00532200";-11,16;11,16
"*chaine_RMCStory";-177,832;177,832
"*duree_00472500";-2,216;2,216
"*duree_02222300";-5,554;5,554
"*audience_122";-1,219;1,219
"*duree_00115900";-0,005;0,005
"*audience_127";-7,272;7,272
"*notice_6283387001";9,127;-9,127
"*notice_1299518013";-2,216;2,216
"*notice_1404080003";-0,444;0,444
"*partdemarche_67";6,57;-6,57
"*partdemarche_65";6,247;-6,247
"*notice_1068361012";-2,216;2,216
"*duree_00065200";-1,107;1,107
"*genregroupe_Série";-15,363;15,363
"*duree_00064600";0;0
"*notice_671330001";3,115;-3,115
"*duree_00235500";0;0
"*notice_1066356011";-2,216;2,216
"*notice_1197239013";-1,107;1,107
"*notice_1197239014";-1,107;1,107
"*duree_00433600";6,371;-6,371
"*notice_1248476011";-3,326;3,326
"*duree_00515400";-2,216;2,216
"*duree_01240100";4,542;-4,542
"*partdemarche_124";0,575;-0,575
"*partdemarche_127";5,688;-5,688
"*notice_1066356012";-2,216;2,216
"*partdemarche_122";5,456;-5,456
"*notice_1102103001";-5,554;5,554
"*duree_00065100";-2,216;2,216
"*chaine_RMCDécouverteHD24";-30,611;30,611
"*annéededecennie_2020";-81,378;81,378
"*duree_00233700";0;0
"*notice_4804691001";-0,444;0,444
"*notice_1073928012";-3,326;3,326
"*duree_00494600";2,263;-2,263
"*duree_00424400";-0,444;0,444
"*duree_00272000";0;0
"*duree_01122800";4,542;-4,542
"*notice_4337498001";-3,326;3,326
"*duree_00235600";0;0
"*duree_00064500";0;0
"*partdemarche_239";4,542;-4,542
"*duree_00472600";-2,216;2,216
"*duree_00513500";-3,326;3,326
"*partdemarche_233";19,363;-19,363
"*notice_3198280001";6,371;-6,371
"*partdemarche_235";-5,554;5,554
"*notice_343867018";0;0
"*partdemarche_5";1,634;-1,634
"*partdemarche_333";6,371;-6,371
"*partdemarche_0";-2,216;2,216
"*partdemarche_1";-36,45;36,45
"*partdemarche_2";-2,216;2,216
"*audiencefemme_55";-1,219;1,219
"*genregroupe_Documentaire";-139,755;139,755
"*duree_00103100";0;0
"*notice_6156750001";10,049;-10,049
"*chaine_6ter";-4,439;4,439
"*duree_00474200";-2,216;2,216
"*notice_1536818001";6,371;-6,371
"*duree_00270900";-4,439;4,439
"*notice_3882741001";13,754;-13,754
"*notice_286087056";-0,444;0,444
"*duree_00063400";0;0
"*audiencehomme_89";0,242;-0,242
"*duree_00520800";-2,216;2,216
"*notice_343071028";8,207;-8,207
"*audience_24";-7,79;7,79
"*annéededatediffusion_1998";-0,655;0,655
"*duree_00070800";-5,174;5,174
"*notice_360727007";0;0
"*duree_00095700";-0,005;0,005
"*audience_22";2,263;-2,263
"*audiencefemme_128";-2,129;2,129
"*duree_00210800";-2,216;2,216
"*notice_71986102";-2,216;2,216
"*notice_1162359011";-2,216;2,216
"*audience_25";6,991;-6,991
"*audiencehomme_61";10,049;-10,049
"*duree_00525100";-3,326;3,326
"*notice_1245206012";-3,326;3,326
"*notice_32080902";0;0
"*audience_2";9,993;-9,993
"*duree_00064000";-1,107;1,107
"*audience_0";-9,253;9,253
"*audience_26";27,667;-27,667
"*audience_4";-1,219;1,219
"*audience_8";0,242;-0,242
"*notice_340463008";-1,107;1,107
"*notice_1192436014";0;0
"*notice_1254226017";0,975;-0,975
"*notice_1221065017";2,263;-2,263
"*audiencehomme_82";-0,478;0,478
"*notice_618162042";2,72;-2,72
"*duree_00063100";0;0
"*annéededecennie_1990";13,623;-13,623
"*duree_00502500";-1,107;1,107
"*duree_00062500";0;0
"*notice_1284522012";-2,216;2,216
"*notice_1284522013";-2,216;2,216
"*chaine_MonteCarloTMC";22,393;-22,393
"*duree_01495300";3,975;-3,975
"*notice_4010937001";5,688;-5,688
"*notice_338089005";0;0
"*duree_01572800";0,22;-0,22
"*notice_818268001";8,207;-8,207
"*annéededatediffusion_2005";-0,461;0,461
"*annéededatediffusion_2006";5,66;-5,66
"*annéededatediffusion_2007";-2,348;2,348
"*annéededatediffusion_2000";3,541;-3,541
"*annéededatediffusion_2001";-4,921;4,921
"*annéededatediffusion_2002";6,173;-6,173
"*annéededatediffusion_2003";4,542;-4,542
"*annéededatediffusion_2008";14,974;-14,974
"*annéededatediffusion_2009";9,346;-9,346
"*notice_340923007";0;0
"*duree_00554700";1,812;-1,812
"*annéededatediffusion_2018";9,172;-9,172
"*notice_1057726064";0;0
"*duree_00235200";-1,107;1,107
"*duree_01340300";8,207;-8,207
"*duree_00093300";0;0
"*notice_1172103001";8,207;-8,207
"*notice_5516512001";-4,439;4,439
"*notice_6795508001";-0,01;0,01
"*partdemarche_89";0;0
"*duree_01333500";-2,216;2,216
"*notice_1198194014";-1,107;1,107
"*partdemarche_83";-4,439;4,439
"*partdemarche_82";-4,439;4,439
"*annéededatediffusion_2011";-2,051;2,051
"*partdemarche_87";-12,818;12,818
"*partdemarche_86";8,207;-8,207
"*audiencehomme_62";-1,219;1,219
"*partdemarche_18";-2,216;2,216
"*partdemarche_19";-5,554;5,554
"*audience_28";-6,268;6,268
"*partdemarche_17";-3,326;3,326
"*partdemarche_14";-13,416;13,416
"*partdemarche_15";-3,108;3,108
"*partdemarche_12";-3,306;3,306
"*partdemarche_13";-15,681;15,681
"*partdemarche_10";-5,554;5,554
"*partdemarche_11";-3,792;3,792
"*duree_00402700";0,814;-0,814
"*annéededatediffusion_2014";0,057;-0,057
"*duree_00471500";-6,671;6,671
"*audience_14";-0,005;0,005
"*audience_15";-1,192;1,192
"*partdemarche_178";-0,444;0,444
"*audience_17";-3,326;3,326
"*notice_5905674001";-0,015;0,015
"*duree_00465400";-2,216;2,216
"*audience_12";26,172;-26,172
"*notice_364519007";0;0
"*partdemarche_07";-7,79;7,79
"*notice_2579461001";4,542;-4,542
"*audience_19";0,091;-0,091
"*partdemarche_175";-4,439;4,439
"*duree_01390200";8,207;-8,207
"*duree_00244800";-4,439;4,439
"*notice_4586949001";-4,439;4,439
"*notice_6394432001";-2,216;2,216
"*notice_1065362011";-2,216;2,216
"*notice_583377018";-2,216;2,216
"*chaine_Gulli";-0,89;0,89
"*audience_64";2,644;-2,644
"*publicgroupe_Plusdedouzeans";11,719;-11,719
"*audience_66";-3,326;3,326
"*duree_00465100";0,242;-0,242
"*notice_71438207";0;0
"*notice_341175007";0;0
"*notice_341175006";-1,107;1,107
"*duree_01010400";-3,326;3,326
"*audiencefemme_85";10,049;-10,049
"*notice_6794148001";-4,439;4,439
"*duree_00511600";-2,216;2,216
"*notice_2975409001";5,456;-5,456
"*audiencehomme_29";-6,268;6,268
"*audiencehomme_26";3,783;-3,783
"*audiencehomme_24";2,461;-2,461
"*audiencehomme_25";-3,326;3,326
"*audiencehomme_22";0,125;-0,125
"*audiencefemme_89";0,242;-0,242
"*audience_81";13,754;-13,754
"*audiencehomme_21";-2,216;2,216
"*audiencefemme_19";4,542;-4,542
"*audiencefemme_18";5,378;-5,378
"*notice_5480252001";0,43;-0,43
"*notice_584296018";-0,005;0,005
"*audiencefemme_13";16,674;-16,674
"*audiencefemme_12";23,743;-23,743
"*audiencefemme_11";4,132;-4,132
"*audiencefemme_17";21,246;-21,246
"*duree_00521400";1,011;-1,011
"*audiencefemme_15";11,032;-11,032
"*audiencefemme_14";8,672;-8,672
"*duree_00445500";5,456;-5,456
"*duree_00472900";-3,326;3,326
"*partdemarche_31";7,791;-7,791
"*partdemarche_426";0,004;-0,004
"*audiencefemme_116";0,22;-0,22
"*chaine_NRJ12";-5,554;5,554
"*duree_01262100";5,688;-5,688
"*duree_00425400";-0,031;0,031
"*notice_550476001";2,72;-2,72
"*duree_00464000";-2,216;2,216
"*duree_00102400";0;0
"*notice_781122027";11,987;-11,987
"*duree_00232500";-2,216;2,216
"*notice_337967005";0;0
"*duree_00242000";2,72;-2,72
"*notice_1287763012";-2,216;2,216
"*notice_1287763013";-2,216;2,216
"*duree_00524400";-6,671;6,671
"*notice_536194069";-2,216;2,216
"*notice_1057960062";0;0
"*duree_00221100";0;0
"*notice_446480033";-2,216;2,216
"*duree_00274200";0;0
"*partdemarche_395";10,049;-10,049
"*notice_6195467001";-0,005;0,005
"*notice_1192436013";0;0
"*notice_189392001";4,542;-4,542
"*notice_338353005";0;0
"*duree_00100200";0;0
"*duree_00102100";0;0
"*partdemarche_16";-1,219;1,219
"*notice_4202382001";17,834;-17,834
"*notice_2954287001";-2,216;2,216
"*duree_00383500";0,975;-0,975
"*audiencefemme_23";0,43;-0,43
"*duree_00101300";0;0
"*notice_1056738059";0;0
"*duree_00215000";-2,216;2,216
"*duree_00102900";0;0
"*notice_714248058";0;0
"*notice_1137894018";-2,216;2,216
"*partdemarche_51";-0,005;0,005
"*partdemarche_56";3,476;-3,476
"*partdemarche_55";0;0
"*duree_00492800";1,812;-1,812
"*duree_00211700";-2,216;2,216
"*notice_89320607";-2,216;2,216
"*partdemarche_135";0,242;-0,242
"*partdemarche_132";3,115;-3,115
"*partdemarche_133";23,815;-23,815
"*audiencefemme_63";0,242;-0,242
"*duree_00210400";-2,216;2,216
"*notice_1071804013";-2,216;2,216
"*notice_1056951012";-3,326;3,326
"*partdemarche_138";0,814;-0,814
"*notice_5516514001";-4,439;4,439
"*duree_00532500";-3,326;3,326
"*duree_01164200";4,608;-4,608
"*duree_00510300";2,72;-2,72
"*duree_00151500";0,242;-0,242
"*duree_01131900";5,456;-5,456
"*chaine_France2";94,119;-94,119
"*duree_00465800";-3,326;3,326
"*duree_02034200";0,43;-0,43
"*chaine_France5";2,031;-2,031
"*chaine_France4";-13,606;13,606
"*duree_00094400";0;0
"*notice_1241454011";-3,326;3,326
"*notice_1241454012";-3,326;3,326
"*notice_1275269001";0,22;-0,22
"*duree_00101400";0;0
"*notice_1056738058";0;0
"*duree_00511900";-4,439;4,439
"*partdemarche_186";8,207;-8,207
"*partdemarche_221";2,72;-2,72
"*duree_00461200";-1,107;1,107
"*partdemarche_224";0,322;-0,322
"*duree_00102800";0;0
"*duree_00462600";-2,216;2,216
"*publicgroupe_Présencedunpublicinsitu";148,01;-148,01
"*duree_00351300";10,049;-10,049
"*audience_58";-0,015;0,015
"*audience_59";-4,439;4,439
"*duree_00464700";-1,219;1,219
"*notice_1242451012";-0,01;0,01
"*duree_00094900";0;0
"*audience_51";-1,219;1,219
"*audience_57";0,814;-0,814
"*audience_07";24,183;-24,183
"*audiencehomme_107";0,22;-0,22
"*duree_00101900";0;0
"*audiencefemme_135";6,371;-6,371
"*duree_00525700";-3,326;3,326
"*notice_1465518016";-0,005;0,005
"*audiencehomme_56";2,72;-2,72
"*audiencehomme_54";-3,326;3,326
"*notice_1106019016";9,465;-9,465
"*audiencehomme_52";-4,439;4,439
"*audiencehomme_51";0,004;-0,004
"*duree_00220600";0;0
"*audience_03";-90,853;90,853
"*notice_2100570001";3,631;-3,631
"*duree_00093400";0;0
"*audiencefemme_41";-2,216;2,216
"*genregroupe_Magazine";305,401;-305,401
"*duree_00064400";0;0
"*audiencefemme_47";1,03;-1,03
"*audiencefemme_49";1,011;-1,011
"*partdemarche_297";4,608;-4,608
"*notice_1204090015";-2,216;2,216
"*notice_1136697019";-2,216;2,216
"*partdemarche_293";-7,272;7,272
"*duree_00470500";-6,671;6,671
"*duree_02492000";6,269;-6,269
"*duree_00504100";-2,216;2,216
"*duree_00063500";-2,216;2,216
"*notice_1085900017";-2,216;2,216
"*notice_1085900016";-4,439;4,439
"*mediamatgroupe_Variétésdivertissement";26,623;-26,623
"*annéededatediffusion_2004";4,542;-4,542
"*duree_00230500";-2,216;2,216
"*notice_1084793017";-2,216;2,216
"*duree_00471700";-2,216;2,216
"*audiencefemme_96";-3,326;3,326
"*duree_01102700";2,72;-2,72
"*duree_00510500";-7,272;7,272
"*notice_1295536012";-3,326;3,326
"*duree_00493900";0;0
"*notice_1131352113";1,812;-1,812
"*duree_00063700";0;0
"*duree_00112600";-2,216;2,216
"*notice_1075020011";-2,216;2,216
"*notice_1075020012";-2,216;2,216
"*notice_1278024012";-3,326;3,326
"*audiencehomme_122";-7,272;7,272
"*notice_75677002";0;0
"*annéededatediffusion_2019";0,001;-0,001
"*genregroupe_Longmétrage";-11,705;11,705
"*annéededatediffusion_2013";-8,911;8,911
"*annéededatediffusion_2012";-5,761;5,761
"*duree_00470200";-10,034;10,034
"*annéededatediffusion_2010";6,372;-6,372
"*duree_00464900";-3,326;3,326
"*annéededatediffusion_2016";-0,691;0,691
"*annéededatediffusion_2015";-7,196;7,196
"*notice_4268111001";-4,439;4,439
"*notice_1056039067";0;0
"*notice_1056039066";0;0
"*notice_5681413001";0,242;-0,242
"*notice_527261072";-2,216;2,216
"*audiencehomme_14";43,157;-43,157
"*notice_4352564001";-3,326;3,326
"*notice_5918167001";3,956;-3,956
"*duree_01060400";4,542;-4,542
"*duree_00063200";0;0
"*duree_00531700";-2,216;2,216
"*audience_101";0,22;-0,22
"*notice_3631215001";8,207;-8,207
"*notice_5012822001";-2,216;2,216
"*partdemarche_01";0,034;-0,034
"*partdemarche_03";-2,216;2,216
"*partdemarche_02";-8,401;8,401
"*partdemarche_05";-0,634;0,634
"*partdemarche_04";-7,79;7,79
"*duree_01481700";3,144;-3,144
"*partdemarche_06";-12,287;12,287
"*partdemarche_09";-3,022;3,022
"*partdemarche_08";-17,908;17,908
"*annéededatediffusion_2017";10,809;-10,809
"*duree_00462900";-3,326;3,326
"*duree_01063900";-12,818;12,818
"*audience_06";-16,817;16,817
"*audiencehomme_142";-4,439;4,439
"*audience_04";-60,77;60,77
"*duree_00465600";-2,216;2,216
"*audience_02";-14,428;14,428
"*audience_01";-3,502;3,502
"*duree_01194000";1,634;-1,634
"*duree_00201300";0;0
"*notice_1852443003";-7,79;7,79
"*partdemarche_143";17,834;-17,834
"*audience_09";15,123;-15,123
"*duree_00303400";3,115;-3,115
"*annéededecennie_2000";22,826;-22,826
"*partdemarche_265";5,456;-5,456
"*notice_1285623012";-2,216;2,216
"*duree_01181900";-5,174;5,174
"*partdemarche_109";0,43;-0,43
"*duree_01103200";3,975;-3,975
"*partdemarche_463";-1,219;1,219
"*notice_762891005";-2,216;2,216
"*audiencehomme_117";-1,219;1,219
"*notice_550512022";-4,439;4,439
"*notice_6050608001";0,814;-0,814
"*duree_00472000";-2,216;2,216
"*duree_00530600";-3,326;3,326
"*duree_00462300";-2,216;2,216
"*notice_1054792058";0;0
"*notice_715430059";0;0
"*notice_715430058";0;0
"*duree_00454600";-1,107;1,107
"*partdemarche_318";-4,439;4,439
"*duree_00465300";-6,671;6,671
"*duree_00215400";-5,554;5,554
"*audiencefemme_79";0,814;-0,814
"*duree_00381700";0,034;-0,034
"*notice_6112318001";6,167;-6,167
"*duree_01000000";2,263;-2,263
"*notice_4337499001";-1,219;1,219
"*audiencefemme_76";2,72;-2,72
"*notice_360911007";0;0
"*audiencefemme_08";-2,216;2,216
"*audiencefemme_09";9,127;-9,127
"*audiencefemme_04";-41,112;41,112
"*audiencefemme_05";-1,829;1,829
"*notice_714382069";0;0
"*audiencefemme_07";-3,619;3,619
"*notice_6045537001";1,812;-1,812
"*audiencefemme_01";-16,124;16,124
"*audiencefemme_02";-35,249;35,249
"*audiencefemme_03";-70,12;70,12
"*notice_592467056";-0,444;0,444
"*duree_00394600";9,127;-9,127
"*duree_00524700";-6,671;6,671
"*notice_1069413011";-2,216;2,216
"*notice_1069413012";-2,216;2,216
"*duree_00063600";0;0
"*duree_00535800";-3,326;3,326
"*notice_32129502";0;0
"*duree_00473100";-3,326;3,326
"*notice_762702005";-2,216;2,216
"*notice_720867025";-3,326;3,326
"*notice_714466055";0;0
"*notice_714466054";0;0
"*notice_714466057";0;0
"*duree_00110000";-0,444;0,444
"*notice_1246225012";-3,326;3,326
"*duree_01351100";11,987;-11,987
"*duree_00062900";0;0
"*notice_1081835016";-3,326;3,326
"*duree_00524800";-0,444;0,444
"*duree_00070300";-8,911;8,911
"*audiencehomme_13";4,608;-4,608
"*audiencehomme_12";2,74;-2,74
"*audiencehomme_11";8,207;-8,207
"*audiencehomme_16";-0,005;0,005
"*audiencehomme_15";-0,031;0,031
"*mediamatgroupe_Jeunesse";-0,01;0,01
"*audiencehomme_18";0,046;-0,046
"*chaine_France3";-0,019;0,019
"*notice_3384746001";-7,272;7,272
"*audiencefemme_9";13,754;-13,754
"*audiencefemme_8";-4,439;4,439
"*audiencefemme_3";-3,326;3,326
"*audiencefemme_2";-2,216;2,216
"*mediamatgroupe_Information";4,542;-4,542
"*duree_02251200";-1,219;1,219
"*publicgroupe_Programmejeunesse";-36,099;36,099
"*audiencehomme_1";3,679;-3,679
"*audiencehomme_0";-1,868;1,868
"*notice_276150001";10,049;-10,049
"*notice_1274136012";-2,216;2,216
"*duree_02194000";13,754;-13,754
"*duree_00112200";0;0
"*duree_00464300";-3,326;3,326
"*duree_00102500";0;0
"*notice_1056101056";0;0
"*notice_1056101057";0;0
"*notice_7999734001";-8,401;8,401
"*annéededatediffusion_2022";-34,075;34,075
"*duree_00571900";8,355;-8,355
"*annéededatediffusion_2020";-0,478;0,478
"*annéededatediffusion_2021";-15,203;15,203
"*duree_01295800";-1,107;1,107
"*partdemarche_84";10,049;-10,049
"*notice_5396981001";-3,326;3,326
"*partdemarche_49";5,688;-5,688
"*partdemarche_48";0,551;-0,551
"*partdemarche_45";-0,444;0,444
"*partdemarche_44";-4,439;4,439
"*partdemarche_47";-2,216;2,216
"*duree_01204900";0,004;-0,004
"*partdemarche_43";0;0
"*partdemarche_42";8,355;-8,355
"*duree_00521800";-4,439;4,439
"*duree_00070000";-0,444;0,444
"*notice_1113855013";8,355;-8,355
"*notice_4128704001";8,355;-8,355
"*genregroupe_Animation";-39,461;39,461
"*notice_7479986001";-2,216;2,216
"*notice_583377017";-2,216;2,216
"*audience_18";-2,216;2,216
"*notice_3768429001";3,975;-3,975
"*notice_5826898001";1,812;-1,812
"*notice_3743671001";-0,005;0,005
"*duree_00102600";0;0
"*notice_345555007";0;0
"*notice_345555006";0;0
"*notice_3373231001";4,542;-4,542
"*notice_350247007";0;0
"*notice_7277900001";-0,031;0,031
"*duree_00243500";-0,444;0,444
"*partdemarche_32";1,812;-1,812
"*partdemarche_33";-0,036;0,036
"*partdemarche_34";-2,216;2,216
"*partdemarche_35";1,47;-1,47
"*partdemarche_422";3,144;-3,144
"*notice_1199211014";-1,107;1,107
"*notice_1199211015";-1,107;1,107
"*duree_00093800";0;0
"*audience_05";0,005;-0,005
"*duree_01221600";4,608;-4,608
"*publicgroupe_Participationdupublicàdistance";59,398;-59,398
"*notice_1071804012";-2,216;2,216
"*partdemarche_182";-0,444;0,444
"*partdemarche_199";-2,216;2,216
"*duree_00530500";-3,326;3,326
"*notice_323357007";0;0
"*notice_1071810019";-3,326;3,326
"*notice_1133359001";3,975;-3,975
"*duree_00113700";-2,216;2,216
"*duree_00095900";0;0
"*duree_00321600";8,207;-8,207
"*duree_00513100";6,57;-6,57
"*duree_00532400";-2,216;2,216
"*duree_00233000";0;0
"*audience_49";0,004;-0,004
"*chaine_Numéro23";-8,401;8,401
"*notice_6152769001";3,956;-3,956
"*notice_714317056";0;0
"*audience_47";0,242;-0,242
"*audiencehomme_115";-2,129;2,129
"*audience_44";1,011;-1,011
"*duree_00464500";-7,79;7,79
"*notice_4899548001";-2,216;2,216
"*partdemarche_105";-2,216;2,216
"*notice_5454725001";2,72;-2,72
"*notice_106352201";-2,216;2,216
"*notice_3279248001";-1,219;1,219
"*chaine_Canal";1,896;-1,896
"*audiencehomme_23";17,834;-17,834
"*audiencefemme_103";5,456;-5,456
"*notice_1087810019";-2,216;2,216
"*audiencehomme_49";0,814;-0,814
"*notice_1292507012";-2,216;2,216
"*duree_00290500";-2,216;2,216
"*audiencehomme_41";3,293;-3,293
"*audiencehomme_43";-2,216;2,216
"*audiencehomme_44";-1,219;1,219
"*audiencehomme_47";1,011;-1,011
"*audiencefemme_35";17,834;-17,834
"*audiencefemme_34";-6,268;6,268
"*notice_7867761001";-3,326;3,326
"*audiencefemme_31";27,104;-27,104
"*notice_5026275001";-2,216;2,216
"*notice_968894071";0;0
"*notice_968894072";0;0
"*audiencefemme_38";-3,326;3,326
"*notice_332309006";0;0
"*mediamatgroupe_Fiction";-106,32;106,32
"*notice_3616310001";4,608;-4,608
"*audience_29";8,207;-8,207
"*partdemarche_281";3,631;-3,631
"*audiencefemme_06";-9,496;9,496
"*notice_2869952001";-5,174;5,174
