"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"technologique";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"taille";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"ségolène";-0,032;0,552;-0,906;3,302;-0,267;-0,202
"séance";0,229;0,173;0,008;-0,295;-0,356;-0,269
"sylvie";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"surprenant";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"supercherie";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"succession";-0,304;0,173;0,008;2,069;-0,356;-0,269
"stellaire";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"soutenir";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"souhaiter";0,229;3,039;-1,209;-0,295;-0,356;-0,269
"simplement";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"simple";-0,304;0,173;1,627;-0,295;-0,356;-0,269
"signaler";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"seulement";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"scully";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"schi";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"sceptique";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"saveur";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"sauvage";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"samedi";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"rôle";-2,5;19,349;-1,209;-0,295;-0,356;-0,269
"révélation";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"réunir";-0,304;0,173;-1,209;11,7;-0,356;-0,269
"récupérer";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"récemment";0,229;0,173;0,008;-0,295;-0,356;-0,269
"russie";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"royal";-0,032;0,552;-0,906;3,302;-0,267;-0,202
"rouch";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"roman";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"rmc";-2,5;19,349;-1,209;-0,295;-0,356;-0,269
"ressentir";-0,304;-0,832;6,066;-0,295;-0,356;-0,269
"ressembler";0,229;0,173;0,008;-0,295;-0,356;-0,269
"religion";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"rejoindre";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"regarder";-0,304;9,431;-1,209;-0,295;-0,356;-0,269
"regard";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"radar";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"quartier";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"prêtre";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"prêt";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"proximité";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"projeter";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"produit";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"producteur";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"prochain";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"printemps";-1,874;14,5;-0,906;-0,221;-0,267;-0,202
"poste";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"population";2,274;-0,832;-1,209;2,069;-0,356;-0,269
"planet";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"placer";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"physicien";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"passage";-0,304;-0,832;6,066;-0,295;-0,356;-0,269
"pascal";-1,874;5,177;0,175;-0,221;-0,267;-0,202
"particulièrement";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"palais";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"paix";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"oublier";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"oser";0,229;0,173;0,008;-0,295;-0,356;-0,269
"olaf";-0,304;0,173;-1,209;11,7;-0,356;-0,269
"officiel";-2,5;19,349;-1,209;-0,295;-0,356;-0,269
"oeuvre";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"obliger";0,229;3,039;-1,209;-0,295;-0,356;-0,269
"nourriture";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"normal";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"niveau";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"net";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"ness";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"neil";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"nazca";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"mêler";-1,874;14,5;-0,906;-0,221;-0,267;-0,202
"méchant";-2,5;9,431;0,008;-0,295;-0,356;-0,269
"mr";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"mourir";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"morning";-1,874;-0,624;-0,906;40,864;-0,267;-0,202
"morceau";-0,032;-0,624;0,175;3,302;-0,267;-0,202
"mont";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"minus";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"mimosa";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"mercier";-0,304;-0,832;6,066;-0,295;-0,356;-0,269
"matériel";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"mathieu";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"marque";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"manipuler";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"manifester";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"luxe";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"lourd";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"louise";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"louange";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"langue";0,229;0,173;0,008;-0,295;-0,356;-0,269
"kidnapper";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"joël";-0,304;-0,832;6,066;-0,295;-0,356;-0,269
"john";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"invisible";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"inhabituel";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"ingénieur";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"indice";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"impossible";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"immortel";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"imion";-2,5;9,431;0,008;-0,295;-0,356;-0,269
"imaginaire";0,229;0,173;0,008;-0,295;-0,356;-0,269
"illustrer";-2,5;0,173;6,066;-0,295;-0,356;-0,269
"identique";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"humoristique";-1,874;5,177;-0,906;3,302;-0,267;-0,202
"hommage";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"heureux";-0,304;0,173;1,627;-0,295;-0,356;-0,269
"henry";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"henri";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
