"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"archive";0;0,54;0;0;1,58;0;0
"sujet";0,27;0;0;0;4,32;0;0
"zone";0;1,08;0;0;1,3;0;0
"donner";2,18;1,61;5,59;0;3,45;5,73;0
"urgentiste";0;0;0;0;1,73;0;0
"gilet";0;0;0;0;3,02;0;0
"ciel";0,27;9,15;0;0;1,3;2,87;0
"cas";0;2,15;0;0;3,89;2,87;0
"discussion";0;0;0;0;2,16;0;0
"cours";0,27;3,77;0;0;1,44;2,87;0
"découvrir";2,73;6,46;27,93;11,9;2,01;11,46;0
"forme";0,82;8,07;0;0;1,73;2,87;0
"nom";0,27;2,15;0;0;0,72;0;0
"ex";0,82;0,54;0;0;2,45;0;0
"album";0;1,08;0;0;2,16;0;0
"marine";0,55;1,08;0;0;1,01;0;0
"toulouse";0;0;0;0;1,73;0;0
"message";0;2,15;0;0;0,86;0;0
"incroyable";0;7;0;0;0,72;0;0
"premier";0,27;6,46;5,59;0;5,18;8,6;0
"déguiser";1,37;0;0;0;1,44;0;0
"ligne";0;2,15;0;0;1,15;0;0
"étrange";1,09;16,15;5,59;23,81;1,15;5,73;0
"secrétaire";0;0;0;0;4,17;0;0
"bruno";0;0;0;0;2,88;0;0
"sport";0;0,54;0;0;1,3;0;0
"près_de";1,37;0,54;0;0;0,86;5,73;0
"tropical";21,03;0;0;0;0;0;0
"maïa";0;0;0;0;5,33;0;0
"prétexte";21,03;0;0;0;0;0;0
"explication";0;1,61;0;0;1,3;0;0
"ami";1,91;0;0;71,43;0,86;8,6;0
"héros";1,09;0;0;0;1,15;0;0
"vilain";0,27;0;0;0;1,3;0;0
"vendre";0,82;1,08;5,59;0;0,29;5,73;0
"loi";0;0;0;0;1,44;0;0
"giorgio";0;10,23;0;0;0;0;0
"aile";7,1;0;0;0;0;0;0
"iran";0;0;0;0;2,73;0;0
"aimer";0;0,54;0;0;1,3;2,87;0
"vidéo";0,27;0,54;0;0;2,45;0;0
"réalité";1,91;3,23;0;0;1,01;2,87;0
"visage";0;1,61;0;0;1,3;0;0
"posséder";6,28;4,84;0;0;0,43;0;0
"diffuser";0;0;0;0;1,44;0;0
"base";0,27;2,69;0;23,81;0,43;0;0
"véritable";0,55;2,15;0;0;0,43;8,6;0
"jour";0,27;2,15;0;0;2,59;5,73;0
"justice";0,27;0;0;0;1,44;0;0
"voler";8,19;0;0;0;0,29;2,87;0
"culture";0,27;6,46;0;0;1,87;0;0
"portrait";0;3,23;0;0;0,86;0;43,48
"effet";0,82;0,54;0;0;0,72;5,73;0
"planète";10,65;3,77;0;0;1,73;8,6;0
"grand";1,37;6,46;5,59;23,81;4,61;8,6;0
"pierre";0;0,54;0;0;3,31;0;0
"jouer";0,82;0;0;0;1,44;0;0
"hapsatou";0;0;0;0;1,58;0;0
"univers";7,1;3,23;0;0;1,58;0;0
"info";0;0;0;0;2,3;0;0
"cryogénisé";11,74;0;0;0;0;0;0
"rester";0,27;5,38;5,59;0;0,86;8,6;0
"visite";0,27;5,38;5,59;0;1,15;2,87;0
"structure";0;5,38;0;0;0,14;0;0
"utiliser";0,82;4,31;0;0;1,15;0;0
"rencontre";0,27;3,77;0;0;2,16;5,73;0
"suite";0;1,08;0;0;2,3;0;0
"scientologie";0;8,61;0;0;0;0;0
"brigitte";0;0;0;0;2,01;0;0
"élection";0;0;0;0;1,87;0;0
"jump";7,37;0;0;0;0;0;0
"gens";0;1,08;0;0;2,45;0;0
"danger";7,1;0;5,59;0;0,29;0;0
"gitan";0;0;0;0;2,01;0;0
"volant";2,18;2,15;0;11,9;1,01;5,73;0
"entrer";0,82;3,77;0;0;0,43;0;0
"heure";0,27;0;0;0;1,73;0;0
"également";0;1,61;0;0;0,86;2,87;0
"rencontrer";0;3,23;0;11,9;0,43;8,6;43,48
"représentant";0;5,38;0;0;0,14;0;0
"avocat";0;1,08;0;0;3,17;0;0
"université";0,27;0,54;0;0;1,87;5,73;0
"adopter";7,1;0;0;0;0,43;0;0
"sy";0;0;0;0;3,45;0;0
"jaune";0;0;0;0;3,02;0;0
"médecin";0;0,54;5,59;0;2,45;0;0
"réaliser";0,55;0,54;0;0;1,01;2,87;130,43
"trouver";1,64;6,46;5,59;23,81;1,44;2,87;0
"mohammed";0;0;0;0;1,58;0;0
"preuve";0;15,61;0;0;1,15;2,87;0
"luc";0;0;0;0;4,61;0;0
"ukrainien";0;0;0;0;1,58;0;0
"carrière";0;1,08;0;0;1,3;0;0
"examiner";0;8,07;0;0;0;2,87;0
"femme";0,27;2,69;5,59;0;2,16;14,33;0
"journal";0;0;0;0;2,01;0;0
"persuader";1,91;0,54;5,59;0;0,29;14,33;0
"général";0;0;0;0;4,75;0;0
"he";0,27;0;0;11,9;1,44;0;0
"étude";0;0;0;0;2,16;5,73;0
"laporte";0;0;0;0;1,73;0;0
"chercher";1,91;0,54;0;0;0,86;5,73;0
"eric";0;0;0;0;6,19;0;0
"homme";0,55;11,3;0;11,9;5,9;17,19;43,48
"star";0,27;1,08;0;0;1,44;2,87;0
"fois";0;2,15;0;0;2,59;0;0
"aider";1,09;0;0;0;0,29;11,46;0
"siècle";0;4,31;0;0;0,29;2,87;0
"voix";0,27;0,54;0;0;2,16;0;0
"réputation";0;0;0;0;2,45;5,73;0
"voir";1,64;4,84;11,17;0;5,18;17,19;0
"légende";0;3,77;0;0;0,72;0;0
"force";0,55;0,54;0;11,9;0,86;2,87;0
"histoire";0;10,76;0;0;2,59;0;0
"propre";7,1;2,69;5,59;0;1,15;0;0
"omar";0;0;0;0;1,87;0;0
"dettinger";0;0;0;0;6,19;0;0
"quotidien";0;0;0;0;2,01;0;0
"géant";0,55;4,84;0;0;0,43;0;0
"suggérer";0;6,46;0;0;0,14;0;0
"famille";0,82;0,54;11,17;0;2,45;0;0
"vivre";0;2,69;16,76;0;3,6;0;0
"comportement";0;0;0;0;2,16;2,87;0
"créer";0,82;0;0;0;1,44;5,73;0
"acteur";0;0;0;0;4,61;0;0
"sauver";14,75;0;0;0;0,43;5,73;0
"entraîner";7,1;0;0;0;0,14;0;0
"école";0;1,08;0;0;2,01;0;0
"syndicat";0;0;0;0;2,01;0;0
"julien";0;0;0;0;7,05;0;0
"cabrol";0;0;0;0;1,58;0;0
"voyage";0;0;0;47,62;2,88;0;0
"scientifique";0,55;7;5,59;0;3,02;0;43,48
"aller";2,73;1,08;5,59;0;3,6;5,73;0
"servir";0,82;3,77;0;0;0,14;0;0
"théoricien";0;15,07;0;0;0;0;0
"livre";1,37;2,15;0;0;4,46;0;0
"revel";0;0;0;0;1,73;0;0
"super";16,11;0;0;0;0,43;0;0
"magazine";0;0;0;0;1,73;0;0
"lieu";1,09;0,54;5,59;11,9;0,86;5,73;0
"batman";13,38;0;0;0;0,14;0;0
"mystérieux";0,27;7;0;23,81;0,29;2,87;0
"petit";45,88;2,69;0;11,9;7,05;8,6;0
"décider";1,64;0;22,35;0;0,58;14,33;0
"handicapé";0;0;0;0;1,58;0;0
"corbière";0;0;0;0;1,87;0;0
"dieu";0;6,46;0;0;0;5,73;0
"mazaurette";0;0;0;0;5,9;0;0
"laure";0;0;61,45;0;0,14;0;0
"ville";1,64;1,08;5,59;0;0,43;2,87;43,48
"etats";0,82;2,15;0;0;1,15;0;0
"père";0,82;1,08;11,17;0;1,15;2,87;0
"margot";0;0;0;0;1,58;0;0
"équipe";0,82;0,54;0;23,81;1,87;8,6;0
"clair";0;0;0;0;1,15;5,73;0
"spécialiste";0;2,69;0;0;5,18;2,87;0
"police";0,27;0;0;0;4,61;0;0
"main";0,82;0,54;0;0;1,01;0;0
"ancien";6,28;41,98;5,59;0;7,77;2,87;0
"agir";1,09;2,69;11,17;0;1,15;5,73;0
"ministre";0;1,08;0;0;3,17;0;0
"chanson";0;1,61;0;0;1,73;0;0
"trace";0;1,08;5,59;0;1,01;0;0
"extraire";0;0;0;0;16,12;0;0
"aventure";28,13;0;0;0;0,58;0;0
"nouveau";13,11;8,07;5,59;23,81;5,47;8,6;0
"débarquer";1,91;0;11,17;11,9;0,29;0;0
"parent";7,1;1,08;0;0;3,02;5,73;0
"jt";0;0;0;0;2,01;0;0
"lopez";0;0;0;0;2,3;0;0
"rugby";0;0;0;0;1,58;0;0
"côté";7,37;1,61;11,17;23,81;0,86;14,33;0
"capable";0,55;3,23;0;0;0,29;0;0
"mars";0;0,54;0;0;2,01;2,87;0
"delage";0;0;0;0;1,87;0;0
"starfire";7,1;0;0;0;0;0;0
"new_yorkais";11,74;0;0;0;0;0;0
"davant";0;0;0;0;1,44;0;0
"mot";0;1,08;0;0;1,15;2,87;0
"christine";0;0;0;0;1,87;0;0
"titan";14,2;0;0;0;0;0;0
"rappeler";0,82;0,54;5,59;0;1,15;0;0
"ex_membre";0;0;0;0;1,58;0;0
"fils";0,82;0;5,59;0;0,72;5,73;0
"citation";0;0;0;0;4,61;0;0
"film";0,82;2,15;0;0;7,05;0;0
"important";0;2,69;5,59;0;0,72;0;0
"revenir";0,82;5,38;5,59;0;2,59;0;0
"révéler";0;5,92;0;0;1,01;0;0
"public";0;0,54;0;0;1,87;0;0
"agathe";0;0;0;0;1,73;0;0
"récit";0;3,77;0;0;0,43;0;0
"csa";0;0;0;0;1,87;0;0
"rapport";0;2,15;0;0;0,86;0;0
"etienne";0;0;0;0;5,76;0;0
"association";0;0;5,59;0;1,44;0;0
"porte";0;1,61;5,59;0;3,6;2,87;0
"président";0;1,08;0;0;4,32;2,87;0
"troisième";0;0;0;0;2,59;0;0
"cirque";7,65;0;0;0;0,14;0;0
"travail";0;0;5,59;0;1,3;2,87;0
"pari";0,27;2,15;5,59;0;2,16;0;0
"part";0,55;0,54;0;11,9;1,44;0;0
"dossier";0;1,08;0;0;1,44;0;0
"gasnier";0;0;0;0;6,91;0;0
"recevoir";0,55;2,15;0;0;3,17;2,87;0
"témoignage";0;1,61;0;0;3,31;2,87;0
"expert";0;3,23;0;0;0,58;2,87;0
