"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"père";-0,5149;-0,2225;1,7069;-0,0447;-0,3001;0,4548;-0,0122
"margot";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"équipe";-1,005;-0,7956;-0,1315;2,0639;0,4406;1,7029;-0,0168
"clair";-1,4241;-0,6644;-0,0598;-0,0279;1,1007;1,5585;-0,0076
"spécialiste";-5,9899;-0,3559;-0,2513;-0,1175;5,0957;-0,1602;-0,0321
"police";-3,5632;-2,1945;-0,1974;-0,0923;7,625;-0,3874;-0,0252
"main";-0,2009;-0,2807;-0,0657;-0,0307;0,4603;-0,129;-0,0084
"ancien";-4,2494;25,7008;-0,4383;-0,4412;-5,7645;-1,1236;-0,1205
"agir";-0,5852;0,7773;1,4831;-0,0587;-0,905;0,9721;-0,016
"ministre";-3,42;-0,4973;-0,1435;-0,0671;4,2396;-0,2816;-0,0183
"chanson";-2,1366;0,4438;-0,0897;-0,0419;1,5177;-0,176;-0,0115
"trace";-1,4241;0,3714;0,8909;-0,0279;0,6461;-0,1173;-0,0076
"extraire";-16,024;-7,4723;-0,6719;-0,3142;31,0412;-1,3188;-0,0858
"aventure";51,3173;-7,1372;-0,6418;-0,3001;-28,358;-1,2597;-0,082
"nouveau";3,8859;-0,2603;-0,2449;0,8235;-3,7264;0,2629;-0,082
"débarquer";1,5791;-0,7973;1,951;1,129;-1,9448;-0,1408;-0,0092
"parent";3,3861;-1,745;-0,3053;-0,1427;-1,2245;0,4027;-0,039
"jt";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"lopez";-2,2792;-1,0632;-0,0956;-0,0447;4,4117;-0,1877;-0,0122
"rugby";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"côté";5,1724;-0,9925;0,9008;1,473;-7,5004;2,1777;-0,0344
"capable";-0,3573;2,9942;-0,0598;-0,0279;-1,4393;-0,1173;-0,0076
"mars";-2,2792;-0,5013;-0,0956;-0,0447;2,3713;0,4548;-0,0122
"delage";-1,8516;-0,8638;-0,0777;-0,0363;3,5839;-0,1525;-0,0099
"starfire";14,4228;-1,7285;-0,1555;-0,0727;-8,5439;-0,3051;-0,0199
"new_yorkais";23,8846;-2,8606;-0,2573;-0,1203;-14,144;-0,505;-0,0329
"davant";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"mot";-1,5666;0,3223;-0,0657;-0,0307;0,804;0,59;-0,0084
"christine";-1,8516;-0,8638;-0,0777;-0,0363;3,5839;-0,1525;-0,0099
"titan";28,9039;-3,4607;-0,3112;-0,1455;-17,1132;-0,6109;-0,0398
"rappeler";-0,3132;-0,3654;0,7857;-0,0363;0,431;-0,1525;-0,0099
"ex_membre";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"fils";-0,2009;-0,7308;0,8524;-0,0307;-0,3783;1,479;-0,0084
"citation";-4,5617;-2,1279;-0,1914;-0,0895;8,8309;-0,3756;-0,0244
"film";-4,7125;-1,0671;-0,3352;-0,1567;7,3838;-0,658;-0,0428
"important";-1,5666;1,9025;0,8524;-0,0307;-0,3783;-0,129;-0,0084
"revenir";-1,9813;1,9749;0,4481;-0,0895;0,3698;-0,3756;-0,0244
"révéler";-2,5643;5,2595;-0,1076;-0,0503;-0,7773;-0,2112;-0,0137
"public";-1,9941;-0,4097;-0,0837;-0,0391;2,7319;-0,1642;-0,0107
"agathe";-1,7091;-0,7973;-0,0717;-0,0335;3,3081;-0,1408;-0,0092
"récit";-1,4241;4,0349;-0,0598;-0,0279;-0,8975;-0,1173;-0,0076
"csa";-1,8516;-0,8638;-0,0777;-0,0363;3,5839;-0,1525;-0,0099
"rapport";-1,4241;1,3809;-0,0598;-0,0279;0,3436;-0,1173;-0,0076
"etienne";-5,7042;-2,6607;-0,2393;-0,1119;11,0434;-0,4697;-0,0306
"association";-1,5666;-0,7308;0,8524;-0,0307;2,0005;-0,129;-0,0084
"porte";-4,2762;-0,4346;0,4706;-0,0839;3,2803;0,2553;-0,0229
"président";-4,7044;-0,8732;-0,1974;-0,0923;5,4749;0,229;-0,0252
"troisième";-2,5643;-1,1962;-0,1076;-0,0503;4,9637;-0,2112;-0,0137
"cirque";14,208;-1,9282;-0,1734;-0,0811;-8,0013;-0,3404;-0,0222
"travail";-1,5666;-0,7308;0,8524;-0,0307;1,2996;0,59;-0,0084
"pari";-2,0301;0,4598;0,6002;-0,0587;1,1622;-0,2464;-0,016
"part";-0,6896;-0,4097;-0,0837;1,0648;0,8779;-0,1642;-0,0107
"dossier";-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"gasnier";-6,8475;-3,1939;-0,2873;-0,1343;13,2578;-0,5638;-0,0367
"recevoir";-2,266;-0,2178;-0,1734;-0,0811;2,0014;0,265;-0,0222
"témoignage";-3,848;-0,3424;-0,1615;-0,0755;3,325;0,2857;-0,0206
"expert";-1,5666;2,7072;-0,0657;-0,0307;-0,6769;0,59;-0,0084
