"";"*genregroupe_Animation";"*genregroupe_Documentaire";"*genregroupe_Feuilleton";"*genregroupe_Longmétrage";"*genregroupe_Magazine";"*genregroupe_Série";"*genregroupe_Tranchehoraire"
"venir";15;11;3;2;20;4;0
"tomber";4;2;1;2;6;3;0
"laisser";3;11;1;0;6;1;0
"époque";0;5;0;0;10;0;0
"intervenir";26;0;0;0;4;0;0
"origine";1;20;0;0;14;0;0
"image";0;9;0;0;32;1;1
"mythe";0;1;0;0;10;0;0
"italie";0;3;0;0;11;0;0
"édition";0;1;0;0;28;0;0
"répondre";0;0;0;0;11;1;0
"présenter";3;4;0;0;57;0;0
"chaîne";0;2;0;0;8;0;0
"spatial";3;1;2;2;10;1;0
"écrivain";0;1;0;0;22;0;0
"terre";15;46;3;1;17;2;1
"richard";0;0;0;0;13;0;0
"gagner";0;0;0;2;9;0;0
"christophe";0;0;0;0;52;0;0
"espace";14;2;0;4;21;0;0
"vie";0;25;1;0;65;4;0
"mort";0;4;0;0;8;3;0
"teen";49;0;0;0;0;0;0
"damien";0;0;0;0;12;0;0
"science";0;2;0;0;10;0;0
"information";0;2;2;0;17;0;0
"débat";0;0;0;0;36;0;0
"créature";0;22;1;0;1;3;0
"visuel";0;0;0;0;29;0;0
"boucherie";0;0;0;0;10;0;0
"astrophysicien";0;0;0;0;10;0;0
"recette";0;0;0;0;13;0;0
"comprendre";3;1;2;0;22;7;0
"jeu";4;0;0;0;17;0;1
"dernier";1;7;1;0;24;3;0
"leçon";2;0;0;0;9;0;0
"grandir";26;0;0;0;5;0;0
"plan";1;3;2;0;7;1;0
"secte";0;9;0;0;1;0;0
"notamment";0;2;0;0;9;0;0
"depétrini";0;0;0;0;14;0;0
"incident";79;3;0;0;0;0;0
"recherche";5;4;0;0;26;4;0
"garçon";3;1;0;1;5;1;0
"environnement";25;0;0;2;2;0;0
"nucléaire";0;3;0;0;7;0;0
"robin";49;0;0;0;1;0;0
"belhousse";0;0;0;0;15;0;0
"témoin";2;6;0;0;22;1;0
"mystère";0;5;0;2;4;0;0
"kelly";0;0;0;0;12;0;0
"retrouver";10;3;5;0;7;10;0
"victime";2;3;0;0;2;4;0
"technologie";0;12;2;0;2;0;0
"alexandre";0;0;0;0;16;0;0
"frère";4;1;0;0;11;1;0
"millénaire";43;2;0;0;0;0;0
"meilleur";1;0;0;1;9;0;0
"observation";0;10;0;0;1;0;0
"tirailleur";0;0;0;0;10;0;0
"décontraction";26;0;0;0;0;0;0
"astronaute";1;30;0;0;9;0;0
"découverte";0;9;3;0;13;0;0
"millier";0;10;0;0;5;0;0
"continuer";0;7;1;0;7;1;0
"ambre";0;0;0;0;48;0;0
"laëtitia";0;0;0;0;15;0;0
"animal";2;4;0;0;14;1;0
"pyramide";0;12;0;0;0;0;0
"robot";29;0;0;0;5;0;0
"temps";3;7;2;0;9;4;0
"david";0;3;0;0;27;0;0
"façon";0;2;0;0;8;0;0
"face";3;0;0;0;5;2;1
"rouge";0;0;0;0;10;0;0
"montrer";3;1;0;0;19;1;0
"tenter";45;0;2;0;6;6;0
"quitter";26;1;1;0;11;0;0
"inviter";0;0;0;0;33;1;0
"ados";26;0;0;0;1;0;0
"site";0;13;2;0;13;1;0
"politique";0;1;0;0;31;0;0
"alliance";0;0;0;0;16;0;0
"lune";0;3;0;4;7;1;1
"seul";6;4;0;0;8;0;0
"tamaran";26;0;0;0;0;0;0
"mauvais";2;0;0;0;9;1;0
"chef";0;3;0;0;9;0;0
"appeler";0;3;1;0;6;0;0
"françois";2;0;1;0;19;0;1
"soucoupe";7;0;0;1;6;1;0
"nombre";0;6;0;0;3;1;0
"pizza";43;0;0;0;0;0;0
"alexis";0;0;0;0;13;0;0
"enlever";5;0;0;0;2;3;0
"prendre";54;4;1;0;20;1;0
"livreur";43;0;0;0;0;0;0
"état";0;15;0;0;4;0;0
"grave";49;0;0;0;1;0;0
"déage";0;0;0;0;10;0;0
"yacine";0;0;0;0;15;0;0
"thierry";0;0;0;0;31;0;0
"carbonnier";0;0;0;0;40;0;0
"jerry";9;0;0;0;1;0;0
"raid";0;0;0;0;15;0;0
"déclaration";0;0;0;0;22;0;0
"contact";0;14;0;0;6;0;0
"the";1;2;0;0;8;0;0
"photo";0;2;1;0;21;0;0
"transformer";3;0;0;0;7;1;0
"lci";0;0;0;0;21;0;0
"bord";5;0;0;3;4;0;0
"jacques";1;0;0;0;15;1;1
"connaître";0;7;1;0;18;1;0
"peupler";25;0;0;0;1;0;0
"commencer";0;3;1;0;10;1;0
"archive";0;1;0;0;11;0;0
"sujet";1;0;0;0;30;0;0
"zone";0;2;0;0;9;0;0
"donner";8;3;1;0;24;2;0
"urgentiste";0;0;0;0;12;0;0
"gilet";0;0;0;0;21;0;0
"ciel";1;17;0;0;9;1;0
"cas";0;4;0;0;27;1;0
"discussion";0;0;0;0;15;0;0
"cours";1;7;0;0;10;1;0
"découvrir";10;12;5;1;14;4;0
"forme";3;15;0;0;12;1;0
"nom";1;4;0;0;5;0;0
"ex";3;1;0;0;17;0;0
"album";0;2;0;0;15;0;0
"marine";2;2;0;0;7;0;0
"toulouse";0;0;0;0;12;0;0
"message";0;4;0;0;6;0;0
"incroyable";0;13;0;0;5;0;0
"premier";1;12;1;0;36;3;0
"déguiser";5;0;0;0;10;0;0
"ligne";0;4;0;0;8;0;0
"étrange";4;30;1;2;8;2;0
"secrétaire";0;0;0;0;29;0;0
"bruno";0;0;0;0;20;0;0
"sport";0;1;0;0;9;0;0
"près_de";5;1;0;0;6;2;0
"tropical";77;0;0;0;0;0;0
"maïa";0;0;0;0;37;0;0
"prétexte";77;0;0;0;0;0;0
"explication";0;3;0;0;9;0;0
"ami";7;0;0;6;6;3;0
"héros";4;0;0;0;8;0;0
"vilain";1;0;0;0;9;0;0
"vendre";3;2;1;0;2;2;0
"loi";0;0;0;0;10;0;0
"giorgio";0;19;0;0;0;0;0
"aile";26;0;0;0;0;0;0
"iran";0;0;0;0;19;0;0
"aimer";0;1;0;0;9;1;0
"vidéo";1;1;0;0;17;0;0
"réalité";7;6;0;0;7;1;0
"visage";0;3;0;0;9;0;0
"posséder";23;9;0;0;3;0;0
"diffuser";0;0;0;0;10;0;0
"base";1;5;0;2;3;0;0
"véritable";2;4;0;0;3;3;0
"jour";1;4;0;0;18;2;0
"justice";1;0;0;0;10;0;0
"voler";30;0;0;0;2;1;0
"culture";1;12;0;0;13;0;0
"portrait";0;6;0;0;6;0;1
"effet";3;1;0;0;5;2;0
"planète";39;7;0;0;12;3;0
"grand";5;12;1;2;32;3;0
"pierre";0;1;0;0;23;0;0
"jouer";3;0;0;0;10;0;0
"hapsatou";0;0;0;0;11;0;0
"univers";26;6;0;0;11;0;0
"info";0;0;0;0;16;0;0
"cryogénisé";43;0;0;0;0;0;0
"rester";1;10;1;0;6;3;0
"visite";1;10;1;0;8;1;0
"structure";0;10;0;0;1;0;0
"utiliser";3;8;0;0;8;0;0
"rencontre";1;7;0;0;15;2;0
"suite";0;2;0;0;16;0;0
"scientologie";0;16;0;0;0;0;0
"brigitte";0;0;0;0;14;0;0
"élection";0;0;0;0;13;0;0
"jump";27;0;0;0;0;0;0
"gens";0;2;0;0;17;0;0
"danger";26;0;1;0;2;0;0
"gitan";0;0;0;0;14;0;0
"volant";8;4;0;1;7;2;0
"entrer";3;7;0;0;3;0;0
"heure";1;0;0;0;12;0;0
"également";0;3;0;0;6;1;0
"rencontrer";0;6;0;1;3;3;1
"représentant";0;10;0;0;1;0;0
"avocat";0;2;0;0;22;0;0
"université";1;1;0;0;13;2;0
"adopter";26;0;0;0;3;0;0
"sy";0;0;0;0;24;0;0
"jaune";0;0;0;0;21;0;0
"médecin";0;1;1;0;17;0;0
"réaliser";2;1;0;0;7;1;3
"trouver";6;12;1;2;10;1;0
"mohammed";0;0;0;0;11;0;0
"preuve";0;29;0;0;8;1;0
"luc";0;0;0;0;32;0;0
"ukrainien";0;0;0;0;11;0;0
"carrière";0;2;0;0;9;0;0
"examiner";0;15;0;0;0;1;0
"femme";1;5;1;0;15;5;0
"journal";0;0;0;0;14;0;0
"persuader";7;1;1;0;2;5;0
"général";0;0;0;0;33;0;0
"he";1;0;0;1;10;0;0
"étude";0;0;0;0;15;2;0
"laporte";0;0;0;0;12;0;0
"chercher";7;1;0;0;6;2;0
"eric";0;0;0;0;43;0;0
"homme";2;21;0;1;41;6;1
"star";1;2;0;0;10;1;0
"fois";0;4;0;0;18;0;0
"aider";4;0;0;0;2;4;0
"siècle";0;8;0;0;2;1;0
"voix";1;1;0;0;15;0;0
"réputation";0;0;0;0;17;2;0
"voir";6;9;2;0;36;6;0
"légende";0;7;0;0;5;0;0
"force";2;1;0;1;6;1;0
"histoire";0;20;0;0;18;0;0
"propre";26;5;1;0;8;0;0
"omar";0;0;0;0;13;0;0
"dettinger";0;0;0;0;43;0;0
"quotidien";0;0;0;0;14;0;0
"géant";2;9;0;0;3;0;0
"suggérer";0;12;0;0;1;0;0
"famille";3;1;2;0;17;0;0
"vivre";0;5;3;0;25;0;0
"comportement";0;0;0;0;15;1;0
"créer";3;0;0;0;10;2;0
"acteur";0;0;0;0;32;0;0
"sauver";54;0;0;0;3;2;0
"entraîner";26;0;0;0;1;0;0
"école";0;2;0;0;14;0;0
"syndicat";0;0;0;0;14;0;0
"julien";0;0;0;0;49;0;0
"cabrol";0;0;0;0;11;0;0
"voyage";0;0;0;4;20;0;0
"scientifique";2;13;1;0;21;0;1
"aller";10;2;1;0;25;2;0
"servir";3;7;0;0;1;0;0
"théoricien";0;28;0;0;0;0;0
"livre";5;4;0;0;31;0;0
"revel";0;0;0;0;12;0;0
"super";59;0;0;0;3;0;0
"magazine";0;0;0;0;12;0;0
"lieu";4;1;1;1;6;2;0
"batman";49;0;0;0;1;0;0
"mystérieux";1;13;0;2;2;1;0
"petit";168;5;0;1;49;3;0
"décider";6;0;4;0;4;5;0
"handicapé";0;0;0;0;11;0;0
"corbière";0;0;0;0;13;0;0
"dieu";0;12;0;0;0;2;0
"mazaurette";0;0;0;0;41;0;0
"laure";0;0;11;0;1;0;0
"ville";6;2;1;0;3;1;1
"etats";3;4;0;0;8;0;0
"père";3;2;2;0;8;1;0
"margot";0;0;0;0;11;0;0
"équipe";3;1;0;2;13;3;0
"clair";0;0;0;0;8;2;0
"spécialiste";0;5;0;0;36;1;0
"police";1;0;0;0;32;0;0
"main";3;1;0;0;7;0;0
"ancien";23;78;1;0;54;1;0
"agir";4;5;2;0;8;2;0
"ministre";0;2;0;0;22;0;0
"chanson";0;3;0;0;12;0;0
"trace";0;2;1;0;7;0;0
"extraire";0;0;0;0;112;0;0
"aventure";103;0;0;0;4;0;0
"nouveau";48;15;1;2;38;3;0
"débarquer";7;0;2;1;2;0;0
"parent";26;2;0;0;21;2;0
"jt";0;0;0;0;14;0;0
"lopez";0;0;0;0;16;0;0
"rugby";0;0;0;0;11;0;0
"côté";27;3;2;2;6;5;0
"capable";2;6;0;0;2;0;0
"mars";0;1;0;0;14;1;0
"delage";0;0;0;0;13;0;0
"starfire";26;0;0;0;0;0;0
"new_yorkais";43;0;0;0;0;0;0
"davant";0;0;0;0;10;0;0
"mot";0;2;0;0;8;1;0
"christine";0;0;0;0;13;0;0
"titan";52;0;0;0;0;0;0
"rappeler";3;1;1;0;8;0;0
"ex_membre";0;0;0;0;11;0;0
"fils";3;0;1;0;5;2;0
"citation";0;0;0;0;32;0;0
"film";3;4;0;0;49;0;0
"important";0;5;1;0;5;0;0
"revenir";3;10;1;0;18;0;0
"révéler";0;11;0;0;7;0;0
"public";0;1;0;0;13;0;0
"agathe";0;0;0;0;12;0;0
"récit";0;7;0;0;3;0;0
"csa";0;0;0;0;13;0;0
"rapport";0;4;0;0;6;0;0
"etienne";0;0;0;0;40;0;0
"association";0;0;1;0;10;0;0
"porte";0;3;1;0;25;1;0
"président";0;2;0;0;30;1;0
"troisième";0;0;0;0;18;0;0
"cirque";28;0;0;0;1;0;0
"travail";0;0;1;0;9;1;0
"pari";1;4;1;0;15;0;0
"part";2;1;0;1;10;0;0
"dossier";0;2;0;0;10;0;0
"gasnier";0;0;0;0;48;0;0
"recevoir";2;4;0;0;22;1;0
"témoignage";0;3;0;0;23;1;0
"expert";0;6;0;0;4;1;0
"secret";2;9;0;0;5;0;0
"mener";1;3;1;0;4;2;0
"moment";1;1;0;0;12;0;0
"travers";3;1;0;0;9;0;0
"salvatore";0;10;0;0;1;0;0
"jimmy";0;0;0;0;12;0;0
"dewalle";0;0;0;0;15;0;0
"avenir";0;3;0;0;8;0;0
"conseil";0;0;0;0;11;1;0
"travailler";0;0;0;0;13;1;0
"lointain";26;8;0;0;0;2;0
"invité";0;0;0;0;60;0;0
"objet";2;9;0;0;15;1;0
"terrien";26;0;2;3;3;0;0
"laurie";0;0;0;0;10;0;0
"chien";8;0;0;0;1;0;1
"extrait";0;0;0;0;23;0;0
"identifier";1;11;2;0;9;2;0
"lfi";0;0;0;0;15;0;0
"expliquer";2;1;0;0;33;0;0
"réseau";0;1;0;0;9;0;0
"écrire";1;2;0;0;9;0;0
"auproux";0;0;0;0;12;0;0
"seines";0;0;0;0;14;0;0
"mélenchon";0;0;0;0;26;0;0
"bernard";0;0;0;0;24;0;0
"beau";0;2;0;1;8;1;0
"sembler";2;5;1;0;2;6;0
"cacher";0;7;3;0;4;5;0
"fatou";77;0;0;0;0;0;0
"annonce";0;0;0;0;11;0;0
"agnès";0;0;0;0;9;0;1
"moyen";0;0;0;0;10;0;0
"raven";26;0;0;0;0;0;0
"provoquer";78;0;0;0;5;1;0
"système";0;14;0;0;5;0;0
"adolescent";23;0;0;0;0;1;0
"oise";0;0;0;0;15;0;0
"membre";1;0;0;0;32;0;0
"parole";0;1;1;0;25;0;0
"philippe";0;0;0;0;12;0;0
"mois";0;2;0;0;10;0;0
"naître";26;0;0;0;8;0;0
"enquête";1;5;1;0;11;4;0
"nouvelle";3;1;1;0;7;1;0
"mettre";3;3;1;0;15;3;0
"jeune";25;2;1;2;24;8;1
"construire";1;9;0;0;5;0;0
"émission";0;1;0;0;42;2;0
"coeur";4;1;0;0;7;1;0
"claude";3;0;0;0;28;0;0
"présidentiel";0;0;0;0;14;0;0
"âge";0;7;1;0;4;1;0
"candidat";0;0;0;0;17;0;0
"proposer";1;4;0;0;11;0;0
"manquer";26;0;0;0;5;0;0
"bande";0;1;0;1;13;0;0
"humanité";0;21;0;0;3;0;0
"gouvernement";1;12;0;0;5;0;0
"antique";0;13;0;0;0;0;0
"entrepreneur";0;0;0;0;11;0;0
"exister";2;6;0;0;8;0;0
"hugues";0;0;0;0;14;0;0
"peret";0;0;0;0;10;0;0
"actuel";0;8;0;0;6;0;0
"retour";2;0;0;0;27;0;0
"valentin";0;0;0;0;17;0;0
"cnews";0;0;0;0;24;0;0
"élément";0;3;0;1;7;0;0
"groupe";0;1;0;0;11;2;0
"entier";3;19;0;0;1;0;0
"humour";52;0;0;0;11;0;0
"langlois";0;0;0;0;14;0;0
"frédéric";0;0;0;0;33;1;0
"boucher";0;0;0;0;11;0;0
"courir";26;0;0;1;7;0;3
"haut";0;0;0;0;22;0;0
"antoine";0;0;0;0;23;0;0
"nombreux";78;11;0;0;9;0;0
"apporter";0;5;0;0;4;2;0
"revue";0;0;0;0;10;0;0
"média";0;1;0;0;12;0;0
"gotham";26;0;0;0;0;0;0
"animation";26;0;0;0;0;0;0
"cnrs";0;0;0;0;11;0;0
"chanteur";0;0;0;0;13;0;0
"chercheur";0;0;1;0;9;0;0
"départ";43;0;0;0;2;0;0
"bellver";0;0;0;0;48;0;0
"porter";0;4;1;0;5;0;0
"envoyer";4;1;0;0;7;0;1
"alain";0;6;0;0;7;0;0
"phénomène";0;13;2;0;34;2;0
"péril";49;0;0;0;0;0;0
"île";77;3;0;0;5;0;0
"sud";0;2;0;0;8;0;0
"christian";0;0;0;0;10;0;0
"enfant";5;4;3;1;28;2;0
"vaisseau";10;5;2;2;2;3;0
"emmanuel";0;1;0;0;13;0;0
"bout";0;3;0;0;7;0;0
"affrontement";0;0;0;0;13;0;0
"blanc";0;3;0;0;13;0;0
"passer";3;23;2;0;21;2;0
"professeur";0;3;4;0;10;4;0
"chaouch";0;0;0;0;10;0;0
"maison";2;2;3;0;12;1;0
"bfm";0;0;0;0;19;0;0
"arriver";5;2;0;2;6;1;0
"tourner";0;0;0;0;8;2;0
"vincent";0;0;0;0;11;1;0
"matin";0;0;0;0;12;0;0
"raconter";1;6;0;0;23;0;0
"année";1;23;1;0;26;0;0
"bristielle";0;0;0;0;21;0;0
"propos";1;0;0;0;12;0;0
"prince";26;0;0;0;0;0;0
"plateau";0;0;0;0;37;0;0
"réveiller";43;0;0;0;1;0;0
"anne";0;0;0;0;22;0;0
"question";0;5;0;0;26;0;0
"long";1;6;0;0;6;0;0
"présentation";0;3;0;0;14;0;0
"nasa";1;2;0;0;11;0;0
"yves";0;1;0;0;17;0;0
"théâtre";0;2;0;0;10;0;0
"chose";2;0;2;0;5;2;0
"olivier";1;2;0;0;15;0;0
"lrem";0;0;0;0;17;0;0
"claviere";0;0;0;0;15;0;0
"figure";26;3;0;0;1;0;0
"patron";2;0;0;0;12;0;0
"fédération";0;0;0;0;11;0;0
"watrin";0;0;0;0;11;0;0
"nuit";1;2;0;0;7;1;0
"permettre";1;7;0;0;11;1;0
"tsoukalos";0;18;0;0;0;0;0
"polémiste";0;0;0;0;14;0;0
"galley";0;0;0;0;10;0;0
"pomart";0;0;0;0;15;0;0
"chalumeau";0;0;0;0;48;0;0
"xavier";0;0;3;0;6;0;1
"rendre";7;8;6;0;16;6;0
"partie";0;8;0;1;11;0;0
"partir";2;5;1;0;17;1;0
"marier";1;1;2;0;11;0;0
"joe";0;0;0;0;15;0;0
"disciple";23;0;0;0;0;0;0
"préparer";0;1;0;1;8;0;0
"mère";0;1;2;0;4;3;0
"américain";1;12;0;0;19;0;0
"conquérant";26;0;0;0;0;0;0
"série";26;1;0;0;11;1;0
"val";0;0;0;0;16;0;0
"humain";4;16;4;0;10;4;0
"courant";0;0;0;0;12;0;0
"décrire";0;2;0;0;10;0;0
"fantôme";0;2;0;0;9;0;0
