"";"*audiencefemme_0";"*audiencefemme_01";"*audiencefemme_02";"*audiencefemme_03";"*audiencefemme_04";"*audiencefemme_05";"*audiencefemme_06";"*audiencefemme_07";"*audiencefemme_08";"*audiencefemme_09";"*audiencefemme_1";"*audiencefemme_103";"*audiencefemme_11";"*audiencefemme_112";"*audiencefemme_116";"*audiencefemme_12";"*audiencefemme_128";"*audiencefemme_13";"*audiencefemme_135";"*audiencefemme_14";"*audiencefemme_141";"*audiencefemme_147";"*audiencefemme_15";"*audiencefemme_16";"*audiencefemme_17";"*audiencefemme_18";"*audiencefemme_19";"*audiencefemme_199";"*audiencefemme_2";"*audiencefemme_22";"*audiencefemme_23";"*audiencefemme_27";"*audiencefemme_28";"*audiencefemme_29";"*audiencefemme_3";"*audiencefemme_31";"*audiencefemme_34";"*audiencefemme_35";"*audiencefemme_36";"*audiencefemme_38";"*audiencefemme_41";"*audiencefemme_47";"*audiencefemme_49";"*audiencefemme_55";"*audiencefemme_61";"*audiencefemme_62";"*audiencefemme_63";"*audiencefemme_69";"*audiencefemme_76";"*audiencefemme_79";"*audiencefemme_8";"*audiencefemme_83";"*audiencefemme_85";"*audiencefemme_89";"*audiencefemme_9";"*audiencefemme_96"
"laisser";0;2;2;4;1;3;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"époque";1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"intervenir";7;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"origine";0;5;7;6;2;0;0;2;0;0;0;0;1;0;4;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"image";0;1;3;4;1;0;0;2;0;0;1;1;0;0;1;1;0;2;2;0;0;0;1;3;2;3;0;0;0;1;1;0;0;3;0;1;1;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0
"mythe";4;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"italie";1;0;0;1;0;2;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"plusieurs";0;1;0;7;1;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"édition";7;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;4;0;0;2;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"répondre";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"présenter";0;2;2;3;2;1;0;0;0;0;1;4;0;0;1;2;0;2;2;5;0;0;1;5;7;6;4;0;0;1;0;0;4;1;0;4;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"chaîne";0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"an";2;5;3;8;0;0;0;1;0;0;0;0;0;0;1;3;0;2;0;0;1;1;1;5;1;0;1;0;1;0;0;3;1;1;0;4;0;0;4;0;0;4;0;0;0;3;0;0;0;2;0;1;2;0;0;0
"au";7;7;12;15;5;6;1;5;0;2;7;1;1;0;2;13;0;16;0;9;0;3;14;4;3;4;1;1;1;4;2;1;6;0;0;6;12;7;2;0;0;3;0;0;1;3;0;1;0;3;1;3;1;0;1;0
"spatial";2;1;0;1;0;2;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"écrivain";0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;1;0;11;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"terre";7;12;13;20;12;1;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;2;1;1;0;0;0;3;0;0;0;0;0;1;2;0;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0
"sans";0;0;2;1;1;3;0;1;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;3;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"richard";0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;4;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gagner";0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"christophe";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;43;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"espace";2;3;3;4;0;4;0;4;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;1;4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"vie";8;0;3;13;3;6;0;0;1;1;1;0;0;1;0;5;0;7;1;2;0;0;0;2;0;0;0;0;0;1;0;1;4;0;0;14;7;1;6;1;0;0;0;1;0;0;0;1;0;0;0;2;0;0;2;0
"mort";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;3;0;0;1;0;0;0;0;0;1;0;1;0;0;1
"teen";13;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"damien";0;0;1;0;0;0;0;0;0;1;2;0;1;0;0;3;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"science";5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"information";6;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"notre";2;0;5;10;0;0;0;1;0;2;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"débat";1;0;0;0;0;18;0;0;0;0;0;0;1;0;0;0;0;1;0;6;0;0;2;0;0;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"créature";0;2;10;4;7;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"visuel";0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;1;0;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boucherie";0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"personne";3;0;4;1;1;2;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;6;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"astrophysicien";4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"recette";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;1;0;1;0;0;1;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"comprendre";2;2;3;1;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jeu";0;2;9;0;1;1;0;0;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"contre";3;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
"dernier";3;1;0;4;3;2;0;0;0;1;0;0;0;1;1;3;1;3;0;0;1;0;2;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0
"leçon";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"grandir";8;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"plan";0;1;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"toujours";0;1;2;3;2;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
"secte";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"croire";1;1;9;0;1;1;0;1;0;0;2;0;0;0;3;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"ses";24;51;12;2;1;9;1;6;1;1;2;0;0;0;2;5;0;5;0;4;0;3;3;6;2;1;0;3;0;1;2;1;1;0;0;10;6;6;10;0;0;1;0;1;0;1;0;0;0;1;1;1;3;0;0;1
"notamment";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"depétrini";0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"incident";4;44;31;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"recherche";5;3;0;0;2;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;10;1;0;0;0;2;0;0;0;0;1;0;0;0;6;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"garçon";0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"environnement";0;2;10;11;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nucléaire";1;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"robin";13;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"belhousse";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"témoin";0;0;3;2;0;2;1;0;0;0;0;0;0;0;2;0;0;13;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
"mystère";0;0;3;2;0;2;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kelly";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"retrouver";0;7;0;3;0;0;0;1;1;1;1;0;0;0;0;3;0;2;0;0;0;4;0;0;0;0;0;3;0;0;0;2;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0
"victime";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"d";61;115;92;73;39;37;7;9;1;3;8;2;24;2;27;32;2;35;8;18;0;4;39;23;7;12;4;3;2;15;6;3;9;7;4;21;16;19;25;0;0;17;3;3;2;8;4;3;1;2;3;12;7;3;12;1
"technologie";1;0;5;1;5;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"alexandre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"frère";0;0;2;0;2;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"t";1;0;4;4;1;2;0;1;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"où";4;2;4;4;0;1;1;0;0;0;2;0;1;0;1;1;0;1;4;0;0;1;0;3;0;1;0;1;0;0;1;0;0;0;0;1;5;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"millénaire";0;3;18;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"meilleur";0;1;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"observation";1;0;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"un";36;92;109;127;35;36;2;10;1;5;10;5;11;3;29;24;0;14;5;15;2;6;14;22;6;5;3;4;1;4;5;4;2;5;0;20;15;17;16;4;1;12;4;3;4;8;8;0;3;7;1;6;5;0;4;0
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"décontraction";7;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astronaute";0;0;12;11;7;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pouvoir";17;37;28;27;17;4;0;3;1;1;1;0;1;0;0;4;0;5;0;6;0;0;2;10;0;0;0;1;0;0;2;0;3;0;0;8;2;0;2;0;0;1;0;1;0;0;1;0;0;0;0;2;0;1;0;2
"découverte";0;1;3;5;0;0;0;0;0;0;1;1;0;0;0;0;0;5;0;0;0;2;0;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"millier";0;0;2;4;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"continuer";0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"ambre";0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;10;0;0;11;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"les";69;104;113;92;33;43;15;28;3;9;15;2;5;4;25;25;3;38;4;28;6;7;27;42;17;22;5;2;0;10;6;4;21;6;3;21;20;10;23;2;5;16;6;2;4;8;0;5;3;1;0;9;5;2;9;0
"beaucoup";0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pour";20;39;11;20;11;14;7;8;1;5;6;2;5;0;8;16;0;15;1;10;0;1;13;28;4;6;1;0;1;5;1;2;5;3;1;25;2;6;10;0;0;6;0;1;2;2;0;1;0;1;1;5;3;0;0;0
"laëtitia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"animal";0;0;5;0;1;3;1;0;0;0;0;0;3;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pyramide";0;0;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"robot";0;3;10;13;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"comme";8;21;6;3;0;1;1;3;0;0;1;0;0;0;0;1;0;4;0;1;0;0;0;2;0;0;0;0;0;0;3;0;1;0;0;3;2;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"temps";0;2;5;3;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;2;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"david";9;0;3;0;2;0;0;0;0;1;1;0;1;0;0;4;0;2;0;1;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"façon";1;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"03";0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
"face";1;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"rouge";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"montrer";0;1;0;2;0;1;0;0;0;0;1;0;1;0;2;1;0;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3;0;2;2;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"tenter";1;4;18;18;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
"quitter";8;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;4;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"inviter";6;1;0;1;0;0;0;1;0;0;3;1;0;0;0;0;0;1;0;3;0;0;2;1;0;0;0;0;0;5;0;0;5;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"ce";6;6;13;10;5;6;3;2;0;1;2;1;3;0;9;12;0;10;0;3;0;1;5;1;0;4;0;1;1;1;2;0;3;0;0;9;4;1;9;0;0;4;1;1;1;0;1;0;1;0;1;0;2;0;0;2
"après";8;22;24;23;4;1;2;0;1;1;0;0;3;0;1;1;0;2;0;1;0;0;0;4;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;0;2;2;0;0;1;0;1;0;0;0;0;1;0;0;0
"ados";8;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"site";0;0;4;3;5;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;1;3;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"politique";0;0;1;0;0;3;0;0;0;0;1;0;2;0;0;1;0;1;0;7;0;0;5;2;0;0;0;0;0;0;0;0;3;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"avoir";67;120;95;92;47;33;15;15;1;3;8;0;9;0;19;13;0;32;0;9;0;5;22;26;7;14;2;4;0;21;6;0;15;2;1;34;17;12;29;6;0;12;2;4;1;12;1;0;0;1;2;9;15;3;3;1
"alliance";0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lune";0;1;1;3;0;4;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"seul";0;2;2;6;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"tamaran";7;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mauvais";8;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chez";2;1;2;0;0;5;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chef";1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"appeler";0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"qui";47;119;76;32;15;14;3;6;0;2;10;3;9;2;13;11;1;24;3;8;1;2;7;16;5;7;1;0;0;7;4;0;6;1;0;13;9;6;11;2;0;3;1;2;0;2;0;0;2;1;2;5;4;4;1;0
"falloir";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"françois";0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;3;0;1;1;3;2;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
