"";"*audiencefemme_0";"*audiencefemme_01";"*audiencefemme_02";"*audiencefemme_03";"*audiencefemme_04";"*audiencefemme_05";"*audiencefemme_06";"*audiencefemme_07";"*audiencefemme_08";"*audiencefemme_09";"*audiencefemme_1";"*audiencefemme_103";"*audiencefemme_11";"*audiencefemme_112";"*audiencefemme_116";"*audiencefemme_12";"*audiencefemme_128";"*audiencefemme_13";"*audiencefemme_135";"*audiencefemme_14";"*audiencefemme_141";"*audiencefemme_147";"*audiencefemme_15";"*audiencefemme_16";"*audiencefemme_17";"*audiencefemme_18";"*audiencefemme_19";"*audiencefemme_199";"*audiencefemme_2";"*audiencefemme_22";"*audiencefemme_23";"*audiencefemme_27";"*audiencefemme_28";"*audiencefemme_29";"*audiencefemme_3";"*audiencefemme_31";"*audiencefemme_34";"*audiencefemme_35";"*audiencefemme_36";"*audiencefemme_38";"*audiencefemme_41";"*audiencefemme_47";"*audiencefemme_49";"*audiencefemme_55";"*audiencefemme_61";"*audiencefemme_62";"*audiencefemme_63";"*audiencefemme_69";"*audiencefemme_76";"*audiencefemme_79";"*audiencefemme_8";"*audiencefemme_83";"*audiencefemme_85";"*audiencefemme_89";"*audiencefemme_9";"*audiencefemme_96"
"départ";0;3;18;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"peu";1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"bellver";0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;10;0;0;11;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"porter";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"on";5;8;6;5;1;0;1;1;0;1;1;0;0;0;2;11;0;4;0;1;0;1;1;1;1;2;0;0;0;0;1;0;2;1;0;5;1;0;1;0;0;1;0;0;0;3;0;0;1;0;0;2;1;0;2;0
"ou";8;0;8;8;2;5;2;0;0;2;0;0;0;0;15;5;0;2;0;2;1;0;2;1;0;0;0;1;0;0;2;0;0;0;0;4;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"celui";0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"envoyer";1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"alain";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"avec";22;36;28;15;2;28;1;2;1;5;9;0;3;0;7;13;0;7;8;4;1;1;10;2;10;4;2;0;0;2;1;1;9;6;2;6;6;2;8;2;0;5;2;2;0;1;0;1;0;1;0;3;1;2;9;0
"phénomène";8;0;3;4;0;5;1;1;0;0;1;0;0;0;4;0;0;2;0;2;0;2;1;0;0;7;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0
